21_JUMP_STREET.srt 	21_JUMP_STREET_DVS218 	00:36:47,00 --> 00:36:57,50 	he pushes an auditioning kid off stage.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS569 	01:03:14,00 --> 01:03:21,50 	someone pushes himself up on the boat's canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS675 	01:11:40,00 --> 01:11:47,50 	someone plants both hands on the painted metal, then gently pushes off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS905 	01:30:55,00 --> 01:31:01,50 	pushing more canvas back, someone squints as bright sun blankets his face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1005 	01:38:44,00 --> 01:38:48,50 	he pushes them away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS241 	01:22:18,00 --> 01:22:27,50 	to push him away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS268 	01:26:36,00 --> 01:26:43,50 	pushing the cat's stomach like the heimlich maneuver, he forces the lizard out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS519 	01:02:02,00 --> 01:02:09,50 	he pushes her back with his stick.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS529 	01:03:17,00 --> 01:03:22,50 	yates pushes his way inside.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS137 	00:32:10,00 --> 00:32:20,50 	someone pushes him out of the way and sweeps out a warrior's leg.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS366 	01:30:46,00 --> 01:30:51,50 	pushing the group to within a few feet of the fire.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS409 	01:38:21,00 --> 01:38:26,50 	then weakly pushes himself up on all fours.
PROMETHEUS.srt 	PROMETHEUS_DVS175 	00:12:12,00 --> 00:12:17,50 	someone strides to one and pushes a button.
PROMETHEUS.srt 	PROMETHEUS_DVS1076 	01:57:34,00 --> 01:57:46,50 	the new alien specimen pushes itself up on all fours.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS78 	00:13:23,00 --> 00:13:29,50 	someone pushes the president forward to a metal gate.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS86 	00:14:25,00 --> 00:14:31,50 	inside, someone pushes the president forward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	pushing one open, he peeks into a bathroom.
SANCTUM.srt 	SANCTUM_DVS113 	00:23:33,00 --> 00:23:39,50 	someone unclips his extra oxygen tank and pushes it away.
SANCTUM.srt 	SANCTUM_DVS121 	00:24:39,00 --> 00:24:45,50 	as she pushes her rebreather, its pack snags on a rock.
SANCTUM.srt 	SANCTUM_DVS223 	00:48:19,00 --> 00:48:27,50 	then pushes against his throat.
SANCTUM.srt 	SANCTUM_DVS251 	00:52:31,00 --> 00:52:36,50 	effort, she pushes her gear into the restriction.
SANCTUM.srt 	SANCTUM_DVS255 	00:52:51,00 --> 00:53:02,50 	up ahead, someone pushes himself through the exit.
SANCTUM.srt 	SANCTUM_DVS428 	01:22:09,00 --> 01:22:14,50 	someone straightens, pushing himself higher.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS218 	00:15:22,00 --> 00:15:26,50 	someone pushes on.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1053 	01:09:58,00 --> 01:10:04,50 	someone gently pushes her friend's head away.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS460 	01:37:29,00 --> 01:37:33,50 	someone cowers as their burst impacts push him backward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS282 	01:20:37,00 --> 01:20:42,50 	pushing out a tired breath, someone paddles on.
SPARKLE_2012.srt 	SPARKLE_2012_DVS496 	01:20:05,00 --> 01:20:12,50 	someone pushes her out of the room.
SUPER_8.srt 	SUPER_8_DVS485 	01:23:35,00 --> 01:23:44,50 	someone and someone pushed someone up through the window and on the top of the bus.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS52 	00:06:35,00 --> 00:06:41,50 	a beefy man with a moustache pushes through the crowd as the young man pays for the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS98 	00:13:59,00 --> 00:14:06,50 	he pushes open the window and jumps into a large dark room filled with disused furniture.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS273 	00:40:03,00 --> 00:40:09,50 	someone pushes snowy in the lifeboat over the side of the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS636 	01:24:53,00 --> 01:24:59,50 	the thugs push someone and snowy into the canal.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS645 	01:26:30,00 --> 01:26:35,50 	someone pushes someone into a chair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS201 	00:38:36,00 --> 00:38:44,50 	she pushes her chair out and strides away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS298 	00:57:32,00 --> 00:57:38,50 	she pushes him back and frowns uncomfortably.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS511 	01:32:06,00 --> 01:32:12,50 	someone pushes people from the pool table.
THE_CALL.srt 	THE_CALL_DVS901 	01:09:36,00 --> 01:09:43,50 	now, someone slowly pushes the front door open and shines a flashlight inside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS129 	00:21:25,00 --> 00:21:29,50 	she pushes the plate away.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS634 	01:32:04,00 --> 01:32:09,50 	he pushes his chair back from the desk and rises.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS643 	01:32:36,00 --> 01:32:42,50 	as he pushes open the curtains on the front windows,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS699 	01:17:17,00 --> 01:17:24,50 	someone's gaze lingers on him as she returns to her bedroom and pushes the door most of the way shut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS887 	01:39:01,00 --> 01:39:07,50 	pushing him back onto the bed she straddles him.
THE_SITTER.srt 	THE_SITTER_DVS138 	01:11:14,00 --> 01:11:20,50 	as someone pushes visor back up, someone stirs.
THE_WATCH.srt 	THE_WATCH_DVS184 	00:33:06,00 --> 00:33:12,50 	he pushes faster and cranes his neck trying for a look at the creature.
THE_WATCH.srt 	THE_WATCH_DVS380 	01:07:29,00 --> 01:07:37,50 	she pushes his hand away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS384 	01:30:48,00 --> 01:30:52,50 	she pushes him away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS408 	01:35:55,00 --> 01:36:02,50 	meanwhile, someone pushes a plate of half-eaten food away and rests his head on his hand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS122 	00:14:00,00 --> 00:14:06,50 	the wingless case worker pushes him, then smirks.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS123 	00:14:07,00 --> 00:14:11,50 	someone pushes him back.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS169 	00:22:39,00 --> 00:22:45,50 	he pushes another lever and a squirming someone flies higher.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS673 	01:15:21,00 --> 01:15:27,50 	someone wearily pushes himself up onto all fours.
TRUE_GRIT.srt 	TRUE_GRIT_DVS225 	00:48:09,00 --> 00:48:14,50 	someone pushes the body onto its back with his boot.
TRUE_GRIT.srt 	TRUE_GRIT_DVS560 	01:39:10,00 --> 01:39:14,50 	she resists, pushing him away bitterly, and beating at his chest with balled fists.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS340 	00:39:06,00 --> 00:39:17,50 	someone descends in black stiletto heels and a flattering black cocktail dress that pushes up her cleavage.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS150 	00:25:46,00 --> 00:25:55,50 	now in a downpour, a burly bearded man in a raincoat pushes a wheelbarrow full of mulch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS310 	00:50:00,00 --> 00:50:06,50 	later, someone pushes a wheelbarrow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS678 	01:39:05,00 --> 01:39:13,50 	later, as someone pushes a measuring wheel over the footpath, a camel walks beside him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS762 	01:48:25,00 --> 01:48:37,50 	he frowns 	and pushes himself up a little.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS453 	01:03:06,00 --> 01:03:11,50 	he sinks a shot and she pushes him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS738 	01:37:39,00 --> 01:37:47,50 	she pushes a bass player out of the way and sings into a microphone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1137 	01:41:45,00 --> 01:41:52,50 	in the cockpit, beast pushes a lever, firing the jet's twin engines.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS411 	01:19:20,00 --> 01:19:25,50 	as he slips them off, someone pushes them down with one foot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS191 	00:18:56,00 --> 00:19:04,50 	later, they push it down the road.
ZOMBIELAND.srt 	ZOMBIELAND_DVS713 	01:18:06,00 --> 01:18:13,50 	he pushes out a breath as he eyes the clown.
ZOMBIELAND.srt 	ZOMBIELAND_DVS732 	01:19:17,00 --> 01:19:25,50 	he gently brushes someone's hair out of her face and pushes it back behind her ear.
ZOOKEEPER.srt 	ZOOKEEPER_DVS214 	00:47:54,00 --> 00:47:58,50 	with the music, someone pushes his door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS353 	01:19:07,00 --> 01:19:21,50 	pushing the ferrari's passenger seat forward, he indicates the trunk.
