500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS89 	00:13:11,00 --> 00:13:16,50 	he's drawing a city skyline in pencil.
HUGO.srt 	HUGO_DVS340 	00:51:43,00 --> 00:51:48,50 	then draws a series of short diagonal lines.
HUGO.srt 	HUGO_DVS350 	00:53:39,00 --> 00:53:46,50 	the automaton draws a five-pointed star then a series of curved lines.
HUGO.srt 	HUGO_DVS352 	00:53:49,00 --> 00:53:56,50 	it draws circles within circles and a series of overlapping checkmarks.
HUGO.srt 	HUGO_DVS799 	01:57:06,00 --> 01:57:12,50 	straightens then draws a sketch of shakespeare on a chalkboard.
IN_TIME.srt 	IN_TIME_DVS189 	00:20:07,00 --> 00:20:13,50 	behind her, a truck's headlights grow brighter as it draws closer.
IN_TIME.srt 	IN_TIME_DVS205 	00:21:28,00 --> 00:21:39,50 	as they draw closer, someone extends his hand.
IN_TIME.srt 	IN_TIME_DVS704 	01:15:26,00 --> 01:15:33,50 	boasting over four weeks, the man draws a gun.
IN_TIME.srt 	IN_TIME_DVS743 	01:18:41,00 --> 01:18:47,50 	behind them, someone draws his gun.
INSIDE_MAN.srt 	INSIDE_MAN_DVS271 	01:24:23,00 --> 01:24:28,50 	someone draws his gun.
IRON_MAN_2.srt 	IRON_MAN_2_DVS444 	01:22:10,00 --> 01:22:18,50 	someone draws a circle in the air with his finger.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS377 	01:46:11,00 --> 01:46:22,50 	someone shares a look with someone and draws them all into a hug.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS179 	01:03:29,00 --> 01:03:34,50 	someone draws a card and reads.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS180 	01:04:07,00 --> 01:04:11,50 	someone draws a card.
KARATE_KID.srt 	KARATE_KID_DVS106 	00:09:48,00 --> 00:09:53,50 	she draws him into a hug.
KARATE_KID.srt 	KARATE_KID_DVS506 	00:45:35,00 --> 00:45:51,50 	now, someone grips the boy's wrists in one hand, and draws back his fist to punch.
KARATE_KID.srt 	KARATE_KID_DVS1245 	01:41:39,00 --> 01:41:45,50 	someone locks eyes with him and draws him forward, tears shining on his cheeks.
KARATE_KID.srt 	KARATE_KID_DVS1477 	02:00:04,00 --> 02:00:11,50 	someone draws one fist back and extends a straightened hand forward.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS54 	00:18:25,00 --> 00:18:41,50 	the time travelers draw closer to the block etched with arrow-shaped hieroglyphics.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS186 	01:06:19,00 --> 01:06:26,50 	the crab draws closer.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS226 	00:51:22,00 --> 00:51:31,50 	someone draws a paper slip from the box.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS294 	01:10:27,00 --> 01:10:37,50 	each student draws one.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS296 	01:11:01,00 --> 01:11:05,50 	someone draws his.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS405 	00:47:38,00 --> 00:47:45,50 	as she draws near, we recognize her flotation device has bananas wrapped in netting.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS610 	01:06:39,00 --> 01:06:45,50 	as someone nears the boat, the tiger draws close to him,
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS114 	00:25:41,00 --> 00:25:50,50 	the unharmed tractor drawing rests on a shelf.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS142 	00:32:15,00 --> 00:32:41,50 	now curtains drawn over the children's bedroom window flutter.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS486 	01:38:55,00 --> 01:39:01,50 	the two cling to each other in a fast embrace, then draw someone, someone
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS180 	00:44:13,00 --> 00:44:19,50 	with two other boys someone draws on a sidewalk with chalk.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS255 	01:07:07,00 --> 01:07:12,50 	then dons his shield and draws his sword.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS265 	01:08:22,00 --> 01:08:32,50 	she draws another arrow, shoots again and pierces one of the hydra's eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS310 	00:30:27,00 --> 00:30:32,50 	someone draws himself up with an alert stare.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS230 	00:42:12,00 --> 00:42:34,50 	without breaking his stride, someone draws a gun in each hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS101 	00:25:51,00 --> 00:26:01,50 	they draw their bows and fire, killing a number of looters.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS319 	01:17:15,00 --> 01:17:25,50 	she crouches beside someone and draws the blanket up over his shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS389 	01:36:09,00 --> 01:36:17,50 	king someone draws his sword halfway from its sheath and offers its hilt to the baron.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS499 	02:05:27,00 --> 02:05:32,50 	someone draws back an arrow.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS212 	00:34:39,00 --> 00:34:46,50 	later, she peeks out of a video game booth and draws him in with her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS669 	01:37:03,00 --> 01:37:08,50 	someone draws a breath and nods softly.
SALT.srt 	SALT_DVS198 	00:33:46,00 --> 00:33:51,50 	now draws his gun and pursues someone on foot.
SALT.srt 	SALT_DVS294 	00:51:25,00 --> 00:51:45,50 	meanwhile, someone draws his gun.
SALT.srt 	SALT_DVS451 	01:17:50,00 --> 01:18:00,50 	as two agents draw closer, she charges.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS93 	00:18:55,00 --> 00:19:00,50 	someone draws their attention.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS177 	00:34:45,00 --> 00:34:51,50 	the dragon draws closer.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS401 	01:24:05,00 --> 01:24:10,50 	someone draws it to himself.
SOUL_SURFER.srt 	SOUL_SURFER_DVS144 	00:43:36,00 --> 00:43:41,50 	her husband draws her into a comforting embrace.
SPARKLE_2012.srt 	SPARKLE_2012_DVS289 	00:47:21,00 --> 00:47:29,50 	someone draws a deep breath.
SUPER_8.srt 	SUPER_8_DVS154 	00:24:30,00 --> 00:24:35,50 	the men with flashlights draw nearer.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS469 	01:08:35,00 --> 01:08:40,50 	sir someone draws his sword.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS34 	00:07:54,00 --> 00:08:05,50 	now seated at a white canvas in school he draws in pencil.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS83 	00:16:34,00 --> 00:16:43,50 	someone draws his gun and creeps into the hall.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS313 	00:57:11,00 --> 00:57:28,50 	drawing his gun, someone returns fire.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS466 	01:25:14,00 --> 01:25:18,50 	he draws a curtain.
THE_CALL.srt 	THE_CALL_DVS721 	00:54:56,00 --> 00:55:06,50 	someone and his fellow officer hop out with their side arms drawn, rushing past toys in the front lawn.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS564 	01:23:47,00 --> 01:23:53,50 	someone draws his dumbfounded mouth shut and nods.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1233 	02:09:34,00 --> 02:09:40,50 	a hovering view from the middle of the bridge draws back from the scene.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS155 	00:30:02,00 --> 00:30:07,50 	he wraps his arms around her and draws her near.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS229 	00:42:46,00 --> 00:42:53,50 	someone's poker buddies draw guns and fires as he flees.
THOR.srt 	THOR_DVS379 	00:56:51,00 --> 00:56:56,50 	someone draws back his bow.
THOR.srt 	THOR_DVS456 	01:14:16,00 --> 01:14:23,50 	someone smiles at someone as he draws lines dividing the cosmos into branching regions.
THOR.srt 	THOR_DVS612 	01:32:54,00 --> 01:33:00,50 	someone draws a nearby sword as the someones march in.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS878 	01:33:03,00 --> 01:33:10,50 	someone draws someone close and she blinks back proud tears.
TRUE_GRIT.srt 	TRUE_GRIT_DVS419 	01:22:01,00 --> 01:22:09,50 	he draws a revolver and stamps a boot against her cheek.
TRUE_GRIT.srt 	TRUE_GRIT_DVS454 	01:30:31,00 --> 01:30:38,50 	someone draws a rifle and someone two pistols, gripping the reigns between his teeth
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS533 	01:11:43,00 --> 01:11:54,50 	someone dances backward and someone draws her back in by both hands.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS540 	01:12:27,00 --> 01:12:34,50 	their faces draw close together.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS240 	00:39:48,00 --> 00:39:57,50 	now outside, someone draws a sneering creature with no eyes or nose.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS284 	00:44:56,00 --> 00:45:06,50 	now someone draws the curtains in someone's bedroom.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS419 	01:06:35,00 --> 01:06:39,50 	someone resumes drawing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS798 	01:53:08,00 --> 01:53:15,50 	as she draws back, her uncertain gaze flickers over his face.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS129 	00:14:39,00 --> 00:14:44,50 	someone draws a slip of paper and reads.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS130 	00:14:55,00 --> 00:14:59,50 	she draws a slip two inches.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS761 	01:41:37,00 --> 01:41:43,50 	we draw back through a window to the building's beige-brick facade.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS230 	00:17:37,00 --> 00:17:42,50 	then drawing thick heavy curtain
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS238 	00:18:07,00 --> 00:18:12,50 	she slips inside the alcove and draws the curtain.
ZOMBIELAND.srt 	ZOMBIELAND_DVS104 	00:08:45,00 --> 00:08:50,50 	as he draws a sawed off shotgun from his holster,
ZOMBIELAND.srt 	ZOMBIELAND_DVS117 	00:09:39,00 --> 00:09:44,50 	he draws a hunting knife, bumping a liquor bottle.
ZOMBIELAND.srt 	ZOMBIELAND_DVS525 	01:01:33,00 --> 01:01:39,50 	they sway stiffly then someone draws him a tiny bit closer.
ZOMBIELAND.srt 	ZOMBIELAND_DVS570 	01:06:28,00 --> 01:06:34,50 	the zombies draw closer.
ZOMBIELAND.srt 	ZOMBIELAND_DVS719 	01:18:22,00 --> 01:18:28,50 	up on the tower, a zombie draws dangerously close to someone and little someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS729 	01:19:08,00 --> 01:19:12,50 	she draws back.
