21_JUMP_STREET.srt 	21_JUMP_STREET_DVS136 	00:22:22,00 --> 00:22:29,50 	as someone drives at him, someone slams up on the hood, then slides to the pavement.
BURLESQUE.srt 	BURLESQUE_DVS141 	00:19:36,00 --> 00:19:44,50 	he slides her a tray of drinks.
BURLESQUE.srt 	BURLESQUE_DVS729 	01:49:59,00 --> 01:50:06,50 	they part and someone slides her hands back down his chest as he presses his lips to her
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS52 	00:07:09,00 --> 00:07:14,50 	the nazi officer slides it out.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS108 	00:18:08,00 --> 00:18:18,50 	the nazi officer slides a clear canister into the box, then transfers the light source into a large machine, and locks it into place.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS203 	00:37:01,00 --> 00:37:09,50 	the pod slides open and reveals someone, now several inches taller and extremely muscular.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS460 	01:22:39,00 --> 01:22:44,50 	someone slides down the cable toward the tracks.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS461 	01:22:43,00 --> 01:22:52,50 	someone and someone grab handles and slide down the cable.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS532 	01:35:12,00 --> 01:35:27,50 	sliding in on the cables, falsworth, dugan, and someone burst through window and fire weapons while someone flees down a long corridor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS565 	01:38:27,00 --> 01:38:41,50 	as he slides a lever forward, the plane accelerates toward the hangar exit.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS437 	00:41:43,00 --> 00:41:47,50 	the bike slides out from under him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS530 	00:51:27,00 --> 00:51:33,50 	someone rides his bike into someone's driveway and slides to a stop.
CHRONICLE.srt 	CHRONICLE_DVS41 	00:04:51,00 --> 00:04:56,50 	the camera slides across the floor and tips on its side.
CHRONICLE.srt 	CHRONICLE_DVS86 	00:11:55,00 --> 00:12:00,50 	someone jumps on the hole and slides out of view.
CHRONICLE.srt 	CHRONICLE_DVS89 	00:12:09,00 --> 00:12:13,50 	the young man slides out of view.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS464 	01:48:22,00 --> 01:48:31,50 	someone slides down his suspenders.
COLOMBIANA.srt 	COLOMBIANA_DVS401 	00:35:46,00 --> 00:35:53,50 	in the duct, someone slides her chest between the blades then squeezes her arms down her to side.
COLOMBIANA.srt 	COLOMBIANA_DVS425 	00:37:20,00 --> 00:37:25,50 	someone slides the door open and saunters in.
COLOMBIANA.srt 	COLOMBIANA_DVS629 	00:59:22,00 --> 00:59:27,50 	gripping its edge, she slides it away.
COLOMBIANA.srt 	COLOMBIANA_DVS939 	01:30:47,00 --> 01:30:54,50 	someone arrives in pepe's garage and slides a pair of chain link doors open.
COLOMBIANA.srt 	COLOMBIANA_DVS1094 	01:43:26,00 --> 01:43:33,50 	meanwhile, someone brushes a tear from her eye then slides on a pair of sunglasses.
DEAR_JOHN.srt 	DEAR_JOHN_DVS201 	00:31:49,00 --> 00:31:58,50 	sets it at a precise angle in a wooden case, and slides a glass door close in front of it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS239 	00:37:25,00 --> 00:37:50,50 	a bin of bundled letters slides down a track, and a postal worker sorts the letters into cubbies.
DEAR_JOHN.srt 	DEAR_JOHN_DVS384 	01:00:11,00 --> 01:00:16,50 	a tear slides out.
DEAR_JOHN.srt 	DEAR_JOHN_DVS562 	01:18:39,00 --> 01:18:46,50 	as doctors and nurses stride past, he slides the letter out of the envelope.
DEAR_JOHN.srt 	DEAR_JOHN_DVS570 	01:21:06,00 --> 01:21:14,50 	as it slides off, someone catches it, and lovingly touches his chin to his father's frail fingers.
DEAR_JOHN.srt 	DEAR_JOHN_DVS573 	01:21:25,00 --> 01:21:31,50 	sliding his father's hand to cup the back of his neck.
DEAR_JOHN.srt 	DEAR_JOHN_DVS705 	01:35:21,00 --> 01:35:26,50 	someone slides out the letter inside.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS193 	00:46:51,00 --> 00:46:55,50 	she slides over the table.
FLIGHT.srt 	FLIGHT_DVS81 	00:15:50,00 --> 00:15:56,50 	then pushes out a small drop that slides down the needle.
FLIGHT.srt 	FLIGHT_DVS111 	00:22:08,00 --> 00:22:13,50 	she slides the side stick forward.
FLIGHT.srt 	FLIGHT_DVS233 	00:49:50,00 --> 00:49:55,50 	he slides the doors of the shed open,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS248 	01:07:41,00 --> 01:07:50,50 	someone's hand slides down his chest.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS28 	00:04:27,00 --> 00:04:40,50 	as the suv slides across the road, our view meets its roof.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS345 	00:51:49,00 --> 00:51:55,50 	he slides the wrapper out.
GROWN_UPS.srt 	GROWN_UPS_DVS70 	00:20:18,00 --> 00:20:24,50 	seated next to her, someone stares and slides away.
HUGO.srt 	HUGO_DVS22 	00:02:51,00 --> 00:02:58,50 	he jogs up a corridor then kicks open a coal door and slides down a spiraling chute.
HUGO.srt 	HUGO_DVS65 	00:08:35,00 --> 00:08:42,50 	up ahead, the boy dashes through the crowd then slides under a newspaper vendor's legs.
HUGO.srt 	HUGO_DVS73 	00:09:33,00 --> 00:09:51,50 	he slides into a suitcase, which strikes him in the crotch.
HUGO.srt 	HUGO_DVS76 	00:10:04,00 --> 00:10:10,50 	he slides a latch then shoves open the heavy door.
HUGO.srt 	HUGO_DVS466 	01:07:54,00 --> 01:08:05,50 	someone slides one of the flowers beneath a silver button of the inspector's jacket.
HUGO.srt 	HUGO_DVS511 	01:15:10,00 --> 01:15:18,50 	a man slides a fake sword into his belt.
HUGO.srt 	HUGO_DVS665 	01:36:14,00 --> 01:36:20,50 	someone slides up to the projectionist and studies his contraption.
HUGO.srt 	HUGO_DVS673 	01:37:48,00 --> 01:37:54,50 	they retreat as a large dragon puppet slides onto the set.
HUGO.srt 	HUGO_DVS721 	01:46:43,00 --> 01:46:51,50 	the inspector hurries back into his office and slides down a fireman's pole.
HUGO.srt 	HUGO_DVS742 	01:49:00,00 --> 01:49:07,50 	tufts of snow fall as someone slides his fingers along the top of the minute hand.
IN_TIME.srt 	IN_TIME_DVS180 	00:19:33,00 --> 00:19:38,50 	sliding her sleeve up, she checks the balance on her clock.
IN_TIME.srt 	IN_TIME_DVS222 	00:23:37,00 --> 00:23:46,50 	someone glances around, then slides up the sleeve of his charcoal suit jacket and the black dress shirt underneath, displaying the balance on his clock.
IN_TIME.srt 	IN_TIME_DVS305 	00:31:35,00 --> 00:31:42,50 	someone slides his wrist under a scanner, his eyes fixed on someone.
IN_TIME.srt 	IN_TIME_DVS546 	00:58:46,00 --> 00:58:51,50 	she slides the glove over her clock.
IN_TIME.srt 	IN_TIME_DVS587 	01:02:45,00 --> 01:02:51,50 	he slides his arm around her waist and she clutches the front of his shirt.
INSIDE_MAN.srt 	INSIDE_MAN_DVS106 	00:32:36,00 --> 00:32:46,50 	an accomplice enters as he slides away an empty shelving
INSIDE_MAN.srt 	INSIDE_MAN_DVS202 	00:57:54,00 --> 00:58:11,50 	someone slides out a covered metal drawer painted maroon.
INSIDE_MAN.srt 	INSIDE_MAN_DVS411 	01:55:58,00 --> 01:56:13,50 	he bags the note with the other items, then shuts the maroon drawer and slides it back into box 392.
IRON_MAN_2.srt 	IRON_MAN_2_DVS173 	00:32:22,00 --> 00:32:39,50 	the car flips into the air, lands upright, and slides into the red car, then flips over and crashes into the fence.
IRON_MAN_2.srt 	IRON_MAN_2_DVS692 	01:54:18,00 --> 01:54:24,50 	he slides one of two folders atop the desk toward himself and studies the cover.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS309 	01:29:47,00 --> 01:29:52,50 	he tenderly slides up her sleeve.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS580 	01:54:25,00 --> 01:54:31,50 	someone slides the blade down the back of a raw duck on a cutting board.
KARATE_KID.srt 	KARATE_KID_DVS1314 	01:46:02,00 --> 01:46:28,50 	someone slides backward.
KARATE_KID.srt 	KARATE_KID_DVS1565 	02:06:47,00 --> 02:07:08,50 	he slides across the mat to his opponent, subduing him with two fierce blows.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS345 	01:19:40,00 --> 01:19:46,50 	she slides her feet into them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS345 	00:42:05,00 --> 00:42:14,50 	he slides a long handles oar out from beneath the canvas cover and extends it over the water toward the life preserver.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS765 	01:18:55,00 --> 01:19:02,50 	he guides the cat's face to the bench and slides the food off the spear.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS934 	01:32:59,00 --> 01:33:06,50 	he places the yellow contain aside and slides closer to the tiger.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS132 	00:49:38,00 --> 00:49:47,50 	as he slides off his coat, a lamp shines its light on him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS236 	01:21:48,00 --> 01:21:53,50 	someone slides off his jacket.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS133 	00:20:43,00 --> 00:20:48,50 	his limp hand slides off the couch's edge.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS146 	00:21:38,00 --> 00:21:43,50 	the penguin slides away on its belly.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS339 	00:43:31,00 --> 00:43:46,50 	the penguins dive on their bellies, using the wet floor to slide down the long, sloping, continuous spiral.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS591 	01:10:18,00 --> 01:10:26,50 	furrowing his brow, he slides the envelope out and stares at the handwritten name on its front.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS462 	01:35:05,00 --> 01:35:09,50 	someone slides down the tin chute.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS49 	00:11:24,00 --> 00:11:29,50 	someone slides the phone into a dock.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS271 	01:04:21,00 --> 01:04:31,50 	hitting the puddle, someone hawk slides out of control and flies toward someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS63 	00:17:23,00 --> 00:17:29,50 	a car swerves and rolls onto its roof, then slides to a spinning top.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS190 	00:46:25,00 --> 00:46:32,50 	as his friends edge away, someone slides his arm through its straps and grasps its handle.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS424 	01:40:42,00 --> 01:40:55,50 	across the room two shelving units part to reveal double doors, which slide open, displaying the interior of an elevator.
PROMETHEUS.srt 	PROMETHEUS_DVS440 	00:46:01,00 --> 00:46:07,50 	as the head slides from the chamber, someone arrives.
PROMETHEUS.srt 	PROMETHEUS_DVS949 	01:45:18,00 --> 01:45:26,50 	the lifeboat lands on the barren terrains, smashing a rocky pillar before it slides to a stop.
PROMETHEUS.srt 	PROMETHEUS_DVS954 	01:45:39,00 --> 01:45:44,50 	touching ground, it slides to a stop.
PROMETHEUS.srt 	PROMETHEUS_DVS1011 	01:50:22,00 --> 01:50:30,50 	the tentacle rubs persistently against the window then slides down the glass.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS164 	00:40:16,00 --> 00:40:21,50 	he slides the ring back on his finger.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS78 	00:13:00,00 --> 00:13:05,50 	someone slides the typewriter's carriage repeatedly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS81 	00:13:08,00 --> 00:13:14,50 	he types out another line, slides the carriage.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS398 	01:03:36,00 --> 01:03:42,50 	someone slides the carriage to its starting position.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS404 	01:03:56,00 --> 01:04:03,50 	the writer slides the carriage to the return position and writes another line.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS521 	01:21:14,00 --> 01:21:18,50 	he slides the carriage.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS524 	01:21:30,00 --> 01:21:35,50 	he finishes a line and slides the carriage.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS560 	01:25:23,00 --> 01:25:27,50 	he slides the carriage.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS603 	01:28:59,00 --> 01:29:04,50 	someone slides the carriage and starts a new line.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS606 	01:29:13,00 --> 01:29:18,50 	the carriage slides to another new line.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	the central pieces slide together and form a title as the picture around them fades to black.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	she slides off her panties and uses them to cover its lens.
SALT.srt 	SALT_DVS131 	00:24:22,00 --> 00:24:26,50 	as the doors slide open
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	she scurries to her apartment door where she slides a hidden key from the frame.
SALT.srt 	SALT_DVS434 	01:15:01,00 --> 01:15:12,50 	squeezing between them, she slides down like an elevator on its tracks.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS368 	00:24:37,00 --> 00:24:43,50 	someone helps her slide the fan down her own sleeve.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS490 	00:31:59,00 --> 00:32:04,50 	someone slides the folded fan out from her sleeve.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS760 	00:50:14,00 --> 00:50:19,50 	the automatic doors slide shut behind someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1354 	01:32:48,00 --> 01:32:52,50 	a tear slides down her cheek.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS377 	01:20:05,00 --> 01:20:19,50 	he slides someone's ring onto his cane and touches the jewel knob to the someone.
SOUL_SURFER.srt 	SOUL_SURFER_DVS91 	00:29:04,00 --> 00:29:08,50 	someone slides her right hand.
SUPER_8.srt 	SUPER_8_DVS216 	00:37:02,00 --> 00:37:11,50 	he draws his weapon as the dumpster slides across the parking lot.
SUPER_8.srt 	SUPER_8_DVS453 	01:20:20,00 --> 01:20:24,50 	the bus slides to a stop.
SUPER_8.srt 	SUPER_8_DVS606 	01:38:51,00 --> 01:38:58,50 	sliding along the street as if ice skating, another soldier clings to his rifle as it flies toward the tower.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS71 	00:09:55,00 --> 00:10:01,50 	a thin metal tube slides out of the model ship's broken center mast.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS377 	00:56:03,00 --> 00:56:09,50 	sliding someone even closer to the whirring propeller.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS410 	01:00:03,00 --> 01:00:10,50 	pirates slide down on ropes and fight the unicorn's crew with swords.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS421 	01:00:55,00 --> 01:01:00,50 	sir someone slides down a line toward the burning deck.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS179 	00:36:04,00 --> 00:36:19,50 	she slides his coat off then steadies him as he staggers to the bed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS182 	00:36:26,00 --> 00:36:32,50 	with her back to him, someone slides out a dresser drawer.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS268 	00:51:48,00 --> 00:51:54,50 	someone slides out of her chair.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS222 	00:44:20,00 --> 00:44:27,50 	sliding the handcuff along the top rail of the headboard.
THE_CALL.srt 	THE_CALL_DVS521 	00:40:19,00 --> 00:40:24,50 	a tear slides down someone's cheek.
THE_CALL.srt 	THE_CALL_DVS660 	00:51:39,00 --> 00:51:48,50 	sliding the phone into her pocket, someone peels back a velcro flap.
THE_CALL.srt 	THE_CALL_DVS845 	01:04:17,00 --> 01:04:24,50 	now, the killer slides a cassette tape into an old boom box.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS599 	01:28:06,00 --> 01:28:12,50 	someone gently slides her hands down her sister's ponytail.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS299 	00:34:21,00 --> 00:34:26,50 	he slides it back to his visitor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS650 	01:10:58,00 --> 01:11:05,50 	a door slides shut and she mouths i love you through its window.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS711 	01:19:19,00 --> 01:19:23,50 	he slides a plate toward her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS817 	01:33:35,00 --> 01:33:39,50 	the door slides shut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS885 	01:38:43,00 --> 01:38:50,50 	standing in front of him she slides down her panties.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS889 	01:39:11,00 --> 01:39:18,50 	she straightens to a kneeling position and slides his briefs off his waist.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS923 	01:42:46,00 --> 01:42:53,50 	she slides the printed photos across a table to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1028 	01:50:38,00 --> 01:50:42,50 	he tries another door and it slides open.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1409 	02:31:26,00 --> 02:31:34,50 	now, at her apartment she intently writes a message inside a card then slides it into an envelope.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	an envelope slides under the bottom of his door.
THE_WATCH.srt 	THE_WATCH_DVS25 	00:04:25,00 --> 00:04:30,50 	crossing the store, he slides to a stop.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS374 	01:29:18,00 --> 01:29:23,50 	returning it, she slides the drawer open farther.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS21 	00:03:02,00 --> 00:03:08,50 	he slides on his knees into a guard, knocking him over.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS33 	00:04:16,00 --> 00:04:23,50 	the surviving heinrich brother lands safely and slides his parachute off his back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS70 	00:12:07,00 --> 00:12:14,50 	sliding off his jacket, he smirks.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS368 	01:08:21,00 --> 01:08:26,50 	the elevator doors slide shut.
THOR.srt 	THOR_DVS196 	00:25:39,00 --> 00:25:47,50 	someone lands in front of the dead creature as it slides over the edge of the cliff and disappears.
THOR.srt 	THOR_DVS232 	00:31:18,00 --> 00:31:23,50 	they slide someone into the back of the truck.
THOR.srt 	THOR_DVS254 	00:34:36,00 --> 00:34:42,50 	he twists his left wrist, sliding it through the restraint.
THOR.srt 	THOR_DVS536 	01:25:56,00 --> 01:26:03,50 	the destroyer's visor slides down and its head glows with energy.
THOR.srt 	THOR_DVS598 	01:31:43,00 --> 01:31:50,50 	in the observatory, someone slides his sword into the bifrost control mechanism.
THOR.srt 	THOR_DVS623 	01:34:42,00 --> 01:34:50,50 	someone rides on horseback to the observatory and slides someone's sword into the bifrost control mechanism.
THOR.srt 	THOR_DVS674 	01:40:37,00 --> 01:40:42,50 	someone's hand slides down the shaft of his spear.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS672 	01:15:12,00 --> 01:15:19,50 	someone slides into the rink wall under the opposing team's box.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS745 	01:21:46,00 --> 01:21:52,50 	then slides a rolled up someone under the pillow.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS552 	01:13:50,00 --> 01:13:55,50 	the doors start to slide shut.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS412 	01:04:56,00 --> 01:05:01,50 	he slides a letter from an envelope.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS62 	00:04:57,00 --> 00:05:02,50 	he slides the candy bar forward on his desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS66 	00:05:09,00 --> 00:05:16,50 	the man sternly slides the chocolate back toward himself, then licks his finger.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1110 	01:40:10,00 --> 01:40:17,50 	someone flips three switches, then grips a lever and slides it upward.
ZOMBIELAND.srt 	ZOMBIELAND_DVS88 	00:07:01,00 --> 00:07:07,50 	he slides down onto his butt with a small someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS211 	00:22:50,00 --> 00:22:54,50 	he slides on his knees.
ZOMBIELAND.srt 	ZOMBIELAND_DVS381 	00:43:35,00 --> 00:43:41,50 	someone slides a mug off of a display.
ZOOKEEPER.srt 	ZOOKEEPER_DVS145 	00:32:19,00 --> 00:32:24,50 	he exits and slides the metal door shut.
ZOOKEEPER.srt 	ZOOKEEPER_DVS333 	01:14:22,00 --> 01:14:27,50 	then finally slides his body.
