30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS230 	00:54:44,00 --> 00:54:51,50 	now the mustang speeds over railroad tracks back at taco boy.
COLOMBIANA.srt 	COLOMBIANA_DVS69 	00:04:59,00 --> 00:05:03,50 	the car speeds off.
COLOMBIANA.srt 	COLOMBIANA_DVS968 	01:33:14,00 --> 01:33:24,50 	as it speeds toward the garage's exit, the armored truck backs through a wall beside it and smashes into the vehicle's nose.
COLOMBIANA.srt 	COLOMBIANA_DVS1063 	01:39:34,00 --> 01:39:39,50 	he speeds out a door and onto a narrow road.
FLIGHT.srt 	FLIGHT_DVS770 	01:37:06,00 --> 01:37:12,50 	someone speeds down the mud road, splashing slush to the side.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS195 	00:30:51,00 --> 00:31:02,50 	now the flatbed truck speeds down a dark stretch of road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS232 	00:37:38,00 --> 00:37:45,50 	as ghost rider speeds down into the quarry, the missile dives at him and explodes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS329 	00:50:04,00 --> 00:50:08,50 	grinning, he speeds ahead of the truck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS559 	01:19:55,00 --> 01:20:02,50 	the rider speeds off, his chopper trailing thick plumes of black smoke.
IN_TIME.srt 	IN_TIME_DVS90 	00:10:00,00 --> 00:10:05,50 	the car speeds into view.
IN_TIME.srt 	IN_TIME_DVS340 	00:35:10,00 --> 00:35:18,50 	the roadster speeds along a winding road built into a cliff face as ocean waves crash below.
IN_TIME.srt 	IN_TIME_DVS439 	00:47:10,00 --> 00:47:21,50 	now in a deserted area, two timekeeper cars speed across another overpass.
IN_TIME.srt 	IN_TIME_DVS444 	00:47:59,00 --> 00:48:07,50 	now, in bright sunlight, the roadster speeds along a multilevel network of roads by the river basin.
IN_TIME.srt 	IN_TIME_DVS458 	00:49:26,00 --> 00:49:33,50 	the gangster's car speeds off down the depleted river basin.
IN_TIME.srt 	IN_TIME_DVS895 	01:34:56,00 --> 01:35:02,50 	someone stares with determined eyes as he speeds toward the barricade.
IN_TIME.srt 	IN_TIME_DVS903 	01:35:36,00 --> 01:35:41,50 	the limo speeds down a street in the ghetto.
IN_TIME.srt 	IN_TIME_DVS906 	01:35:54,00 --> 01:36:03,50 	as they speed through an intersection one block from the mission, someone's cruiser emerges from the cross street and smashes into them.
IN_TIME.srt 	IN_TIME_DVS924 	01:37:33,00 --> 01:37:39,50 	meanwhile, the cruiser speeds down a nearby road.
IRON_MAN_2.srt 	IRON_MAN_2_DVS161 	00:30:18,00 --> 00:30:28,50 	as two rows of racecars speed off, smoke rises from their wheels.
IRON_MAN_2.srt 	IRON_MAN_2_DVS169 	00:32:00,00 --> 00:32:10,50 	someone jumps into the driver's seat and speeds off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS176 	00:32:58,00 --> 00:33:08,50 	two other racecars speed around the curve and crash by someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS599 	01:43:23,00 --> 01:43:42,50 	at the expo, someone and the drones chase someone as he speeds over a long line of reflecting pools.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	the two vehicles speed off.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS371 	01:18:48,00 --> 01:19:01,50 	now someone's motorcycle speeds down the road.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS316 	01:19:18,00 --> 01:19:35,50 	the sports car plows through a pair of glass doors and speeds out of the brightly lit drop-off area.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS318 	01:20:17,00 --> 01:20:25,50 	the maserati weaves around the other cars as it speeds down the strip.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS400 	01:17:30,00 --> 01:17:55,50 	now, the car speeds down an empty road lined with tall evergreens that just into the pale blue sky.
SALT.srt 	SALT_DVS221 	00:37:37,00 --> 00:37:42,50 	someone speeds off between the lanes of traffic.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS356 	01:14:29,00 --> 01:14:37,50 	the smoke clears a bit as the vehicles emerge from the tunnel and speed down the city streets.
SUPER_8.srt 	SUPER_8_DVS445 	01:19:21,00 --> 01:19:28,50 	on the speeding bus, a soldier speaks into a handset.
SUPER_8.srt 	SUPER_8_DVS499 	01:25:05,00 --> 01:25:09,50 	a car speeds toward the bus.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS286 	00:41:12,00 --> 00:41:17,50 	the ship speeds toward the bobbing wooden lifeboat.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS599 	01:21:32,00 --> 01:21:43,50 	someone speeds around a curve.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS715 	01:35:18,00 --> 01:35:24,50 	he speeds through a wooded property and emerges in front of the someone estate house.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS280 	00:52:21,00 --> 00:52:40,50 	several other vehicles speed past them.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS351 	01:05:11,00 --> 01:05:17,50 	cresting the rise, the cart speeds toward a pond.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS446 	01:22:45,00 --> 01:22:52,50 	the convertible speeds away.
THE_CALL.srt 	THE_CALL_DVS407 	00:31:50,00 --> 00:32:08,50 	from overhead, the maroon sedan speeds along the freeway.
THE_CALL.srt 	THE_CALL_DVS560 	00:42:49,00 --> 00:42:58,50 	now, two squad cars speed toward the abandoned sedan and screech to a halt.
THE_CALL.srt 	THE_CALL_DVS610 	00:46:56,00 --> 00:47:03,50 	the kidnapper speeds down the adjacent two-lane surface street.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS288 	00:44:44,00 --> 00:44:52,50 	now, clouds drift fast across the sky as dawn breaks at a sped up pace.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS664 	01:12:53,00 --> 01:12:57,50 	someone speeds off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1423 	02:32:44,00 --> 02:32:53,50 	she speeds off down the cobblestone street, her figure disappearing from view as she rounds a corner.
THE_WATCH.srt 	THE_WATCH_DVS182 	00:32:58,00 --> 00:33:05,50 	as he speeds down an empty road, a huge shadow lunges over the street behind him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS133 	00:36:56,00 --> 00:37:02,50 	he speeds off.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS686 	01:34:26,00 --> 01:34:32,50 	later, the hatchback speeds over to a crowd gathered outside a building.
ZOMBIELAND.srt 	ZOMBIELAND_DVS24 	00:02:44,00 --> 00:02:50,50 	little girl zombies cling to her car as she speeds across an empty lot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS74 	00:06:14,00 --> 00:06:19,50 	fastening his seat belt, he speeds off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS277 	00:30:22,00 --> 00:30:27,50 	the roof collapses as the hummer speeds off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS341 	00:39:17,00 --> 00:39:22,50 	the hummer speeds past a desolate farm.
ZOMBIELAND.srt 	ZOMBIELAND_DVS539 	01:03:14,00 --> 01:03:20,50 	as the yellow hummer speeds off, someone and someone look on.
ZOMBIELAND.srt 	ZOMBIELAND_DVS623 	01:11:14,00 --> 01:11:20,50 	as they speed into the park, a crowd of zombies staggers toward them.
