40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS76 	00:40:29,00 --> 00:40:39,50 	he closes his mouth and stuffs his hands in his pockets.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS198 	00:47:27,00 --> 00:47:38,50 	he backs into a door and slides down to the floor, limp, his eyes closed.
FLIGHT.srt 	FLIGHT_DVS70 	00:14:19,00 --> 00:14:24,50 	she kicks the door closed.
FLIGHT.srt 	FLIGHT_DVS171 	00:38:16,00 --> 00:38:20,50 	someone closes his eyes.
FLIGHT.srt 	FLIGHT_DVS603 	01:23:29,00 --> 01:23:33,50 	he closes the door.
FLIGHT.srt 	FLIGHT_DVS1179 	02:06:04,00 --> 02:06:08,50 	someone closes her file, and slowly walks to her seat.
FLIGHT.srt 	FLIGHT_DVS1228 	02:09:42,00 --> 02:09:48,50 	someone closes a bound book, and tosses his glasses on it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS177 	00:28:45,00 --> 00:29:12,50 	inside, someone hangs upside down, his eyes half closed in a placid gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS535 	01:16:04,00 --> 01:16:12,50 	darkness closes in around the priest as someone's grasp decomposes him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS29 	00:07:29,00 --> 00:07:34,50 	another soldier uses a mirror on the top of a closed thick metal door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS269 	01:02:43,00 --> 01:02:48,50 	someone closes the door behind them.
GREEN_ZONE.srt 	GREEN_ZONE_DVS448 	01:38:03,00 --> 01:38:15,50 	the battle scarred local presses his lips closed.
GROWN_UPS.srt 	GROWN_UPS_DVS136 	00:42:07,00 --> 00:42:16,50 	someone closes the urn and bows his head.
IN_TIME.srt 	IN_TIME_DVS197 	00:20:53,00 --> 00:20:57,50 	he hurries inside and closes the door.
IN_TIME.srt 	IN_TIME_DVS879 	01:33:14,00 --> 01:33:20,50 	as the doors slide shut, closing someone inside,
IN_TIME.srt 	IN_TIME_DVS896 	01:35:00,00 --> 01:35:07,50 	someone glances over her shoulder at someone's cruiser, which closes in.
INSIDE_MAN.srt 	INSIDE_MAN_DVS63 	00:17:17,00 --> 00:17:24,50 	another closes her eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS153 	00:46:19,00 --> 00:46:26,50 	someone backs up into the bank and closes the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS253 	01:18:21,00 --> 01:18:31,50 	in manhattan trust, someone exits the supply room, then closes the door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS48 	00:06:31,00 --> 00:06:38,50 	the robotic arms descend into the floor which closes up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS211 	00:40:08,00 --> 00:40:16,50 	the officer closes the door.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS62 	00:06:58,00 --> 00:07:02,50 	someone closes her eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS346 	01:06:20,00 --> 01:06:25,50 	someone beams and closes her eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS487 	01:33:53,00 --> 01:34:07,50 	inside a market, she closes her eyes as she smells a bunch of fresh basil.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS42 	00:11:04,00 --> 00:11:12,50 	as the pair steps outside, adon struggles to close his lips around his straw.
KARATE_KID.srt 	KARATE_KID_DVS37 	00:03:23,00 --> 00:03:32,50 	his mother watches as he struggles to close it.
KARATE_KID.srt 	KARATE_KID_DVS1365 	01:50:17,00 --> 01:50:22,50 	someone beams as her father closes the door.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS259 	01:01:40,00 --> 01:01:44,50 	bradford closes a laptop.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS361 	01:25:04,00 --> 01:25:10,50 	with her eyes closed, someone mouths the words, thank you, god.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS123 	00:28:37,00 --> 00:28:46,50 	escaping to a balcony, someone closes the sliding door and sits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS150 	00:32:50,00 --> 00:32:57,50 	someone closes his cell and places it in the professor's hand.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS209 	00:27:47,00 --> 00:27:52,50 	someone closes his lips and glances at someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS763 	01:18:47,00 --> 01:18:55,50 	closing his mouth, someone someone wiggles his nose and lip at the dangling morsel.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS966 	01:35:32,00 --> 01:35:37,50 	he closes his eyes and eats.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS52 	00:20:04,00 --> 00:20:08,50 	someone closes her mouth.
MORNING_GLORY.srt 	MORNING_GLORY_DVS83 	00:14:53,00 --> 00:14:59,50 	she carries the last things into the removal truck and closes the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS132 	00:20:40,00 --> 00:20:45,50 	someone sleeps with the closed computer still on his lap.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS419 	00:48:38,00 --> 00:48:44,50 	at the dinner table someone closes his eyes.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS520 	01:02:13,00 --> 01:02:19,50 	as the elevator closes with his family inside,
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS251 	00:52:13,00 --> 00:52:33,50 	it bears an ankle strap at the back and a pale pink bow and rhinestone buckle on the closed toe.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS318 	01:10:23,00 --> 01:10:30,50 	lord someone closes the distance between them and glares at someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS551 	01:41:38,00 --> 01:41:43,50 	and the door starts to close.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS556 	01:41:56,00 --> 01:42:00,50 	the door closes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS153 	00:35:01,00 --> 00:35:08,50 	water glistens on someone's cheek as the gash on his face closes up.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS337 	01:23:25,00 --> 01:23:31,50 	and the man closes his bony fingers around them.
PROMETHEUS.srt 	PROMETHEUS_DVS307 	00:30:07,00 --> 00:30:13,50 	now, holloway's view closes in on a cave opening.
PROMETHEUS.srt 	PROMETHEUS_DVS446 	00:46:59,00 --> 00:47:03,50 	it's eyes closed peacefully.
PROMETHEUS.srt 	PROMETHEUS_DVS705 	01:14:48,00 --> 01:14:57,50 	he rests motionlessly with his eyes closed and a breathing mask covering his nose and mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS924 	01:41:38,00 --> 01:41:47,50 	a helmet closes over him.
PROMETHEUS.srt 	PROMETHEUS_DVS1059 	01:56:05,00 --> 01:56:11,50 	someone zips the bag closed over his earnest gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS596 	01:28:33,00 --> 01:28:39,50 	the young man closes his eyes momentarily.
SALT.srt 	SALT_DVS550 	01:34:47,00 --> 01:35:09,50 	as someone's hand closes into a fist, she lunges for the emergency release.
SANCTUM.srt 	SANCTUM_DVS287 	00:57:34,00 --> 00:57:43,50 	as someone whispers to himself eyes closed, someone sits by him.
SANCTUM.srt 	SANCTUM_DVS313 	01:03:15,00 --> 01:03:21,50 	he closes his eyes and nods.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS278 	00:18:54,00 --> 00:18:59,50 	the matchmaker closes the fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS291 	00:19:43,00 --> 00:19:49,50 	then rests her cheek against them and closes her eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS390 	00:25:51,00 --> 00:25:56,50 	closed together tightly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS525 	00:34:04,00 --> 00:34:08,50 	now, a door closes someone into a room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS554 	00:37:04,00 --> 00:37:09,50 	she dreamily closes her eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS844 	00:55:52,00 --> 00:55:57,50 	she clings to him tightly, her eyes closed and her lips parted.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS978 	01:03:45,00 --> 01:03:53,50 	someone closes her eyes and brushes her cheek against her laotong's smooth skin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1044 	01:08:20,00 --> 01:08:28,50 	someone flips her long hair and sidles closer to her laotong, her eyes closed in sensual pout.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1337 	01:31:51,00 --> 01:31:56,50 	she blinks her sad eyes and closes the fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1458 	01:38:42,00 --> 01:38:48,50 	someone's remain closed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1469 	01:39:14,00 --> 01:39:18,50 	then closes her fingers around it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1476 	01:39:30,00 --> 01:39:35,50 	her eyes still closed, squeezes her sister's hands.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS153 	00:30:23,00 --> 00:30:27,50 	someone closes his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS181 	00:35:35,00 --> 00:35:40,50 	he closes his eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS204 	01:06:46,00 --> 01:06:57,50 	as she closes the door, her brothers pile into the backseat with her.
SOUL_SURFER.srt 	SOUL_SURFER_DVS214 	01:09:06,00 --> 01:09:11,50 	someone closes his eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS322 	01:35:20,00 --> 01:35:31,50 	she keeps just ahead of the barrel as it closes behind her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS40 	00:07:10,00 --> 00:07:16,50 	someone carefully closes the door and hurries after them.
SPARKLE_2012.srt 	SPARKLE_2012_DVS75 	00:13:03,00 --> 00:13:09,50 	someone dances and the others close their bibles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS323 	00:53:06,00 --> 00:53:13,50 	with her eyes closed, someone rests her cheek against his brown leather jacket.
SPARKLE_2012.srt 	SPARKLE_2012_DVS593 	01:37:34,00 --> 01:37:39,50 	as she plays on with her eyes closed.
SUPER_8.srt 	SUPER_8_DVS52 	00:07:39,00 --> 00:07:42,50 	someone stands and closes the bathroom door.
SUPER_8.srt 	SUPER_8_DVS85 	00:13:16,00 --> 00:13:22,50 	smiling, someone closes her eyes as someone applies more makeup.
SUPER_8.srt 	SUPER_8_DVS427 	01:17:26,00 --> 01:17:34,50 	outside in his car, someone smokes a joint and listens to the radio with his eyes closed as military vehicles drive past.
SUPER_8.srt 	SUPER_8_DVS435 	01:18:14,00 --> 01:18:19,50 	the driver closes the bus door.
SUPER_8.srt 	SUPER_8_DVS570 	01:34:42,00 --> 01:34:47,50 	someone stares straight ahead then closes his eyes.
SUPER_8.srt 	SUPER_8_DVS622 	01:41:08,00 --> 01:41:14,50 	someone closes his eyes as he and someone embrace.
SUPER_8.srt 	SUPER_8_DVS639 	01:42:55,00 --> 01:43:01,50 	someone closes his hand around someone's hand then squeezes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS258 	00:49:26,00 --> 00:49:37,50 	someone stares at him for a moment then backs out of the room and closes the door.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS271 	00:52:11,00 --> 00:52:20,50 	closing her eyes, she begins to dance in front of someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS318 	01:00:24,00 --> 01:00:36,50 	he folds his overcoat closed as a strong breeze blows through some trees and bushes at a wall behind them.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS320 	01:01:39,00 --> 01:01:48,50 	she closes her hands over her nose and mouth as she sobs.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS264 	00:49:53,00 --> 00:50:08,50 	he glimpses someone as her elevator closes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS433 	01:21:28,00 --> 01:21:33,50 	he closes his eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS437 	01:22:00,00 --> 01:22:06,50 	closing his eyes, someone folds his hands behind his head.
THE_CALL.srt 	THE_CALL_DVS117 	00:09:09,00 --> 00:09:15,50 	he returns to the vestibule and closes the door to the hall.
THE_CALL.srt 	THE_CALL_DVS465 	00:35:30,00 --> 00:35:36,50 	slowly closing her eyes, the scared teen presses her lips tight.
THE_CALL.srt 	THE_CALL_DVS877 	01:07:11,00 --> 01:07:18,50 	she stops the track and adjusts the audio levels, then replays the recording with her eyes closed.
THE_CALL.srt 	THE_CALL_DVS1048 	01:19:25,00 --> 01:19:34,50 	someone shuts her mouth in a tight someone while someone closes his eyes and smells the contents of the wardrobe.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS611 	01:30:13,00 --> 01:30:17,50 	closing his eyes, he lets his head droop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS394 	00:47:02,00 --> 00:47:06,50 	he closes his eyes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS485 	00:55:44,00 --> 00:55:51,50 	someone flips through the bible's pages then snaps it closed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS668 	01:13:13,00 --> 01:13:19,50 	someone closes the page of bible verses on his laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS769 	01:28:35,00 --> 01:28:44,50 	as the report awakes to cigarette smoke, someone hurriedly closes the photo library in the adjoining room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1014 	01:49:40,00 --> 01:49:46,50 	our view closes in on her open laptop.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS95 	00:34:28,00 --> 00:34:33,50 	someone scowls and closes his eyes.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS216 	01:10:39,00 --> 01:10:44,50 	she carefully closes the door and tiptoes in.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS220 	01:13:13,00 --> 01:13:19,50 	someone nods slowly and closes her eyes.
THE_VOW.srt 	THE_VOW_DVS63 	00:05:45,00 --> 00:05:51,50 	she closes her driver side door and triggers her keychain remote.
THE_VOW.srt 	THE_VOW_DVS601 	01:23:37,00 --> 01:23:42,50 	someone closes the box and carries it out.
THE_VOW.srt 	THE_VOW_DVS643 	01:29:19,00 --> 01:29:24,50 	closing her eyes for a moment, someone winces.
THE_WATCH.srt 	THE_WATCH_DVS20 	00:03:20,00 --> 00:03:26,50 	as the manager closes up, a chubby security guard arrives.
THE_WATCH.srt 	THE_WATCH_DVS158 	00:30:02,00 --> 00:30:08,50 	he closes in on him, lunges, and tackles him near the end zone.
THE_WATCH.srt 	THE_WATCH_DVS527 	01:31:54,00 --> 01:32:07,50 	before the door closes completely, they all slide underneath and into the parking lot.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS178 	00:44:53,00 --> 00:44:58,50 	she flashes a smile, then closes it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS279 	01:15:47,00 --> 01:15:53,50 	finishing her sip of wine, someone closes her eyes ecstatically.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS291 	01:17:18,00 --> 01:17:22,50 	she closes her eyes for a moment,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS499 	01:51:54,00 --> 01:51:58,50 	she closes her eyes.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS82 	00:13:36,00 --> 00:13:41,50 	someone closes the door behind him.
THOR.srt 	THOR_DVS87 	00:11:10,00 --> 00:11:20,50 	as someone, someone, and someone's black-haired brother step into the subterranean vault, the armored guardian steps back behind the spiked grid which closes.
THOR.srt 	THOR_DVS537 	01:26:05,00 --> 01:26:11,50 	the destroyer's visor closes.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS458 	00:49:46,00 --> 00:49:51,50 	someone closes his eyes as he sprays.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS462 	00:49:56,00 --> 00:50:00,50 	he closes them again and sprays.
TRUE_GRIT.srt 	TRUE_GRIT_DVS524 	01:35:32,00 --> 01:35:40,50 	someone closes her eyes and someone scores an x between the fang marks with his large hunting knife.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS227 	00:21:14,00 --> 00:21:19,50 	someone closes the closet door, shutting herself in.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS554 	01:13:59,00 --> 01:14:04,50 	the doors start to close again and someone pushes them open.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS580 	01:17:14,00 --> 01:17:18,50 	she closes the door.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS93 	00:14:09,00 --> 00:14:21,50 	she rests her head against his shoulder and closes her eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS519 	01:20:06,00 --> 01:20:11,50 	at the table, someone closes his sketchbook.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS797 	01:53:06,00 --> 01:53:11,50 	she closes her eyes and presses her lips to his.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS315 	00:44:34,00 --> 00:44:41,50 	now in bed, gerry rocks slightly on top of someone, grimacing with his eyes closed.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS608 	01:22:38,00 --> 01:22:42,50 	someone closes someone's dress.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS492 	00:45:06,00 --> 00:45:13,50 	as someone closes his eyes, someone watches with an anxious look.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS861 	01:18:59,00 --> 01:19:03,50 	someone closes his mouth.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1060 	01:35:37,00 --> 01:35:45,50 	someone touches his finger to his temple and closes his eye
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1065 	01:36:27,00 --> 01:36:33,50 	someone touches his temple and closes his eyes.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS202 	00:38:55,00 --> 00:38:59,50 	someone closes her window again.
ZOMBIELAND.srt 	ZOMBIELAND_DVS663 	01:14:16,00 --> 01:14:22,50 	a zombie in a track suit closes in on the sisters.
ZOOKEEPER.srt 	ZOOKEEPER_DVS221 	00:49:31,00 --> 00:49:35,50 	someone closes his menu.
ZOOKEEPER.srt 	ZOOKEEPER_DVS360 	01:20:51,00 --> 01:21:00,50 	closing his eyes, he puckers his lips and leans toward her.
