21_JUMP_STREET.srt 	21_JUMP_STREET_DVS305 	00:52:03,00 --> 00:52:10,50 	someone smashes it over someone's head.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS666 	01:29:59,00 --> 01:30:07,50 	someone quickly pivots his crane and smashes him back.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS669 	01:30:22,00 --> 01:30:28,50 	the tip of someone's crane smashes into someone's cab, knocking him to the floor.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS681 	01:31:42,00 --> 01:31:46,50 	it smashes into someone's cab.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS724 	01:37:08,00 --> 01:37:14,50 	they smash through the wall with a beam of wood.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS58 	00:11:42,00 --> 00:11:48,50 	a man smashes his window with a crowbar.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS517 	01:33:23,00 --> 01:33:29,50 	the woman smashes it on someone's head.
THE_CALL.srt 	THE_CALL_DVS815 	01:01:40,00 --> 01:01:47,50 	a swat team takes the lead and smashes the front door in with a battering ram.
THE_WATCH.srt 	THE_WATCH_DVS280 	00:51:14,00 --> 00:51:21,50 	as the creature leans close to someone, someone smashes the gnome on its head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS377 	01:09:50,00 --> 01:09:59,50 	someone gives him a hammer and lets him smash it to pieces.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS469 	01:22:59,00 --> 01:23:12,50 	with a lug wrench, someone smashes the window of an enemy driver beside them.
THOR.srt 	THOR_DVS44 	00:04:57,00 --> 00:05:02,50 	and then smashes them to pieces.
THOR.srt 	THOR_DVS145 	00:21:21,00 --> 00:21:28,50 	someone smiles as he spins and smashes the giant with someone, sending the giant flying backward.
THOR.srt 	THOR_DVS161 	00:22:48,00 --> 00:22:53,50 	someone smashes his war hammer into a giant's chest.
THOR.srt 	THOR_DVS173 	00:23:36,00 --> 00:23:44,50 	someone smashes another giant with someone, then hurls his hammer across the battlefield striking down several enemies.
THOR.srt 	THOR_DVS182 	00:24:15,00 --> 00:24:32,50 	smashing through boulders of rock and ice in its path, twirling his hammer so fast that it blurs, someone flings chunks of the ground like projectiles.
THOR.srt 	THOR_DVS578 	01:29:29,00 --> 01:29:35,50 	the destroyer plummets from the sky and smashes onto the street below.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS636 	01:10:37,00 --> 01:10:43,50 	cringing tearfully, someone smashes his guitar on the pavement.
ZOMBIELAND.srt 	ZOMBIELAND_DVS42 	00:03:49,00 --> 00:03:55,50 	with a crowbar, a man smashes a window that reads, zombieland.
ZOMBIELAND.srt 	ZOMBIELAND_DVS171 	00:16:59,00 --> 00:17:06,50 	he makes repeated efforts, smashing her ankle until a bone juts out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS212 	00:22:51,00 --> 00:23:00,50 	as the infected man lands at his feet, he smashes its head in.
ZOMBIELAND.srt 	ZOMBIELAND_DVS383 	00:43:48,00 --> 00:43:56,50 	someone hurls a statue into a glass counter and little someone smashes a snow globe.
ZOMBIELAND.srt 	ZOMBIELAND_DVS388 	00:44:12,00 --> 00:44:21,50 	someone pitches a stuffed animal at him and he bats it away then smashes the glass over an educational arizona display.
ZOMBIELAND.srt 	ZOMBIELAND_DVS716 	01:18:13,00 --> 01:18:20,50 	someone raises the mallet once again and smashes the clown's head.
