21_JUMP_STREET.srt 	21_JUMP_STREET_DVS181 	00:31:02,00 --> 00:31:06,50 	she smiles coquettishly.
EASY_A.srt 	EASY_A_DVS220 	01:09:15,00 --> 01:09:19,50 	he smiles boyishly.
EASY_A.srt 	EASY_A_DVS247 	01:15:51,00 --> 01:15:58,50 	they smile and lock eyes.
FLIGHT.srt 	FLIGHT_DVS68 	00:14:08,00 --> 00:14:13,50 	she smiles at him.
FLIGHT.srt 	FLIGHT_DVS380 	01:01:26,00 --> 01:01:32,50 	she fidgets as she smiles to herself, and observes someone as he drives.
FLIGHT.srt 	FLIGHT_DVS508 	01:13:13,00 --> 01:13:17,50 	he smiles at her.
FLIGHT.srt 	FLIGHT_DVS940 	01:52:04,00 --> 01:52:09,50 	someone smiles up at someone.
FLIGHT.srt 	FLIGHT_DVS1149 	02:04:04,00 --> 02:04:10,50 	someone studies someone's smiling face with pressed lips.
FLIGHT.srt 	FLIGHT_DVS1195 	02:07:11,00 --> 02:07:15,50 	some inmates smile.
FLIGHT.srt 	FLIGHT_DVS1251 	02:11:43,00 --> 02:11:47,50 	someone's brow furrows, then he smiles.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS244 	01:07:05,00 --> 01:07:10,50 	she catches someone smiling fondly at her.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS273 	01:10:37,00 --> 01:10:46,50 	smiling someone wipes the corner of someone's mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS71 	00:11:35,00 --> 00:11:40,50 	she smiles then kisses his brow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS221 	00:36:14,00 --> 00:36:20,50 	he smiles disbelievingly at someone, now in a storage room.
GROWN_UPS.srt 	GROWN_UPS_DVS79 	00:23:49,00 --> 00:24:00,50 	someone smiles tightly.
HUGO.srt 	HUGO_DVS127 	00:17:09,00 --> 00:17:13,50 	smiling, the girl nods.
HUGO.srt 	HUGO_DVS139 	00:19:09,00 --> 00:19:14,50 	someone's father shrugs, then smiles, and hugs him.
HUGO.srt 	HUGO_DVS268 	00:39:37,00 --> 00:39:42,50 	someone smiles back.
HUGO.srt 	HUGO_DVS306 	00:47:08,00 --> 00:47:12,50 	they smile at one another.
HUGO.srt 	HUGO_DVS329 	00:50:43,00 --> 00:50:49,50 	he smiles again as the automaton slides its hand across the desk
HUGO.srt 	HUGO_DVS407 	01:00:44,00 --> 01:00:48,50 	they smile.
HUGO.srt 	HUGO_DVS451 	01:05:21,00 --> 01:05:25,50 	the inspector smiles weakly.
HUGO.srt 	HUGO_DVS466 	01:07:54,00 --> 01:08:05,50 	she smiles at him then snaps off the tops of a handful of posies.
HUGO.srt 	HUGO_DVS467 	01:08:13,00 --> 01:08:18,50 	he smiles at the flower then nods to someone.
HUGO.srt 	HUGO_DVS512 	01:15:15,00 --> 01:15:22,50 	the young someone smiles at someone, who slips on a fake beard then gestures with his finger.
HUGO.srt 	HUGO_DVS536 	01:20:45,00 --> 01:20:52,50 	someone smiles slightly.
HUGO.srt 	HUGO_DVS697 	01:42:37,00 --> 01:42:47,50 	someone smiles broadly.
IN_TIME.srt 	IN_TIME_DVS54 	00:05:55,00 --> 00:06:04,50 	smiling politely, he sidles past and goes to a table where men play cards.
IN_TIME.srt 	IN_TIME_DVS106 	00:11:35,00 --> 00:11:41,50 	he returns the flask to his smiling companion.
IN_TIME.srt 	IN_TIME_DVS157 	00:16:57,00 --> 00:17:03,50 	now, at an apartment complex, a smiling woman cradles her baby.
IN_TIME.srt 	IN_TIME_DVS349 	00:36:21,00 --> 00:36:26,50 	someone smiles briefly and cocks his head.
IN_TIME.srt 	IN_TIME_DVS382 	00:40:09,00 --> 00:40:19,50 	he smiles at someone.
IN_TIME.srt 	IN_TIME_DVS663 	01:12:04,00 --> 01:12:09,50 	the heiress smiles briefly,
IN_TIME.srt 	IN_TIME_DVS705 	01:15:38,00 --> 01:15:44,50 	as someone backs off, the young man smiles triumphantly and nods.
IN_TIME.srt 	IN_TIME_DVS719 	01:16:50,00 --> 01:16:59,50 	he smiles and she throws them down at her side.
IN_TIME.srt 	IN_TIME_DVS790 	01:23:21,00 --> 01:23:28,50 	smiling faintly, he nuzzles her auburn hair, then shrugs his head.
IN_TIME.srt 	IN_TIME_DVS851 	01:30:08,00 --> 01:30:11,50 	she smiles.
INSIDE_MAN.srt 	INSIDE_MAN_DVS26 	00:06:20,00 --> 00:06:24,50 	she smiles.
IRON_MAN_2.srt 	IRON_MAN_2_DVS47 	00:06:14,00 --> 00:06:26,50 	giant robotic arms rise from the platform and remove someone's helmet, revealing his smiling face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS437 	01:21:07,00 --> 01:21:12,50 	he smiles slightly, then furrows his brow.
IRON_MAN_2.srt 	IRON_MAN_2_DVS644 	01:49:05,00 --> 01:49:15,50 	the suit's face plate flips up, revealing someone's smiling face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS706 	01:56:47,00 --> 01:57:00,50 	they all smile.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS36 	00:09:03,00 --> 00:09:08,50 	he smiles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS59 	00:17:25,00 --> 00:17:39,50 	alone in an elevator, a smiling couple hurries in as the doors close.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS114 	00:34:59,00 --> 00:35:05,50 	smiling at each other they press their foreheads together.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS135 	00:42:36,00 --> 00:42:42,50 	they smile out at the view.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS335 	01:35:13,00 --> 01:35:17,50 	he smile and drops his gaze.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS358 	01:07:12,00 --> 01:07:17,50 	someone smiles bashfully.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS289 	00:56:46,00 --> 00:56:54,50 	a tall curly-haired woman with big hips gawks, smiling as she charges.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS302 	01:00:08,00 --> 01:00:15,50 	they smile and cock their heads.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS404 	01:18:24,00 --> 01:18:29,50 	she smiles broadly and nods.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS437 	01:26:51,00 --> 01:26:55,50 	someone smiles faintly.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS492 	01:34:32,00 --> 01:34:37,50 	he smiles warmly, and someone reciprocates.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS600 	01:56:45,00 --> 01:56:51,50 	someone poses, smiling by a portrait of someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS51 	00:14:33,00 --> 00:14:39,50 	someone tosses her hair and smiles vapidly.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS203 	01:11:53,00 --> 01:11:59,50 	someone removes her sunglasses, and smiles lovingly at someone.
KARATE_KID.srt 	KARATE_KID_DVS100 	00:09:01,00 --> 00:09:05,50 	he smiles.
KARATE_KID.srt 	KARATE_KID_DVS153 	00:13:10,00 --> 00:13:15,50 	someone smiles to himself.
KARATE_KID.srt 	KARATE_KID_DVS172 	00:14:37,00 --> 00:14:44,50 	his opponent smiles sympathetically and the pixie-faced girl giggles.
KARATE_KID.srt 	KARATE_KID_DVS189 	00:16:23,00 --> 00:16:28,50 	she smiles appreciatively.
KARATE_KID.srt 	KARATE_KID_DVS191 	00:16:37,00 --> 00:16:43,50 	he and four buddies watch, as does a smiling someone.
KARATE_KID.srt 	KARATE_KID_DVS361 	00:32:14,00 --> 00:32:21,50 	someone heaves a sigh as she regards her son, then smiles affectionately.
KARATE_KID.srt 	KARATE_KID_DVS832 	01:08:59,00 --> 01:09:04,50 	someone glances at someone, who smiles.
KARATE_KID.srt 	KARATE_KID_DVS1034 	01:23:50,00 --> 01:23:57,50 	the mother smiles at the man, then goes to her sleeping son.she kisses someone's forehead and caresses his cheek.
KARATE_KID.srt 	KARATE_KID_DVS1640 	02:13:13,00 --> 02:13:25,50 	someone, who smiles and nods to him.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS97 	00:20:55,00 --> 00:21:00,50 	she smiles and waves while she sings.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS110 	00:26:44,00 --> 00:26:51,50 	smiling someone shrugs.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS303 	01:10:49,00 --> 01:10:55,50 	a young man in the crowd smiles as he pumps one fist in the air.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS325 	01:14:56,00 --> 01:15:04,50 	smiling at her audience, someone raises one fist in the air, choking back tears.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS357 	01:24:36,00 --> 01:24:42,50 	someone's smiling mother claps along with the music.
KNOCKED_UP.srt 	KNOCKED_UP_DVS49 	00:32:32,00 --> 00:32:37,50 	now in an exam room, a smiling doctor enters.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS98 	00:32:13,00 --> 00:32:17,50 	he eats it, then smiles.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS170 	01:02:23,00 --> 01:02:30,50 	he smiles modestly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS85 	00:21:30,00 --> 00:21:38,50 	he smiles and nods.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS99 	00:24:25,00 --> 00:24:31,50 	he smiles.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS260 	01:02:08,00 --> 01:02:14,50 	she smiles through half closed eyes.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS369 	01:28:08,00 --> 01:28:12,50 	she smiles sincerely.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS375 	01:29:50,00 --> 01:29:56,50 	she smiles as someone, someone, someone, and the lacrosse player hurry in.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS210 	00:27:50,00 --> 00:27:55,50 	she keeps her eyes cast down as her classmates smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS845 	01:25:35,00 --> 01:25:43,50 	a pink creature swims before her smiling face as we zoom through her forehead into the blackness.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1007 	01:38:54,00 --> 01:39:00,50 	he smiles as a few of them jump on top of him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS162 	00:57:22,00 --> 00:57:34,50 	the other study a large tattoo of someone's smiling face above the banner, forever.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS174 	01:00:37,00 --> 01:00:41,50 	someone smiles proudly toward the mirrored window.
MORNING_GLORY.srt 	MORNING_GLORY_DVS62 	00:12:07,00 --> 00:12:12,50 	then smiles sadly.
MORNING_GLORY.srt 	MORNING_GLORY_DVS92 	00:18:40,00 --> 00:18:44,50 	they smile.
MORNING_GLORY.srt 	MORNING_GLORY_DVS93 	00:18:58,00 --> 00:19:03,50 	someone smiles uncertainly.
MORNING_GLORY.srt 	MORNING_GLORY_DVS151 	00:34:49,00 --> 00:34:55,50 	they smile and pose.
MORNING_GLORY.srt 	MORNING_GLORY_DVS160 	00:37:56,00 --> 00:38:01,50 	someone smiles anxiously.
MORNING_GLORY.srt 	MORNING_GLORY_DVS275 	01:01:11,00 --> 01:01:15,50 	he smiles.
MORNING_GLORY.srt 	MORNING_GLORY_DVS277 	01:01:24,00 --> 01:01:30,50 	someone smiles gleefully.
MORNING_GLORY.srt 	MORNING_GLORY_DVS398 	01:27:06,00 --> 01:27:13,50 	she smiles at him warmly.
MORNING_GLORY.srt 	MORNING_GLORY_DVS411 	01:30:00,00 --> 01:30:08,50 	he smiles at her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS418 	01:30:37,00 --> 01:30:44,50 	she smiles at him nervously.
MORNING_GLORY.srt 	MORNING_GLORY_DVS421 	01:31:42,00 --> 01:31:46,50 	she smiles.
MORNING_GLORY.srt 	MORNING_GLORY_DVS439 	01:34:09,00 --> 01:34:13,50 	they all smile.
MORNING_GLORY.srt 	MORNING_GLORY_DVS483 	01:40:14,00 --> 01:40:20,50 	someone smiles back.
MORNING_GLORY.srt 	MORNING_GLORY_DVS496 	01:41:29,00 --> 01:41:35,50 	she smiles proudly, tears in her eyes, and puts her hand over her mouth.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS316 	00:40:55,00 --> 00:41:01,50 	she smiles in her elegant lavender gown.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS609 	01:12:58,00 --> 01:13:03,50 	someone smiles sadly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS188 	00:41:32,00 --> 00:41:40,50 	it smiles at them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS287 	01:03:37,00 --> 01:03:41,50 	lion statue is coming to life as someone and the boys smile.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS355 	01:16:38,00 --> 01:16:45,50 	he smiles triumphantly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS391 	01:22:35,00 --> 01:22:41,50 	she smiles at someone, then rises and embraces him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS431 	01:30:23,00 --> 01:30:29,50 	she smiles at the loving group.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS76 	00:10:00,00 --> 00:10:05,50 	someone and someone smiled approvingly.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS128 	00:19:58,00 --> 00:20:02,50 	she smiles.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS157 	00:25:45,00 --> 00:25:50,50 	she smiles and pats his arm.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS228 	00:37:53,00 --> 00:37:57,50 	he smiles.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS263 	00:47:16,00 --> 00:47:21,50 	smiling bitterly he picks up his sneakers.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS303 	00:54:23,00 --> 00:54:27,50 	he smiles.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS379 	01:09:35,00 --> 01:09:41,50 	later, someone drives along smiling.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS451 	01:22:13,00 --> 01:22:20,50 	someone smiles fondly.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS463 	01:25:14,00 --> 01:25:18,50 	she smiles at him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS515 	01:35:41,00 --> 01:35:47,50 	he smiles.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS529 	01:38:35,00 --> 01:38:39,50 	they both smile.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS303 	01:11:32,00 --> 01:11:43,50 	smiling, they stare into each other's eyes and share a tender kiss.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS353 	01:26:08,00 --> 01:26:12,50 	she smiles.
PROMETHEUS.srt 	PROMETHEUS_DVS95 	00:05:35,00 --> 00:05:42,50 	clearing away more rubble, she peers through the hole again and smiles excitedly.
PROMETHEUS.srt 	PROMETHEUS_DVS497 	00:51:57,00 --> 00:52:01,50 	he smiles.
PROMETHEUS.srt 	PROMETHEUS_DVS503 	00:53:06,00 --> 00:53:10,50 	holloway smiles up at him.
PROMETHEUS.srt 	PROMETHEUS_DVS687 	01:13:29,00 --> 01:13:40,50 	smiling wondrously in its midst,
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS126 	00:23:32,00 --> 00:23:37,50 	her bright red lips smile coyly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS144 	00:25:52,00 --> 00:26:06,50 	she smiles, the glances at a female diner.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS297 	00:55:36,00 --> 00:55:43,50 	someone's car, the criminal stares off glumly, then smiles out the window.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS532 	01:40:20,00 --> 01:40:24,50 	she smiles.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS384 	01:34:39,00 --> 01:34:44,50 	someone smiles his thanks as someone heads off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS429 	01:46:36,00 --> 01:46:47,50 	smiling rakishly, he removes his gloves.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS528 	02:11:18,00 --> 02:11:25,50 	she smiles.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS109 	00:19:56,00 --> 00:20:01,50 	he smiles gently.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS127 	00:22:08,00 --> 00:22:13,50 	she smiles tenderly at him.
SANCTUM.srt 	SANCTUM_DVS563 	01:42:16,00 --> 01:42:20,50 	he smiles.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1442 	01:37:51,00 --> 01:37:56,50 	the women smile as they stitch.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS26 	00:05:34,00 --> 00:05:43,50 	he smiles meekly.
SOUL_SURFER.srt 	SOUL_SURFER_DVS273 	01:19:38,00 --> 01:19:42,50 	she smiles faintly.
SOUL_SURFER.srt 	SOUL_SURFER_DVS313 	01:34:00,00 --> 01:34:09,50 	someone smiles to herself and paddles toward it.
SPARKLE_2012.srt 	SPARKLE_2012_DVS179 	00:29:41,00 --> 00:29:47,50 	he smiles and waves.
SPARKLE_2012.srt 	SPARKLE_2012_DVS235 	00:36:56,00 --> 00:37:04,50 	a smiling man in uniform claps his hands.
SPARKLE_2012.srt 	SPARKLE_2012_DVS329 	00:53:54,00 --> 00:53:59,50 	sister eyes the drugs, then smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS511 	01:22:11,00 --> 01:22:16,50 	someone sings, smiling through tears.
SPARKLE_2012.srt 	SPARKLE_2012_DVS556 	01:31:09,00 --> 01:31:18,50 	a receptionist wakes her and she smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS566 	01:33:22,00 --> 01:33:26,50 	she smiles and they hug.
