21_JUMP_STREET.srt 	21_JUMP_STREET_DVS419 	01:10:56,00 --> 01:11:03,50 	the car peels out dropping the biker and knocking over the motorcycles.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS111 	00:30:25,00 --> 00:30:32,50 	someone drops his briefs.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS212 	00:56:04,00 --> 00:56:12,50 	she drops his coffee in a trash bin, then marches off drinking her own.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS362 	01:36:23,00 --> 01:36:29,50 	his dad bumps into someone and drops his bag.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS27 	00:19:41,00 --> 00:19:47,50 	someone's stares slack-jawed, then drops his gaze.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS32 	00:20:59,00 --> 00:21:07,50 	the lanky rock-star drops a hand on someone's shoulder.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS144 	00:22:49,00 --> 00:22:56,50 	someone drops the phone and staggers back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	dropping his gun, a guard races away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS336 	00:50:52,00 --> 00:51:01,50 	as the bike comes to a full stop, its rear wheels stay up in the air for a moment then drops back to the ground.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS406 	00:59:38,00 --> 00:59:44,50 	he drops into the distance, his arms and legs flailing.
GREEN_ZONE.srt 	GREEN_ZONE_DVS70 	00:17:08,00 --> 00:17:12,50 	pots drops a bottle drop on him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS272 	01:03:24,00 --> 01:03:30,50 	she summons a breath and drops her gaze.
GREEN_ZONE.srt 	GREEN_ZONE_DVS391 	01:29:32,00 --> 01:29:39,50 	he's hit a wall and they drop it again.
GROWN_UPS.srt 	GROWN_UPS_DVS118 	00:37:43,00 --> 00:37:49,50 	someone drops the rock back on the ground.
GROWN_UPS.srt 	GROWN_UPS_DVS168 	00:48:03,00 --> 00:48:07,50 	and drops to his knees.
GROWN_UPS.srt 	GROWN_UPS_DVS294 	01:33:33,00 --> 01:33:41,50 	hitting the backboard, it drops onto the basket's rim then bounces away from the net.
HUGO.srt 	HUGO_DVS228 	00:33:38,00 --> 00:33:45,50 	someone attempts it with a deck of his own but fumbles and drops the cards.
HUGO.srt 	HUGO_DVS307 	00:47:09,00 --> 00:47:14,50 	someone's mouth drops open.
HUGO.srt 	HUGO_DVS324 	00:50:16,00 --> 00:50:23,50 	a tumbler of notched plates rotates into a new configuration then drops slightly.
HUGO.srt 	HUGO_DVS344 	00:52:32,00 --> 00:52:38,50 	someone punches a stuffed chair then drops into it and sobs.
HUGO.srt 	HUGO_DVS367 	00:56:06,00 --> 00:56:12,50 	someone glances at someone then drops her sewing onto a chair.
HUGO.srt 	HUGO_DVS428 	01:02:36,00 --> 01:02:44,50 	someone stares at someone as he draws a deep breath then drops his head and covers his face with his hand.
HUGO.srt 	HUGO_DVS439 	01:03:56,00 --> 01:04:00,50 	he drops several books.
HUGO.srt 	HUGO_DVS522 	01:17:17,00 --> 01:17:27,50 	bending toward the clock's gears, someone drops a wrench through an opening.
HUGO.srt 	HUGO_DVS640 	01:32:29,00 --> 01:32:34,50 	it drops into the ocean and sinks to the bottom of the sea.
HUGO.srt 	HUGO_DVS744 	01:49:16,00 --> 01:49:23,50 	someone hangs on tightly as the minute hand drops about a foot.
HUGO.srt 	HUGO_DVS764 	01:51:07,00 --> 01:51:11,50 	the automaton drops onto the tracks.
IN_TIME.srt 	IN_TIME_DVS87 	00:09:38,00 --> 00:09:44,50 	climbing after his companion, someone drops down on the other side as the car arrives.
IN_TIME.srt 	IN_TIME_DVS206 	00:21:39,00 --> 00:21:44,50 	dropping to his knees, he cradles her limp body.
IN_TIME.srt 	IN_TIME_DVS532 	00:57:23,00 --> 00:57:28,50 	someone drops her gaze to her outfit.
IN_TIME.srt 	IN_TIME_DVS676 	01:13:24,00 --> 01:13:33,50 	at the arrival of two timekeeper cruisers, a few drop their empty capsules and stroll off with affected nonchalance.
IN_TIME.srt 	IN_TIME_DVS910 	01:36:13,00 --> 01:36:18,50 	he hands her the capsule and her jaw drops.
IN_TIME.srt 	IN_TIME_DVS956 	01:40:35,00 --> 01:40:42,50 	as she clings to him, someone drops to one knee, his arms wrapped around her limp body.
INSIDE_MAN.srt 	INSIDE_MAN_DVS279 	01:26:09,00 --> 01:26:15,50 	someone exits the white sack and the hostage drops to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS456 	01:23:46,00 --> 01:24:00,50 	he drops the cables through the ceiling, down to the lab floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS622 	01:46:45,00 --> 01:46:52,50 	other military drones drop down and surround them.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS9 	00:04:01,00 --> 00:04:10,50 	now, a young woman carries a box across the well-kept lawn of the spanish-style home and drops it in the trunk of a hatchback.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS157 	00:52:18,00 --> 00:52:22,50 	drops it in a drawer.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS199 	01:00:47,00 --> 01:00:54,50 	the bathrobe drops around her ankles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS385 	01:48:47,00 --> 01:48:52,50 	she drops her eyes and shifts uncomfortably.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	her fingertips drop from his shoulder and her arm rests on the back of the bench.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS410 	01:53:38,00 --> 01:53:43,50 	someone's eyes widened and her jaw drops open.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS347 	01:06:22,00 --> 01:06:28,50 	in the stall, someone drops the bag on the toilet.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS264 	00:51:08,00 --> 00:51:13,50 	someone drops the aspic in the sink.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS627 	01:58:54,00 --> 01:58:59,50 	her jaw drops.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS13 	00:02:51,00 --> 00:02:58,50 	the frowning beauty arrives beside someone and accidentally drops her purse.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS74 	00:25:41,00 --> 00:25:48,50 	someone turns and her jaw drops at the site of the other woman.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS172 	01:01:05,00 --> 01:01:10,50 	he drops to the water, landing on his back.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS205 	01:12:05,00 --> 01:12:10,50 	someone drops someone in the water.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS212 	01:14:23,00 --> 01:14:30,50 	someone drops her towel.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS241 	01:24:16,00 --> 01:24:21,50 	he drops his elbow into its belly.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS263 	01:28:08,00 --> 01:28:16,50 	someone does the same, until someone does an aerial cartwheel, twirls and drops into a split.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS275 	01:30:13,00 --> 01:30:19,50 	someone and someone drop their coconut on the floor.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS281 	01:31:12,00 --> 01:31:19,50 	someone drops hers.
KARATE_KID.srt 	KARATE_KID_DVS334 	00:30:28,00 --> 00:30:32,50 	someone drops his backpack.
KARATE_KID.srt 	KARATE_KID_DVS344 	00:31:08,00 --> 00:31:15,50 	he drops his bag.
KARATE_KID.srt 	KARATE_KID_DVS517 	00:47:02,00 --> 00:47:12,50 	someone watches as someone drops the flaming cotton ball into a bowl, and dips a hand in, gathering a dancing blue flame in his palm.
KARATE_KID.srt 	KARATE_KID_DVS688 	00:58:41,00 --> 00:58:45,50 	someone drops it on to the tile.
KARATE_KID.srt 	KARATE_KID_DVS717 	01:00:01,00 --> 01:00:06,50 	drops it on the ground, picks it up, and hangs it.
KARATE_KID.srt 	KARATE_KID_DVS741 	01:02:41,00 --> 01:02:46,50 	drops it on the ground, and hangs it up.
KARATE_KID.srt 	KARATE_KID_DVS756 	01:03:44,00 --> 01:03:48,50 	he drops it.
KARATE_KID.srt 	KARATE_KID_DVS859 	01:10:52,00 --> 01:10:58,50 	the boy drops the jacket, then flings it onto the peg.
KARATE_KID.srt 	KARATE_KID_DVS1195 	01:37:47,00 --> 01:37:52,50 	someone glances nervously at the kung fu master, then drops his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1389 	01:52:12,00 --> 01:52:21,50 	the official drops the flags and the boys circle each other.
KARATE_KID.srt 	KARATE_KID_DVS1412 	01:53:57,00 --> 01:54:07,50 	the flag drops, and someone attacks before his opponent even breaks his bow.
KARATE_KID.srt 	KARATE_KID_DVS1424 	01:54:59,00 --> 01:55:15,50 	an official drops the flags and the boy leaps at someone.
KARATE_KID.srt 	KARATE_KID_DVS1558 	02:05:48,00 --> 02:06:17,50 	someone drops to his knees and slides under the boy's aerial kick.
KARATE_KID.srt 	KARATE_KID_DVS1565 	02:06:47,00 --> 02:07:08,50 	someone drops to his knees and spins, sweeping someone's legs out from under him.
KARATE_KID.srt 	KARATE_KID_DVS1621 	02:11:53,00 --> 02:12:00,50 	as the american tilts his head, someone drops his fists and matches him.
KNOCKED_UP.srt 	KNOCKED_UP_DVS117 	01:10:26,00 --> 01:10:31,50 	with her mouth agape she drops the books
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS78 	00:26:24,00 --> 00:26:28,50 	he drops to one knee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS162 	01:00:11,00 --> 01:00:15,50 	he drops his backpack.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	someone's smile grows forced and she drops her gaze.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS347 	01:19:49,00 --> 01:19:59,50 	he drops the can in a recycle bin and throws out the paper.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS391 	00:46:20,00 --> 00:46:27,50 	someone drops the bucket and collapses on the bench near the canvas cover's edge.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS397 	00:46:48,00 --> 00:46:54,50 	someone drops the oar and retreats to the prow beam.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS420 	00:48:57,00 --> 00:49:02,50 	he drops to all fours and picks up the bucket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS488 	00:54:31,00 --> 00:54:39,50 	he fits a plastic lid on top, then drops it into a sack nestled at the center of his makeshift raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS616 	01:07:05,00 --> 01:07:16,50 	the tiger hangs off the far spokes, adding to its weight then drops into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS641 	01:08:58,00 --> 01:09:03,50 	he drops the slatted pallet overboard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS979 	01:36:37,00 --> 01:36:43,50 	he tests the water with his toes then drops in.
MORNING_GLORY.srt 	MORNING_GLORY_DVS232 	00:51:58,00 --> 00:52:03,50 	she nods off, but awakens as her head drops.
MORNING_GLORY.srt 	MORNING_GLORY_DVS314 	01:08:56,00 --> 01:09:01,50 	someone drops down out of the camera shot.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS123 	00:19:46,00 --> 00:19:53,50 	he drops his phone into a blender.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS179 	00:25:12,00 --> 00:25:17,50 	covering his ears he drops the penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS304 	00:39:14,00 --> 00:39:21,50 	he drops his arm to his side, checks his watch, then marches off.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS497 	01:00:09,00 --> 01:00:17,50 	someone drops his phone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS497 	01:00:09,00 --> 01:00:17,50 	carrying it in its beak, the penguin drops the cell in a tub of ice water.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS588 	01:10:05,00 --> 01:10:10,50 	in his apartment, someone drops his keys.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS646 	01:18:32,00 --> 01:18:41,50 	captain swoops to the limo and drops into its open sunroof.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS688 	01:25:23,00 --> 01:25:29,50 	their penguins drop to their bellies and slide past their feet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS219 	00:45:39,00 --> 00:45:46,50 	together mouth three, two, one and drop the veil like a net.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS272 	00:59:34,00 --> 00:59:49,50 	someone drops his full glass of ginger beer and someone collapses behind their mother.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS382 	01:20:28,00 --> 01:20:38,50 	as he sneezes, the pilot's head bobs, dropping dangerously close to a red control button.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS480 	01:38:15,00 --> 01:38:24,50 	he drops a duffle bag.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS42 	00:09:57,00 --> 00:10:06,50 	she listens for a moment then drops it.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS236 	00:55:46,00 --> 00:55:54,50 	someone drops to all fours too.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS273 	01:04:33,00 --> 01:04:42,50 	now in a park, someone drops his hip clothes into a trashcan then joins his grandson on a nearby bench.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS331 	01:18:39,00 --> 01:18:46,50 	someone's eyes shift to someone and someone and his mouth drops open.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	someone drops the horn.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS139 	00:32:37,00 --> 00:32:43,50 	he drops to his knees at the water's edge and dips his hands in the stream.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS188 	00:45:04,00 --> 00:45:10,50 	someone drops the shoe in the box and the newcomer quickly closes it.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS301 	01:15:18,00 --> 01:15:24,50 	he drops into a split, then springs up using only his goat legs.
PROMETHEUS.srt 	PROMETHEUS_DVS70 	00:03:59,00 --> 00:04:05,50 	it drops from his grasp and plummets over the falls.
PROMETHEUS.srt 	PROMETHEUS_DVS338 	00:32:31,00 --> 00:32:37,50 	a pup doubles back from the far wall and drops down the pit.
PROMETHEUS.srt 	PROMETHEUS_DVS719 	01:16:49,00 --> 01:16:57,50 	his body completely engulfed holloway drops to his knees.
PROMETHEUS.srt 	PROMETHEUS_DVS899 	01:39:38,00 --> 01:39:46,50 	the aide shoots the engineer, and he drops the head.
