21_JUMP_STREET.srt 	21_JUMP_STREET_DVS149 	00:23:36,00 --> 00:23:41,50 	she arrives before a handsome boy.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS545 	00:52:58,00 --> 00:53:04,50 	now, he arrives home and slides to a stop in his dirt driveway.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS554 	00:53:27,00 --> 00:53:32,50 	now his mom arrives home from work.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS764 	01:16:21,00 --> 01:16:25,50 	someone arrives in a dark green jeep.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS966 	01:34:46,00 --> 01:34:51,50 	someone arrives at someone's side and crouches.
CHRONICLE.srt 	CHRONICLE_DVS383 	00:58:31,00 --> 00:58:35,50 	someone arrives.
CHRONICLE.srt 	CHRONICLE_DVS454 	01:06:44,00 --> 01:06:52,50 	later, they arrive near a crowd.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS450 	01:46:26,00 --> 01:46:38,50 	arriving patrons wave to him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS526 	02:03:44,00 --> 02:03:49,50 	someone arrives.
COLOMBIANA.srt 	COLOMBIANA_DVS271 	00:22:37,00 --> 00:22:43,50 	a tall shadowy figure arrives on the other side of her.
COLOMBIANA.srt 	COLOMBIANA_DVS274 	00:22:52,00 --> 00:22:57,50 	someone arrives before her.
COLOMBIANA.srt 	COLOMBIANA_DVS289 	00:24:06,00 --> 00:24:13,50 	later, she arrives at a kitchen and pauses, her fingers lightly drumming her thigh.
COLOMBIANA.srt 	COLOMBIANA_DVS455 	00:40:03,00 --> 00:40:10,50 	the heavyset female officer arrives with someone warren and his men.
COLOMBIANA.srt 	COLOMBIANA_DVS510 	00:46:13,00 --> 00:46:18,50 	someone arrives at his side and leans against a pillar.
COLOMBIANA.srt 	COLOMBIANA_DVS823 	01:19:31,00 --> 01:19:37,50 	agent someone arrives in another corridor with more gunmen.
COLOMBIANA.srt 	COLOMBIANA_DVS871 	01:22:57,00 --> 01:23:04,50 	a swat humvee arrives in the garage with its lights flashing, trailed by two police cruisers.
COLOMBIANA.srt 	COLOMBIANA_DVS873 	01:23:04,00 --> 01:23:11,50 	meanwhile, someone arrives in a changing room and checks a set of lockers.
COLOMBIANA.srt 	COLOMBIANA_DVS879 	01:23:24,00 --> 01:23:29,50 	later, she arrives at someone's house.
COLOMBIANA.srt 	COLOMBIANA_DVS904 	01:25:11,00 --> 01:25:16,50 	now he arrives in a modest apartment.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS258 	01:02:19,00 --> 01:02:24,50 	someone arrives at the salubrious brunch venue.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS265 	01:04:15,00 --> 01:04:19,50 	someone arrives with someone.
DISTRICT_9.srt 	DISTRICT_9_DVS796 	01:34:19,00 --> 01:34:24,50 	meanwhile, someone arrives at the command module's door.
EASY_A.srt 	EASY_A_DVS70 	00:25:18,00 --> 00:25:31,50 	he arrives at the penderghast front door and knocks.
FLIGHT.srt 	FLIGHT_DVS131 	00:25:40,00 --> 00:25:46,50 	as people in white robes help the passengers, a fire engine arrives.
FLIGHT.srt 	FLIGHT_DVS934 	01:50:35,00 --> 01:50:40,50 	someone arrives, a bag slung over his shoulder.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS208 	00:54:43,00 --> 00:54:48,50 	now someone arrives on the sidewalk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS216 	00:57:44,00 --> 00:57:50,50 	later someone arrives home with the painting.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS221 	00:59:37,00 --> 00:59:50,50 	we arrive at an upscale oceanside neighborhood.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS228 	01:00:42,00 --> 01:00:47,50 	a tall blond woman arrives.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	someone arrives in his open doorway.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS167 	01:30:28,00 --> 01:30:33,50 	someone arrives at the pool.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	the boy regards the rider calmly as it arrives before him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS481 	01:09:43,00 --> 01:09:54,50 	someone peers through a binocular, spying on arriving guests.
GREEN_ZONE.srt 	GREEN_ZONE_DVS53 	00:12:01,00 --> 00:12:05,50 	now the convoy arrives.
GREEN_ZONE.srt 	GREEN_ZONE_DVS298 	01:08:18,00 --> 01:08:22,50 	someone arrives.
GREEN_ZONE.srt 	GREEN_ZONE_DVS334 	01:15:26,00 --> 01:15:46,50 	someone glances at it then arrives at the two-story cement ticketing kiosk.
GREEN_ZONE.srt 	GREEN_ZONE_DVS453 	01:39:47,00 --> 01:39:51,50 	palace, reports swarm someone as he arrives.
GROWN_UPS.srt 	GROWN_UPS_DVS210 	00:57:50,00 --> 00:57:54,50 	someone arrives.
IN_TIME.srt 	IN_TIME_DVS450 	00:48:29,00 --> 00:48:34,50 	someone and his men arrive.
IN_TIME.srt 	IN_TIME_DVS740 	01:18:28,00 --> 01:18:36,50 	someone arrives as well.
IRON_MAN_2.srt 	IRON_MAN_2_DVS490 	01:28:11,00 --> 01:28:21,50 	later, someone and two men arrive at the lab.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS319 	01:31:13,00 --> 01:31:17,50 	someone arrives.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS142 	00:29:14,00 --> 00:29:20,50 	that evening, someone arrives home in his silver cadillac escalade.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS226 	00:42:24,00 --> 00:42:32,50 	later, someone greets arriving guests.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS535 	01:46:04,00 --> 01:46:08,50 	someone arrives.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS31 	00:07:14,00 --> 00:07:18,50 	someone's cousin arrives.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS132 	00:47:06,00 --> 00:47:15,50 	beyond a large reflecting pool in the lobby, the family arrives.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS195 	01:09:25,00 --> 01:09:36,50 	as he arrives, someone feeds him the cookie and tousles his wet hair.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS321 	01:42:14,00 --> 01:42:18,50 	someone arrives nearby.
KARATE_KID.srt 	KARATE_KID_DVS239 	00:20:49,00 --> 00:20:56,50 	now, the parkers arrive at a building marked with a red, five-pointed star.
KARATE_KID.srt 	KARATE_KID_DVS1078 	01:28:23,00 --> 01:28:38,50 	now, they arrive at a vendor selling fried insects on sticks.
KARATE_KID.srt 	KARATE_KID_DVS1112 	01:32:26,00 --> 01:32:33,50 	someone arrives on the stage, kneels, and removes her violin from its case.
KARATE_KID.srt 	KARATE_KID_DVS1497 	02:01:40,00 --> 02:01:47,50 	the boy drapes an arm over his eyes as they arrive at his side.
KARATE_KID.srt 	KARATE_KID_DVS1644 	02:13:39,00 --> 02:13:45,50 	someone arrives at mr.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS268 	01:04:40,00 --> 01:04:45,50 	passenger door arrives at someone's apartment building.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS290 	01:09:48,00 --> 01:09:54,50 	a mother and daughter arrive with a measuring tape.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS647 	01:09:17,00 --> 01:09:22,50 	someone arrives back on board.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS103 	00:41:10,00 --> 00:41:15,50 	later, someone arrives at home.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS198 	01:11:52,00 --> 01:11:59,50 	meanwhile, someone's car arrives out front.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS208 	01:15:01,00 --> 01:15:13,50 	as someone arrives out back, someone's hand slaps down on the pit's rim.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS234 	00:34:03,00 --> 00:34:10,50 	his kids arrive.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS356 	00:45:00,00 --> 00:45:06,50 	later, a taxi arrives at someone's apartment building.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS516 	01:01:41,00 --> 01:01:47,50 	as someone arrives, nimrod tumbles down a slide covering the stairs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS654 	01:20:27,00 --> 01:20:32,50 	someone arrives with the police.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS42 	00:10:22,00 --> 00:10:29,50 	in unison, the three dash toward the arriving car, short-cutting through the barn.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS386 	01:21:19,00 --> 01:21:24,50 	someone arrives.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS245 	00:57:28,00 --> 00:57:32,50 	the kids arrive.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS276 	01:05:30,00 --> 01:05:36,50 	now as they arrive home someone storms out and meets them on the porch.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS42 	00:07:30,00 --> 00:07:35,50 	someone arrives at a white brick apartment building.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS184 	00:43:14,00 --> 00:43:22,50 	now they arrive at an open-air home similar to the boathouse, decked out with gauzy drapes and burning candles.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS208 	00:53:13,00 --> 00:53:26,50 	as someone arrives nearby it catches her reflection.
PROMETHEUS.srt 	PROMETHEUS_DVS188 	00:13:02,00 --> 00:13:07,50 	someone arrives outside her door.
PROMETHEUS.srt 	PROMETHEUS_DVS202 	00:14:16,00 --> 00:14:21,50 	in a sleek, high-collared suit, the blond arrives.
PROMETHEUS.srt 	PROMETHEUS_DVS368 	00:36:08,00 --> 00:36:16,50 	the others arrive behind him.
PROMETHEUS.srt 	PROMETHEUS_DVS635 	01:09:01,00 --> 01:09:07,50 	the rest of the away team arrives at the chamber with the bust.
PROMETHEUS.srt 	PROMETHEUS_DVS710 	01:15:24,00 --> 01:15:29,50 	someone cradles holloway as he arrives.
PROMETHEUS.srt 	PROMETHEUS_DVS753 	01:21:18,00 --> 01:21:26,50 	someone arrives in the room housing vickers' med pod.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS90 	00:14:53,00 --> 00:14:59,50 	another police car arrives down the block.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS493 	01:33:21,00 --> 01:33:26,50 	he arrives and riddles someone with bullets.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS637 	01:59:52,00 --> 02:00:03,50 	behind him, a man arrives with two blonde women, one of them in a conspicuous orange skirt.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS78 	00:21:06,00 --> 00:21:12,50 	a physician arrives.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS216 	00:51:40,00 --> 00:51:44,50 	they arrive onto a grassy hillside.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS217 	00:51:47,00 --> 00:51:52,50 	as they arrive at the village of modest straw roofed huts
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS322 	01:18:28,00 --> 01:18:31,50 	archers arrive.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS328 	01:20:00,00 --> 01:20:08,50 	now, someone arrives in a windblown field
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS337 	01:22:48,00 --> 01:22:57,50 	now, a hooded rider arrives at the edge of nottingham.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS338 	01:22:55,00 --> 01:23:06,50 	later, as he arrives at a blacksmith's forge, a glimpse beneath his hood reveals him as someone's goateed accomplice.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS524 	02:10:35,00 --> 02:10:45,50 	they arrive at a makeshift village of straw roofs and stick walled huts deep in the forest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS308 	00:49:03,00 --> 00:49:10,50 	now with the convertible's top up, the couple arrives at a wooden gate.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS428 	01:06:02,00 --> 01:06:08,50 	hand in hand, they arrive at a crowded street corner.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS482 	01:13:10,00 --> 01:13:15,50 	three guests arrive.
SALT.srt 	SALT_DVS60 	00:11:48,00 --> 00:11:52,50 	the chopper arrives at a fortress.
SALT.srt 	SALT_DVS164 	00:28:13,00 --> 00:28:21,50 	meanwhile, the tactical team arrives on her floor with their guns drawn.
SALT.srt 	SALT_DVS247 	00:42:43,00 --> 00:42:54,50 	now she arrives at her deluxe room with the clothes draped over her arm.
SANCTUM.srt 	SANCTUM_DVS195 	00:44:08,00 --> 00:44:20,50 	later, the team arrives back at the dark, flooded base camp.
SANCTUM.srt 	SANCTUM_DVS317 	01:03:41,00 --> 01:03:45,50 	someone arrives.
SANCTUM.srt 	SANCTUM_DVS542 	01:40:06,00 --> 01:40:12,50 	now, someone arrives at a narrow crevasse.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS900 	00:58:55,00 --> 00:59:01,50 	now, he and a couple of small boys arrive at a refugee campsite.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1058 	01:11:12,00 --> 01:11:18,50 	someone arrives at a table and points at its occupant.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1215 	01:21:47,00 --> 01:21:52,50 	someone arrives.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1232 	01:22:41,00 --> 01:22:48,50 	a servant arrives with a tray of refreshments and serves the newcomers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS186 	00:36:23,00 --> 00:36:29,50 	two nypd cruisers arrive on the scene.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS272 	00:54:56,00 --> 00:55:02,50 	someone obeys his arriving master.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS335 	01:10:19,00 --> 01:10:24,50 	someone arrives.
SPARKLE_2012.srt 	SPARKLE_2012_DVS625 	01:40:55,00 --> 01:40:59,50 	someone arrives with a dress.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS31 	00:06:32,00 --> 00:06:37,50 	a dark haired faculty member arrives.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS141 	00:31:23,00 --> 00:31:27,50 	someone arrives.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS277 	00:53:03,00 --> 00:53:08,50 	now, someone arrives at the school office.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS358 	01:11:11,00 --> 01:11:17,50 	now they arrive at her deserted apartment.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS370 	01:08:46,00 --> 01:08:51,50 	a chubby man arrives.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS29 	00:05:44,00 --> 00:05:52,50 	the car arrives at a house.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS85 	00:15:41,00 --> 00:15:49,50 	behind his daughter, a muscular, blond man arrives at the bar with some friends.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS119 	00:20:20,00 --> 00:20:25,50 	now, someone and his daughters arrive at home.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS399 	01:00:23,00 --> 01:00:29,50 	the jeep arrives at a hotel, driving past a fountain near the entrance.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS463 	01:09:00,00 --> 01:09:06,50 	he arrives at the hedge and ducks behind it near the gap.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS65 	00:05:06,00 --> 00:05:13,50 	inside, he arrives at a suite door bearing the same title.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS68 	00:05:29,00 --> 00:05:35,50 	a staffer arrives, but the woman sends him away with a gesture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS750 	01:24:46,00 --> 01:24:54,50 	someone arrives on her motorcycle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1382 	02:28:07,00 --> 02:28:14,50 	arriving just as a sleek bullet train glides up.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS44 	00:10:25,00 --> 00:10:31,50 	they both arrive at the montclair mature singles club,
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS211 	01:08:47,00 --> 01:08:52,50 	they arrive at caesars palace.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS263 	01:27:38,00 --> 01:27:47,50 	listening to someone's audio book, they arrive at the airport car rental and steer into the return lane.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS265 	01:41:44,00 --> 01:41:49,50 	someone arrives at facebook headquarters.
THE_VOW.srt 	THE_VOW_DVS183 	00:20:05,00 --> 00:20:13,50 	now, he arrives in the recovery ward with a tote bag and strides cheerfully to someones curtained off bed.
THE_VOW.srt 	THE_VOW_DVS200 	00:24:16,00 --> 00:24:21,50 	her doctor arrives.
THE_WATCH.srt 	THE_WATCH_DVS218 	00:41:43,00 --> 00:41:49,50 	now, someone's crossover arrives back at home.
THE_WATCH.srt 	THE_WATCH_DVS552 	01:35:11,00 --> 01:35:16,50 	emergency vehicles arrive.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS69 	00:18:04,00 --> 00:18:08,50 	someone arrives.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS285 	01:16:21,00 --> 01:16:26,50 	someone arrives bearing a covered tray.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS341 	01:24:25,00 --> 01:24:35,50 	someone's lips part in a lustful look as her eyes trail after the arriving car.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS140 	00:17:37,00 --> 00:17:46,50 	someone arrives in a blue satin tunic and tights.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS497 	01:04:05,00 --> 01:04:14,50 	a taxi arrives.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS519 	01:08:25,00 --> 01:08:29,50 	someone arrives.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS20 	00:03:28,00 --> 00:03:32,50 	they arrive at school.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS408 	01:04:15,00 --> 01:04:20,50 	he arrives at his brother's desk.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS515 	01:19:34,00 --> 01:19:38,50 	someone arrives.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS321 	00:45:43,00 --> 00:45:48,50 	later, someone arrives at a restaurant.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS379 	00:54:47,00 --> 00:54:53,50 	someone arrives in the gifted dress, clutching a purse to her chest.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS713 	01:36:03,00 --> 01:36:11,50 	cameras flash as the paparazzi clamors for shots of a couple arriving on a red carpet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS176 	00:14:01,00 --> 00:14:08,50 	in a european city, someone arrives at an austere building.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS223 	00:17:06,00 --> 00:17:10,50 	the women arrive.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS578 	00:54:34,00 --> 00:54:40,50 	they arrive at the roadblock and a soldier approaches.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS765 	01:08:46,00 --> 01:08:55,50 	he arrives at a world map highlighting the united states and soviet union, then points out the strategic location.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS784 	01:10:00,00 --> 01:10:06,50 	now a black car arrives outside the devastated research facility.
