21_JUMP_STREET.srt 	21_JUMP_STREET_DVS151 	00:24:25,00 --> 00:24:29,50 	someone punches him in the face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1015 	01:38:38,00 --> 01:38:47,50 	someone and the veterans perform turtle rolls, flipping their boards on top of them and punching through safely to the other side.
CHRONICLE.srt 	CHRONICLE_DVS423 	01:02:22,00 --> 01:02:28,50 	he punches the air, knocking the clerk back against the cigarette case.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS97 	00:18:30,00 --> 00:18:34,50 	someone punches the air
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS222 	00:46:46,00 --> 00:46:54,50 	as someone approaches, someone throws punches into her dad's hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS502 	01:56:00,00 --> 01:56:05,50 	they clinch and punches someone in the face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS549 	02:09:13,00 --> 02:09:18,50 	someone punches someone's face.
COLOMBIANA.srt 	COLOMBIANA_DVS262 	00:21:47,00 --> 00:21:55,50 	the man steps into a dingy room where a tall dark haired figure punches a guy sitting in a chair.
COLOMBIANA.srt 	COLOMBIANA_DVS841 	01:20:47,00 --> 01:20:52,50 	meanwhile, someone punches her detonator.
COLOMBIANA.srt 	COLOMBIANA_DVS1033 	01:37:40,00 --> 01:37:46,50 	she spins toward him, punches him in the throat, then kicks him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS181 	00:29:09,00 --> 00:29:18,50 	his buddy runs over, and someone punches him.
EASY_A.srt 	EASY_A_DVS92 	00:32:57,00 --> 00:33:01,50 	she punches him in the gut.
FLIGHT.srt 	FLIGHT_DVS1241 	02:10:12,00 --> 02:10:16,50 	a guard punches in a code and a wire gate opens, letting someone through.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS92 	00:14:22,00 --> 00:14:29,50 	as the heavyset thug looks on, someone punches his mustached attacker in the gut.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS527 	01:14:59,00 --> 01:15:10,50 	as he watches someone shooting his guards and acolytes, someone runs onto the stage and punches him out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	someone head butts the rider who punches him.
HUGO.srt 	HUGO_DVS344 	00:52:32,00 --> 00:52:38,50 	someone punches a stuffed chair then drops into it and sobs.
IN_TIME.srt 	IN_TIME_DVS414 	00:44:40,00 --> 00:44:47,50 	someone springs up, grabs a timekeeper's gun and punches both officers flanking him.
IN_TIME.srt 	IN_TIME_DVS878 	01:33:10,00 --> 01:33:17,50 	he strides out of the office and someone punches a code into the keypad.
IRON_MAN_2.srt 	IRON_MAN_2_DVS195 	00:36:18,00 --> 00:36:33,50 	approaching someone, iron man wraps the whip around his own suit several times, and punches someone's stomach and face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS230 	00:42:53,00 --> 00:43:04,50 	smiling, someone stands, punches the man's face, then slams the man's forehead into the sink.
IRON_MAN_2.srt 	IRON_MAN_2_DVS236 	00:43:27,00 --> 00:43:36,50 	someone turns, punches the guard, then snaps his neck.
IRON_MAN_2.srt 	IRON_MAN_2_DVS302 	00:55:53,00 --> 00:56:04,50 	downstairs, someone punches buttons on the security system, enters the basement workroom, and eyes the iron man suits.
IRON_MAN_2.srt 	IRON_MAN_2_DVS311 	00:56:49,00 --> 00:56:55,50 	the deejay punches keys on his laptop.
IRON_MAN_2.srt 	IRON_MAN_2_DVS321 	00:58:04,00 --> 00:58:13,50 	someone punches someone's helmet, then swings and misses.
IRON_MAN_2.srt 	IRON_MAN_2_DVS593 	01:41:38,00 --> 01:41:50,50 	someone punches a muscular guard.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	someone runs down a hallway while someone exchanges punches with the first guard near the entrance.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	she slides between the legs of a fourth approaching guard and punches him in the groin.
IRON_MAN_2.srt 	IRON_MAN_2_DVS595 	01:42:32,00 --> 01:42:46,50 	at hammer industries, the first guard knees someone in the stomach, punches him, and slams his face onto a counter.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	she punches the guard and wraps the cord around his neck.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	in the lobby, someone bites the first guard's ear, then punches the guard's stomach.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone punches the guard's face, sending him sailing backward onto the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS658 	01:50:11,00 --> 01:50:19,50 	someone pulls someone close and punches his helmet.
IRON_MAN_2.srt 	IRON_MAN_2_DVS659 	01:50:17,00 --> 01:50:23,50 	someone punches someone, who head butts someone, then lassos him again with a pulse whip.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS70 	00:13:24,00 --> 00:13:29,50 	someone punches someone off her chair.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS446 	01:22:21,00 --> 01:22:25,50 	without turning, someone punches her out.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	someone punches keys on a typewriter, floating island.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS177 	01:03:21,00 --> 01:03:27,50 	someone punches him in the gut and keeps walking.
KARATE_KID.srt 	KARATE_KID_DVS217 	00:18:36,00 --> 00:18:46,50 	the bully punches him in the solar plexus, then boots him backward with a kick to the chest.
KARATE_KID.srt 	KARATE_KID_DVS478 	00:43:09,00 --> 00:43:20,50 	someone punches him again.
KARATE_KID.srt 	KARATE_KID_DVS506 	00:45:35,00 --> 00:45:51,50 	now, someone grips the boy's wrists in one hand, and draws back his fist to punch.
KARATE_KID.srt 	KARATE_KID_DVS560 	00:50:37,00 --> 00:50:42,50 	the boy brutally punches his opponent in the face.
KARATE_KID.srt 	KARATE_KID_DVS1269 	01:42:46,00 --> 01:42:55,50 	the poles dangle from his wrists, as he punches his fists forward.
KARATE_KID.srt 	KARATE_KID_DVS1313 	01:46:00,00 --> 01:46:05,50 	he punches at the top of each rep.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS233 	01:21:32,00 --> 01:21:39,50 	someone punches him in the nose.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS234 	01:21:38,00 --> 01:21:42,50 	he punches him again.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS238 	01:22:02,00 --> 01:22:07,50 	he punches him then beckons.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS251 	01:23:15,00 --> 01:23:19,50 	punches him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS20 	00:03:12,00 --> 00:03:18,50 	the younger inmate punches another guard in his chest.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS21 	00:03:20,00 --> 00:03:25,50 	as the older inmate punches punches another guard in the gut.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS41 	00:06:47,00 --> 00:06:54,50 	someone lowers his handgun, then punches someone in the face a couple of times.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS230 	00:42:12,00 --> 00:42:34,50 	someone encounters a guard, sucker punches him, and bangs his head against the counter.
SALT.srt 	SALT_DVS451 	01:17:50,00 --> 01:18:00,50 	she barrels one over then punches the other.
SUPER_8.srt 	SUPER_8_DVS344 	01:01:59,00 --> 01:02:06,50 	the cube flies across the room and punches a hole through a poster of the space shuttle on someone's bedroom wall.
SUPER_8.srt 	SUPER_8_DVS375 	01:05:45,00 --> 01:05:52,50 	high above them a small dent is punched into the water tank's side.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS48 	00:05:24,00 --> 00:05:30,50 	two man wearing bowlers peer through holes punched through the same newspaper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS215 	00:31:35,00 --> 00:31:41,50 	someone punches the bigger man as snowy jumps on his back.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS216 	00:31:39,00 --> 00:31:45,50 	the captain opens his door and punches out the attacker.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS267 	00:39:33,00 --> 00:39:40,50 	someone punches someone and grabs the gun.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS413 	01:00:19,00 --> 01:00:27,50 	sir someone shoots the pirate, punches another then kicks a third before slicing him with a sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS474 	01:08:57,00 --> 01:09:04,50 	who punches him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS583 	01:19:56,00 --> 01:20:01,50 	meanwhile, someone punches several guards.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS588 	01:20:37,00 --> 01:20:42,50 	someone punches a guard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS622 	01:23:22,00 --> 01:23:28,50 	someone swings from a window and lands on the jeep, then punches out someone and allen.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS657 	01:28:58,00 --> 01:29:14,50 	someone punches someone then sits at the controls.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS36 	00:08:15,00 --> 00:08:23,50 	his drawing shows a fist punching the teeth out of the bearded teacher's grotesque caricature.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS36 	00:08:15,00 --> 00:08:23,50 	someone punches him.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS79 	00:18:00,00 --> 00:18:05,50 	his drawing shows the demon punching through the page.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS161 	00:32:51,00 --> 00:33:02,50 	someone throws the flare aside and punches someone in the crotch.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS234 	00:46:09,00 --> 00:46:14,50 	she turns her back to him and punches her pillow.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS512 	01:32:11,00 --> 01:32:18,50 	he punches a guy.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS563 	01:40:39,00 --> 01:40:47,50 	punched repeatedly, someone collapses.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS581 	01:45:07,00 --> 01:45:13,50 	someone punches him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS252 	00:39:58,00 --> 00:40:02,50 	someone punches him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS342 	00:41:40,00 --> 00:41:46,50 	fighting for control, and she punches him in the face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS429 	00:51:30,00 --> 00:51:35,50 	she eyes a directory and punches a code into an intercom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1042 	01:51:32,00 --> 01:51:37,50 	then punches in her selections.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1368 	02:27:15,00 --> 02:27:23,50 	she sips from a teacup as the bespectacled banker punches numbers into a calculator.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS149 	00:52:49,00 --> 00:52:56,50 	someone punches someone in the face, causing someone to black out.
THE_SITTER.srt 	THE_SITTER_DVS78 	00:42:10,00 --> 00:42:20,50 	someone looks at a framed photo of his father, someone, and their young son, then punches in another four-digit code, followed by the pound key.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS280 	01:44:59,00 --> 01:45:06,50 	someone winds up to punch someone, who recoils cravenly.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS22 	00:03:05,00 --> 00:03:29,50 	but someone blocks his strikes and punches him in the face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS27 	00:03:44,00 --> 00:03:53,50 	winding up, he punches the guy out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS74 	00:12:25,00 --> 00:12:29,50 	someone punches someone face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS238 	00:43:34,00 --> 00:43:46,50 	someone forces someone down and someone punches him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS458 	01:21:24,00 --> 01:21:38,50 	he leaps aboard the convertible and punches a thug in back, sending him tumbling.
THOR.srt 	THOR_DVS153 	00:22:04,00 --> 00:22:10,50 	the giant punches someone and sends him sailing backward.
THOR.srt 	THOR_DVS356 	00:54:37,00 --> 00:54:43,50 	someone pops up and punches one guard as someone watches through binoculars.
THOR.srt 	THOR_DVS382 	00:57:12,00 --> 00:57:17,50 	a large agent steps out and punches someone to the ground.
THOR.srt 	THOR_DVS383 	00:57:18,00 --> 00:57:27,50 	someone leaps to his feet and punches the agent in the face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS851 	01:30:31,00 --> 01:30:36,50 	someone punches someone's shoulder twice.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS387 	00:32:23,00 --> 00:32:29,50 	someone springs to his feet, but she punches him overboard.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1196 	01:47:00,00 --> 01:47:07,50 	someone punches someone in the face, which multiplies momentarily.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1290 	01:56:22,00 --> 01:56:30,50 	as someone punches someone in the face, a few more rockets explode.
ZOMBIELAND.srt 	ZOMBIELAND_DVS379 	00:43:25,00 --> 00:43:30,50 	someone punches him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS448 	00:51:41,00 --> 00:51:48,50 	someone excitedly punches the air then shakes the movie star's hand.
