21_JUMP_STREET.srt 	21_JUMP_STREET_DVS175 	00:30:14,00 --> 00:30:19,50 	a text, meet at yearbook.
DEAR_JOHN.srt 	DEAR_JOHN_DVS375 	00:59:31,00 --> 00:59:38,50 	he lowers himself on top of her, and meets her lips with a passionate kiss.
DEAR_JOHN.srt 	DEAR_JOHN_DVS631 	01:26:16,00 --> 01:26:22,50 	she tearfully meets his gaze before glancing away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS737 	01:37:41,00 --> 01:37:46,50 	he meets her pleading stare, then bows his head.
EASY_A.srt 	EASY_A_DVS96 	00:33:20,00 --> 00:33:25,50 	olives meets his earnest gaze.
FLIGHT.srt 	FLIGHT_DVS399 	01:03:17,00 --> 01:03:23,50 	they look into each other's eyes, and their lips meet again.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS254 	01:08:17,00 --> 01:08:24,50 	later he lies on top of her as their mouths meet in a series of light caresses.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS346 	01:32:15,00 --> 01:32:25,50 	someone follows and meets them at the gate.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS28 	00:04:27,00 --> 00:04:40,50 	as the suv slides across the road, our view meets its roof.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS46 	00:07:39,00 --> 00:07:45,50 	someone meets his gaze then shoves a shirt in a bag.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS70 	00:11:27,00 --> 00:11:33,50 	someone meets her gaze and she rubs the back of his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS325 	00:49:02,00 --> 00:49:07,50 	someone meets his gaze with a grave look.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS472 	01:08:28,00 --> 01:08:32,50 	someone meets his devilish gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS492 	01:11:35,00 --> 01:11:41,50 	he lays his hand on her shoulder and she meets his gaze, fidgeting anxiously.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS571 	01:22:14,00 --> 01:22:21,50 	someone dances away from it and meets the rider in a grappling hold.
GREEN_ZONE.srt 	GREEN_ZONE_DVS446 	01:37:45,00 --> 01:37:54,50 	turning, he briefly meets someone's gaze.
HUGO.srt 	HUGO_DVS432 	01:03:07,00 --> 01:03:12,50 	someone nods slightly as he meets someone's gaze.
HUGO.srt 	HUGO_DVS604 	01:27:15,00 --> 01:27:22,50 	he steps through the arched gate and crosses a narrow street, where he meets rene someone.
IN_TIME.srt 	IN_TIME_DVS43 	00:04:59,00 --> 00:05:05,50 	a well-dressed man standing over the corpse meets their gaze.
IN_TIME.srt 	IN_TIME_DVS113 	00:12:48,00 --> 00:12:57,50 	he meets the working class man's knowing gaze.
IN_TIME.srt 	IN_TIME_DVS120 	00:14:27,00 --> 00:14:33,50 	he stares off sadly, then meets someone's stoic gaze.
IN_TIME.srt 	IN_TIME_DVS316 	00:32:49,00 --> 00:32:55,50 	he meets someone's gaze and tossed down his pair of queens.
IN_TIME.srt 	IN_TIME_DVS605 	01:04:45,00 --> 01:04:49,50 	someone meets her gaze.
IN_TIME.srt 	IN_TIME_DVS637 	01:08:13,00 --> 01:08:17,50 	she meets his gaze.
IN_TIME.srt 	IN_TIME_DVS661 	01:11:58,00 --> 01:12:03,50 	someone lifts her gaze to meet his.
INSIDE_MAN.srt 	INSIDE_MAN_DVS339 	01:38:03,00 --> 01:38:12,50 	outside the vault cage, they meet up with someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS364 	01:45:35,00 --> 01:45:39,50 	she meets the doctor someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS328 	00:58:58,00 --> 00:59:06,50 	the two blasts meet, forming a huge fireball, which explodes and destroys much of the room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS671 	01:50:54,00 --> 01:51:10,50 	they fire repulsor blasts, which meet where someone stands and form a fiery ball that explodes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS160 	00:53:14,00 --> 00:53:22,50 	someone gives in her lips meeting his in a sensual mood.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS218 	01:04:26,00 --> 01:04:35,50 	someone looks askance at him then fully meets his gaze.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS111 	00:18:56,00 --> 00:19:08,50 	the aspiring cook grimaces, then meets a green grocer.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS94 	00:34:53,00 --> 00:34:59,50 	someone meets his gaze, sheepishly.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS237 	01:23:36,00 --> 01:23:42,50 	someone meets her gaze, and nods as well.
KARATE_KID.srt 	KARATE_KID_DVS308 	00:27:43,00 --> 00:27:48,50 	the boy sheepishly meets mr.
KARATE_KID.srt 	KARATE_KID_DVS399 	00:36:13,00 --> 00:36:23,50 	someone lowers her thoughtful eyes, then meets her son's pained gaze.
KARATE_KID.srt 	KARATE_KID_DVS415 	00:37:57,00 --> 00:38:03,50 	someone meets her gaze, then paws at the cap with both hands.
KARATE_KID.srt 	KARATE_KID_DVS783 	01:05:55,00 --> 01:06:02,50 	the children lock gazes from the wings, then meet behind the screen.
KARATE_KID.srt 	KARATE_KID_DVS1485 	02:01:01,00 --> 02:01:08,50 	someone glares at master someone, who meets his gaze with a cavalier expression.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	someone, who grimly meets his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1572 	02:08:08,00 --> 02:08:14,50 	as the teacher meets with his fighting someone, someone calls to someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS32 	00:05:38,00 --> 00:05:47,50 	several fans hold up a sign, someone our teenage dream is to meet you.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS54 	00:10:24,00 --> 00:10:32,50 	someone, still in costume, walks down a hallway backstage then sachets into a room where several fans wait to meet her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS15 	00:05:18,00 --> 00:05:24,50 	the senior executive meets his gaze.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS122 	00:28:28,00 --> 00:28:35,50 	someone meets his gaze.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS355 	01:24:55,00 --> 01:25:01,50 	he meets someone's gaze, she grins broadly in reply.
MORNING_GLORY.srt 	MORNING_GLORY_DVS399 	01:28:08,00 --> 01:28:14,50 	she meets his gaze directly and he turns in towards her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS412 	01:30:10,00 --> 01:30:14,50 	their eyes meet.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS239 	00:34:56,00 --> 00:35:00,50 	someone meets the penguins gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS212 	00:44:31,00 --> 00:44:38,50 	now all five children meet on a hilltop.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS244 	00:50:49,00 --> 00:50:54,50 	the chauffeur meets her gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS481 	01:38:23,00 --> 01:38:27,50 	the kids dash out to meet him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS484 	01:38:45,00 --> 01:38:55,50 	setting someone down, rory straightens and meets her
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS495 	01:31:11,00 --> 01:31:18,50 	someone meets someone and her little dog at the hospital.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS276 	01:05:30,00 --> 01:05:36,50 	now as they arrive home someone storms out and meets them on the porch.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS181 	00:41:15,00 --> 00:41:23,50 	the satyr meets his friends gaze and nods.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS439 	01:42:52,00 --> 01:43:00,50 	the demigods rush forward to meet him.
PROMETHEUS.srt 	PROMETHEUS_DVS858 	01:34:07,00 --> 01:34:11,50 	he meets her piercing gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	she swallows, then raises her tender gaze to meet someone's.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS374 	01:11:15,00 --> 01:11:21,50 	someone knits his brow thoughtfully, then meets someone's gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS377 	01:12:05,00 --> 01:12:14,50 	someone tilts his head, his eyes narrowing as he meets someone's gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS596 	01:51:46,00 --> 01:51:56,50 	he steps out to meet someone and they sit on a roadside park bench.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	someone lowers his shades and meets his mugshot's stern gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS697 	02:10:34,00 --> 02:10:39,50 	meeting someone's gaze, she gives a nod.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS159 	00:39:30,00 --> 00:39:35,50 	someone briefly meets his gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS173 	00:41:37,00 --> 00:41:44,50 	he meets his goateed comrade's gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS348 	01:25:15,00 --> 01:25:35,50 	he meets her gaze and she gives a coy warm smile.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS348 	01:25:15,00 --> 01:25:35,50 	someone watches her with a furrowed brow, then rides up to meet her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS354 	01:27:43,00 --> 01:27:56,50 	his goateed comrade approaches and someone meets him in the entryway.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	two pepper haired farm hands meet her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS455 	01:53:04,00 --> 01:53:14,50 	someone moves in close and her lips meet his repeatedly sharing eager tender kisses.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS471 	01:56:29,00 --> 01:56:36,50 	in full armor, someone and king someone ride out to meet someone and his companions.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS202 	00:33:57,00 --> 00:34:03,50 	their lips meet in an ardent tender kiss.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS259 	00:40:23,00 --> 00:40:28,50 	someone meets someone's gaze and points.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS369 	00:59:36,00 --> 00:59:43,50 	as he watches her anxiously, she meets his gaze with tearful eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS487 	01:14:05,00 --> 01:14:13,50 	she meets his gaze and he raises his champagne flute.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS496 	01:16:34,00 --> 01:16:39,50 	someone meets his gaze.
SALT.srt 	SALT_DVS238 	00:41:14,00 --> 00:41:18,50 	she woefully meets his gaze.
SANCTUM.srt 	SANCTUM_DVS381 	01:15:27,00 --> 01:15:32,50 	someone meets his gaze and holds it.
SANCTUM.srt 	SANCTUM_DVS391 	01:17:07,00 --> 01:17:13,50 	he meets his father's gaze and nods.
SANCTUM.srt 	SANCTUM_DVS431 	01:22:22,00 --> 01:22:31,50 	drops of water splash against their helmets, someone turns to his father and meets his gaze with a broad grin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS125 	00:08:22,00 --> 00:08:29,50 	the someone characters translate to "come and meet my family for dinner".
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS984 	01:04:15,00 --> 01:04:19,50 	someone absently meets her laotong's loving gaze, then leans back.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1014 	01:06:17,00 --> 01:06:23,50 	she hesitantly meets his tender brown-eyed gaze.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS86 	00:16:51,00 --> 00:17:02,50 	the woman's blue eyes briefly meet his gaze.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS363 	01:16:48,00 --> 01:16:58,50 	someone halts and their eyes meet.
SOUL_SURFER.srt 	SOUL_SURFER_DVS217 	01:09:41,00 --> 01:09:47,50 	he lifts his brow then meets her gaze.
SOUL_SURFER.srt 	SOUL_SURFER_DVS243 	01:13:48,00 --> 01:13:52,50 	her gaze meets someone's.
SPARKLE_2012.srt 	SPARKLE_2012_DVS294 	00:50:26,00 --> 00:50:31,50 	someone meets her daughter's gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS515 	01:25:03,00 --> 01:25:13,50 	someone and someone arrive home, and someone rises to meet them.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS27 	00:06:12,00 --> 00:06:21,50 	one of the three students from the lunchroom, a blond girl, exhales smoke and meets his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS52 	00:12:47,00 --> 00:12:54,50 	someone's gaze meet his expectantly
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	meet me at someone's.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS230 	00:44:46,00 --> 00:44:50,50 	she meets his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS278 	00:53:06,00 --> 00:53:16,50 	the assistant sheepishly meets his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS299 	00:57:37,00 --> 00:57:43,50 	with a heavy blink, she lifts her brown eyes to meet his.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	the principal meets him.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS416 	01:19:13,00 --> 01:19:26,50 	the two teens hesitantly met each other's gaze.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS70 	00:13:50,00 --> 00:13:55,50 	he meets someone's gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS131 	00:21:35,00 --> 00:21:44,50 	without meeting his gaze, the teen takes a cola from the refrigerator, sits at the table, and slurps sullenly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS144 	00:25:03,00 --> 00:25:10,50 	blinking back tears, someone meets his imploring gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS223 	00:35:07,00 --> 00:35:12,50 	the stone one meets a second wall of painted cinder block, that's stained along the top with mold.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS419 	01:04:16,00 --> 01:04:23,50 	the frustrated father glances aside, then meets someone's steady gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS598 	01:28:02,00 --> 01:28:09,50 	he caresses her hair, then tilts her face up to meet his gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS728 	01:42:44,00 --> 01:42:51,50 	someone gently takes her arm, guides her to the door, then stops and meets her gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS70 	00:05:53,00 --> 00:05:59,50 	someone meets her gaze and his expression softens wearily.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS81 	00:08:39,00 --> 00:08:45,50 	someone faces someone who wearily meets his gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS192 	00:24:02,00 --> 00:24:07,50 	he meets her disapproving gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS284 	00:32:47,00 --> 00:32:52,50 	someone meets someone's concerned gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS497 	00:56:26,00 --> 00:56:33,50 	as his victim shuffles into the hallway with her things, he meets her with a check.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS785 	01:30:25,00 --> 01:30:30,50 	someone meets her gaze and nods.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1178 	02:05:49,00 --> 02:05:57,50 	someone meets his terrified gaze then ambles back to the counter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1308 	02:19:29,00 --> 02:19:35,50 	someone meets someone's misty gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1310 	02:19:34,00 --> 02:19:38,50 	someone meets someone at the front door.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS62 	00:18:48,00 --> 00:18:54,50 	someone avoids meeting someone's eyes.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS234 	01:33:10,00 --> 01:33:16,50 	someone calmly meets a stare.
THE_VOW.srt 	THE_VOW_DVS52 	00:04:07,00 --> 00:04:13,50 	their gazes meet.
THE_VOW.srt 	THE_VOW_DVS154 	00:16:12,00 --> 00:16:19,50 	someone stares at someone with perplexed eyes, and he meets her gaze solemnly.
THE_VOW.srt 	THE_VOW_DVS192 	00:22:32,00 --> 00:22:37,50 	someone meets her gaze reluctantly.
THE_VOW.srt 	THE_VOW_DVS308 	00:39:53,00 --> 00:39:59,50 	someone bows his head then meets her imploring gaze.
THE_VOW.srt 	THE_VOW_DVS508 	01:10:40,00 --> 01:10:45,50 	she meets his gaze with a gentle smile.
THE_VOW.srt 	THE_VOW_DVS572 	01:19:48,00 --> 01:19:55,50 	blinking back tears, someone bravely meets her forgiving gaze.
THE_VOW.srt 	THE_VOW_DVS625 	01:25:54,00 --> 01:26:00,50 	with a reluctant look, she faces her sister and meets her gaze.
THE_WATCH.srt 	THE_WATCH_DVS244 	00:44:03,00 --> 00:44:09,50 	meet me at the bench on sycamore road.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS172 	00:43:23,00 --> 00:43:29,50 	she meets his lips with hers.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS306 	01:20:19,00 --> 01:20:24,50 	he meets her surprised gaze.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS340 	01:24:17,00 --> 01:24:27,50 	the successful business woman meets her gaze with a challenging expression.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS519 	01:54:53,00 --> 01:54:58,50 	as he meets her gaze again, she leans in closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS253 	00:47:44,00 --> 00:47:49,50 	the men meet separately with their team leaders.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS392 	01:11:06,00 --> 01:11:11,50 	they meet in a tender kiss.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS506 	01:27:32,00 --> 01:27:38,50 	his lips meet hers in a smoldering kiss.
THOR.srt 	THOR_DVS91 	00:12:34,00 --> 00:12:39,50 	someone meets his stare then walks away.
THOR.srt 	THOR_DVS496 	01:21:27,00 --> 01:21:34,50 	grabbing a bullhorn, someone steps out to meet the approaching destroyer.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS400 	00:43:23,00 --> 00:43:29,50 	he meets someone's gaze, then sheepishly sips from his cup
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS447 	00:47:29,00 --> 00:47:35,50 	someone stops organizing the cards and meets someone's gaze.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS681 	01:15:58,00 --> 01:16:03,50 	as the discouraged athlete meets his gaze,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS756 	01:22:42,00 --> 01:22:48,50 	meeting his gaze, she beams joyfully.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS428 	00:52:27,00 --> 00:52:32,50 	they all meet the corporate execs at the bar.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS542 	01:12:39,00 --> 01:12:46,50 	someone meets her gaze for a moment, then turns away and gives a disappointed nod.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS582 	01:17:42,00 --> 01:17:47,50 	his smile fades as he meets her gaze.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS649 	01:30:23,00 --> 01:30:28,50 	someone soberly meets her gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS125 	00:20:59,00 --> 00:21:04,50 	someone meets her father's gaze and smiles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS156 	00:26:35,00 --> 00:26:41,50 	now on a dry day, the mees meet the zoo staff outside.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS183 	00:32:36,00 --> 00:32:41,50 	he lifts his eyes and earnestly meets her gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS381 	01:00:26,00 --> 01:00:32,50 	someone meets someone's gaze and jerks her head.
