21_JUMP_STREET.srt 	21_JUMP_STREET_DVS642 	01:37:01,00 --> 01:37:15,50 	he puts gunpowder from the shells and two lithium batteries from someone's digital camera in a liquor bottle.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS62 	00:05:28,00 --> 00:05:32,50 	he puts the van in park.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS173 	00:13:49,00 --> 00:13:54,50 	he puts his hand on someone's tail.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS320 	00:26:49,00 --> 00:26:55,50 	putting the order in, blond notices someone's handiwork.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS525 	00:51:11,00 --> 00:51:18,50 	focusing ardently, someone puts the finishing touches on a pencil drawn picture.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS744 	01:13:56,00 --> 01:14:02,50 	he puts on his wristwatch and notices a stack of mail on the table.
CHRONICLE.srt 	CHRONICLE_DVS400 	01:00:29,00 --> 01:00:33,50 	he puts it on.
CHRONICLE.srt 	CHRONICLE_DVS419 	01:02:02,00 --> 01:02:10,50 	he puts it in his backpack, heaves a deflated sigh, and shifts his thoughtful gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS23 	00:04:55,00 --> 00:04:59,50 	someone puts down his glass
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS44 	00:09:16,00 --> 00:09:22,50 	she kisses her daughter's head as someone puts on his shoes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS50 	00:10:03,00 --> 00:10:08,50 	someone puts the empties on a shelf.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS79 	00:14:43,00 --> 00:14:53,50 	someone puts his arm around his son and brings the boy outside.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS279 	01:07:32,00 --> 01:07:35,50 	someone stays put.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS286 	01:08:39,00 --> 01:08:44,50 	he puts up his dukes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS349 	01:26:39,00 --> 01:26:45,50 	beyond an overturned wagon, men try to put out a fire.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS563 	02:12:54,00 --> 02:13:01,50 	jeanette puts a towel around the fighter's neck.
COLOMBIANA.srt 	COLOMBIANA_DVS87 	00:06:43,00 --> 00:06:47,50 	he puts it on his daughter.
COLOMBIANA.srt 	COLOMBIANA_DVS325 	00:28:37,00 --> 00:28:43,50 	as he puts it back on.
COLOMBIANA.srt 	COLOMBIANA_DVS495 	00:43:35,00 --> 00:43:40,50 	she puts on a floppy knit hat then strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS568 	00:51:54,00 --> 00:51:58,50 	she puts on her bra.
COLOMBIANA.srt 	COLOMBIANA_DVS810 	01:18:42,00 --> 01:18:47,50 	outside, someone puts on a bulletproof vest.
COLOMBIANA.srt 	COLOMBIANA_DVS916 	01:27:42,00 --> 01:27:46,50 	she puts the photo back.
DEAR_JOHN.srt 	DEAR_JOHN_DVS199 	00:31:40,00 --> 00:31:45,50 	someone puts the silverware back down.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS51 	00:06:03,00 --> 00:06:08,50 	someone puts his hand up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS105 	00:28:11,00 --> 00:28:17,50 	someone crouches beside someone and puts a hand on him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS159 	00:37:48,00 --> 00:38:02,50 	someone puts down the framed photo.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS190 	00:43:52,00 --> 00:44:00,50 	someone puts his hand up and she slides her tongue between his fingers.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS235 	00:58:58,00 --> 00:59:06,50 	someone puts someone in front of the tv with snacks and sticks headphones on him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS314 	01:17:32,00 --> 01:17:39,50 	he lets himself in, puts his bag and keys down in the hall
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS327 	01:18:50,00 --> 01:18:57,50 	he puts on a magnifying glass headband with small working lights
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS330 	01:19:00,00 --> 01:19:05,50 	and puts it on someone mouse's head.
DISTRICT_9.srt 	DISTRICT_9_DVS798 	01:34:38,00 --> 01:34:46,50 	puts the little alien down.
EASY_A.srt 	EASY_A_DVS210 	01:04:25,00 --> 01:04:34,50 	she puts it back and hurries out.
FLIGHT.srt 	FLIGHT_DVS23 	00:03:14,00 --> 00:03:18,50 	she puts the joint to his lips.
FLIGHT.srt 	FLIGHT_DVS161 	00:34:19,00 --> 00:34:25,50 	someone puts his bandaged hand to his mouth, as tears flow down his face,
FLIGHT.srt 	FLIGHT_DVS963 	01:54:10,00 --> 01:54:14,50 	someone puts on his shades.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS34 	00:09:35,00 --> 00:09:41,50 	as he checks his phone, she suddenly puts hers away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS104 	00:29:03,00 --> 00:29:10,50 	he puts his hand on the virtual bible.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS161 	00:43:50,00 --> 00:44:05,50 	grinning someone puts on sunglasses then speeds of across the water.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS196 	00:52:37,00 --> 00:52:48,50 	someone puts the phone to his ear.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	she exits the screen and puts down the phone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS72 	00:43:59,00 --> 00:44:08,50 	she puts it to her ear.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS81 	00:12:51,00 --> 00:13:12,50 	in his perch, someone puts a cigarette in his lips and strikes a match.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS145 	00:22:53,00 --> 00:22:59,50 	someone picks up his phone and puts it to his ear.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS391 	00:58:03,00 --> 00:58:07,50 	he puts one half back.
GREEN_ZONE.srt 	GREEN_ZONE_DVS30 	00:07:40,00 --> 00:07:46,50 	the soldiers put on protective gloves and masks.
GROWN_UPS.srt 	GROWN_UPS_DVS190 	00:53:13,00 --> 00:53:20,50 	someone frowns at the cup in his hand, then puts it to his ear.
HUGO.srt 	HUGO_DVS510 	01:14:52,00 --> 01:15:03,50 	someone and his brother walk past an actor putting on a lobster costume.
HUGO.srt 	HUGO_DVS514 	01:15:29,00 --> 01:15:33,50 	someone puts on a plumed helmet.
HUGO.srt 	HUGO_DVS797 	01:56:53,00 --> 01:57:04,50 	he puts on a top hat and places a cigarette in his mouth, then ducks off stage.
IN_TIME.srt 	IN_TIME_DVS262 	00:26:46,00 --> 00:26:55,50 	as the female clerk enters information on a computer, her male counterpart puts a time capsule to someone's wrist.
IN_TIME.srt 	IN_TIME_DVS346 	00:35:59,00 --> 00:36:04,50 	eyeing the food dubiously, he puts it back.
IN_TIME.srt 	IN_TIME_DVS528 	00:56:59,00 --> 00:57:05,50 	in the adjacent room, someone puts on a long-sleeved shirt.
IN_TIME.srt 	IN_TIME_DVS537 	00:57:54,00 --> 00:58:00,50 	as he rolls up his sleeve, someone puts her drink on the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS60 	00:16:25,00 --> 00:16:30,50 	the mastermind puts his arm around him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS82 	00:20:28,00 --> 00:20:40,50 	the hostages put on dark loose fitting coveralls.
INSIDE_MAN.srt 	INSIDE_MAN_DVS183 	00:52:43,00 --> 00:52:49,50 	putting the game down, the boy accepts the food.
INSIDE_MAN.srt 	INSIDE_MAN_DVS372 	01:47:29,00 --> 01:47:34,50 	mr. case puts down a newspaper.
INSIDE_MAN.srt 	INSIDE_MAN_DVS429 	02:01:42,00 --> 02:01:49,50 	he points her fingers like guns, puts on his hat, and strike a pose.
INSIDE_MAN.srt 	INSIDE_MAN_DVS430 	02:01:49,00 --> 02:02:01,50 	he puts a framed certificate on his dresser.
IRON_MAN_2.srt 	IRON_MAN_2_DVS90 	00:17:43,00 --> 00:17:50,50 	someone puts on both of the suit arms, activates the arc reactor and spins around.
IRON_MAN_2.srt 	IRON_MAN_2_DVS136 	00:25:28,00 --> 00:25:34,50 	someone presses his thumb onto an ink pad, then puts his fingerprint on a form.
IRON_MAN_2.srt 	IRON_MAN_2_DVS150 	00:27:57,00 --> 00:28:04,50 	a photographer snaps photos as someone puts his arm around someone, who squirms.
IRON_MAN_2.srt 	IRON_MAN_2_DVS188 	00:34:59,00 --> 00:35:07,50 	someone puts the car in reverse and backs up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	someone bends over and puts his hands into two gloves inside the suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS303 	00:56:03,00 --> 00:56:11,50 	downstairs, someone puts on a silver iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS379 	01:11:45,00 --> 01:11:50,50 	someone puts down a gun and picks up a small black box.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS189 	00:59:53,00 --> 01:00:00,50 	now in a suite, a bathrobe-clad someone puts a cd in a player.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS257 	01:14:05,00 --> 01:14:11,50 	someone eyes someone who pleadingly puts his hands up.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS279 	01:18:29,00 --> 01:18:34,50 	someone puts it to his lips.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS317 	01:30:36,00 --> 01:30:46,50 	she strolls in with a bouquet of purple bellflowers then snips the ends off the stalks and puts them in a vase.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS362 	01:41:43,00 --> 01:41:56,50 	they swap shell-shocked looks and put on their seat belts.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS378 	01:46:23,00 --> 01:46:27,50 	he puts her arms around them.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS50 	00:07:42,00 --> 00:07:46,50 	someone puts down his window.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS210 	00:41:15,00 --> 00:41:20,50 	she puts on granny panties under her robe.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS233 	00:46:25,00 --> 00:46:30,50 	later, someone puts on music.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS300 	00:57:44,00 --> 00:57:50,50 	someone eyes a spoonful of refried beans, then puts down her bowl.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS348 	01:06:25,00 --> 01:06:30,50 	he puts on lipstick and press on nails.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS403 	01:14:17,00 --> 01:14:21,50 	he furtively puts them back in place.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS120 	00:20:20,00 --> 00:20:27,50 	as someone puts out a cigarette, someone steals a bite from her plate.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS217 	00:41:10,00 --> 00:41:19,50 	she sticks the third in the pot, flips a stray antenna off the brim, and puts the lid back on.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS299 	00:59:53,00 --> 01:00:03,50 	someone enter, putting in an earring, and fastens a string of pearls around someone's neck.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS351 	01:07:43,00 --> 01:07:47,50 	she puts it in the oven.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS415 	01:21:11,00 --> 01:21:16,50 	he puts it on as he strides toward the stairs.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS489 	01:34:15,00 --> 01:34:21,50 	he puts his hands in his pockets, and greets her with a faint smile.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS523 	01:43:19,00 --> 01:43:26,50 	she puts the stack of papers down.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS17 	00:04:29,00 --> 00:04:34,50 	she puts his hand on her breast.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS189 	01:06:39,00 --> 01:06:45,50 	now on a putting green overlooking the ocean.
KARATE_KID.srt 	KARATE_KID_DVS202 	00:17:29,00 --> 00:17:35,50 	as the girl starts to put her violin away, someone picks up the music again.
KARATE_KID.srt 	KARATE_KID_DVS533 	00:48:09,00 --> 00:48:13,50 	he puts on his shirt.
KARATE_KID.srt 	KARATE_KID_DVS874 	01:11:58,00 --> 01:12:04,50 	someone offers a befuddled blink, then mimes putting the jacket on.
KARATE_KID.srt 	KARATE_KID_DVS1656 	02:14:13,00 --> 02:14:19,50 	someone beams and puts an arm around someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS51 	00:33:04,00 --> 00:33:08,50 	puts her feet in the stir-ups and the doctor
KNOCKED_UP.srt 	KNOCKED_UP_DVS160 	01:43:08,00 --> 01:43:14,50 	she pauses thoughtfully and puts a hand on her belly.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS110 	00:35:02,00 --> 00:35:06,50 	he puts his hands on it.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS158 	00:58:17,00 --> 00:58:22,50 	he puts his shirt on.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS197 	00:46:01,00 --> 00:46:05,50 	puts his shades back on.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS226 	00:51:22,00 --> 00:51:31,50 	she puts down a box then crosses to her desk at the back of the room.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS243 	00:58:38,00 --> 00:58:41,50 	she puts on her high heeled pumps.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS80 	00:07:29,00 --> 00:07:34,50 	noticing what's in his hands, he puts it down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS85 	00:08:24,00 --> 00:08:29,50 	someone puts the chalk down and resumes his seat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS531 	00:57:59,00 --> 00:58:07,50 	later, he puts the folded torn out in an empty water can and caps it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS640 	01:08:51,00 --> 01:08:59,50 	he keeps hold of it with a rope as he crosses back to someone's side and puts the whistle to his lips.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS960 	01:35:01,00 --> 01:35:08,50 	he removes a leafy bit, inspects it, then puts it in his mouth.
MORNING_GLORY.srt 	MORNING_GLORY_DVS42 	00:05:36,00 --> 00:05:45,50 	someone puts it on under a denim jacket.
MORNING_GLORY.srt 	MORNING_GLORY_DVS74 	00:13:05,00 --> 00:13:10,50 	she puts her hand on her heart.
MORNING_GLORY.srt 	MORNING_GLORY_DVS200 	00:44:58,00 --> 00:45:03,50 	she puts down two heavy bags.
MORNING_GLORY.srt 	MORNING_GLORY_DVS270 	01:00:13,00 --> 01:00:17,50 	he puts it in the fridge.
MORNING_GLORY.srt 	MORNING_GLORY_DVS308 	01:07:25,00 --> 01:07:29,50 	she puts her hand over her eyes.
MORNING_GLORY.srt 	MORNING_GLORY_DVS500 	01:41:41,00 --> 01:41:45,50 	and puts her phone in it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS492 	00:59:50,00 --> 00:59:55,50 	someone puts snow down someone's pants.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS238 	00:49:42,00 --> 00:49:58,50 	she puts a shushing finger to her lips and the piglet joins its siblings.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS377 	01:19:55,00 --> 01:20:00,50 	he puts the pen in her hand and she pushes him away.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS153 	00:25:11,00 --> 00:25:15,50 	he puts his hand over her mouth.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS156 	00:25:32,00 --> 00:25:36,50 	he puts it on.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS192 	00:33:52,00 --> 00:33:56,50 	grinning she puts on her top.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS181 	00:44:17,00 --> 00:44:21,50 	on the field, they put all their hands in the middle.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS343 	01:22:28,00 --> 01:22:33,50 	someone puts her head down.
PROMETHEUS.srt 	PROMETHEUS_DVS192 	00:13:18,00 --> 00:13:22,50 	she puts it on.
PROMETHEUS.srt 	PROMETHEUS_DVS249 	00:23:27,00 --> 00:23:35,50 	someone puts up his hood and hugs his jacket closed.
PROMETHEUS.srt 	PROMETHEUS_DVS494 	00:51:39,00 --> 00:51:46,50 	putting his fingertip over the resulting hole, he tips it upside down.
PROMETHEUS.srt 	PROMETHEUS_DVS729 	01:17:49,00 --> 01:17:53,50 	he puts the cross in a jar.
PROMETHEUS.srt 	PROMETHEUS_DVS827 	01:28:56,00 --> 01:29:00,50 	then helps him put on his slippers.
PROMETHEUS.srt 	PROMETHEUS_DVS841 	01:30:53,00 --> 01:30:59,50 	later, she puts on her spacesuit and zips it up.
PROMETHEUS.srt 	PROMETHEUS_DVS1045 	01:54:10,00 --> 01:54:17,50 	someone puts down her bag and removes her protective space helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS1049 	01:54:22,00 --> 01:54:27,50 	she solemnly puts it on over her head
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS39 	00:06:21,00 --> 00:06:33,50 	as the sandy-haired escapee shuts the door, someone puts a handgun to someone's neck.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS46 	00:07:49,00 --> 00:07:53,50 	someone puts out a cigarette.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS302 	00:56:49,00 --> 00:56:56,50 	a chubby lawyer puts an arm around someone who rests an elbow on the man's shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS342 	01:05:31,00 --> 01:05:36,50 	to green and someone puts the car in gear.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	a few rows ahead, homer puts on his hat and steps into the aisle behind them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS566 	01:45:40,00 --> 01:45:45,50 	he puts on his jacket.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS634 	01:59:24,00 --> 01:59:31,50 	he shuts the watch, puts it away, and pockets the gun.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS79 	00:21:11,00 --> 00:21:21,50 	the loyal knight puts it to the wounded king's lips and pours the liquid into his mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS360 	01:28:42,00 --> 01:28:47,50 	he put a hot splint to his facial scar.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS74 	00:12:47,00 --> 00:12:52,50 	puts on his glasses and dashes upstairs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS231 	00:35:34,00 --> 00:35:39,50 	someone puts their waistband in her teeth.
SALT.srt 	SALT_DVS177 	00:30:41,00 --> 00:30:47,50 	she puts a pair of jeans on under her skirt.
SALT.srt 	SALT_DVS541 	01:33:11,00 --> 01:33:28,50 	he puts the cellphone back in his pocket.
SANCTUM.srt 	SANCTUM_DVS282 	00:56:45,00 --> 00:57:00,50 	someone puts it to his mouth.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1296 	01:29:30,00 --> 01:29:34,50 	standing, she puts it on.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS115 	00:22:23,00 --> 00:22:43,50 	squinting, someone notices a report put up on his fridge.
SOUL_SURFER.srt 	SOUL_SURFER_DVS46 	00:14:45,00 --> 00:14:51,50 	she put longboard on pickup truck beside the van.
SOUL_SURFER.srt 	SOUL_SURFER_DVS71 	00:24:22,00 --> 00:24:25,50 	he puts a leash around someone's wound.
SPARKLE_2012.srt 	SPARKLE_2012_DVS117 	00:19:05,00 --> 00:19:12,50 	she puts one hand around his neck.
SPARKLE_2012.srt 	SPARKLE_2012_DVS161 	00:27:40,00 --> 00:27:44,50 	someone puts on his cap.
