21_JUMP_STREET.srt 	21_JUMP_STREET_DVS178 	00:30:27,00 --> 00:30:36,50 	yeah you are dumbass.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS53 	00:06:43,00 --> 00:06:49,50 	another bomb has been converted into a lamp stand.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS54 	00:07:51,00 --> 00:07:57,50 	someone, the ceo, indicates the meeting is over.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS123 	00:29:57,00 --> 00:30:01,50 	is someone lonely?
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS125 	00:30:01,00 --> 00:30:05,50 	someone is lonely.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS129 	00:30:15,00 --> 00:30:19,50 	are you touching yourself?
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS133 	00:30:26,00 --> 00:30:29,50 	where are you?
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS140 	00:31:37,00 --> 00:31:42,50 	the owner of the backside is actually someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS159 	00:37:48,00 --> 00:38:02,50 	he sinks to his knees then leans forward so his forehead is on the floor.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS166 	00:38:35,00 --> 00:38:40,50 	someone is on all fours, making noises at the cat.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS200 	00:47:51,00 --> 00:47:56,50 	someone's head was resting on the door and it drops,
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS215 	00:54:59,00 --> 00:55:07,50 	someone gawps at someone whose face is scarlet and contorted in a pained expression.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS247 	01:00:10,00 --> 01:00:16,50 	portions of cheese are in front of him and the photo.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS301 	01:15:29,00 --> 01:15:36,50 	someone is in the doorway and overhears someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS359 	01:26:57,00 --> 01:27:03,50 	a block of cheese is suspended above the patient.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS376 	01:32:10,00 --> 01:32:15,50 	someone, someone and someone are cracking up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS398 	01:38:06,00 --> 01:38:10,50 	someone is bewildered.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS445 	01:48:39,00 --> 01:48:45,50 	the sculpture is of someone's finger with the ring with his family motto on it.
DISTRICT_9.srt 	DISTRICT_9_DVS87 	00:10:16,00 --> 00:10:34,50 	8:48 am.
DISTRICT_9.srt 	DISTRICT_9_DVS136 	00:16:13,00 --> 00:16:19,50 	someone is talking to someone.
DISTRICT_9.srt 	DISTRICT_9_DVS157 	00:18:17,00 --> 00:18:31,50 	some of the guns are small, but if it shoot you, it make a big mess.
DISTRICT_9.srt 	DISTRICT_9_DVS305 	00:33:39,00 --> 00:33:48,50 	you cut it here, this is the heart.
DISTRICT_9.srt 	DISTRICT_9_DVS512 	00:59:47,00 --> 00:59:52,50 	the transformation is accelerating, you do not have much time.
DISTRICT_9.srt 	DISTRICT_9_DVS711 	01:23:39,00 --> 01:23:44,50 	now someone is brought before someone.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	it was your turn, now it's mine.
DISTRICT_9.srt 	DISTRICT_9_DVS863 	01:43:30,00 --> 01:43:39,50 	words appear - someone is currently awaiting trial for exposing mnu's illegal genetic research program.
DISTRICT_9.srt 	DISTRICT_9_DVS864 	01:43:37,00 --> 01:43:51,50 	district 9 was demolished after the alien resettlement operation was completed.
DISTRICT_9.srt 	DISTRICT_9_DVS864 	01:43:37,00 --> 01:43:51,50 	district 9 was demolished after the alien resettlement operation was completed.
FLIGHT.srt 	FLIGHT_DVS28 	00:03:56,00 --> 00:04:01,50 	an airplane pin is on his lapel.
FLIGHT.srt 	FLIGHT_DVS127 	00:25:11,00 --> 00:25:17,50 	through blurred vision, someone sees ken leaning to the side in his seat, as he is dragged out.
FLIGHT.srt 	FLIGHT_DVS128 	00:25:27,00 --> 00:25:32,50 	someone is slumped next to someone's still body, her head crushed by a collapsed bulkhead.
FLIGHT.srt 	FLIGHT_DVS138 	00:26:18,00 --> 00:26:23,50 	the other eye is covered by a bandage.
FLIGHT.srt 	FLIGHT_DVS172 	00:38:23,00 --> 00:38:27,50 	someone is startled awake.
FLIGHT.srt 	FLIGHT_DVS523 	01:15:32,00 --> 01:15:41,50 	at a church, a large, framed picture of someone stands surrounded by flowers, as a coffin is carried out.
FLIGHT.srt 	FLIGHT_DVS682 	01:32:21,00 --> 01:32:27,50 	someone's van is parked behind some trees, and someone puts her things in.
FLIGHT.srt 	FLIGHT_DVS973 	01:55:20,00 --> 01:55:27,50 	in the hearing room, cell phone footage of the plane crash is played on a large screen.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS96 	00:54:57,00 --> 00:55:01,50 	his pants are around his ankles.
GREEN_ZONE.srt 	GREEN_ZONE_DVS294 	01:07:58,00 --> 01:08:04,50 	where is he?
GREEN_ZONE.srt 	GREEN_ZONE_DVS369 	01:25:17,00 --> 01:25:30,50 	the sniper is someone.
HUGO.srt 	HUGO_DVS79 	00:10:27,00 --> 00:10:34,50 	the boy crosses to a small area in front of three large windows which has been swept clean.
HUGO.srt 	HUGO_DVS117 	00:15:21,00 --> 00:15:28,50 	the girl who visited the shopkeeper earlier is visible in an upper window.
HUGO.srt 	HUGO_DVS131 	00:17:30,00 --> 00:17:35,50 	the automaton's head and hands are solid,
HUGO.srt 	HUGO_DVS132 	00:17:32,00 --> 00:17:38,50 	while it's arms and torso are an open metal framework.
HUGO.srt 	HUGO_DVS141 	00:19:37,00 --> 00:19:45,50 	later, his father repairs a clock in his shop, which is filled with various gears and mechanisms.
HUGO.srt 	HUGO_DVS222 	00:33:15,00 --> 00:33:19,50 	people are dancing.
HUGO.srt 	HUGO_DVS584 	01:24:47,00 --> 01:24:51,50 	but the watch is gone.
HUGO.srt 	HUGO_DVS761 	01:50:45,00 --> 01:50:51,50 	someone exits onto the opposite platform but is cornered by someone.
HUGO.srt 	HUGO_DVS770 	01:51:32,00 --> 01:51:42,50 	someone's hair blows back as he is illuminated by the train's headlight.
IN_TIME.srt 	IN_TIME_DVS541 	00:58:28,00 --> 00:58:34,50 	he gently twists her arm until his hand is on top.
INSIDE_MAN.srt 	INSIDE_MAN_DVS44 	00:12:05,00 --> 00:12:09,50 	esu member is  toting a bunker.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	someone is collecting keys and cell phones in a sack.
INSIDE_MAN.srt 	INSIDE_MAN_DVS84 	00:21:56,00 --> 00:22:03,50 	someone is putting on bullet proof vests labeled nypd esu.
INSIDE_MAN.srt 	INSIDE_MAN_DVS101 	00:27:43,00 --> 00:27:49,50 	his face is cut and bruised.
IRON_MAN_2.srt 	IRON_MAN_2_DVS28 	00:03:10,00 --> 00:03:37,50 	on one magazine cover, someone is iron man.
IRON_MAN_2.srt 	IRON_MAN_2_DVS432 	01:20:52,00 --> 01:20:57,50 	"the key to the future is here."
IRON_MAN_2.srt 	IRON_MAN_2_DVS491 	01:28:18,00 --> 01:28:24,50 	someone strokes the cockatoo which is perched on his knee.
IRON_MAN_2.srt 	IRON_MAN_2_DVS521 	01:34:18,00 --> 01:34:26,50 	all the drones are equipped with different weapons.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS292 	01:24:36,00 --> 01:24:41,50 	he is pretending to cast a fishing line at her then reels
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS92 	00:20:14,00 --> 00:20:19,50 	its legs are completely splayed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS153 	00:30:57,00 --> 00:31:02,50 	someone knocks herself out on the prize is right.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS205 	00:39:56,00 --> 00:40:00,50 	a phone number is written in ketchup.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS106 	00:17:43,00 --> 00:17:49,50 	her blog is titled - the someone, someone project.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS168 	00:30:38,00 --> 00:30:47,50 	i seem to be your only reader."
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS301 	01:00:03,00 --> 01:00:09,50 	someone's is coppery orange, and someone's is midnight blue.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS301 	01:00:03,00 --> 01:00:09,50 	someone's is coppery orange, and someone's is midnight blue.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS424 	01:22:27,00 --> 01:22:38,50 	someone ink stamps the postcard, wish you were here, and addresses it.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS223 	01:17:16,00 --> 01:17:25,50 	i just hope their noses are clean.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS261 	01:27:46,00 --> 01:27:58,50 	someone lowers her center of gravity, then mimes as though she were juggling.
KARATE_KID.srt 	KARATE_KID_DVS36 	00:03:20,00 --> 00:03:26,50 	almost all but someone and his mother are asian.
KARATE_KID.srt 	KARATE_KID_DVS570 	00:51:12,00 --> 00:51:19,50 	we do not stop when our enemy is down.
KARATE_KID.srt 	KARATE_KID_DVS1077 	01:28:16,00 --> 01:28:25,50 	he peeks around, signals for someone to be quiet, then leads her at a sprint down the sidewalk.
KARATE_KID.srt 	KARATE_KID_DVS1157 	01:35:42,00 --> 01:35:47,50 	the message from his mom reads, where are you?
KARATE_KID.srt 	KARATE_KID_DVS1347 	01:48:54,00 --> 01:48:59,50 	sir, my name is someone.
KARATE_KID.srt 	KARATE_KID_DVS1418 	01:54:28,00 --> 01:54:34,50 	someone asks someone if that was okay and his teacher nods.
KARATE_KID.srt 	KARATE_KID_DVS1592 	02:09:54,00 --> 02:10:00,50 	the score is tied.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS146 	00:41:09,00 --> 00:41:17,50 	a tweet from someone is superimposed over her tour bus.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS148 	00:41:16,00 --> 00:41:22,50 	hello, i am cotton candy someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS272 	01:03:32,00 --> 01:03:37,50 	9:00 am.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS329 	01:16:08,00 --> 01:16:15,50 	@katy perry, i love you, you are the best.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS329 	01:16:08,00 --> 01:16:15,50 	you are a firework, please don't be sad.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS329 	01:16:08,00 --> 01:16:15,50 	you are a firework, please don't be sad.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS330 	01:16:12,00 --> 01:16:18,50 	@katy perry, your someone cats are there for you.
KNOCKED_UP.srt 	KNOCKED_UP_DVS56 	00:34:17,00 --> 00:34:20,50 	she is sobbing face.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS45 	00:14:14,00 --> 00:14:19,50 	the scooters total is less than four.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS242 	00:32:44,00 --> 00:32:51,50 	the cow that produced this liver was vegetarian, the pigs that went into these sausages were vegetarian.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS242 	00:32:44,00 --> 00:32:51,50 	the cow that produced this liver was vegetarian, the pigs that went into these sausages were vegetarian.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS963 	01:35:17,00 --> 01:35:26,50 	a wider view reveals tall, bushy trees towering over the lifeboat and all along the edge of what appears to be an island.
MORNING_GLORY.srt 	MORNING_GLORY_DVS22 	00:03:12,00 --> 00:03:17,50 	the meeting room is behind a studio.
MORNING_GLORY.srt 	MORNING_GLORY_DVS37 	00:05:00,00 --> 00:05:05,50 	the female presenter, someone, is onscreen.
MORNING_GLORY.srt 	MORNING_GLORY_DVS70 	00:12:52,00 --> 00:12:58,50 	as the lift doors are closing, a man jams his arms in the doors and pushes them open.
MORNING_GLORY.srt 	MORNING_GLORY_DVS86 	00:15:07,00 --> 00:15:13,50 	the skyscraper is white with large, dark windows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS111 	00:26:13,00 --> 00:26:18,50 	a woman is waiting for someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS114 	00:26:25,00 --> 00:26:30,50 	her brow is furrowed with intense concentration.
MORNING_GLORY.srt 	MORNING_GLORY_DVS213 	00:48:17,00 --> 00:48:24,50 	she comes out onto the dark streets where several musicians are basking.
MORNING_GLORY.srt 	MORNING_GLORY_DVS235 	00:52:12,00 --> 00:52:17,50 	her vision is blurred.
MORNING_GLORY.srt 	MORNING_GLORY_DVS272 	01:00:35,00 --> 01:00:40,50 	someone isn't there.
MORNING_GLORY.srt 	MORNING_GLORY_DVS322 	01:11:52,00 --> 01:11:58,50 	someone and someone are glued to the screens.
MORNING_GLORY.srt 	MORNING_GLORY_DVS328 	01:13:59,00 --> 01:14:04,50 	live on daybreak, someone is dressed in a sumo suit.
MORNING_GLORY.srt 	MORNING_GLORY_DVS356 	01:17:13,00 --> 01:17:19,50 	someone is jogging.
MORNING_GLORY.srt 	MORNING_GLORY_DVS503 	01:41:46,00 --> 01:41:50,50 	and her hand is over his.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS74 	00:11:41,00 --> 00:11:47,50 	an alarm clock reads, 6:30 am.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS17 	00:04:16,00 --> 00:04:23,50 	a horizontal assembly of pipes is shaped like a castle
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS154 	00:34:19,00 --> 00:34:33,50 	the animals are gone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS298 	01:05:21,00 --> 01:05:32,50 	someone's is blue gray and someone's is checked with a purple necktie.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS298 	01:05:21,00 --> 01:05:32,50 	someone's is blue gray and someone's is checked with a purple necktie.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS344 	01:15:21,00 --> 01:15:25,50 	is the someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS69 	00:07:56,00 --> 00:08:03,50 	someone's friend someone is nearby.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS241 	00:41:18,00 --> 00:41:25,50 	at the hospital, someone goes to the lobby where her sister someone is waiting.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS268 	00:48:51,00 --> 00:48:56,50 	the city is a sea of lights.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS357 	01:06:26,00 --> 01:06:31,50 	stuck to it was sticking plasters
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS358 	01:06:28,00 --> 01:06:33,50 	is a cutout picture of a human heart.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS404 	01:13:33,00 --> 01:13:39,50 	someone is having a candle lit dinner with someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS421 	01:17:14,00 --> 01:17:24,50 	someone's new boyfriend, bones, is sleeping on the backseat.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS554 	01:41:48,00 --> 01:41:58,50 	suddenly, vanessa is surrounded by elderly men and women.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS127 	00:32:45,00 --> 00:32:54,50 	someone mimes being trapped in a box, changing facial expressions with the sweep of the hand and tugging a rope.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS108 	00:24:06,00 --> 00:24:20,50 	his gaze drifts past her to another teenage girl being attached by a cluster of warriors.
PROMETHEUS.srt 	PROMETHEUS_DVS380 	00:38:05,00 --> 00:38:14,50 	as someone studies the carved symbols in the wall, someone inserts a probe from the carbon reader into the alien being.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS230 	00:42:12,00 --> 00:42:34,50 	daytime, a bank's door is open and three men in long coats enter.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS456 	01:27:58,00 --> 01:28:03,50 	the criminal is escaping.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS569 	01:45:59,00 --> 01:46:06,50 	the place is empty.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS598 	01:51:58,00 --> 01:52:17,50 	two years is not a long time anyway.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS598 	01:51:58,00 --> 01:52:17,50 	we will be together again.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	one is ink-stamped with the words in custody.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS25 	00:03:44,00 --> 00:03:58,50 	king someone the lion heart, bankrupt of wealth and glory, is floundering his way back to england after ten years on his crusade.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS79 	00:21:11,00 --> 00:21:21,50 	wine skin and passes is to someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS368 	01:32:06,00 --> 01:32:12,50 	stone is laid on the base of a cross at barnsdale.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS118 	00:20:41,00 --> 00:20:48,50 	with a dreamy wistful gaze he writes, this thing is dripping everywhere.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS403 	01:03:51,00 --> 01:03:59,50 	with a creased brow he types, someone was miserable without someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS440 	01:07:46,00 --> 01:07:55,50 	he positions the page then types, someone was filled with the most effervescent someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS663 	01:35:29,00 --> 01:35:34,50 	someone's family are among the crowd.
SALT.srt 	SALT_DVS227 	00:38:46,00 --> 00:38:53,50 	evelyn someone was injured during the moscow car crash that killed her parents.
SALT.srt 	SALT_DVS344 	01:01:23,00 --> 01:01:33,50 	is around a floating barrel and angles toward a boxy barge.
SALT.srt 	SALT_DVS541 	01:33:11,00 --> 01:33:28,50 	it reads, urgent message - fingerprints place someone on barge where someone was killed.
SANCTUM.srt 	SANCTUM_DVS291 	00:58:59,00 --> 00:59:05,50 	the six inch knife in the ground is almost completely submerged.
SANCTUM.srt 	SANCTUM_DVS320 	01:04:26,00 --> 01:04:32,50 	a crude carving reads "george was here".
SANCTUM.srt 	SANCTUM_DVS475 	01:28:27,00 --> 01:28:42,50 	as the light from his flame disappears, our view glides to writing etched in the side of the tank, "frank and someone were here.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS62 	00:04:34,00 --> 00:04:40,50 	miss someone is on her bike and was hit by a taxi.
