BLINDDATING.srt 	BLINDDATING_DVS360 	01:28:35,00 --> 01:28:44,50 	her lips tremble, and tears glisten in her eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS305 	00:58:09,00 --> 00:58:14,50 	someone pouts, his eyes glistening.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS350 	01:10:02,00 --> 01:10:08,50 	someone's eyes glisten and he presses his lip.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS399 	01:16:56,00 --> 01:17:21,50 	his mother beams proudly, her eyes glistening.
THE_CALL.srt 	THE_CALL_DVS135 	00:11:01,00 --> 00:11:07,50 	someone's glistening eyes dart.
THE_CALL.srt 	THE_CALL_DVS200 	00:16:32,00 --> 00:16:38,50 	she tilts her head toward her boyfriend and looks at him with glistening eyes.
THE_CALL.srt 	THE_CALL_DVS615 	00:48:44,00 --> 00:48:48,50 	someone's eyes glisten.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS53 	00:11:31,00 --> 00:11:36,50 	his eyes glisten and he hangs his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS206 	00:33:56,00 --> 00:34:02,50 	someone's eyes glisten and he gives a shaky nod.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS317 	00:48:42,00 --> 00:48:48,50 	someone's glistening eyes glance between her father and mother.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS526 	01:17:08,00 --> 01:17:13,50 	he stares off with glistening eyes.
THE_VOW.srt 	THE_VOW_DVS480 	01:08:23,00 --> 01:08:29,50 	joining hands they run further out into the glistening lake.
THE_VOW.srt 	THE_VOW_DVS570 	01:18:51,00 --> 01:18:55,50 	someones eyes glisten.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS461 	01:45:31,00 --> 01:45:37,50 	someone lifts his glistening eyes to hers.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS516 	01:28:45,00 --> 01:28:51,50 	her wide eyes glistening.
TRUE_GRIT.srt 	TRUE_GRIT_DVS371 	01:17:37,00 --> 01:17:42,50 	and tears glisten in her eyes.
TRUE_GRIT.srt 	TRUE_GRIT_DVS547 	01:38:04,00 --> 01:38:12,50 	his neck glistening with sweat in the moonlight.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS635 	01:33:53,00 --> 01:33:59,50 	the skin around his eyes glistening with traces of tears
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1246 	01:52:12,00 --> 01:52:23,50 	framed by the metal helmet, someone's parted lips and glistening eyes show his gaze to be strangely tense and tranquil.
