30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS136 	00:37:37,00 --> 00:37:43,50 	they peer through a cracked open window at a maroon datsun inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1025 	01:50:22,00 --> 01:50:30,50 	peering inside through the floor to ceiling windows.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1056 	01:52:16,00 --> 01:52:22,50 	he peers through another door into the darkness outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1245 	02:11:42,00 --> 02:11:47,50 	peering at a photo of someone vanger.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1317 	02:20:02,00 --> 02:20:08,50 	he peers back.
THE_WATCH.srt 	THE_WATCH_DVS254 	00:47:43,00 --> 00:47:51,50 	its headlights shine on someone and someone as they peer through the windows of a charming brick house.
THE_WATCH.srt 	THE_WATCH_DVS266 	00:49:55,00 --> 00:50:00,50 	the creature peers out at him with beady yellow eyes.
THE_WATCH.srt 	THE_WATCH_DVS429 	01:18:41,00 --> 01:19:01,50 	he peers at someone up the length of a golf club.
THE_WATCH.srt 	THE_WATCH_DVS475 	01:25:39,00 --> 01:25:45,50 	someone, someone, and someone peer down into the darkened basement.
THOR.srt 	THOR_DVS79 	00:10:35,00 --> 00:10:43,50 	meanwhile, in the corridor, one of the guards stoops to peer at a film of frost spreading across the floor.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS249 	00:32:38,00 --> 00:32:42,50 	he peers around a corner.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS288 	00:35:11,00 --> 00:35:15,50 	the boy peers down at him.
TRUE_GRIT.srt 	TRUE_GRIT_DVS23 	00:02:43,00 --> 00:02:49,50 	someone peers out of the window at a sprawling western town.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS356 	00:52:13,00 --> 00:52:18,50 	someone ducks into an alcove, then peers back out at him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS265 	00:20:23,00 --> 00:20:30,50 	the agent fearfully ducks out of sight, then steels herself and peers back in.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS349 	00:27:59,00 --> 00:28:07,50 	peering at him through dark sunglasses, someone coolly strolls up to the military commander.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS554 	00:52:10,00 --> 00:52:15,50 	the others peer through the window at him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1098 	01:39:25,00 --> 01:39:30,50 	under water, he peers through the murky deep.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1140 	01:42:02,00 --> 01:42:10,50 	on board the independence, the admiral and his men peer through windows encasing the bridge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1176 	01:45:07,00 --> 01:45:15,50 	the admiral and his men peer down from the bridge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1275 	01:54:57,00 --> 01:55:03,50 	he peers at them, his eyes framed by the helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1341 	02:03:25,00 --> 02:03:32,50 	as someone peers out a window, our view descends to someone's cell.
ZOOKEEPER.srt 	ZOOKEEPER_DVS202 	00:45:28,00 --> 00:45:33,50 	someone peering inside.
