21_JUMP_STREET.srt 	21_JUMP_STREET_DVS449 	01:13:57,00 --> 01:14:05,50 	the tanker slows to a stop gushing oil and fuel as sparks fly from the tumbling motorcycle.
SUPER_8.srt 	SUPER_8_DVS604 	01:38:42,00 --> 01:38:49,50 	the windows of the camera shop shatter as cameras and other metal objects fly out.
SUPER_8.srt 	SUPER_8_DVS609 	01:39:08,00 --> 01:39:13,50 	the cubes fly out and sail into the sky.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS306 	00:45:14,00 --> 00:45:21,50 	birds fly around mr.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS333 	00:51:50,00 --> 00:51:55,50 	the plane flies unsteadily toward a massive storm front.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS334 	00:52:00,00 --> 00:52:06,50 	forks of lightning flash from the thunderhead as the small plane flies into it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS537 	01:15:33,00 --> 01:15:41,50 	as more cars line up at the palace gate, several birds fly over the palace walls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS580 	01:19:48,00 --> 01:19:53,50 	grabs a metal tube in its beak then flies off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS615 	01:22:50,00 --> 01:22:56,50 	the falcon, with snowy clinging to its tail, flies through a window and into a grain mill.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS617 	01:22:57,00 --> 01:23:08,50 	the falcon snags a fluttering scroll then flies outside toward the jeep.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS620 	01:23:17,00 --> 01:23:22,50 	the bird flies off with the last scroll in its beak.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS700 	01:33:46,00 --> 01:33:55,50 	someone flies over the side of the ship and into the harbor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS272 	00:52:18,00 --> 00:52:31,50 	a bird flies past.
THE_WATCH.srt 	THE_WATCH_DVS275 	00:50:53,00 --> 00:51:01,50 	it backhands him, sending him flying against a shed.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS256 	00:48:10,00 --> 00:48:18,50 	a spy drone flies into view behind them.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS462 	01:21:51,00 --> 01:21:58,50 	the huge splash blocks everything from view except a free flying license plate.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS524 	01:29:47,00 --> 01:29:53,50 	now a military grade helicopter flies out at a night time mission.
THOR.srt 	THOR_DVS145 	00:21:21,00 --> 00:21:28,50 	someone smiles as he spins and smashes the giant with someone, sending the giant flying backward.
THOR.srt 	THOR_DVS154 	00:22:11,00 --> 00:22:23,50 	meanwhile, another giant knocks down someone, but someone dispatches him with a flying knife.
THOR.srt 	THOR_DVS520 	01:23:32,00 --> 01:23:40,50 	she flies into the air in an explosion of pavement as the beam cuts across the facades of nearby buildings.
THOR.srt 	THOR_DVS521 	01:23:37,00 --> 01:23:47,50 	as someone's friends attempt to rush to her aid, the destroyer unleashes another blast and sends everyone flying.
THOR.srt 	THOR_DVS541 	01:26:20,00 --> 01:26:25,50 	someone flies several yards then tumbles to a stop on the pavement.
THOR.srt 	THOR_DVS573 	01:29:08,00 --> 01:29:15,50 	the winds intensify, pelting the destroyer with chunks of concrete and flying cars.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS100 	00:11:19,00 --> 00:11:25,50 	loose papers fly and a wind blows blankets off the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS110 	00:12:04,00 --> 00:12:16,50 	she flies up to a map of the world and touches her wand to a location over eastern europe.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS118 	00:13:32,00 --> 00:13:38,50 	the stocky fairy pantomimes flying.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS553 	01:01:02,00 --> 01:01:12,50 	a peppermint embossed with a dog bone floats through midair and flies into someone's mouth.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS698 	01:17:13,00 --> 01:17:19,50 	the puck flies into the net.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS367 	00:58:43,00 --> 00:58:48,50 	a swat from buster sends the gun flying.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS157 	00:10:04,00 --> 00:10:11,50 	with a flick of his hand, he sends the coin flying as fast as an arrow.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS328 	00:24:48,00 --> 00:24:57,50 	someone sends the knife flying into the bartenders chest, summons it back into his grip, and pins the farmer's hand to the table.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS659 	01:00:21,00 --> 01:00:28,50 	as they detonate, missiles fly from russia to the us and explode.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS667 	01:01:24,00 --> 01:01:28,50 	he mimes flying.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1186 	01:45:51,00 --> 01:45:59,50 	someone flies up from the water and sends angel tumbling off course with a sonic scream.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1288 	01:56:09,00 --> 01:56:16,50 	someone elbows him and sends the other mutants flying across the beach.
ZOMBIELAND.srt 	ZOMBIELAND_DVS58 	00:04:40,00 --> 00:04:47,50 	a flying zombie drips blood onto a windshield before crashing into it and knocking away the title.
ZOMBIELAND.srt 	ZOMBIELAND_DVS78 	00:06:26,00 --> 00:06:33,50 	he crashes into a planter sending the zombie flying out the windshield and into a building.
ZOMBIELAND.srt 	ZOMBIELAND_DVS386 	00:43:59,00 --> 00:44:08,50 	its arm flies off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS617 	01:10:42,00 --> 01:10:47,50 	sparks fly from the control box.
ZOOKEEPER.srt 	ZOOKEEPER_DVS336 	01:15:04,00 --> 01:15:10,50 	an eagle flies out and perches beside another eagle.
