21_JUMP_STREET.srt 	21_JUMP_STREET_DVS395 	01:07:05,00 --> 01:07:10,50 	he glances nervously at ms.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS94 	00:10:30,00 --> 00:10:37,50 	glancing back down the dock, he notices someone body now missing.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS283 	00:40:49,00 --> 00:41:06,50 	someone glances back over his shoulder.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS325 	00:46:54,00 --> 00:47:01,50 	someone glances back at the riders then goes to his love's side.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS462 	01:05:52,00 --> 01:05:57,50 	as he answers her, she glances over her shoulder.
BAD_TEACHER.srt 	BAD_TEACHER_DVS117 	00:31:08,00 --> 00:31:13,50 	someone glances away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS42 	00:04:32,00 --> 00:04:36,50 	the man glances around.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS78 	00:11:59,00 --> 00:12:04,50 	he glances around, then leans in close.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS154 	00:25:10,00 --> 00:25:18,50 	on their way upstairs, he glances back at someone who sneers and points.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS415 	01:06:21,00 --> 01:06:27,50 	she glances up from her schoolwork and winces.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS499 	01:19:58,00 --> 01:20:03,50 	on her way up the front steps, she glances back.
BLINDDATING.srt 	BLINDDATING_DVS123 	00:33:08,00 --> 00:33:15,50 	as someone glances back, someone hides the book and waves innocently at her.
BLINDDATING.srt 	BLINDDATING_DVS148 	00:40:01,00 --> 00:40:06,50 	he glances at the limo.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	he glances around the room, then focuses on the paper.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	now, someone sets a plate of pie in front of himself, and glances up from his seat.
BURLESQUE.srt 	BURLESQUE_DVS170 	00:24:55,00 --> 00:24:59,50 	someone glances back.
BURLESQUE.srt 	BURLESQUE_DVS424 	00:58:33,00 --> 00:58:38,50 	someone glances up at him with a winsome pout.
BURLESQUE.srt 	BURLESQUE_DVS677 	01:45:10,00 --> 01:45:14,50 	she glances skyward.
BURLESQUE.srt 	BURLESQUE_DVS726 	01:49:30,00 --> 01:49:35,50 	glancing away, someone bites her lip.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS72 	00:10:35,00 --> 00:10:40,50 	the man glances at rogers' medical form.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS180 	00:33:40,00 --> 00:33:48,50 	someone glances back at someone as she heads upstairs to the observation booth.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS276 	00:51:33,00 --> 00:51:45,50 	someone glances away as one serviceman moons him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS423 	01:17:00,00 --> 01:17:05,50 	the woman sashays to someone who folds his arms and glances away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS466 	01:23:26,00 --> 01:23:33,50 	someone glances back at someone, then moves across a hallway into a connecting compartment.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS506 	01:29:51,00 --> 01:29:56,50 	he glances at her, then pours another shot.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS664 	01:51:47,00 --> 01:51:54,50 	furrowing his brow, someone stares at her, then glances toward a sunlit window.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS46 	00:03:17,00 --> 00:03:23,50 	he glances over his shoulder and paddles his muscular arms, breathing hard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS494 	00:48:06,00 --> 00:48:10,50 	she glances toward the kitchen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1027 	01:39:41,00 --> 01:39:47,50 	he glances behind him, first to the bluffs, then to the weather station.
CHRONICLE.srt 	CHRONICLE_DVS34 	00:04:10,00 --> 00:04:16,50 	the teenager glances back at his camera and eats another chip.
CHRONICLE.srt 	CHRONICLE_DVS169 	00:25:14,00 --> 00:25:19,50 	the woman glances around.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS491 	01:52:38,00 --> 01:52:46,50 	with a nervous look, he glances back at someone then starts toward the ring.
COLOMBIANA.srt 	COLOMBIANA_DVS166 	00:14:44,00 --> 00:14:56,50 	she leaps over a man crouching on the ground and he glances after her.
COLOMBIANA.srt 	COLOMBIANA_DVS199 	00:17:10,00 --> 00:17:17,50 	she rubs her eyes then glances around and climbs out of the hole.
COLOMBIANA.srt 	COLOMBIANA_DVS209 	00:18:01,00 --> 00:18:08,50 	she lifts her eyes to his then glances at an older man at a desk nearby.
COLOMBIANA.srt 	COLOMBIANA_DVS221 	00:19:03,00 --> 00:19:07,50 	he glances at his computer.
COLOMBIANA.srt 	COLOMBIANA_DVS468 	00:41:07,00 --> 00:41:12,50 	he glances at someone warren who nods.
COLOMBIANA.srt 	COLOMBIANA_DVS632 	00:59:35,00 --> 00:59:41,50 	she glances around as she screws a silencer onto its barrel.
COLOMBIANA.srt 	COLOMBIANA_DVS645 	01:00:32,00 --> 01:00:38,50 	then glances around and scoots off the bed.
COLOMBIANA.srt 	COLOMBIANA_DVS663 	01:02:21,00 --> 01:02:26,50 	he glances at the sharks below him.
COLOMBIANA.srt 	COLOMBIANA_DVS718 	01:08:34,00 --> 01:08:39,50 	she glances back at someone
COLOMBIANA.srt 	COLOMBIANA_DVS733 	01:09:26,00 --> 01:09:33,50 	he glances toward the bedroom where someone lies asleep under rumpled covers.
COLOMBIANA.srt 	COLOMBIANA_DVS1080 	01:41:50,00 --> 01:41:56,50 	checking his phone's display, he glances around then answers.
DEAR_JOHN.srt 	DEAR_JOHN_DVS274 	00:42:54,00 --> 00:42:58,50 	he glances at the boy.
DEAR_JOHN.srt 	DEAR_JOHN_DVS411 	01:02:40,00 --> 01:02:48,50 	outside, she glances over her shoulder and smiles at him, then continues away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS444 	01:05:24,00 --> 01:05:31,50 	glancing up, he notices a soldier reclined on a cot, and reading a letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS546 	01:17:25,00 --> 01:17:30,50 	he glances around, uneasily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS598 	01:23:04,00 --> 01:23:10,50 	then glances at the coffin and paces out.
DEAR_JOHN.srt 	DEAR_JOHN_DVS631 	01:26:16,00 --> 01:26:22,50 	she tearfully meets his gaze before glancing away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS719 	01:36:29,00 --> 01:36:36,50 	she glances back at him, then leans heavily on a counter.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS160 	00:38:00,00 --> 00:38:10,50 	he stops and glances around.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS212 	00:52:31,00 --> 00:52:35,50 	they glance at each other.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS392 	01:35:28,00 --> 01:35:32,50 	someone glances away.
DISTRICT_9.srt 	DISTRICT_9_DVS411 	00:45:13,00 --> 00:45:18,50 	someone glances back at her.
DISTRICT_9.srt 	DISTRICT_9_DVS447 	00:50:12,00 --> 00:50:20,50 	someone jerks awake, glancing around with wide fearful eyes.
DISTRICT_9.srt 	DISTRICT_9_DVS505 	00:59:19,00 --> 00:59:27,50 	his eyes glisten as he glances at someone's son.
DISTRICT_9.srt 	DISTRICT_9_DVS546 	01:04:07,00 --> 01:04:13,50 	he glances from his alien arm to the open door.
EASY_A.srt 	EASY_A_DVS23 	00:05:28,00 --> 00:05:34,50 	she glances about, then shuts the card and joins the dog on her bed.
FLIGHT.srt 	FLIGHT_DVS187 	00:42:08,00 --> 00:42:12,50 	she glances at someone.
FLIGHT.srt 	FLIGHT_DVS213 	00:48:04,00 --> 00:48:08,50 	he glances at the pills, then, at a decanter of whiskey, and other liquor bottles near the stereo.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS25 	00:03:55,00 --> 00:03:59,50 	someone glances back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS62 	00:10:39,00 --> 00:10:44,50 	he glances aside and smiles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS277 	00:43:04,00 --> 00:43:18,50 	he glances around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS308 	00:46:47,00 --> 00:46:58,50 	the resurrected man scrambles on his hands and knees in the dirt then glances around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS312 	00:47:27,00 --> 00:47:36,50 	glancing over his shoulder, someone sees an emt standing at an ambulances open side door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS443 	01:03:35,00 --> 01:03:49,50 	he glances at the surrounding bodies of the other monks, each petrified in frightful poses.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS503 	01:12:44,00 --> 01:12:51,50 	she glances up from her green tinted night vision scope then spots four men in a brawl.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS602 	01:26:19,00 --> 01:26:26,50 	he glances back toward someone and lowers his gaze again.
GREEN_ZONE.srt 	GREEN_ZONE_DVS64 	00:16:07,00 --> 00:16:11,50 	he glances away.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	glancing across the street, he spots the guards escorting a cluster of well-dressed men away from the white suv.
GREEN_ZONE.srt 	GREEN_ZONE_DVS96 	00:23:57,00 --> 00:24:03,50 	as someone stares at him, he glances aside.
GREEN_ZONE.srt 	GREEN_ZONE_DVS177 	00:46:09,00 --> 00:46:14,50 	he glances over his shoulder.
GREEN_ZONE.srt 	GREEN_ZONE_DVS194 	00:50:46,00 --> 00:50:51,50 	someone studies him skeptically then glances away.
GREEN_ZONE.srt 	GREEN_ZONE_DVS207 	00:53:46,00 --> 00:53:52,50 	he strides past someone then glances back at him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS236 	00:57:59,00 --> 00:58:10,50 	he glances uneasily at someone who waits with his hands on his hips.
GREEN_ZONE.srt 	GREEN_ZONE_DVS282 	01:05:27,00 --> 01:05:33,50 	someone gapes then glances at a technician as he heads out.
GREEN_ZONE.srt 	GREEN_ZONE_DVS304 	01:09:45,00 --> 01:09:54,50 	seated in the humvee, someone glances away and licks his lips.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	up ahead of it, someone 's envoy paces down a street then expectantly glances over his shoulder at someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS341 	01:17:06,00 --> 01:17:15,50 	someone's men skulk onward and he pads down the alley, glances up at the bleak apartments looming above him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS347 	01:18:38,00 --> 01:18:45,50 	he glances at an iraqi woman in an upper window, then radios in.
HUGO.srt 	HUGO_DVS27 	00:03:31,00 --> 00:03:37,50 	the man glances sideways and narrows his eyes as he studies the clock.
HUGO.srt 	HUGO_DVS148 	00:20:25,00 --> 00:20:32,50 	standing by a rotating film reel, he glances back over his shoulder and frowns.
HUGO.srt 	HUGO_DVS199 	00:30:08,00 --> 00:30:12,50 	she glances at someone and grins.
HUGO.srt 	HUGO_DVS361 	00:55:15,00 --> 00:55:21,50 	he glances sideways at the automaton and grins.
HUGO.srt 	HUGO_DVS375 	00:57:00,00 --> 00:57:07,50 	she glances at someone then back at the drawing, while raising one hand to her mouth.
HUGO.srt 	HUGO_DVS460 	01:07:21,00 --> 01:07:27,50 	the inspector adjusts his leg brace then glances at someone.
HUGO.srt 	HUGO_DVS464 	01:07:41,00 --> 01:07:46,50 	he stops and glances back.
HUGO.srt 	HUGO_DVS561 	01:22:51,00 --> 01:23:00,50 	glancing in both directions, someone hops down to the tracks, steps over a rail, then crouches on a tie.
HUGO.srt 	HUGO_DVS589 	01:25:15,00 --> 01:25:21,50 	someone glances up as the huge gears of a clock close in around him.
HUGO.srt 	HUGO_DVS705 	01:43:35,00 --> 01:43:41,50 	he glances at the cafe owner who presses her hands over her heart.
HUGO.srt 	HUGO_DVS774 	01:52:26,00 --> 01:52:32,50 	the inspector glances down at the brace on his leg.
IN_TIME.srt 	IN_TIME_DVS176 	00:18:50,00 --> 00:18:55,50 	he glances at a bar across the street.
IN_TIME.srt 	IN_TIME_DVS256 	00:26:17,00 --> 00:26:23,50 	he glances back at her, then enters the hotel.
IN_TIME.srt 	IN_TIME_DVS394 	00:41:17,00 --> 00:41:23,50 	he glances over his shoulder at someone as they march him to the staircase.
IN_TIME.srt 	IN_TIME_DVS627 	01:07:05,00 --> 01:07:11,50 	he glances at someone, then eyes the woman's earrings.
IN_TIME.srt 	IN_TIME_DVS860 	01:30:49,00 --> 01:30:57,50 	he glances at the digital map and data tables as someone leads them past.
IN_TIME.srt 	IN_TIME_DVS909 	01:36:09,00 --> 01:36:14,50 	he glances at the cruiser but sees no movement.
IN_TIME.srt 	IN_TIME_DVS916 	01:36:42,00 --> 01:36:55,50 	he glances over his shoulder.
IN_TIME.srt 	IN_TIME_DVS935 	01:38:44,00 --> 01:38:51,50 	he glances at someone.
IN_TIME.srt 	IN_TIME_DVS950 	01:40:01,00 --> 01:40:07,50 	he glances over his shoulder.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	she glances back at him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS228 	00:42:47,00 --> 00:42:54,50 	the man glances down at a number printed on his own shirt.
IRON_MAN_2.srt 	IRON_MAN_2_DVS354 	01:04:39,00 --> 01:04:44,50 	someone glances up at a white armored suit on the scaffold.
IRON_MAN_2.srt 	IRON_MAN_2_DVS499 	01:30:22,00 --> 01:30:28,50 	someone glances up at them and smiles.
IRON_MAN_2.srt 	IRON_MAN_2_DVS578 	01:40:15,00 --> 01:40:22,50 	glancing forward, someone swerves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS36 	00:09:03,00 --> 00:09:08,50 	she glances at someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS134 	00:42:28,00 --> 00:42:35,50 	reads someone, she glances at someone, shuts off the phone, then stumbles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS267 	01:15:48,00 --> 01:15:55,50 	she digs into her cake then glances at the present.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS273 	01:17:31,00 --> 01:17:36,50 	she glances at them and drops it.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS380 	01:46:44,00 --> 01:46:50,50 	he glances over his shoulder and sees her waiting in the doorway.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS394 	01:50:07,00 --> 01:50:13,50 	they share a lingering look and someone glances away.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS395 	01:13:09,00 --> 01:13:14,50 	she glances at them, then eyes the valet.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS52 	00:05:58,00 --> 00:06:03,50 	she glances at them, dangling over the mattress.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS60 	00:06:32,00 --> 00:06:40,50 	as she passes ground zero, she glances at people gathered by a fence adorned with flowers and flags.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS334 	01:04:26,00 --> 01:04:32,50 	he glances at her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS450 	01:28:16,00 --> 01:28:21,50 	with a frown, she glances at someone's empty pillow.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS475 	01:32:02,00 --> 01:32:07,50 	he glances at the phone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS519 	01:42:29,00 --> 01:42:39,50 	at a food shop, someone peeks over a man's shoulder, who glances at the same article.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS223 	01:17:16,00 --> 01:17:25,50 	glancing at the couple, she suppresses a grin.
KARATE_KID.srt 	KARATE_KID_DVS319 	00:28:37,00 --> 00:28:43,50 	he glances after the bullies, then ventures from his hiding spot.
KARATE_KID.srt 	KARATE_KID_DVS351 	00:31:31,00 --> 00:31:36,50 	he glances toward the auditorium.
KARATE_KID.srt 	KARATE_KID_DVS422 	00:38:27,00 --> 00:38:34,50 	as someone stares after him, he glances back and smiles faintly.
KARATE_KID.srt 	KARATE_KID_DVS435 	00:39:13,00 --> 00:39:21,50 	as someone leans forward menacingly, mrs. po glances back from the front of the bus.
KARATE_KID.srt 	KARATE_KID_DVS474 	00:42:31,00 --> 00:42:38,50 	he glances around frantically, then hurries to the maintenance shed's doors and rattles them.
KARATE_KID.srt 	KARATE_KID_DVS718 	01:00:03,00 --> 01:00:10,50 	he glances at his mentor's blank face, then repeats the cycle.
KARATE_KID.srt 	KARATE_KID_DVS742 	01:02:43,00 --> 01:02:54,50 	he glances at the boy through the open doors, then studies his robotic movements over his shoulder.
KARATE_KID.srt 	KARATE_KID_DVS820 	01:08:16,00 --> 01:08:22,50 	she glances at the screen, then locks eyes with him.
KARATE_KID.srt 	KARATE_KID_DVS965 	01:18:54,00 --> 01:19:05,50 	someone leads someone inside, glancing out the windows as he marches along.
KARATE_KID.srt 	KARATE_KID_DVS1043 	01:24:35,00 --> 01:24:42,50 	someone frowns at her glowering son, then glances over her shoulder.
KARATE_KID.srt 	KARATE_KID_DVS1091 	01:30:18,00 --> 01:30:34,50 	he glances away briefly, his eyes wide.
KARATE_KID.srt 	KARATE_KID_DVS1230 	01:40:57,00 --> 01:41:02,50 	and he glances at another photograph.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS319 	01:12:40,00 --> 01:12:46,50 	she glances down at the pair of pinwheels spinning on the front of her costume.
KNOCKED_UP.srt 	KNOCKED_UP_DVS154 	01:36:09,00 --> 01:36:13,50 	she glances over her shoulder.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS69 	00:22:12,00 --> 00:22:17,50 	they glance worriedly over their shoulders.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS138 	00:31:22,00 --> 00:31:27,50 	grinning he glances around at his classmates.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS188 	00:43:48,00 --> 00:43:55,50 	his smile wilts and he nervously glances aside.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS371 	01:28:20,00 --> 01:28:25,50 	someone glances out the window.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS153 	00:20:44,00 --> 00:20:49,50 	he glances between his sons.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS222 	00:29:39,00 --> 00:29:46,50 	a big smile spreads on someone's face and he glances between her and the tiger.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS384 	00:45:46,00 --> 00:45:54,50 	glancing down at it, someone struggles his way to the canvas covered bow and rolls over on top of the beam.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS433 	00:49:52,00 --> 00:49:57,50 	glancing over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS620 	01:07:24,00 --> 01:07:31,50 	he glances around, then beats someone at the side of the boat and raises the hatchet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS761 	01:18:37,00 --> 01:18:42,50 	glancing between the tiger and the bait, he cautiously slides it onto the spear.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS824 	01:24:04,00 --> 01:24:10,50 	glancing from the regal beast's profile toward the water,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS950 	01:34:23,00 --> 01:34:28,50 	he glances to the side.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS105 	00:42:00,00 --> 00:42:26,50 	as someone glances back, his father-in-law steps into some shadows.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS112 	00:43:17,00 --> 00:43:24,50 	frowning, someone sticks his head outside and glances up and down the platform.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS155 	00:55:04,00 --> 00:55:08,50 	he glances back.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS243 	01:22:29,00 --> 01:22:35,50 	he glances around but sees only the playing
MORNING_GLORY.srt 	MORNING_GLORY_DVS107 	00:23:08,00 --> 00:23:12,50 	she glances at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS298 	01:05:38,00 --> 01:05:47,50 	she glances disapprovingly at someone, then reads the note, raises her hand, and points upwards.
MORNING_GLORY.srt 	MORNING_GLORY_DVS482 	01:40:12,00 --> 01:40:17,50 	then glances up and smiles.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS65 	00:10:23,00 --> 00:10:30,50 	glancing over the sleek black furnishings, he sets gift bags on a table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS88 	00:13:20,00 --> 00:13:25,50 	the penguin glances around.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS546 	01:05:05,00 --> 01:05:12,50 	he heats a spoon on a turbine vent, then glances at the egg as he eats from a pot.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS612 	01:13:15,00 --> 01:13:19,50 	she glances at someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS147 	00:33:27,00 --> 00:33:33,50 	leans against the barn, then glances back at the house.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS327 	01:12:20,00 --> 01:12:27,50 	glancing at him, someone stomps to the chair.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS418 	01:27:12,00 --> 01:27:27,50 	she glances at someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS402 	01:13:23,00 --> 01:13:31,50 	someone, who glances around at her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS363 	01:27:25,00 --> 01:27:35,50 	someone glances up and someone nods with an approving smile.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS383 	01:28:19,00 --> 01:28:25,50 	someone quickly glances down as someone grabs hold of his hand.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS148 	00:34:20,00 --> 00:34:27,50 	she glances back at someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS154 	00:35:14,00 --> 00:35:20,50 	he glances from the sword in his hand, the healed cut on his palm.
PROMETHEUS.srt 	PROMETHEUS_DVS99 	00:06:01,00 --> 00:06:08,50 	holloway glances back at two colleagues, then drops a pan and dashes up the slope.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS28 	00:04:36,00 --> 00:04:46,50 	he glances back to the lookout turret.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS159 	00:28:52,00 --> 00:28:57,50 	the gang leader glances around the sidewalk.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	glancing warily ahead, he crouches.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS320 	01:01:31,00 --> 01:01:39,50 	someone coolly glances over his shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS338 	01:04:53,00 --> 01:05:11,50 	they glance curiously at the car, then resume their conversation.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS618 	01:56:13,00 --> 01:56:21,50 	she goes off and someone steps forward, casually chewing gum as he glances around.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS619 	01:56:19,00 --> 01:56:32,50 	he glances at the elevator operator and the door glides shut.
