21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1184 	02:06:25,00 --> 02:06:32,50 	she lowers someone then rips the plastic bag off his face and unshackles his ankles.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS29 	00:03:52,00 --> 00:04:05,50 	someone grabs someone's sleeve for balance but it rips and he plummets off the roof.
THOR.srt 	THOR_DVS390 	00:58:06,00 --> 00:58:12,50 	someone rips down a sheet of plastic, then walks up to someone and smiles.
THOR.srt 	THOR_DVS504 	01:22:24,00 --> 01:22:30,50 	as a woman and a child run across the street an explosion rips through a nearby building.
TRUE_GRIT.srt 	TRUE_GRIT_DVS503 	01:34:00,00 --> 01:34:04,50 	which rips as she does so.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS258 	00:24:34,00 --> 00:24:40,50 	someone accidentally rips off his towel.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS277 	00:27:11,00 --> 00:27:16,50 	she rips off his makeup bib.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS129 	00:08:25,00 --> 00:08:32,50 	the tables soar through the air and the medical instruments rip free from their posts.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS715 	01:04:23,00 --> 01:04:29,50 	the swirling wind engulfs the transmitter, ripping it apart.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1171 	01:44:45,00 --> 01:44:53,50 	with a flick of his hand, someone rips off a chunk of the sub, crushing the cyclone-maker.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1343 	02:03:34,00 --> 02:03:40,50 	the door rips open and someone shifts into her diamond form.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS340 	01:06:48,00 --> 01:06:54,50 	she rips hair removal tape from someone' upper lip.
