21_JUMP_STREET.srt 	21_JUMP_STREET_DVS96 	00:12:58,00 --> 00:13:02,50 	he points out someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS41 	00:18:13,00 --> 00:18:18,50 	he points to a photo of someone on the family tree.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS137 	00:50:20,00 --> 00:50:28,50 	he points to someone's crotch.
MORNING_GLORY.srt 	MORNING_GLORY_DVS166 	00:39:33,00 --> 00:39:38,50 	he points at someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS388 	01:25:42,00 --> 01:25:46,50 	he points.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS28 	00:03:53,00 --> 00:03:57,50 	someone points to a model ship.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS140 	00:21:13,00 --> 00:21:17,50 	he points.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS187 	00:26:34,00 --> 00:26:39,50 	he points at his original penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS201 	00:28:51,00 --> 00:28:56,50 	he points at the cake, then backs into the hall.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS352 	00:44:38,00 --> 00:44:43,50 	someone points out a woman in a black and white dress.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS624 	01:16:04,00 --> 01:16:09,50 	he points to a door, but someone emerges.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS677 	01:24:04,00 --> 01:24:13,50 	pointing his finger like a gun, mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS437 	01:30:56,00 --> 01:31:13,50 	someone catches the bird, points him in a new direction, and releases him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS42 	00:04:23,00 --> 00:04:28,50 	someone points a massive foam hand.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS97 	00:13:43,00 --> 00:13:49,50 	someone proudly points to the name on the cover page.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS327 	01:18:01,00 --> 01:18:05,50 	he points to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS80 	00:13:31,00 --> 00:13:37,50 	someone smacks him in the head with his pistol and points it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS564 	01:45:24,00 --> 01:45:29,50 	office, the interrogator points to doris.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS507 	02:06:48,00 --> 02:06:52,50 	he eyes the king, then points to someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS238 	00:36:28,00 --> 00:36:35,50 	he eats another chip with guacamole, points approvingly and sips a margarita.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS427 	01:05:57,00 --> 01:06:02,50 	she points at a star on the walk of fame.
SANCTUM.srt 	SANCTUM_DVS40 	00:08:49,00 --> 00:08:54,50 	he points to his schematic of the cave.
SANCTUM.srt 	SANCTUM_DVS131 	00:26:57,00 --> 00:27:02,50 	pointing his finger, he swirls it in a circle.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS58 	00:12:01,00 --> 00:12:06,50 	someone points to it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS177 	00:34:45,00 --> 00:34:51,50 	someone points his ring at the sorcerer.
SOUL_SURFER.srt 	SOUL_SURFER_DVS167 	00:49:54,00 --> 00:50:04,50 	now on a beach, someone points his video.
SOUL_SURFER.srt 	SOUL_SURFER_DVS253 	01:15:42,00 --> 01:15:47,50 	she points at the waves.
SPARKLE_2012.srt 	SPARKLE_2012_DVS364 	01:01:48,00 --> 01:01:52,50 	he points at sister.
SPARKLE_2012.srt 	SPARKLE_2012_DVS476 	01:18:00,00 --> 01:18:04,50 	he points his finger at her.
SUPER_8.srt 	SUPER_8_DVS152 	00:24:07,00 --> 00:24:12,50 	someone points the gun at them.
SUPER_8.srt 	SUPER_8_DVS383 	01:08:24,00 --> 01:08:29,50 	a white-bearded man points to smoke billowing on the horizon.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS133 	00:20:22,00 --> 00:20:29,50 	inside the moustached man points one finger at various letters on the newspaper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS389 	00:57:29,00 --> 00:57:33,50 	someone points into the distance.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS656 	01:28:56,00 --> 01:29:01,50 	he points a gun.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS112 	00:25:36,00 --> 00:25:40,50 	he points to one.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS189 	00:38:49,00 --> 00:38:54,50 	he points at the car.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS253 	00:48:42,00 --> 00:48:47,50 	she points at the handcuff.
THE_CALL.srt 	THE_CALL_DVS742 	00:56:01,00 --> 00:56:06,50 	he points to a wall of framed photos.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS257 	00:40:33,00 --> 00:40:39,50 	he wheels around, pointing a finger harshly at someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS672 	01:14:45,00 --> 01:14:49,50 	he points to the report.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS776 	01:29:27,00 --> 01:29:34,50 	he points to a decal on it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS794 	01:31:22,00 --> 01:31:27,50 	the man points to the photo.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS822 	01:34:10,00 --> 01:34:20,50 	she points to his brow then hits a button on the elevator's control panel.
THE_SITTER.srt 	THE_SITTER_DVS144 	01:14:27,00 --> 01:14:31,50 	he points at the doctor.
THE_VOW.srt 	THE_VOW_DVS129 	00:13:54,00 --> 00:13:59,50 	she points at a different table.
THE_VOW.srt 	THE_VOW_DVS283 	00:37:21,00 --> 00:37:25,50 	she points,
THE_WATCH.srt 	THE_WATCH_DVS133 	00:22:51,00 --> 00:22:55,50 	he points to his shoulder patch.
THE_WATCH.srt 	THE_WATCH_DVS395 	01:10:58,00 --> 01:11:02,50 	he points a finger at someone.
THE_WATCH.srt 	THE_WATCH_DVS410 	01:13:52,00 --> 01:13:56,50 	she points to both of them.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS218 	00:54:50,00 --> 00:54:54,50 	he points to someone.
THOR.srt 	THOR_DVS208 	00:28:23,00 --> 00:28:29,50 	someone points one finger toward someone, who stiffens.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS120 	00:13:45,00 --> 00:13:51,50 	fairies point magic wands and drag him back to someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS300 	00:36:17,00 --> 00:36:21,50 	he points his wand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS483 	00:52:47,00 --> 00:52:52,50 	someone points quizzically at himself and the fairy nods.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS706 	01:18:17,00 --> 01:18:27,50 	as the athlete stares, the case worker stubbornly points at his timepiece.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS830 	01:28:11,00 --> 01:28:15,50 	someone points at it.
TRUE_GRIT.srt 	TRUE_GRIT_DVS421 	01:22:20,00 --> 01:22:25,50 	he keeps his gun pointed at someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS623 	01:23:33,00 --> 01:23:38,50 	he points his finger like a gun and blows on the tip.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS239 	00:31:43,00 --> 00:31:48,50 	she points to a sickly green gown.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS567 	00:53:45,00 --> 00:53:50,50 	she points at someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS224 	00:24:25,00 --> 00:24:30,50 	he points to the young woman then the girl.
ZOMBIELAND.srt 	ZOMBIELAND_DVS585 	01:07:50,00 --> 01:07:55,50 	little someone points nearby.
ZOOKEEPER.srt 	ZOOKEEPER_DVS211 	00:47:26,00 --> 00:47:34,50 	someone points out the illuminated clock on the custom house tower.
ZOOKEEPER.srt 	ZOOKEEPER_DVS296 	01:05:07,00 --> 01:05:13,50 	he points across the ballroom then squints.
