21_JUMP_STREET.srt 	21_JUMP_STREET_DVS88 	00:11:41,00 --> 00:11:48,50 	the uniform cops walk through a storage area and enter a small chapel.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS150 	00:28:31,00 --> 00:28:35,50 	he walks through to another display.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS177 	00:31:34,00 --> 00:31:41,50 	in daylight, he walks out of the apartment building with a broad grin on his face.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS219 	00:38:24,00 --> 00:38:30,50 	someone closes the front door and walks slowly into the apartment with patterned wallpaper,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS340 	01:01:40,00 --> 01:01:46,50 	someone gets up and walks down the carriage.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS375 	01:08:02,00 --> 01:08:08,50 	on the other side of the screen, reality is the caption as he walks down a corridor.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS387 	01:09:37,00 --> 01:09:43,50 	someone and someone walk indoors together and kiss passionately.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS396 	01:10:16,00 --> 01:10:25,50 	he storms out into the night, striding down the road, fighting back tears as he encounters a couple walking arm in arm.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS397 	01:10:28,00 --> 01:10:32,50 	he walks down the middle of the road.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS425 	01:15:08,00 --> 01:15:13,50 	and walks slowly past the metal sign on the wall which says, "new hampshire greetings, greeting the world one card at a time".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS433 	01:16:21,00 --> 01:16:26,50 	someone stares into the middle distance and remembers times with someone walking down the street.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS453 	01:17:43,00 --> 01:17:48,50 	someone walks off.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS526 	01:26:37,00 --> 01:26:41,50 	she walks off.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS533 	01:27:11,00 --> 01:27:17,50 	someone walks on a tiled floor through a large airy old office building
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS540 	01:30:04,00 --> 01:30:08,50 	someone walks off she smiles to herself.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS54 	00:04:02,00 --> 00:04:10,50 	at waist level, we follow him as he walks past a scantily clad woman and into the kitchen.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS92 	00:08:04,00 --> 00:08:10,50 	someone walks underneath the sign that reads aeroflot.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS559 	00:53:56,00 --> 00:54:01,50 	the americans walk past a limping woman.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS561 	00:54:06,00 --> 00:54:14,50 	someone walks at the head of a large crowd.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS678 	01:09:40,00 --> 01:09:47,50 	in the vault, someone slowly walks between stacks of the armored cases.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS741 	01:14:27,00 --> 01:14:32,50 	the female masseuse hands him a phone and walks away.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS943 	01:31:25,00 --> 01:31:31,50 	someone walks on the other side of her brother.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS28 	00:07:33,00 --> 00:07:41,50 	at an outdoor retreat people exercise in flower gardens or walk along tree-lined paths.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS32 	00:08:16,00 --> 00:08:21,50 	barefoot someone walks among them.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS40 	00:10:56,00 --> 00:11:00,50 	someone walks away.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS55 	00:15:50,00 --> 00:15:55,50 	as someone walks away, someone gazes downward.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS63 	00:18:18,00 --> 00:18:23,50 	someone walks through the dining room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS72 	00:19:42,00 --> 00:19:49,50 	as someone walks away, two leaves break away from the top of the tree, then drift to the ground.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS98 	00:26:11,00 --> 00:26:15,50 	smiling someone walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS144 	00:29:52,00 --> 00:29:59,50 	cars swerve around him as he walks across the street tapping his cane.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS165 	00:31:02,00 --> 00:31:06,50 	someone stops walking.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS175 	00:33:15,00 --> 00:33:19,50 	later someone walks with samantha.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS188 	00:35:17,00 --> 00:35:23,50 	they walk to a table, where a bearded man stands and shakes someone's hand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS215 	00:41:33,00 --> 00:41:38,50 	someone shakes his fists and walks into the backyard.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS228 	00:44:15,00 --> 00:44:20,50 	samantha gestures toward the phone then walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS229 	00:44:17,00 --> 00:44:24,50 	as someone stares at the ringing phone, someone walks back to his own desk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS254 	00:48:21,00 --> 00:48:26,50 	someone sneers at the woman as he walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS304 	00:55:47,00 --> 00:55:51,50 	the executives walk out.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS309 	00:56:18,00 --> 00:56:23,50 	samantha walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS343 	01:00:08,00 --> 01:00:14,50 	at dusk, someone switches on a bedroom light then walks through his house.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS372 	01:05:34,00 --> 01:05:40,50 	raising his eyebrows someone shrugs and walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS417 	01:12:23,00 --> 01:12:29,50 	later someone walks to a large estate house and knocks at the front door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS258 	00:37:48,00 --> 00:37:53,50 	he walks with an older man wearing sunglasses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS330 	00:47:20,00 --> 00:47:27,50 	as someone walks away, a flash of lightning brightens the alley's walls.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS380 	00:53:22,00 --> 00:53:31,50 	now, a window reflects burning candles and frames someone and someone as they walk up to the house.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS504 	01:11:05,00 --> 01:11:11,50 	it opens as he walks out a man with a bearded chin.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS654 	01:32:37,00 --> 01:32:51,50 	someone walks through the camp.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS110 	00:15:36,00 --> 00:15:42,50 	someone walks over to him and aims point blank.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS161 	00:27:05,00 --> 00:27:11,50 	putting down a roll of toilet paper, someone walks out of the room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS214 	00:36:19,00 --> 00:36:23,50 	later outside, someone walks away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS505 	01:20:25,00 --> 01:20:30,50 	they duck down as a night watchman walks past the door.
BLINDDATING.srt 	BLINDDATING_DVS48 	00:15:01,00 --> 00:15:10,50 	someone walks past him.
BLINDDATING.srt 	BLINDDATING_DVS98 	00:27:38,00 --> 00:27:43,50 	as the woman walks through the open door.
BLINDDATING.srt 	BLINDDATING_DVS144 	00:39:06,00 --> 00:39:19,50 	they walk on.
BLINDDATING.srt 	BLINDDATING_DVS163 	00:41:59,00 --> 00:42:06,50 	her brow wrinkle as she walks away.
BLINDDATING.srt 	BLINDDATING_DVS330 	01:18:36,00 --> 01:18:46,50 	someone forces a smile and walks away, leaving her parents perplexed.
BRUNO.srt 	BRUNO_DVS40 	00:07:45,00 --> 00:07:50,50 	passers-by shun him as he walks.
BRUNO.srt 	BRUNO_DVS72 	00:15:38,00 --> 00:15:43,50 	she walks over hesitantly.
BRUNO.srt 	BRUNO_DVS158 	00:43:46,00 --> 00:43:59,50 	now, someone walks alone across a parking lot to a restaurant - the village inn.
BRUNO.srt 	BRUNO_DVS256 	01:11:35,00 --> 01:11:43,50 	someone walks though the audience, and approaches the octagon.
BRUNO.srt 	BRUNO_DVS265 	01:15:30,00 --> 01:15:35,50 	he shakes his head, then walks out.
BURLESQUE.srt 	BURLESQUE_DVS111 	00:14:46,00 --> 00:14:54,50 	she walks out among the tables.
BURLESQUE.srt 	BURLESQUE_DVS220 	00:32:44,00 --> 00:32:48,50 	someone walks away.
BURLESQUE.srt 	BURLESQUE_DVS374 	00:51:42,00 --> 00:51:47,50 	someone nods as she walks off.
BURLESQUE.srt 	BURLESQUE_DVS407 	00:56:21,00 --> 00:56:27,50 	her smile fades and she walks away.
BURLESQUE.srt 	BURLESQUE_DVS646 	01:39:41,00 --> 01:39:51,50 	now at marcus' contemporary three-story mansion, someone walks up a staircase to the top floor and its breathtaking view of the city.
BURLESQUE.srt 	BURLESQUE_DVS696 	01:46:48,00 --> 01:46:53,50 	she hops off her stool and walks away.
BURLESQUE.srt 	BURLESQUE_DVS735 	01:50:30,00 --> 01:50:36,50 	he walks back to her and hands her some sheet music.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS91 	00:14:35,00 --> 00:14:40,50 	someone salutes then walks off after the girls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS97 	00:15:13,00 --> 00:15:19,50 	someone puts on his shoes as a military police officer walks into the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS128 	00:22:16,00 --> 00:22:21,50 	as the other men reassemble, someone walks up to the flagpole.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS130 	00:22:26,00 --> 00:22:32,50 	he walks to the flag, picks it up, and then hands it to the corporal.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS133 	00:22:52,00 --> 00:22:58,50 	someone walks with dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS135 	00:23:38,00 --> 00:23:44,50 	someone walks to the back of an ammo truck and picks up a grenade.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS141 	00:24:16,00 --> 00:24:22,50 	someone walks off, dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS157 	00:28:21,00 --> 00:28:28,50 	someone walks to a table and examines surveillance photos of dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS172 	00:31:33,00 --> 00:31:42,50 	an mp eyes them as they walk down the hallway into a large operating theater filled with machines and electronic devices.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS176 	00:32:17,00 --> 00:32:24,50 	as the photographer walks away, someone stares at the operating table.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS262 	00:47:16,00 --> 00:47:22,50 	someone walks out, senator brandt steps up to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS277 	00:51:53,00 --> 00:51:58,50 	with his head down, someone walks off the back of the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS279 	00:52:02,00 --> 00:52:07,50 	agent someone walks up to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS285 	00:54:44,00 --> 00:54:51,50 	someone walks off, someone eyes a war map tacked to the back of the tent.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS385 	01:09:55,00 --> 01:10:02,50 	agent someone walks into phillips' tent.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS388 	01:10:55,00 --> 01:11:02,50 	someone smiles at someone as they walk past lines of cheering soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS391 	01:11:32,00 --> 01:11:37,50 	she steps up to someone as the colonel walks off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS415 	01:15:34,00 --> 01:15:40,50 	she walks off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS426 	01:17:17,00 --> 01:17:21,50 	someone walks up behind them.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS437 	01:19:08,00 --> 01:19:24,50 	someone eyes someone icily as she walks out.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS491 	01:25:45,00 --> 01:25:50,50 	someone glances around as he walks across the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS504 	01:29:26,00 --> 01:29:34,50 	elsewhere at night, someone steps over rubble and someone as she walks through a bombed out pub.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS642 	01:48:01,00 --> 01:48:07,50 	as someone lowers her head, someone walks out, leaving her alone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS653 	01:49:39,00 --> 01:49:45,50 	someone walks up to agent someone and sets down a folder, then continues on.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS105 	00:08:32,00 --> 00:08:36,50 	she walks away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS130 	00:10:45,00 --> 00:10:51,50 	the woman opens the doors of a well-stocked surf shed and walks to the back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS136 	00:11:13,00 --> 00:11:20,50 	now, someone walks down the street to the beachfront, struggling to keep the board under his arm.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS432 	00:40:56,00 --> 00:41:01,50 	now they walk the incline back to the van.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS436 	00:41:40,00 --> 00:41:45,50 	he notices someone walking nearby.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS439 	00:42:06,00 --> 00:42:13,50 	she hops onto a flat section next to someone and they walk to the edge overlooking a pool.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS607 	00:58:31,00 --> 00:58:38,50 	now someone runs a hand through her hair as she walks up the walk to her front door.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS740 	01:13:34,00 --> 01:13:39,50 	steeling himself, he walks past the bullies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS976 	01:35:43,00 --> 01:35:50,50 	someone walks up beside someone as the watch someone paddle out, one foot in the air.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1125 	01:47:41,00 --> 01:47:48,50 	someone walks into the surf to meet someone and they throw their arms around each other.
CHRONICLE.srt 	CHRONICLE_DVS26 	00:03:37,00 --> 00:03:42,50 	several students walk by.
CHRONICLE.srt 	CHRONICLE_DVS75 	00:09:24,00 --> 00:09:36,50 	the guy splashes the camera with his drink, spits on someone, then walks away.
CHRONICLE.srt 	CHRONICLE_DVS121 	00:17:20,00 --> 00:17:24,50 	they walk through the woods.
CHRONICLE.srt 	CHRONICLE_DVS277 	00:42:24,00 --> 00:42:28,50 	someone walks onstage.
CHRONICLE.srt 	CHRONICLE_DVS352 	00:53:44,00 --> 00:53:50,50 	walking legs pass clad in black.
CHRONICLE.srt 	CHRONICLE_DVS432 	01:03:05,00 --> 01:03:13,50 	now, a hospital surveillance camera shows a policeman walking mr.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS62 	00:11:50,00 --> 00:11:58,50 	wearing a floppy cap, someone warms his hands over one fire then stuffs them in his pockets and walks off.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS145 	00:32:10,00 --> 00:32:17,50 	later, someone and someone walk down the alley to the tenement courtyard and halt.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS176 	00:38:15,00 --> 00:38:19,50 	someone walks away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS178 	00:38:23,00 --> 00:38:28,50 	someone shrugs then lowers his head and walks to the door.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS193 	00:40:26,00 --> 00:40:39,50 	he nods to a man in a suit and walks into the smoky lounge.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS232 	00:50:52,00 --> 00:51:02,50 	someone walks out.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS235 	00:51:52,00 --> 00:52:05,50 	as the boxer walks out, the chuckling reporter puffs a cigarette.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS263 	01:04:39,00 --> 01:04:47,50 	in his parked car, someone spots someone and someone walking forward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS453 	01:47:05,00 --> 01:47:15,50 	as someone walks off, the children wander into their aunts house.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS477 	01:49:57,00 --> 01:50:01,50 	then walks out past someone.
COLOMBIANA.srt 	COLOMBIANA_DVS204 	00:17:31,00 --> 00:17:37,50 	the dazed girl walks toward one of the security guards.
COLOMBIANA.srt 	COLOMBIANA_DVS238 	00:20:04,00 --> 00:20:10,50 	finding the door to the last stall closed, she walks over.
COLOMBIANA.srt 	COLOMBIANA_DVS255 	00:21:22,00 --> 00:21:27,50 	later, someone walks a dimly lit alleyway
COLOMBIANA.srt 	COLOMBIANA_DVS474 	00:41:48,00 --> 00:41:55,50 	reporters and photographers swarm them as they walk upstairs to the open front door.
COLOMBIANA.srt 	COLOMBIANA_DVS512 	00:46:37,00 --> 00:46:44,50 	inside union station, someone walks down stairs into the sunlit great hall.
COLOMBIANA.srt 	COLOMBIANA_DVS654 	01:01:21,00 --> 01:01:27,50 	his nervous eyes scan the area as he walks across the pool.
COLOMBIANA.srt 	COLOMBIANA_DVS667 	01:02:38,00 --> 01:02:45,50 	walking onto the glass, someone picks up the orchid and drops it into the pool.
COLOMBIANA.srt 	COLOMBIANA_DVS681 	01:04:31,00 --> 01:04:36,50 	walking past easels and paint supplies,
COLOMBIANA.srt 	COLOMBIANA_DVS902 	01:25:03,00 --> 01:25:08,50 	later, he passes a neighbor walking his dog.
DEAR_JOHN.srt 	DEAR_JOHN_DVS33 	00:04:21,00 --> 00:04:25,50 	someone halts and walks back toward them.
DEAR_JOHN.srt 	DEAR_JOHN_DVS84 	00:12:51,00 --> 00:12:56,50 	someone lets go of the shade and walks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS122 	00:18:23,00 --> 00:18:29,50 	now she walks with someone, as he carries his board from the water.
DEAR_JOHN.srt 	DEAR_JOHN_DVS138 	00:22:28,00 --> 00:22:41,50 	now, as they walk down a sidewalk, someone clasps someone's hand to his chest.
DEAR_JOHN.srt 	DEAR_JOHN_DVS143 	00:23:07,00 --> 00:23:17,50 	now, she hugs his arm as they walk hand in hand past a cafe.
DEAR_JOHN.srt 	DEAR_JOHN_DVS245 	00:38:34,00 --> 00:38:49,50 	soldiers walk among merchants set up along a dirt road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS293 	00:45:22,00 --> 00:45:31,50 	seen distantly through the doorway, someone leaves the stereo and walks out of sight.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	now wearing plain clothes, someone walks alone on a busy street in an eastern european town.
DEAR_JOHN.srt 	DEAR_JOHN_DVS326 	00:50:41,00 --> 00:50:46,50 	she touches his back, and he walks off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS327 	00:50:47,00 --> 00:50:54,50 	he walks a few paces away, then halts and hunches forward, catching his breath.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	someone walks past them and exits the airport.
DEAR_JOHN.srt 	DEAR_JOHN_DVS447 	01:05:43,00 --> 01:05:48,50 	someone hangs his head as the soldier walks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS467 	01:08:18,00 --> 01:08:27,50 	as he adds more from his box, his dark-haired buddy walks up.
DEAR_JOHN.srt 	DEAR_JOHN_DVS725 	01:36:55,00 --> 01:37:02,50 	he walks into the dining room, and retrieves his jacket from the back of his chair.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS65 	00:10:34,00 --> 00:10:40,50 	that evening, he walks up outside an art gallery.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS121 	00:29:51,00 --> 00:29:55,50 	she just walked out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS182 	00:41:59,00 --> 00:42:05,50 	someone walks off, a tail stuck to his bum.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS218 	00:55:26,00 --> 00:55:33,50 	they walk away from the irs building, someone ignoring someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS306 	01:16:09,00 --> 01:16:16,50 	then walks down the bank and wades into the pond as well.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS351 	01:24:50,00 --> 01:24:56,50 	someone walks over to the chest from his workshop.
EASY_A.srt 	EASY_A_DVS189 	00:58:16,00 --> 00:58:20,50 	someone walks in.
EASY_A.srt 	EASY_A_DVS201 	01:02:03,00 --> 01:02:10,50 	with her back to someone and the protesters, she wears a wounded stare as she walks away.
EASY_A.srt 	EASY_A_DVS227 	01:11:55,00 --> 01:12:00,50 	later, someone walks her to a car.
FLIGHT.srt 	FLIGHT_DVS27 	00:03:50,00 --> 00:03:58,50 	the man walks out of the room, dressed in a black suit and sporting dark glasses under a pilot's cap.
FLIGHT.srt 	FLIGHT_DVS32 	00:04:14,00 --> 00:04:19,50 	the man, now in a raincoat, walks under a parked south jet airplane.
FLIGHT.srt 	FLIGHT_DVS45 	00:06:51,00 --> 00:06:57,50 	she walks to a car and places the massage table in the trunk.
FLIGHT.srt 	FLIGHT_DVS152 	00:28:37,00 --> 00:28:46,50 	a man walks in wearing an ntsb jacket, followed by a few law officers, a nurse, and a doctor.
FLIGHT.srt 	FLIGHT_DVS165 	00:34:36,00 --> 00:34:47,50 	a heavy man with a goatee walks into the hospital, wearing bermuda shorts and dark glasses, with earphone wires hanging on each side of his head.
FLIGHT.srt 	FLIGHT_DVS189 	00:43:54,00 --> 00:44:01,50 	cigarette hanging out of his mouth, the man picks up the iv pole and walks downstairs.
FLIGHT.srt 	FLIGHT_DVS370 	00:59:27,00 --> 00:59:31,50 	someone walks toward the apartment.
FLIGHT.srt 	FLIGHT_DVS386 	01:02:16,00 --> 01:02:21,50 	carrying the pillow, she walks to someone, kneels down beside him, and removes the ice pack from his knee.
FLIGHT.srt 	FLIGHT_DVS495 	01:11:22,00 --> 01:11:27,50 	someone has not moved since she walked in.
FLIGHT.srt 	FLIGHT_DVS594 	01:22:22,00 --> 01:22:30,50 	someone parks outside a bar, and walks in as his copilot, someone, appears on the news.
FLIGHT.srt 	FLIGHT_DVS597 	01:22:51,00 --> 01:22:56,50 	at the hospital, someone walks over to a private room, and peeps in.
FLIGHT.srt 	FLIGHT_DVS681 	01:32:16,00 --> 01:32:22,50 	she carries a suitcase and a basket, and walks away from the house.
FLIGHT.srt 	FLIGHT_DVS775 	01:37:54,00 --> 01:38:00,50 	he steps out of the car, and walks up a foot path to a house.
FLIGHT.srt 	FLIGHT_DVS901 	01:46:46,00 --> 01:46:51,50 	someone walks over and gazes at the skyline.
FLIGHT.srt 	FLIGHT_DVS913 	01:48:32,00 --> 01:48:37,50 	he closes the fridge door, and walks away.
FLIGHT.srt 	FLIGHT_DVS1055 	01:58:51,00 --> 01:58:57,50 	she rises and walks around the table at the head of the room.
FLIGHT.srt 	FLIGHT_DVS1242 	02:10:17,00 --> 02:10:21,50 	someone smiles as he walks towards someone, seated at a desk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS24 	00:06:03,00 --> 00:06:17,50 	as the web designer walks through a sliding door, an air gust blows the sign from her hands.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS50 	00:13:42,00 --> 00:13:48,50 	they walk to a corner with a view of the empire state building.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS108 	00:29:55,00 --> 00:29:59,50 	she walks away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS263 	01:09:13,00 --> 01:09:19,50 	in the hall, someone groggily walks into the saw a woman in half box.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS280 	01:13:27,00 --> 01:13:34,50 	their dad walks away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS307 	01:21:00,00 --> 01:21:14,50 	in an airport concourse, someone walks sadly within the flow of travelers.
