21_JUMP_STREET.srt 	21_JUMP_STREET_DVS214 	00:36:28,00 --> 00:36:37,50 	as the undercover cops shake their heads, a rapid series of explosive and disturbing images fill our view.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS448 	01:16:42,00 --> 01:16:46,50 	he shakes his head.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS488 	01:24:00,00 --> 01:24:04,50 	someone shakes someone's hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS260 	00:38:06,00 --> 00:38:13,50 	someone climbs into his carriage then shakes someone's hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS321 	00:46:19,00 --> 00:46:23,50 	someone shakes his head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS349 	00:49:42,00 --> 00:49:46,50 	someone shakes someone's hand.
BAD_TEACHER.srt 	BAD_TEACHER_DVS29 	00:11:35,00 --> 00:11:40,50 	someone shakes her head.
BAD_TEACHER.srt 	BAD_TEACHER_DVS114 	00:30:37,00 --> 00:30:42,50 	someone shakes her head.
BAD_TEACHER.srt 	BAD_TEACHER_DVS169 	00:46:34,00 --> 00:46:39,50 	someone shakes her head.
BAD_TEACHER.srt 	BAD_TEACHER_DVS171 	00:46:42,00 --> 00:46:47,50 	someone shakes her head.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS198 	00:33:04,00 --> 00:33:13,50 	he circles his right arm and shakes his wide hips.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS237 	00:38:46,00 --> 00:38:52,50 	someone shakes his head, then waves to catch his attention.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS280 	00:47:59,00 --> 00:48:06,50 	someone reluctantly shakes it.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS423 	01:07:52,00 --> 01:07:56,50 	someone shakes his head.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS643 	01:38:41,00 --> 01:38:46,50 	he shakes his padded someone suit to the floor.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS658 	01:40:32,00 --> 01:40:36,50 	someone shakes his hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS669 	01:41:44,00 --> 01:41:50,50 	they shake hands, hug, then head to someone's suv.
BLINDDATING.srt 	BLINDDATING_DVS12 	00:03:58,00 --> 00:04:04,50 	the therapist shakes her hands out and covers up with her skirt.
BLINDDATING.srt 	BLINDDATING_DVS40 	00:12:27,00 --> 00:12:33,50 	she sneers at someone and shakes her head.
BLINDDATING.srt 	BLINDDATING_DVS68 	00:21:16,00 --> 00:21:23,50 	someone shakes his head.
BLINDDATING.srt 	BLINDDATING_DVS191 	00:48:54,00 --> 00:48:59,50 	someone shakes his head.
BLINDDATING.srt 	BLINDDATING_DVS243 	00:58:49,00 --> 00:58:54,50 	someone shakes his head.
BRUNO.srt 	BRUNO_DVS58 	00:11:47,00 --> 00:11:54,50 	the actor playing the lawyer shakes his head.
BRUNO.srt 	BRUNO_DVS81 	00:16:59,00 --> 00:17:04,50 	someone shakes his head.
BRUNO.srt 	BRUNO_DVS88 	00:19:26,00 --> 00:19:30,50 	someone shakes his head and glares.
BRUNO.srt 	BRUNO_DVS107 	00:23:27,00 --> 00:23:32,50 	the candidate shakes his head.
BRUNO.srt 	BRUNO_DVS117 	00:26:25,00 --> 00:26:36,50 	someone shakes his head back and forth as he strokes someone's invisible member.
BRUNO.srt 	BRUNO_DVS212 	00:58:43,00 --> 00:58:49,50 	offers his limp hand to one of three hunters, and the man shakes it.
BURLESQUE.srt 	BURLESQUE_DVS94 	00:10:36,00 --> 00:10:44,50 	then she returns her eyes to the stage where the dancers shake their hips.
BURLESQUE.srt 	BURLESQUE_DVS209 	00:30:48,00 --> 00:30:52,50 	someone shakes her head.
BURLESQUE.srt 	BURLESQUE_DVS237 	00:34:14,00 --> 00:34:28,50 	someone softly shakes his head to himself.
BURLESQUE.srt 	BURLESQUE_DVS239 	00:34:27,00 --> 00:34:36,50 	a smiling someone points her knees and pops out her hands, then swings her arms, shakes her hips, and whips her hair back.
BURLESQUE.srt 	BURLESQUE_DVS322 	00:44:31,00 --> 00:44:35,50 	averting his gaze, someone shakes his head.
BURLESQUE.srt 	BURLESQUE_DVS349 	00:47:53,00 --> 00:48:00,50 	someone smiles and shakes her head.
BURLESQUE.srt 	BURLESQUE_DVS391 	00:54:17,00 --> 00:54:24,50 	bending forward, she shakes her rear and the feathers on her short skirt flutter.
BURLESQUE.srt 	BURLESQUE_DVS454 	01:02:38,00 --> 01:02:42,50 	someone shakes her head.
BURLESQUE.srt 	BURLESQUE_DVS483 	01:07:07,00 --> 01:07:13,50 	as she removes her coat, he shakes his head and smiles.
BURLESQUE.srt 	BURLESQUE_DVS590 	01:27:25,00 --> 01:27:31,50 	someone spins around in the doorway and someone shakes her head.
BURLESQUE.srt 	BURLESQUE_DVS678 	01:45:13,00 --> 01:45:17,50 	he shakes his head at the check.
BURLESQUE.srt 	BURLESQUE_DVS750 	01:53:31,00 --> 01:53:38,50 	as they shake their butts at the audience, someone imitates them and someone grins.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS89 	00:14:10,00 --> 00:14:16,50 	someone stares at someone, then shakes his head as he backs away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS527 	01:34:39,00 --> 01:34:44,50 	someone smiles and shakes his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS39 	00:02:50,00 --> 00:02:56,50 	he tries to shake the salty water off his face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS165 	00:13:05,00 --> 00:13:10,50 	he shakes it off again and keeps paddling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS367 	00:34:42,00 --> 00:34:47,50 	he pops up and shakes out his curls.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS391 	00:36:51,00 --> 00:36:57,50 	someone shakes out a cup, then fills it with coffee and shifts his anxious gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS491 	00:47:40,00 --> 00:47:45,50 	slack jawed, someone closes his eyes and shakes his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS578 	00:56:09,00 --> 00:56:14,50 	surfacing, he shakes out his curls.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS605 	00:58:20,00 --> 00:58:27,50 	someone seethes on his board as someone joyfully surfaces and shakes his hair out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS698 	01:07:44,00 --> 01:07:49,50 	someone surfaces with someone and shakes his hair out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS767 	01:16:32,00 --> 01:16:36,50 	someone shakes his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS986 	01:36:37,00 --> 01:36:43,50 	as he pounds on the cabin, a veteran surfer shakes his head.
CHRONICLE.srt 	CHRONICLE_DVS522 	01:14:17,00 --> 01:14:26,50 	as someone tries to prop himself up on his elbows, someone shakes both fists overhead in a primal scream.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS82 	00:15:12,00 --> 00:15:19,50 	arms shaking, someone glances down at him and swallows.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS123 	00:28:02,00 --> 00:28:06,50 	she shakes her head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS211 	00:43:52,00 --> 00:43:57,50 	he shakes his head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS226 	00:47:16,00 --> 00:47:19,50 	they shake hands.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS228 	00:48:27,00 --> 00:48:32,50 	as someone stops, someone shakes his head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS288 	01:09:08,00 --> 01:09:12,50 	someone shakes his head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS409 	01:38:39,00 --> 01:38:49,50 	at the bar, baer stands and shakes someone's hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS544 	02:08:06,00 --> 02:08:17,50 	in a grainy blurred focused view from someone's corner, someone rubs his head and shakes his arms down.
COLOMBIANA.srt 	COLOMBIANA_DVS131 	00:11:13,00 --> 00:11:17,50 	she shakes her head.
COLOMBIANA.srt 	COLOMBIANA_DVS300 	00:25:48,00 --> 00:25:53,50 	eating her breakfast, the little girl shakes her head.
COLOMBIANA.srt 	COLOMBIANA_DVS913 	01:27:00,00 --> 01:27:05,50 	she shakes her head with a sorrowful childlike pout
DEAR_JOHN.srt 	DEAR_JOHN_DVS31 	00:03:53,00 --> 00:03:58,50 	the smiling woman shakes her drenched bag.
DEAR_JOHN.srt 	DEAR_JOHN_DVS107 	00:15:43,00 --> 00:15:48,50 	he bashfully shakes it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS273 	00:42:44,00 --> 00:42:51,50 	someone studies the coin and shakes his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS399 	01:01:28,00 --> 01:01:35,50 	someone shakes it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS468 	01:08:26,00 --> 01:08:35,50 	clenching his jaw, someone shakes his head, as he continues to toss letters into the flames.
DEAR_JOHN.srt 	DEAR_JOHN_DVS568 	01:20:52,00 --> 01:20:57,50 	he resolutely shakes his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS623 	01:25:05,00 --> 01:25:12,50 	someone swallows, dropping his gaze, then shakes his head and locks eyes with someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS634 	01:26:35,00 --> 01:26:41,50 	someone nods, then sorrowfully shakes her head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS676 	01:31:06,00 --> 01:31:11,50 	someone shakes her head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS691 	01:33:09,00 --> 01:33:13,50 	he shakes his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS741 	01:37:52,00 --> 01:37:57,50 	she shakes her head disbelievingly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS268 	01:04:47,00 --> 01:04:52,50 	someone shakes hands with someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS374 	01:31:03,00 --> 01:31:09,50 	someone shakes his head.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS377 	01:32:13,00 --> 01:32:19,50 	the vulture man and the beard man shake their heads sadly.
EASY_A.srt 	EASY_A_DVS20 	00:05:00,00 --> 00:05:09,50 	saturday night, someone kneels before her dog, shaking her hips.
EASY_A.srt 	EASY_A_DVS76 	00:28:40,00 --> 00:28:45,50 	someone shakes her head.
EASY_A.srt 	EASY_A_DVS126 	00:39:41,00 --> 00:39:52,50 	the blonde eyes her friend scandalous outfit, and shakes her head.
EASY_A.srt 	EASY_A_DVS173 	00:55:28,00 --> 00:55:32,50 	someone shakes her head.
EASY_A.srt 	EASY_A_DVS246 	01:13:53,00 --> 01:13:58,50 	she shakes her head, wincing tearfully.
EASY_A.srt 	EASY_A_DVS248 	01:16:02,00 --> 01:16:08,50 	knitting her brow, she shakes her head.
EASY_A.srt 	EASY_A_DVS264 	01:19:55,00 --> 01:20:01,50 	someone's jaw drops and she shakes her head.
FLIGHT.srt 	FLIGHT_DVS182 	00:39:38,00 --> 00:39:42,50 	she shakes her head.
FLIGHT.srt 	FLIGHT_DVS186 	00:41:39,00 --> 00:41:43,50 	she shakes her head.
FLIGHT.srt 	FLIGHT_DVS880 	01:43:26,00 --> 01:43:30,50 	they shake hands.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS172 	00:47:34,00 --> 00:47:40,50 	someone shakes the beauty's hand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS301 	01:20:27,00 --> 01:20:34,50 	he shakes his head and hustles after her.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS16 	00:09:16,00 --> 00:09:21,50 	the sleazy man shakes his head.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS46 	00:29:26,00 --> 00:29:36,50 	someone blinks then arches his brow and shakes his head.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS140 	01:23:09,00 --> 01:23:18,50 	someone shakes his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS162 	00:25:20,00 --> 00:25:25,50 	someone shakes his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS205 	00:32:45,00 --> 00:32:50,50 	cringing, someone shakes his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS209 	00:33:26,00 --> 00:33:33,50 	he shakes his head and the socket reverts to human form.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	he shakes himself out of the daze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS319 	00:48:33,00 --> 00:48:38,50 	someone shakes his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS522 	01:14:23,00 --> 01:14:33,50 	someone creeps closer and shakes his head wrathfully.
GREEN_ZONE.srt 	GREEN_ZONE_DVS52 	00:11:45,00 --> 00:11:49,50 	someone shakes hands.
GREEN_ZONE.srt 	GREEN_ZONE_DVS115 	00:27:49,00 --> 00:28:09,50 	a man with a briefcase shakes the general's hand.
GREEN_ZONE.srt 	GREEN_ZONE_DVS305 	01:09:54,00 --> 01:10:02,50 	someone shakes his head and backs away, summoning a quavering breath.
GROWN_UPS.srt 	GROWN_UPS_DVS62 	00:18:41,00 --> 00:18:46,50 	someone shakes his head.
HUGO.srt 	HUGO_DVS53 	00:07:00,00 --> 00:07:06,50 	the man shakes the notebook in the boy's face then frowns and slaps it onto the counter.
HUGO.srt 	HUGO_DVS188 	00:26:56,00 --> 00:27:01,50 	sobs shake someone's shoulders.
HUGO.srt 	HUGO_DVS426 	01:02:29,00 --> 01:02:34,50 	someone shakes his head and shrugs.
HUGO.srt 	HUGO_DVS771 	01:51:46,00 --> 01:51:50,50 	someone shakes his head.
IN_TIME.srt 	IN_TIME_DVS103 	00:11:20,00 --> 00:11:25,50 	he shuts his eyes and shakes his head.
IN_TIME.srt 	IN_TIME_DVS105 	00:11:30,00 --> 00:11:34,50 	he shakes his head again.
IN_TIME.srt 	IN_TIME_DVS512 	00:55:07,00 --> 00:55:12,50 	shaking his head, someone moves away from someone.
IN_TIME.srt 	IN_TIME_DVS621 	01:06:22,00 --> 01:06:26,50 	the chauffeur shakes his head.
IN_TIME.srt 	IN_TIME_DVS789 	01:23:11,00 --> 01:23:16,50 	someone's eyes widen and he shakes his head.
IN_TIME.srt 	IN_TIME_DVS870 	01:31:40,00 --> 01:31:47,50 	someone watches as he exits the vault with the capsule and shakes his head.
IN_TIME.srt 	IN_TIME_DVS977 	01:42:33,00 --> 01:42:37,50 	he shakes his head.
INSIDE_MAN.srt 	INSIDE_MAN_DVS309 	01:32:51,00 --> 01:32:57,50 	someone shakes off his hand.
INSIDE_MAN.srt 	INSIDE_MAN_DVS357 	01:43:23,00 --> 01:43:28,50 	someone smiles and shakes his hand.
INSIDE_MAN.srt 	INSIDE_MAN_DVS362 	01:44:53,00 --> 01:45:05,50 	inside, someone shakes a judge's hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS70 	00:12:07,00 --> 00:12:13,50 	someone glances back at pepper potts's blond assistant, who shakes her head.
IRON_MAN_2.srt 	IRON_MAN_2_DVS111 	00:22:07,00 --> 00:22:12,50 	shaking her head, she smiles.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone, with a bloody gash under his left eye, shakes his head.
IRON_MAN_2.srt 	IRON_MAN_2_DVS314 	00:57:16,00 --> 00:57:28,50 	someone picks up a barbell, shakes off the weights and hits someone with the metal bar.
IRON_MAN_2.srt 	IRON_MAN_2_DVS362 	01:08:09,00 --> 01:08:13,50 	someone shakes his head.
IRON_MAN_2.srt 	IRON_MAN_2_DVS467 	01:25:29,00 --> 01:25:34,50 	they shake hands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS699 	01:55:42,00 --> 01:55:47,50 	someone stands and shakes someone's hand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	shaking her head she strolls over.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS26 	00:07:30,00 --> 00:07:40,50 	she averts her dejected gaze, then shakes her head dismissively, wipes the tears from her eyes, and resumes clearing the plates.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS31 	00:08:21,00 --> 00:08:25,50 	they shake hands.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS39 	00:09:26,00 --> 00:09:30,50 	shakes his hand again.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS56 	00:16:25,00 --> 00:16:29,50 	someone shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS101 	00:30:47,00 --> 00:30:52,50 	someone heads off, someone shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS150 	00:49:44,00 --> 00:49:54,50 	smiles and shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS171 	00:54:30,00 --> 00:54:37,50 	shaking her head she lifts her hands.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS210 	01:03:16,00 --> 01:03:20,50 	he hugs her and shakes her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS216 	01:04:16,00 --> 01:04:21,50 	smiling, someone shakes his head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS294 	01:25:24,00 --> 01:25:29,50 	someone disbelievingly shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS314 	01:30:24,00 --> 01:30:30,50 	she presses her forehead to his and shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS358 	01:41:11,00 --> 01:41:17,50 	someone and someone each look to someone who shakes her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS370 	01:43:29,00 --> 01:43:35,50 	the lovelorn woman shakes her and bravely purses her lips.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS397 	01:51:57,00 --> 01:52:02,50 	she smiles and shakes her head.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS65 	00:11:19,00 --> 00:11:24,50 	she smiles at someone, who shakes his head.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS71 	00:13:40,00 --> 00:13:45,50 	she shakes it from someone's head.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS73 	00:15:34,00 --> 00:15:38,50 	eating, someone shakes his head.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS165 	00:33:13,00 --> 00:33:20,50 	a slack-jawed someone shakes his head admiringly.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS30 	00:03:24,00 --> 00:03:31,50 	the young woman glances at her companion, and with a grin, shakes her head of short red hair.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS103 	00:16:31,00 --> 00:16:36,50 	someone shakes a tums into his hand.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS171 	00:31:28,00 --> 00:31:33,50 	madame someone shakes her head.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS179 	00:33:24,00 --> 00:33:37,50 	someone adds beaten eggs and shakes her pan back and forth over a gas flame.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS408 	01:18:49,00 --> 01:18:54,50 	someone shakes her head, her lips pursed in a frown.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS466 	01:30:17,00 --> 01:30:21,50 	someone shakes her head.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS555 	01:49:36,00 --> 01:49:40,50 	she shakes her head.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS67 	00:23:56,00 --> 00:24:01,50 	she shakes her hips, and they laugh.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS86 	00:32:49,00 --> 00:32:54,50 	they shake hands on it.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS256 	01:27:06,00 --> 01:27:12,50 	someone raises her arms overhead and shakes her hips.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS258 	01:27:16,00 --> 01:27:24,50 	the tall redhead shakes her head and circles her bent arms, then points to someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS265 	01:28:21,00 --> 01:28:29,50 	someone hulas in front of someone, then shakes her hips while raising her arms overhead.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS289 	01:34:39,00 --> 01:34:43,50 	they shake hands.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS315 	01:41:23,00 --> 01:41:28,50 	someone shakes his head.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS336 	01:48:07,00 --> 01:48:14,50 	beaming, someone shakes her head fondly.
KARATE_KID.srt 	KARATE_KID_DVS213 	00:18:20,00 --> 00:18:26,50 	he gestures imploringly at his injured friend and shakes his head.
KARATE_KID.srt 	KARATE_KID_DVS402 	00:36:38,00 --> 00:36:44,50 	someone shakes his head, his chin trembling.
KARATE_KID.srt 	KARATE_KID_DVS489 	00:44:08,00 --> 00:44:13,50 	glaring, someone shakes them off.
KARATE_KID.srt 	KARATE_KID_DVS1260 	01:42:16,00 --> 01:42:21,50 	someone remains slouched and the boy shakes the poles insistently.
KARATE_KID.srt 	KARATE_KID_DVS1387 	01:52:07,00 --> 01:52:14,50 	someone glances over his shoulder at someone, who shakes his fist encouragingly.
KARATE_KID.srt 	KARATE_KID_DVS1414 	01:54:12,00 --> 01:54:17,50 	master someone happily shakes a fist.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS111 	00:26:56,00 --> 00:27:07,50 	smiling wide, someone shakes her shoulders then falls sideways and sticks one leg in the air.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS145 	00:40:45,00 --> 00:40:50,50 	someone's mother smiles and shakes her head.
KNOCKED_UP.srt 	KNOCKED_UP_DVS24 	00:18:10,00 --> 00:18:14,50 	they shake hands.
KNOCKED_UP.srt 	KNOCKED_UP_DVS108 	01:08:50,00 --> 01:08:54,50 	someone shakes his hand exposing...
KNOCKED_UP.srt 	KNOCKED_UP_DVS136 	01:22:04,00 --> 01:22:08,50 	someone shakes his head.
KNOCKED_UP.srt 	KNOCKED_UP_DVS159 	01:43:03,00 --> 01:43:11,50 	on the couch someone shakes her head at the screen.
KNOCKED_UP.srt 	KNOCKED_UP_DVS185 	01:56:24,00 --> 01:56:29,50 	a passing doctor shakes his head at them.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	someone knits his brow and shakes his head.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS67 	00:18:22,00 --> 00:18:27,50 	removing her helmet, she shakes out her curly hair.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS193 	00:44:44,00 --> 00:44:56,50 	standing over him, someone angrily shakes the phone.
