21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	a woman with long blonde hair turns.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS658 	01:07:34,00 --> 01:07:40,50 	inserting it further, someone turns the cylinder clockwise,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS660 	01:07:43,00 --> 01:07:50,50 	the prisoner twists the key, another quarter turn to the right.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS707 	01:12:05,00 --> 01:12:09,50 	he turns back with a hardened look.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS738 	01:14:09,00 --> 01:14:16,50 	turning around, he waves the truck on board as it reverses into position.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS767 	01:15:52,00 --> 01:15:58,50 	the russian freezes, then turns to face someone and someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS775 	01:17:02,00 --> 01:17:08,50 	slowly turning, someone shares a tense look with his dad.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS845 	01:23:40,00 --> 01:23:44,50 	the chopper turns to face the roof.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS123 	00:28:01,00 --> 00:28:09,50 	someone turns, strides across the room, picks up his briefcase, then turns back to face the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS123 	00:28:01,00 --> 00:28:09,50 	someone turns, strides across the room, picks up his briefcase, then turns back to face the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS124 	00:28:07,00 --> 00:28:13,50 	smiling, someone turns toward the tree and raises his middle finger.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS146 	00:30:00,00 --> 00:30:06,50 	turned around, the blind man now walks down the middle of the street.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS295 	00:54:22,00 --> 00:54:27,50 	someone turns to a blond woman beside him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS329 	00:58:48,00 --> 00:58:54,50 	someone turns and stares up at the tree's leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS423 	01:13:06,00 --> 01:13:11,50 	he stares at someone then turns and walks off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS92 	00:10:19,00 --> 00:10:25,50 	turning to the river, he chucks his pistol into the water.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS95 	00:10:34,00 --> 00:10:39,50 	as he turns, someone faces him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS109 	00:11:44,00 --> 00:11:49,50 	he opens it then turns his attention to a window.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS151 	00:18:50,00 --> 00:18:54,50 	someone turns.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS161 	00:21:22,00 --> 00:21:34,50 	someone turns the thiefs inside out coat back the right way then shakes out the wrinkles.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS183 	00:24:53,00 --> 00:25:06,50 	as he turns, someone narrows his eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS205 	00:27:53,00 --> 00:27:58,50 	she turns and scans the room.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS211 	00:29:29,00 --> 00:29:45,50 	as he swings his ax, the man turns and vanishes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS220 	00:31:11,00 --> 00:31:17,50 	someone turns her head away and presses her lips together suppressing a smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS229 	00:32:36,00 --> 00:32:41,50 	as she leans in, he turns his cheek to her lips.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS239 	00:33:43,00 --> 00:33:50,50 	she slides the paper closer and he turns.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS254 	00:37:05,00 --> 00:37:11,50 	she reaches through the bars and turns someone's head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS266 	00:38:58,00 --> 00:39:02,50 	he turns back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS326 	00:46:58,00 --> 00:47:04,50 	he gently turns her face to his own and kisses her on the lips.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS336 	00:47:54,00 --> 00:47:59,50 	pulling his ax from his jacket, he turns to strike.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS357 	00:50:56,00 --> 00:51:04,50 	someone turns someone' hand palm up and pries his fingers from someone's pocket watch.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS361 	00:51:13,00 --> 00:51:18,50 	he turns back and ambles over to someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS429 	01:01:44,00 --> 01:01:51,50 	the men turn.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS448 	01:04:18,00 --> 01:04:25,50 	turning around, he returns to his father's desk and kisses his sunken cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS469 	01:06:44,00 --> 01:06:49,50 	someone turns and faces him questioningly.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS480 	01:07:42,00 --> 01:07:47,50 	turning, he finds someone sitting on the concrete.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS521 	01:13:06,00 --> 01:13:13,50 	turning, the general finds every man in his unit sprawled on the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS525 	01:14:12,00 --> 01:14:18,50 	someone turns the silver utensil in his hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS540 	01:16:16,00 --> 01:16:22,50 	someone turns over his shoulder to meet her gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS570 	01:19:33,00 --> 01:19:50,50 	removing a pair of spectacles, the president takes up his ax and turns away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS583 	01:20:44,00 --> 01:20:51,50 	stepping past, someone pauses, raises his ax and turns.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS589 	01:21:33,00 --> 01:21:37,50 	turning, he raises his weapon.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	someone slides it shut then turns to face another shuttered hatch.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS604 	01:23:45,00 --> 01:24:02,50 	he regains his footing and hurries on to a vampire turning a hand wheel.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS605 	01:23:59,00 --> 01:24:15,50 	rising to his knees, he turns the hand wheel, disengaging the brake.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS606 	01:24:13,00 --> 01:24:35,50 	on the roof, still turning the hand wheel, someone watches his enemy rise to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS607 	01:24:33,00 --> 01:24:37,50 	someone turns his head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS626 	01:28:17,00 --> 01:28:21,50 	they turn back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS629 	01:28:31,00 --> 01:28:37,50 	turning around, he finds himself face to face with someone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS86 	00:24:25,00 --> 00:24:30,50 	she turns to the stalls.
BAD_TEACHER.srt 	BAD_TEACHER_DVS141 	00:37:27,00 --> 00:37:32,50 	then turns to a homeless man.
BAD_TEACHER.srt 	BAD_TEACHER_DVS311 	01:24:08,00 --> 01:24:15,50 	he turns his back to her, closes his eyes for a moment, then faces her again.
BAD_TEACHER.srt 	BAD_TEACHER_DVS314 	01:24:32,00 --> 01:24:38,50 	turning, he finds someone striding over to him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS66 	00:10:44,00 --> 00:10:48,50 	then turns into a parking lot.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS89 	00:13:01,00 --> 00:13:15,50 	as someone rounds a corner onto another street, someone turns off his headlights.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS91 	00:13:20,00 --> 00:13:27,50 	someone turns a dial on his cb radio.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS94 	00:13:42,00 --> 00:13:47,50 	someone turns up his radio's volume.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS112 	00:15:45,00 --> 00:15:50,50 	he grabs his phone from his pocket and turns it off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS218 	00:36:31,00 --> 00:36:39,50 	turning on the light, he pulls the door shut, then hikes up his skirt to find his padded girdle in the way.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS230 	00:38:20,00 --> 00:38:26,50 	someone turns around and widens his eyes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS231 	00:38:25,00 --> 00:38:32,50 	now, a bald heavyset guard turns up a boombox on top of his security control panel.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS242 	00:40:19,00 --> 00:40:24,50 	he goes into his office and turns on the lights.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS252 	00:42:25,00 --> 00:42:31,50 	someone turns for someone to wrap the necklace around her neck.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS354 	00:57:44,00 --> 00:57:48,50 	he turns to her.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS355 	00:57:48,00 --> 00:57:53,50 	someone turns away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS382 	01:01:17,00 --> 01:01:21,50 	someone turns.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS441 	01:10:29,00 --> 01:10:37,50 	a short distance down a street, a sedan turns on its headlights and crawls toward the promenade.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS475 	01:13:52,00 --> 01:13:58,50 	he checks the knapsack again, then turns on the closet's overhead light.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS524 	01:22:12,00 --> 01:22:16,50 	both girls turn to speak.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS535 	01:23:27,00 --> 01:23:33,50 	she cranks the wheel and they turn onto a cross street.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS540 	01:23:54,00 --> 01:24:01,50 	the mercedes drifts through a hard right turn past a road work site.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS541 	01:23:59,00 --> 01:24:05,50 	he cranks the wheel from someone and they turn into a parking lot.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS591 	01:33:10,00 --> 01:33:16,50 	as he races away, someone turns to the audience.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS637 	01:38:11,00 --> 01:38:16,50 	he turns his weapon on someone.
BLINDDATING.srt 	BLINDDATING_DVS56 	00:17:15,00 --> 00:17:21,50 	someone turns an ear toward the screened off backseat.
BLINDDATING.srt 	BLINDDATING_DVS70 	00:22:01,00 --> 00:22:07,50 	later, the limo turns a corner.
BLINDDATING.srt 	BLINDDATING_DVS86 	00:25:27,00 --> 00:25:44,50 	there he closes the door and turns away with a frown.
BLINDDATING.srt 	BLINDDATING_DVS146 	00:39:22,00 --> 00:39:28,50 	in a garage, someone turns away from a mechanic.
BLINDDATING.srt 	BLINDDATING_DVS204 	00:50:56,00 --> 00:51:04,50 	someone turns his head away from his brother.
BLINDDATING.srt 	BLINDDATING_DVS208 	00:52:33,00 --> 00:52:39,50 	he turns sharply and heads toward the table for two.
BLINDDATING.srt 	BLINDDATING_DVS250 	00:59:56,00 --> 01:00:01,50 	she turned.
BLINDDATING.srt 	BLINDDATING_DVS317 	01:16:48,00 --> 01:16:54,50 	he turns on his tv.
BLINDDATING.srt 	BLINDDATING_DVS335 	01:20:10,00 --> 01:20:24,50 	at home, someone's father enters his son's dark bedroom and turns on the light.
BLINDDATING.srt 	BLINDDATING_DVS341 	01:21:45,00 --> 01:22:02,50 	wearing a determined expression, he turns away.
BRUNO.srt 	BRUNO_DVS35 	00:06:59,00 --> 00:07:05,50 	now, one doorman after another turns him away.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	turning his back on someone, he crouches, revealing a red thong.
BRUNO.srt 	BRUNO_DVS79 	00:16:44,00 --> 00:16:48,50 	hangs up and turns to someone.
BRUNO.srt 	BRUNO_DVS108 	00:23:33,00 --> 00:23:41,50 	someone turns off a lamp.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	with the newspaper in his hands, ron someone turns his back to him.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	he gestures, as if turning someone around, and spreading his butt cheeks.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	he pretends to turn someone back to face him, and simulates oral sex, moving his head up and down.
BRUNO.srt 	BRUNO_DVS153 	00:38:06,00 --> 00:38:13,50 	turning abruptly into the street, he cuts off a speeding car, which skids.
BRUNO.srt 	BRUNO_DVS183 	00:48:47,00 --> 00:48:57,50 	his jaw hanging slack, as he turns and trudges away.
BURLESQUE.srt 	BURLESQUE_DVS96 	00:10:49,00 --> 00:10:54,50 	the blonde turns back to the bartender.
BURLESQUE.srt 	BURLESQUE_DVS159 	00:22:39,00 --> 00:22:44,50 	someone turns on his way out.
BURLESQUE.srt 	BURLESQUE_DVS224 	00:33:29,00 --> 00:33:35,50 	standing at a chair with her back turned, someone lets her hair down.
BURLESQUE.srt 	BURLESQUE_DVS266 	00:37:45,00 --> 00:37:52,50 	then turns and sees the group disappearing down a staircase without her.
BURLESQUE.srt 	BURLESQUE_DVS296 	00:40:30,00 --> 00:40:36,50 	someone turns to the mirror and sees her red lips and painted eyelids.
BURLESQUE.srt 	BURLESQUE_DVS299 	00:40:47,00 --> 00:40:53,50 	he turns to a towel rack where more undergarments hang.
BURLESQUE.srt 	BURLESQUE_DVS365 	00:50:24,00 --> 00:50:31,50 	someone gives her dancers a thumbs up, then turns to someone.
BURLESQUE.srt 	BURLESQUE_DVS371 	00:51:19,00 --> 00:51:24,50 	she turns away with a conniving smirk.
BURLESQUE.srt 	BURLESQUE_DVS397 	00:55:27,00 --> 00:55:33,50 	all of the panels turn with dancers in front of each.
BURLESQUE.srt 	BURLESQUE_DVS403 	00:55:56,00 --> 00:56:00,50 	the stage lights turn off.
BURLESQUE.srt 	BURLESQUE_DVS435 	01:00:14,00 --> 01:00:23,50 	turning away, she lowers the fan and shimmies.
BURLESQUE.srt 	BURLESQUE_DVS466 	01:04:34,00 --> 01:04:40,50 	turning away, someone sips her wine with a cynical smirk.
BURLESQUE.srt 	BURLESQUE_DVS500 	01:09:28,00 --> 01:09:36,50 	someone turns in profile and bumps her shoulders forward into an animalistic slouch.
BURLESQUE.srt 	BURLESQUE_DVS551 	01:19:49,00 --> 01:19:58,50 	someone flings the crowbar back into her trunk then turns and leans on the bumper.
BURLESQUE.srt 	BURLESQUE_DVS642 	01:37:29,00 --> 01:37:33,50 	someone turns.
BURLESQUE.srt 	BURLESQUE_DVS688 	01:45:57,00 --> 01:46:03,50 	as she approaches someone, someone turns back to the bar.
BURLESQUE.srt 	BURLESQUE_DVS694 	01:46:30,00 --> 01:46:34,50 	someone turns to someone.
BURLESQUE.srt 	BURLESQUE_DVS698 	01:46:53,00 --> 01:47:00,50 	with a serene look, she turns away and sips from a glass of dessert wine.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS37 	00:04:51,00 --> 00:04:58,50 	the soldiers stop pushing and turned to face the nazi officer as he strides into the tower.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS44 	00:06:02,00 --> 00:06:08,50 	he turns to the bearded man and drops the cube onto the floor, shattering it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS47 	00:06:35,00 --> 00:06:43,50 	the nazi officer turns and walks toward the wooden panel which is carved with the image of a tree.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS86 	00:13:06,00 --> 00:13:16,50 	someone turns to where someone was standing but finds him gone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS110 	00:18:33,00 --> 00:18:38,50 	someone slowly turns a dial.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS132 	00:22:41,00 --> 00:22:49,50 	she turns and smiles at him as they pull away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS139 	00:24:08,00 --> 00:24:14,50 	someone who turns to the colonel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS144 	00:24:49,00 --> 00:24:54,50 	the doctor turns the bottle in his hand.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS158 	00:29:04,00 --> 00:29:09,50 	someone turns and walks away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS159 	00:29:09,00 --> 00:29:13,50 	someone stops and turns to face someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS160 	00:29:13,00 --> 00:29:19,50 	someone turns on bright lights behind the artist.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS173 	00:31:47,00 --> 00:31:53,50 	people in white lab coats turn and stare at someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS174 	00:31:58,00 --> 00:32:07,50 	he glances at someone who turns and leads him to dr.
