21_JUMP_STREET.srt 	21_JUMP_STREET_DVS455 	01:14:40,00 --> 01:14:45,50 	someone aims out the driver side window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS830 	01:22:42,00 --> 01:22:47,50 	someone aims at his legs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS833 	01:22:49,00 --> 01:22:56,50 	inside, someone reaches the top and hurries on to the roof, with his pistol aimed.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS838 	01:23:06,00 --> 01:23:21,50 	stepping back, someone aims at the door.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS868 	01:24:56,00 --> 01:25:03,50 	with glaring eyes, someone dives toward someone who tries to aim at him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS30 	00:03:35,00 --> 00:03:42,50 	he grabs the cane revealing its handle as a secret pistol aimed at his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS512 	01:12:17,00 --> 01:12:23,50 	the thin soldier aims a rifle with his brothers-in-arms.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS590 	01:21:37,00 --> 01:21:44,50 	he moves to a shuttered hatch and slides it open, aiming into the darkness.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he puts his back to the wall and aims in either direction.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS102 	00:14:51,00 --> 00:14:56,50 	he grabs someone and aims his gun at the thug's neck.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS110 	00:15:36,00 --> 00:15:42,50 	someone walks over to him and aims point blank.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS114 	00:15:56,00 --> 00:16:00,50 	the mobster aims his gun.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS633 	01:37:54,00 --> 01:38:00,50 	racing in, someone and someone aim their guns at someone's head.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS651 	01:39:50,00 --> 01:39:54,50 	he aims his weapon at someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone runs into the street and aims her pistol as someone flicks his lighter causing a car parked behind her to explode.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS237 	00:41:25,00 --> 00:41:32,50 	as someone steps around the building's corner, someone aims his pistol at the boy's head.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS238 	00:41:31,00 --> 00:41:36,50 	someone aims at someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS450 	01:20:37,00 --> 01:20:45,50 	outside another destroyed factory, a hydra guard aims a gun at someone but someone shoots the guard first.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1034 	01:40:02,00 --> 01:40:10,50 	on a fishing boat, a white haired photographer with a battered baseball cap aims his lens.
CHRONICLE.srt 	CHRONICLE_DVS84 	00:11:35,00 --> 00:11:40,50 	someone aims his camera down the hole.
CHRONICLE.srt 	CHRONICLE_DVS325 	00:49:44,00 --> 00:49:49,50 	someone aims a hand at the creature and levitates it.
CHRONICLE.srt 	CHRONICLE_DVS391 	00:59:22,00 --> 00:59:30,50 	as he swivels a hand aimed in her direction, her body gently turns and a blanket slides up to cover her.
CHRONICLE.srt 	CHRONICLE_DVS408 	01:01:10,00 --> 01:01:15,50 	someone aims a finger like a gun.
CHRONICLE.srt 	CHRONICLE_DVS526 	01:14:44,00 --> 01:14:52,50 	his gaze lands on a nearby statue which depicts a shirtless warrior aiming a spear.
COLOMBIANA.srt 	COLOMBIANA_DVS190 	00:16:36,00 --> 00:16:41,50 	he aims a gun out his window.
COLOMBIANA.srt 	COLOMBIANA_DVS480 	00:42:27,00 --> 00:42:35,50 	facing the cop, the fbi agent aims an imaginary gun and visualizes the murdered criminal.
COLOMBIANA.srt 	COLOMBIANA_DVS638 	01:00:05,00 --> 01:00:12,50 	as she aims her weapon, a blonde snuggles up to the portly man in her sleep
COLOMBIANA.srt 	COLOMBIANA_DVS640 	01:00:11,00 --> 01:00:19,50 	our view arcs around someone's gun until the silencer muzzle aims right at us.
COLOMBIANA.srt 	COLOMBIANA_DVS884 	01:23:47,00 --> 01:23:52,50 	she aims her gun upward then ventures on.
COLOMBIANA.srt 	COLOMBIANA_DVS953 	01:31:57,00 --> 01:32:01,50 	she aims a gun.
COLOMBIANA.srt 	COLOMBIANA_DVS997 	01:35:06,00 --> 01:35:14,50 	with the phone still to his ear, someone aims a handgun as he cautiously steps toward the hole.
DISTRICT_9.srt 	DISTRICT_9_DVS250 	00:27:48,00 --> 00:27:55,50 	someone aims his shotgun at the kid.
DISTRICT_9.srt 	DISTRICT_9_DVS470 	00:54:23,00 --> 00:54:34,50 	a soldier cocks a machine gun aimed at the camp.
DISTRICT_9.srt 	DISTRICT_9_DVS573 	01:07:44,00 --> 01:07:50,50 	he aims at someone.
DISTRICT_9.srt 	DISTRICT_9_DVS601 	01:10:38,00 --> 01:10:54,50 	now with their guns aimed, someone heads down a stairwell with a few other soldiers.
DISTRICT_9.srt 	DISTRICT_9_DVS651 	01:16:33,00 --> 01:16:38,50 	someone cowers under someone's aimed gun.
DISTRICT_9.srt 	DISTRICT_9_DVS684 	01:20:12,00 --> 01:20:19,50 	someone, aiming a rifle, cautiously approaches an open hatchway to the ship.
DISTRICT_9.srt 	DISTRICT_9_DVS693 	01:21:18,00 --> 01:21:40,50 	in the transport, a soldier aims a pistol at someone.
DISTRICT_9.srt 	DISTRICT_9_DVS695 	01:21:47,00 --> 01:21:51,50 	a gangster aims an rpg.
DISTRICT_9.srt 	DISTRICT_9_DVS768 	01:30:50,00 --> 01:31:05,50 	back by the transport, the mercenary aims his gun at someone's head.
DISTRICT_9.srt 	DISTRICT_9_DVS780 	01:32:26,00 --> 01:32:34,50 	the sniper aims again.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS97 	00:15:11,00 --> 00:15:17,50 	someone stands, aims his revolver at her and cocks the hammer.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS157 	00:24:18,00 --> 00:24:25,50 	someone lunges, aiming a gun at him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS241 	00:38:30,00 --> 00:38:47,50 	the men aim their guns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS245 	00:39:06,00 --> 00:39:11,50 	someone fires the launcher aimed right at him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS261 	00:41:12,00 --> 00:41:28,50 	as he aims it at them, ghost rider's chain wraps around his ankle.
GREEN_ZONE.srt 	GREEN_ZONE_DVS438 	01:36:33,00 --> 01:36:40,50 	someone aims at his fellow american then at the fleeing general.
GREEN_ZONE.srt 	GREEN_ZONE_DVS443 	01:37:26,00 --> 01:37:35,50 	the general falls and someone aims at the civilian.
GROWN_UPS.srt 	GROWN_UPS_DVS41 	00:10:09,00 --> 00:10:13,50 	she aims for his lips.
IN_TIME.srt 	IN_TIME_DVS419 	00:45:07,00 --> 00:45:15,50 	the guard aims a gun.
IN_TIME.srt 	IN_TIME_DVS629 	01:07:10,00 --> 01:07:18,50 	he moves to someone, who keeps her gun aimed at the blond and sets the earrings in her palm.
IN_TIME.srt 	IN_TIME_DVS630 	01:07:21,00 --> 01:07:26,50 	he aims his gun at the chauffeur.
IN_TIME.srt 	IN_TIME_DVS657 	01:11:23,00 --> 01:11:29,50 	with someone behind her, someone aims the gun,
IN_TIME.srt 	IN_TIME_DVS710 	01:15:56,00 --> 01:16:03,50 	someone leans out the passenger window and aims a gun at his back.
IN_TIME.srt 	IN_TIME_DVS712 	01:16:03,00 --> 01:16:09,50 	someone gets out, approaches him, and aims again.
IN_TIME.srt 	IN_TIME_DVS817 	01:26:59,00 --> 01:27:03,50 	he aims at someone.
IN_TIME.srt 	IN_TIME_DVS852 	01:30:15,00 --> 01:30:20,50 	among them, someone aims a gun at someone's head.
IN_TIME.srt 	IN_TIME_DVS873 	01:32:50,00 --> 01:32:54,50 	his gun aimed at someone's head.
IN_TIME.srt 	IN_TIME_DVS881 	01:33:20,00 --> 01:33:24,50 	someone aims his gun at the keypad.
IN_TIME.srt 	IN_TIME_DVS894 	01:34:52,00 --> 01:34:59,50 	taking shelter behind them, timekeepers aim their weapons over the hoods.
IN_TIME.srt 	IN_TIME_DVS913 	01:36:22,00 --> 01:36:29,50 	as he aims his gun at someone and someone, dayton residents crowd closer.
INSIDE_MAN.srt 	INSIDE_MAN_DVS27 	00:06:27,00 --> 00:06:35,50 	someone aims an unlit work light at the security camera.
INSIDE_MAN.srt 	INSIDE_MAN_DVS28 	00:06:35,00 --> 00:06:42,50 	someone aims a second unlit work light at another camera - incapacitating it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS270 	01:24:18,00 --> 01:24:25,50 	a robber aims a rifle at someone's head.
INSIDE_MAN.srt 	INSIDE_MAN_DVS273 	01:24:52,00 --> 01:25:01,50 	in the bank, someone stares outside, pistol aimed.
INSIDE_MAN.srt 	INSIDE_MAN_DVS318 	01:34:28,00 --> 01:34:43,50 	officers stand behind a squad car with their rifles aimed at the doors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS571 	01:39:42,00 --> 01:39:53,50 	as the drone's shoulder-mounted gun lowers and aims at the child, someone lands and blasts the drone to pieces.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS213 	01:03:39,00 --> 01:03:44,50 	she aims the remote at the tv.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS353 	01:39:44,00 --> 01:39:58,50 	someone aims the laptop at someone, then grabs his robe.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS579 	01:54:13,00 --> 01:54:17,50 	someone aims her knife.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS114 	00:36:51,00 --> 00:37:01,50 	he aims the ray at the eye of a statue and it bounces among the reflect
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS747 	01:17:44,00 --> 01:17:50,50 	the teen flinches but keeps his spear aimed at the tiger.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS805 	01:22:19,00 --> 01:22:23,50 	someone reloads and aims again.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS269 	01:04:09,00 --> 01:04:13,50 	a cameraman aims at someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS162 	00:36:03,00 --> 00:36:10,50 	someone aims his weapon at her, its tip stopping within inches of her throat.
PROMETHEUS.srt 	PROMETHEUS_DVS390 	00:39:13,00 --> 00:39:19,50 	someone and someone aim their flashlights at the curved ceiling.
PROMETHEUS.srt 	PROMETHEUS_DVS485 	00:50:48,00 --> 00:50:53,50 	meanwhile, with someone, a green laser beam aims at a slide.
PROMETHEUS.srt 	PROMETHEUS_DVS702 	01:14:31,00 --> 01:14:37,50 	aiming his flashlight, the android approaches it wearily.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS56 	00:09:48,00 --> 00:10:00,50 	he aims his rifle at the wounded outlaw who lies on his back.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS82 	00:13:50,00 --> 00:13:56,50 	someone hops up on the counter, aiming his machine gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS91 	00:14:57,00 --> 00:15:13,50 	down the road, lawmen aim rifles over the car's hood.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS91 	00:14:57,00 --> 00:15:13,50 	someone aims at the police over the president's shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS295 	00:55:25,00 --> 00:55:34,50 	seated between two of his captors, someone keeps his pensive gaze aimed downward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS367 	01:10:13,00 --> 01:10:19,50 	grabs him in a choke hold and aims a gun at gilbert.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS397 	01:16:32,00 --> 01:16:36,50 	he aims a gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS443 	01:25:07,00 --> 01:25:13,50 	someone aims his someone gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS497 	01:33:47,00 --> 01:34:00,50 	someone glares over his aimed pistol.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS36 	00:07:27,00 --> 00:07:31,50 	the defender aims across
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS76 	00:20:34,00 --> 00:20:38,50 	crossbow and aims.
SALT.srt 	SALT_DVS211 	00:36:06,00 --> 00:36:16,50 	flanked by agents aiming their guns, someone leans out toward her.
SALT.srt 	SALT_DVS288 	00:50:38,00 --> 00:50:56,50 	she aims a tiny mirror down the hallway and spots a security agent striding up.
SALT.srt 	SALT_DVS297 	00:52:20,00 --> 00:52:29,50 	someone aims her gun through the cloud of dust and faintly glimpses matveyev's form.
SALT.srt 	SALT_DVS301 	00:52:47,00 --> 00:52:54,50 	she raises her hands, aiming the gun harmlessly at the ceiling then lets it drop.
SALT.srt 	SALT_DVS354 	01:03:09,00 --> 01:03:14,50 	a thug aims his rifle at her.
SALT.srt 	SALT_DVS359 	01:04:01,00 --> 01:04:10,50 	she looks up at a guard in a suit, aiming a handgun at her.
SALT.srt 	SALT_DVS466 	01:19:53,00 --> 01:20:03,50 	back inside, someone aims his gun at the president.
SUPER_8.srt 	SUPER_8_DVS192 	00:32:01,00 --> 00:32:08,50 	someone aims the camera at the crash site and peers through the lens as a helicopter hovers overhead.
SUPER_8.srt 	SUPER_8_DVS307 	00:54:44,00 --> 00:54:53,50 	soldiers aiming assault weapons surround someone's car.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS127 	00:19:55,00 --> 00:20:01,50 	popping up on one knee, someone aims his gun at the door, which slowly swings open.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS267 	00:39:33,00 --> 00:39:40,50 	someone aims a pistol, but snowy deflects his arm.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS327 	00:50:49,00 --> 00:50:53,50 	he aims his gun.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS595 	01:21:08,00 --> 01:21:14,50 	someone raises the rocket launcher to his shoulder and aims.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS599 	01:21:32,00 --> 01:21:43,50 	as someone aims his machine gun, snowy leaps at him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS89 	00:17:06,00 --> 00:17:13,50 	someone aims his gun at someone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS91 	00:17:18,00 --> 00:17:22,50 	someone aims at someone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS310 	00:56:27,00 --> 00:56:32,50 	someone aims the rear-view mirror at it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS312 	00:56:58,00 --> 00:57:13,50 	as the chiseled thug aims a gun at them from behind the wheel, someone jams her foot on the gas pedal.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS318 	00:58:02,00 --> 00:58:13,50 	nearing he vehicle, someone slows and aims his gun.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS321 	00:58:23,00 --> 00:58:29,50 	turning back, he finds himself aiming at someone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS552 	01:39:14,00 --> 01:39:21,50 	he aims his gun around a corner and scans the vacant shadows.
THE_CALL.srt 	THE_CALL_DVS508 	00:39:10,00 --> 00:39:17,50 	he aims the screw driver at her eye then runs his fingers along her paint-stained hair.
THE_CALL.srt 	THE_CALL_DVS562 	00:42:59,00 --> 00:43:05,50 	with their guns aimed, the officers rush toward the sedan.
THE_CALL.srt 	THE_CALL_DVS657 	00:51:21,00 --> 00:51:27,50 	she aims the phone's light around the trunk and spots something.
THE_CALL.srt 	THE_CALL_DVS917 	01:10:25,00 --> 01:10:31,50 	someone aims her flashlight at the boxes and singles one out.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS250 	01:37:00,00 --> 01:37:04,50 	someone aims a fire extinguisher.
THE_WATCH.srt 	THE_WATCH_DVS321 	00:56:23,00 --> 00:56:28,50 	she glares at him, aiming the hose.
THE_WATCH.srt 	THE_WATCH_DVS488 	01:27:21,00 --> 01:27:26,50 	someone walks up to the tower and aims his shotgun.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS27 	00:03:44,00 --> 00:03:53,50 	someone aims the gun at someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS235 	00:43:17,00 --> 00:43:24,50 	reaching the main floor, someone trips then draws an ankle pistol and aims.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS468 	01:22:42,00 --> 01:22:54,50 	as one suv gunman aims at them, someone pulls his trigger and pegs the guy.
THOR.srt 	THOR_DVS384 	00:57:25,00 --> 00:57:32,50 	they land outside and wrestle in mud as someone aims his drawn bow at them from his vantage point overhead.
THOR.srt 	THOR_DVS621 	01:34:35,00 --> 01:34:40,50 	someone aims his spear at someone and blasts him through a wall.
TRUE_GRIT.srt 	TRUE_GRIT_DVS167 	00:37:12,00 --> 00:37:18,50 	he aims at someone and stares at him fiercely.
TRUE_GRIT.srt 	TRUE_GRIT_DVS261 	00:53:45,00 --> 00:53:53,50 	someone squats down by some tree branches and aims at the dark cabin with his rifle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS457 	01:30:40,00 --> 01:30:48,50 	someone aims his rifle.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS107 	00:17:26,00 --> 00:17:35,50 	then find someone riding on her father's shoulders, aiming her camera at the quaint two-story colonial house.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS448 	01:10:16,00 --> 01:10:24,50 	pointing two fingers like a gun, someone mimes aiming it into his own mouth and pulling the trigger.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS712 	01:42:44,00 --> 01:42:49,50 	he shakes his head and aims his pen.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS807 	01:53:47,00 --> 01:53:52,50 	later, someone aims a camera.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS115 	00:11:29,00 --> 00:11:35,50 	amid a huddle of giggling women, one aims her videophone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS613 	01:22:57,00 --> 01:23:03,50 	nearby, someone's father aims his cell phone camera.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS323 	00:24:31,00 --> 00:24:37,50 	the bartender aims a gun.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS334 	00:25:18,00 --> 00:25:24,50 	the gun floats to his hand and he aims at the farmer.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS615 	00:57:32,00 --> 00:57:40,50 	as the guards by the portico aim their weapons,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS620 	00:57:51,00 --> 00:57:59,50 	as two soldiers aim their weapons, he commands the guns to disassemble, then hurls them into the ground.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS820 	01:14:03,00 --> 01:14:10,50 	the remaining two converge to reveal someone aiming a gun on his estate.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS878 	01:20:17,00 --> 01:20:23,50 	with his fingers spread wide, he aims his palms at the dish.
ZOMBIELAND.srt 	ZOMBIELAND_DVS136 	00:11:49,00 --> 00:11:55,50 	as the young man aims his shotgun at it, someone yanks it open.
ZOMBIELAND.srt 	ZOMBIELAND_DVS246 	00:26:05,00 --> 00:26:10,50 	she aims at her sister who bites her lip in a suppressed sob.
ZOMBIELAND.srt 	ZOMBIELAND_DVS248 	00:26:13,00 --> 00:26:17,50 	she aims at him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS287 	00:32:23,00 --> 00:32:31,50 	aiming the gun inside the vehicle, someone peeks through the escalade's open driver's window then yanks open the rear door and checks the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS296 	00:33:12,00 --> 00:33:17,50 	little someone aims her shotgun at him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS300 	00:33:47,00 --> 00:33:54,50 	aiming at him, someone gives a mocking wince.
ZOMBIELAND.srt 	ZOMBIELAND_DVS325 	00:36:41,00 --> 00:36:49,50 	someone steals his gun back and aims at little someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS325 	00:36:41,00 --> 00:36:49,50 	someone stops then aims at him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS614 	01:10:27,00 --> 01:10:32,50 	little someone hastily aims her rifle and fires.
ZOMBIELAND.srt 	ZOMBIELAND_DVS688 	01:15:56,00 --> 01:16:02,50 	he aims one gun out each window at his side.
