21_JUMP_STREET.srt 	21_JUMP_STREET_DVS332 	00:55:09,00 --> 00:55:15,50 	as someone heads off, someone grins at someone and pumps his fists.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS606 	01:43:13,00 --> 01:43:32,50 	someone hurls someone into the controls causing the plane to head into a steep dive.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS247 	00:19:34,00 --> 00:19:39,50 	the men head off with their boards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS953 	01:33:37,00 --> 01:33:42,50 	someone's buddy pats someone's shoulder and heads out.
CHRONICLE.srt 	CHRONICLE_DVS63 	00:07:12,00 --> 00:07:19,50 	someone returns his camera to someone, then videotapes several teens heading inside.
CHRONICLE.srt 	CHRONICLE_DVS67 	00:07:59,00 --> 00:08:04,50 	someone glances at his feet, then heads off through the crowd.
CHRONICLE.srt 	CHRONICLE_DVS72 	00:08:49,00 --> 00:08:53,50 	she heads off.
CHRONICLE.srt 	CHRONICLE_DVS425 	01:02:37,00 --> 01:02:43,50 	the doors open behind him as he zips up his backpack and heads out.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS63 	00:11:56,00 --> 00:12:00,50 	later, he heads down a sidewalk of darkness.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS181 	00:38:46,00 --> 00:38:50,50 	someone heads down a street.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS187 	00:39:43,00 --> 00:39:51,50 	he's on a boat, heading to new york city.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS192 	00:40:19,00 --> 00:40:26,50 	his hands slung in his pockets, he heads toward the entrance.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS207 	00:43:09,00 --> 00:43:19,50 	someone glances around the room then heads toward someone.
COLOMBIANA.srt 	COLOMBIANA_DVS623 	00:58:55,00 --> 00:59:01,50 	in the courtyard, a guard puffs on a cigarette then heads inside.
COLOMBIANA.srt 	COLOMBIANA_DVS882 	01:23:37,00 --> 01:23:41,50 	she heads upstairs.
COLOMBIANA.srt 	COLOMBIANA_DVS1078 	01:41:42,00 --> 01:41:47,50 	agent someone heads to the door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS36 	00:04:58,00 --> 00:05:03,50 	they head off side by side.
DEAR_JOHN.srt 	DEAR_JOHN_DVS57 	00:07:28,00 --> 00:07:34,50 	someone climbs over a log bench, and heads off with his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS79 	00:12:16,00 --> 00:12:20,50 	someone heads off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS103 	00:15:28,00 --> 00:15:32,50 	they head inside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS213 	00:33:46,00 --> 00:33:52,50 	he drapes an arm around her shoulder and she hugs his waist as they head inside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS453 	01:06:36,00 --> 01:06:40,50 	he heads into the tent.
DEAR_JOHN.srt 	DEAR_JOHN_DVS477 	01:10:29,00 --> 01:10:33,50 	someone heads away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS651 	01:28:27,00 --> 01:28:32,50 	later in a hospital, they head into an atrium.
DEAR_JOHN.srt 	DEAR_JOHN_DVS709 	01:35:50,00 --> 01:35:56,50 	someone unbuttons his wet sleeve as he heads into a bathroom.
DEAR_JOHN.srt 	DEAR_JOHN_DVS717 	01:36:20,00 --> 01:36:25,50 	now they head downstairs.
DEAR_JOHN.srt 	DEAR_JOHN_DVS718 	01:36:26,00 --> 01:36:32,50 	she heads into the kitchen, but someone strides past the doorway.
DEAR_JOHN.srt 	DEAR_JOHN_DVS732 	01:37:24,00 --> 01:37:29,50 	then heads to the front door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS58 	00:08:12,00 --> 00:08:19,50 	someone heads off to an office.
DISTRICT_9.srt 	DISTRICT_9_DVS743 	01:28:01,00 --> 01:28:11,50 	someone signals, then heads towards the transport.
DISTRICT_9.srt 	DISTRICT_9_DVS763 	01:30:27,00 --> 01:30:33,50 	someone glances at someone, then heads off.
EASY_A.srt 	EASY_A_DVS101 	00:33:47,00 --> 00:33:51,50 	he heads into the hallway.
EASY_A.srt 	EASY_A_DVS121 	00:39:07,00 --> 00:39:17,50 	they share a grin, and he heads out.
EASY_A.srt 	EASY_A_DVS146 	00:45:38,00 --> 00:45:48,50 	she heads to the track, where four other girls race, then stop and huddle around a phone.
EASY_A.srt 	EASY_A_DVS167 	00:53:36,00 --> 00:53:45,50 	he tearfully heads toward the counselor's office.
EASY_A.srt 	EASY_A_DVS256 	01:17:22,00 --> 01:17:27,50 	she cringes, rolling her eyes, then heads off.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS175 	00:48:24,00 --> 00:48:29,50 	she heads over.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS218 	00:57:55,00 --> 00:58:15,50 	heading back through the kitchen she spots a hand scrawled note posted on the fridge.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS100 	00:55:56,00 --> 00:56:02,50 	someone heads out.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS154 	01:26:45,00 --> 01:26:51,50 	as someone heads off, a stunned someone covers her mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS16 	00:02:52,00 --> 00:02:58,50 	someone throws the second soldier over the railing, then heads after them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS65 	00:11:02,00 --> 00:11:08,50 	the businessman heads off, bumping into a woman's chair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS67 	00:11:09,00 --> 00:11:14,50 	she winks at him and they head out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS93 	00:14:26,00 --> 00:14:35,50 	the mustached thug slams him down, zip ties his hands and throws him head first against the suv.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS130 	00:20:41,00 --> 00:20:47,50 	someone clutches her wounded shoulder as she heads up a ramp.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS197 	00:31:46,00 --> 00:32:04,50 	now two bodyguards flank a man in a tacky suit as he heads up a winding stone stairway.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS266 	00:41:39,00 --> 00:41:51,50 	he heads off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS275 	00:42:34,00 --> 00:42:43,50 	as he heads toward someone, his flames briefly fade.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS417 	01:00:30,00 --> 01:00:36,50 	he heads down a stairway carved into the stone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS451 	01:05:59,00 --> 01:06:03,50 	he heads off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS489 	01:11:18,00 --> 01:11:24,50 	someone lowers her worried gaze, sets down her rifle, and heads off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS511 	01:13:38,00 --> 01:13:47,50 	someone heads off as well.
GREEN_ZONE.srt 	GREEN_ZONE_DVS43 	00:09:42,00 --> 00:09:47,50 	folds it up, and heads off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS175 	00:45:31,00 --> 00:45:36,50 	she comes up behind him as he heads around the pool.
GREEN_ZONE.srt 	GREEN_ZONE_DVS215 	00:54:45,00 --> 00:54:53,50 	someone heads into a lobby.
GREEN_ZONE.srt 	GREEN_ZONE_DVS229 	00:56:50,00 --> 00:57:05,50 	they head into a narrow hallway where doors with padlocked bolts line the walls every five feet.
GREEN_ZONE.srt 	GREEN_ZONE_DVS244 	00:58:59,00 --> 00:59:03,50 	they head down a corridor.
GREEN_ZONE.srt 	GREEN_ZONE_DVS412 	01:31:51,00 --> 01:31:57,50 	someone heads off.
IN_TIME.srt 	IN_TIME_DVS50 	00:05:27,00 --> 00:05:32,50 	heading off, someone checks his clock.
IN_TIME.srt 	IN_TIME_DVS161 	00:17:24,00 --> 00:17:30,50 	as he and someone head down a flight of stairs into a courtyard,
IN_TIME.srt 	IN_TIME_DVS177 	00:18:59,00 --> 00:19:11,50 	a sign on the building that reads weis time lenders flashes off as she heads away.
IN_TIME.srt 	IN_TIME_DVS294 	00:30:17,00 --> 00:30:22,50 	they head up a staircase to a mezzanine.
IN_TIME.srt 	IN_TIME_DVS407 	00:43:44,00 --> 00:43:49,50 	the timekeepers finish and head out of the study.
IN_TIME.srt 	IN_TIME_DVS455 	00:49:14,00 --> 00:49:20,50 	as his thugs head for their car, someone lingers.
IN_TIME.srt 	IN_TIME_DVS572 	01:00:50,00 --> 01:00:58,50 	the crowd outside disperses and the mission proprietor heads back inside.
IN_TIME.srt 	IN_TIME_DVS600 	01:04:23,00 --> 01:04:28,50 	clutching his arm, he heads toward the pay phone.
IN_TIME.srt 	IN_TIME_DVS708 	01:15:49,00 --> 01:15:55,50 	as it heads back toward the defiant young man,
IN_TIME.srt 	IN_TIME_DVS763 	01:20:41,00 --> 01:20:48,50 	a lanky man enters with a suitcase as the outlaws head upstairs.
IN_TIME.srt 	IN_TIME_DVS844 	01:29:29,00 --> 01:29:37,50 	the suited men surround their charge and the group heads up a broad flight of stairs in the building's lobby.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	they head to another barred door and glance inside a safe deposit room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS259 	01:19:44,00 --> 01:19:59,50 	they head through a set of glass doors to another staircase.
INSIDE_MAN.srt 	INSIDE_MAN_DVS286 	01:27:57,00 --> 01:28:04,50 	he heads over
INSIDE_MAN.srt 	INSIDE_MAN_DVS360 	01:43:53,00 --> 01:43:57,50 	he heads off.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	someone heads up toward the first floor, crossing paths with the woman.
IRON_MAN_2.srt 	IRON_MAN_2_DVS659 	01:50:17,00 --> 01:50:23,50 	someone punches someone, who head butts someone, then lassos him again with a pulse whip.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS172 	00:55:12,00 --> 00:55:16,50 	they head inside.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS336 	01:35:18,00 --> 01:35:22,50 	he heads off.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS246 	00:49:17,00 --> 00:49:21,50 	he heads over.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS251 	00:46:35,00 --> 00:46:40,50 	two french women head for the ladies room.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS604 	01:57:08,00 --> 01:57:12,50 	someone heads off.
KARATE_KID.srt 	KARATE_KID_DVS89 	00:07:40,00 --> 00:07:44,50 	they head inside.
KARATE_KID.srt 	KARATE_KID_DVS166 	00:13:56,00 --> 00:14:05,50 	someone heads off the court and the pixie-faced girl grins.
KARATE_KID.srt 	KARATE_KID_DVS336 	00:30:38,00 --> 00:30:43,50 	the instructor heads back in.
KARATE_KID.srt 	KARATE_KID_DVS440 	00:39:30,00 --> 00:39:42,50 	as the uniformed boys head down the sidewalk outside the school gate, someone watches with fearful eyes.
KARATE_KID.srt 	KARATE_KID_DVS645 	00:54:47,00 --> 00:54:53,50 	he briefly locks eyes with someone, then heads off.
KARATE_KID.srt 	KARATE_KID_DVS721 	01:00:36,00 --> 01:00:41,50 	the students head off the field.
KARATE_KID.srt 	KARATE_KID_DVS776 	01:05:29,00 --> 01:05:36,50 	he halts and eyes its neon sign, then heads inside.
KARATE_KID.srt 	KARATE_KID_DVS782 	01:05:50,00 --> 01:05:58,50 	they each head past it and arrive backstage, where performers ready delicate paper puppets.
KARATE_KID.srt 	KARATE_KID_DVS913 	01:14:23,00 --> 01:14:31,50 	he continues sweeping the jacket around his body, practicing as he heads out of the courtyard.
KNOCKED_UP.srt 	KNOCKED_UP_DVS128 	01:16:16,00 --> 01:16:20,50 	she wipes a tear and heads off.
KNOCKED_UP.srt 	KNOCKED_UP_DVS166 	01:45:52,00 --> 01:45:57,50 	he heads upstairs and strides down the hall.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS264 	01:36:30,00 --> 01:36:39,50 	the tv crew shuts off the lights and heads out of the studio.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS158 	00:37:16,00 --> 00:37:21,50 	someone heads home.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS299 	01:11:24,00 --> 01:11:30,50 	picking up a notebook, she heads to the back of the classroom.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS937 	01:33:10,00 --> 01:33:16,50 	he rests the tigers head on his lap and softly rubs its crown.
MORNING_GLORY.srt 	MORNING_GLORY_DVS97 	00:21:41,00 --> 00:21:44,50 	someone heads off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS108 	00:23:37,00 --> 00:23:41,50 	someone's heading out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS165 	00:39:06,00 --> 00:39:11,50 	she heads a meeting outside.
MORNING_GLORY.srt 	MORNING_GLORY_DVS168 	00:39:39,00 --> 00:39:43,50 	then heads off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS246 	00:53:48,00 --> 00:53:53,50 	they head into the daybreak offices.
MORNING_GLORY.srt 	MORNING_GLORY_DVS317 	01:09:57,00 --> 01:10:01,50 	she heads out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS319 	01:10:08,00 --> 01:10:13,50 	someone heads back into the gallery.
MORNING_GLORY.srt 	MORNING_GLORY_DVS446 	01:34:39,00 --> 01:34:42,50 	then heads in.
MORNING_GLORY.srt 	MORNING_GLORY_DVS447 	01:34:44,00 --> 01:34:51,50 	she heads through the spacious lobby with classical style paintings on the walls
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS113 	00:18:29,00 --> 00:18:33,50 	he heads upstairs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS202 	00:29:29,00 --> 00:29:35,50 	as someone heads back inside, someone makes a call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS331 	00:42:17,00 --> 00:42:21,50 	he heads off.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS468 	00:55:49,00 --> 00:55:55,50 	as they head away, mrs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS499 	01:00:35,00 --> 01:00:40,50 	wrapped in comforters, they head into the living area.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS536 	01:04:26,00 --> 01:04:32,50 	as the men head out, someone blinks bewilderedly.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS578 	01:09:26,00 --> 01:09:30,50 	she heads to the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS687 	01:25:21,00 --> 01:25:25,50 	as the family heads down to them,
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS115 	00:25:48,00 --> 00:26:02,50 	toting the cricket bat, he heads over and places the letters on the sill above the seat back.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS249 	00:51:36,00 --> 00:51:55,50 	heading into a lush green field, someone chucks the shoebox to the ground.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS305 	01:06:16,00 --> 01:06:21,50 	she salutes, then heads over.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS144 	00:37:31,00 --> 00:37:41,50 	reads the email headed announcer auditions, and dials a number off the screen.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS214 	00:52:17,00 --> 00:52:24,50 	now on a train headed for the city, someone scrubs at someone's face with disinfecting gel.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS334 	01:19:13,00 --> 01:19:17,50 	the family heads inside.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS200 	00:48:36,00 --> 00:48:43,50 	tall plants block someone's view on either side as she heads farther back.
PROMETHEUS.srt 	PROMETHEUS_DVS303 	00:29:53,00 --> 00:29:58,50 	crossing the threshold, they head down the slope.
PROMETHEUS.srt 	PROMETHEUS_DVS844 	01:31:42,00 --> 01:31:46,50 	someone heads out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS65 	00:11:24,00 --> 00:11:28,50 	they head inside.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS89 	00:14:47,00 --> 00:14:54,50 	inside, a young female teller hurries to someone and they head back down the stairs.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS97 	00:15:57,00 --> 00:16:02,50 	the car heads down a dirt road leading toward a forest.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	someone picks up a suitcase and heads off with someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS307 	00:58:03,00 --> 00:58:12,50 	someone scowls toward his cell, then heads over.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS458 	01:28:11,00 --> 01:28:18,50 	someone heads off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS477 	01:30:25,00 --> 01:30:45,50 	headed his way in a car, someone peers ahead over the steering wheel.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS600 	01:52:30,00 --> 01:52:38,50 	someone puts on his hat and heads off in the opposite direction.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS679 	02:07:19,00 --> 02:07:34,50 	someone leans in for a good look at someone's body, then heads off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS142 	00:35:56,00 --> 00:36:02,50 	someone hurriedly heads back into the cabin and wakes his sleeping friends.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS148 	00:37:44,00 --> 00:37:47,50 	he heads toward the queen.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS160 	00:39:42,00 --> 00:39:47,50 	someone, someone and someone subtly head off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS169 	00:40:59,00 --> 00:41:06,50 	he and someone watch as the procession heads off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	as he heads away, he spreads his arms imitating someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS521 	02:10:11,00 --> 02:10:22,50 	as he heads deeper into the woods, someone, someone and
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS58 	00:09:53,00 --> 00:09:58,50 	he heads upstairs to a second floor.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS112 	00:20:15,00 --> 00:20:23,50 	someone sees the couple off then heads inside.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS629 	01:31:00,00 --> 01:31:04,50 	then head up to the second floor.
SALT.srt 	SALT_DVS30 	00:06:26,00 --> 00:06:31,50 	later, they head through the lobby.
SALT.srt 	SALT_DVS41 	00:08:21,00 --> 00:08:26,50 	she heads through the door.
SALT.srt 	SALT_DVS113 	00:21:38,00 --> 00:21:50,50 	she heads over.
SALT.srt 	SALT_DVS116 	00:22:00,00 --> 00:22:07,50 	someone heads into a room with the fire extinguisher and some bottles of cleaning solutions.
SALT.srt 	SALT_DVS174 	00:29:48,00 --> 00:29:59,50 	someone beckons and the girl heads over.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	by her open laptop, a printer ejects a page headed, subway system access tunnels.
SALT.srt 	SALT_DVS409 	01:11:47,00 --> 01:11:53,50 	as the adviser heads to the elevator, someone eyes someone.
SALT.srt 	SALT_DVS441 	01:15:46,00 --> 01:15:57,50 	the president and his men head to the emergency operation center.
SALT.srt 	SALT_DVS493 	01:25:25,00 --> 01:25:29,50 	she heads down a hall.
SANCTUM.srt 	SANCTUM_DVS132 	00:27:07,00 --> 00:27:11,50 	someone heads back to the tunnel.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1263 	01:25:23,00 --> 01:25:30,50 	heading further in, she passes a mirror dotted with stickers and photographs.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1320 	01:31:00,00 --> 01:31:04,50 	she waits as he heads off.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS137 	00:25:48,00 --> 00:25:54,50 	the full-bodied eagle heads back to its corner on
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS161 	00:31:31,00 --> 00:31:38,50 	someone grimaces as someone heads into a building and up a flight of stairs.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	inside the building, someone cautiously heads toward a door marked with chinese writing.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS190 	00:37:00,00 --> 00:37:05,50 	the officers head past the imposters.
SOUL_SURFER.srt 	SOUL_SURFER_DVS27 	00:05:27,00 --> 00:05:38,50 	standing, someone eyes the waves outside then heads into the kitchen.
SOUL_SURFER.srt 	SOUL_SURFER_DVS40 	00:12:45,00 --> 00:12:52,50 	now, the young woman from the choir checks her watch as she heads toward a gazebo.
SPARKLE_2012.srt 	SPARKLE_2012_DVS279 	00:43:43,00 --> 00:43:47,50 	heading off, someone shrugs, then knocks a box off a stool.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS363 	00:54:56,00 --> 00:55:02,50 	they head toward a large sand dune.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS45 	00:10:46,00 --> 00:10:53,50 	someone's mother heads indoors.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS54 	00:12:59,00 --> 00:13:04,50 	he lingers a moment then heads inside.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS90 	00:20:11,00 --> 00:20:19,50 	now at school, as the teen heads up a stairwell the principal blocks his path.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS92 	00:21:21,00 --> 00:21:34,50 	the principal heads off.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS240 	00:46:34,00 --> 00:46:44,50 	later, heading down a sidewalk with someone, someone stares straight ahead.
