30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS38 	00:07:51,00 --> 00:08:03,50 	someone spots a truck emblazoned with a bald eagle surrounded by stars and stripes.
FLIGHT.srt 	FLIGHT_DVS523 	01:15:32,00 --> 01:15:41,50 	at a church, a large, framed picture of someone stands surrounded by flowers, as a coffin is carried out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS83 	00:13:32,00 --> 00:13:38,50 	in a deserted lot, the suvs surround the hatchback.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS214 	00:34:18,00 --> 00:34:45,50 	he sees his motorcycle surrounded in billowing fire, waiting for him at the end of an alley.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	the trucks pull into an area surrounded by towering stacks of shipping containers.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS356 	00:52:52,00 --> 00:53:01,50 	someone notices more monks surrounding their group.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS436 	01:02:32,00 --> 01:02:39,50 	he finds himself surrounded by darkness, then twirls his sword defensively.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS443 	01:03:35,00 --> 01:03:49,50 	he glances at the surrounding bodies of the other monks, each petrified in frightful poses.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS455 	01:06:14,00 --> 01:06:19,50 	black clad guards surround the building.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS538 	01:16:37,00 --> 01:16:45,50 	someone and someone watch the acolytes surround someone who struggles to stand in the gravel pit.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS552 	01:18:38,00 --> 01:18:56,50 	the surrounding acolytes recoil as he draws near, his face a swirl of flames.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS552 	01:18:38,00 --> 01:18:56,50 	as someone halts and doubles over, the acolytes surround him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS556 	01:19:02,00 --> 01:19:36,50 	armed men in full body armor rush to surrounding suvs and trucks.
GREEN_ZONE.srt 	GREEN_ZONE_DVS165 	00:43:34,00 --> 00:43:49,50 	now someone dons his sunglasses as he leads his men onto a patio surrounds a luxurious pool.
GREEN_ZONE.srt 	GREEN_ZONE_DVS191 	00:49:14,00 --> 00:49:28,50 	it pulls up in front of an abandoned mansion surrounded by rubble and someone climbs out of the passenger seat.
GREEN_ZONE.srt 	GREEN_ZONE_DVS451 	01:38:46,00 --> 01:39:07,50 	as our view drifts above the surrounding buildings, a passing humvee's headlights sweep over a nearby wall.
HUGO.srt 	HUGO_DVS26 	00:03:20,00 --> 00:03:34,50 	surrounded by dolls, rocking horses, musical instruments, and other items, a bearded white-haired man sits behind the counter with his chin propped on one hand.
HUGO.srt 	HUGO_DVS683 	01:38:55,00 --> 01:39:00,50 	later, they surround a group of dancers wearing skeleton costumes.
IN_TIME.srt 	IN_TIME_DVS451 	00:48:41,00 --> 00:48:47,50 	as his men surround the car, someone leans over someone.
IN_TIME.srt 	IN_TIME_DVS473 	00:51:10,00 --> 00:51:17,50 	someone, someone, and their blond colleague surround the mangled roadster.
IN_TIME.srt 	IN_TIME_DVS608 	01:05:17,00 --> 01:05:24,50 	now, someone totes a gun as he approaches the group surrounding someone.
IN_TIME.srt 	IN_TIME_DVS671 	01:12:42,00 --> 01:12:51,50 	someone opens a large suitcase on the floor and they hurriedly fill it with time capsules from the surrounding shelves.
IN_TIME.srt 	IN_TIME_DVS700 	01:15:06,00 --> 01:15:11,50 	zone 12 shines in amber amidst the surrounding green zones.
IN_TIME.srt 	IN_TIME_DVS844 	01:29:29,00 --> 01:29:37,50 	the suited men surround their charge and the group heads up a broad flight of stairs in the building's lobby.
INSIDE_MAN.srt 	INSIDE_MAN_DVS42 	00:11:18,00 --> 00:11:23,50 	it shows police cars surrounding the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS278 	01:25:55,00 --> 01:26:10,50 	on screen, someone and five unidentifiable witnesses surround a seventh person masked by a white sack.
IRON_MAN_2.srt 	IRON_MAN_2_DVS28 	00:03:10,00 --> 00:03:37,50 	newspaper and magazine clippings with photos of someone stark hang on the surrounding walls.
IRON_MAN_2.srt 	IRON_MAN_2_DVS297 	00:55:32,00 --> 00:55:40,50 	as someone points toward the door, a fireball blasts from his palm and shatters a glass wall surrounding a fountain.
IRON_MAN_2.srt 	IRON_MAN_2_DVS320 	00:57:56,00 --> 00:58:04,50 	outside, the party-goers watch through a huge wall of glass surrounding the room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS622 	01:46:45,00 --> 01:46:52,50 	other military drones drop down and surround them.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS260 	00:52:02,00 --> 00:52:07,50 	now, a crowd surrounds a break dancing boy.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS61 	00:06:38,00 --> 00:06:45,50 	now, she sits in a cluttered cubicle surrounded by other workers wearing headsets.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS313 	01:39:27,00 --> 01:39:36,50 	surrounded by tropical plants and lit candles, he makes a call on a portable phone.
KARATE_KID.srt 	KARATE_KID_DVS344 	00:31:08,00 --> 00:31:15,50 	the american starts to go, but the bullies surround him.
KARATE_KID.srt 	KARATE_KID_DVS1231 	01:40:59,00 --> 01:41:05,50 	it shows someone posing with his wife and son, surrounded by greenery.
KARATE_KID.srt 	KARATE_KID_DVS1635 	02:12:54,00 --> 02:13:01,50 	someone's face and name appear alone on the display, surrounded by chinese text.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS72 	00:14:17,00 --> 00:14:21,50 	fans surround dark-haired someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS152 	00:43:55,00 --> 00:44:00,50 	male dancers surround someone as she performs.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS45 	00:15:43,00 --> 00:15:59,50 	splintered wood of a destroyed freestanding wall surrounds the door.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS324 	01:15:24,00 --> 01:15:29,50 	he sweeps his gaze over the surrounding neighborhood.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS69 	00:05:52,00 --> 00:06:00,50 	in a flashback, a sign labels a complex surrounding a pristine public pool.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS134 	00:16:14,00 --> 00:16:23,50 	now someone stares across the pews at the alter where golden candlesticks surround a crucified jesus statue.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS218 	00:29:09,00 --> 00:29:17,50 	surrounded by banyan trees, someone glances down then shows someone a warm smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS497 	00:55:09,00 --> 00:55:16,50 	someone turns his gaze out over the slate-grey water surrounding them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS846 	01:25:41,00 --> 01:25:49,50 	now the tsimtsum lies on the ocean floor, a blue and teal glow surrounds the sunken ship.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS984 	01:36:51,00 --> 01:36:57,50 	he smiles as he looks at the surrounding mass of water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS985 	01:37:00,00 --> 01:37:10,50 	viewed from overhead, meerkats surround the deep blue, almost-perfectly round pool with green roots fringing its perimeter.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1006 	01:38:46,00 --> 01:38:52,50 	more surround him as he attempts to lie in the makeshift hammock.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1027 	01:40:19,00 --> 01:40:25,50 	beneath him, the same eerie light surrounds the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1029 	01:40:29,00 --> 01:40:36,50 	a teal light glows beneath, surrounding the entire island.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1032 	01:40:42,00 --> 01:40:47,50 	overlapping leaves surround the orb.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS439 	01:19:24,00 --> 01:19:27,50 	as the number comes to a close, dancers surround the male and female leads, someone and someone, and slowly raise their arms.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS554 	01:41:48,00 --> 01:41:58,50 	suddenly, vanessa is surrounded by elderly men and women.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS136 	00:32:04,00 --> 00:32:09,50 	more sons of ares surround the blue soldiers.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS174 	00:39:00,00 --> 00:39:07,50 	flames surround its lower body and dance across its broad wingspan.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS312 	01:18:24,00 --> 01:18:32,50 	a group of guards surround him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS380 	01:33:52,00 --> 01:33:59,50 	it swoops through the protective fence that surrounds the empire state building's observation deck.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS468 	01:51:54,00 --> 01:52:05,50 	we keep pulling back until our view encompasses the entire clearing, the surrounding forest and the lakeshore, which meanders off into the distance.
PROMETHEUS.srt 	PROMETHEUS_DVS270 	00:26:05,00 --> 00:26:13,50 	domes resembling the tops of beehives surrounded by stone walls dot the valley in single file.
PROMETHEUS.srt 	PROMETHEUS_DVS290 	00:28:39,00 --> 00:28:47,50 	the transport leads the two atvs to an opening in a wall surrounding the structure.
PROMETHEUS.srt 	PROMETHEUS_DVS396 	00:39:54,00 --> 00:40:01,50 	a relief of snake-like creatures surrounding a central humanoid figure adorns the wall.
PROMETHEUS.srt 	PROMETHEUS_DVS617 	01:07:55,00 --> 01:08:03,50 	even more urns rest in rows several feet high in recesses cut into the surrounding walls.
PROMETHEUS.srt 	PROMETHEUS_DVS632 	01:08:53,00 --> 01:09:00,50 	massive pillars stripe the surrounding concave walls.
PROMETHEUS.srt 	PROMETHEUS_DVS875 	01:36:38,00 --> 01:36:44,50 	a hologram shows the tunnel system without the surrounding terrain.
PROMETHEUS.srt 	PROMETHEUS_DVS1000 	01:49:33,00 --> 01:49:41,50 	broken hoses, tubes and wires dangle from the ceiling panel surrounding the chandelier.
PROMETHEUS.srt 	PROMETHEUS_DVS1020 	01:51:24,00 --> 01:51:34,50 	flaps on its underside blossom outward like petals, revealing egg-shaped buds surrounding a vertical mouth lined with dagger-like teeth.
PROMETHEUS.srt 	PROMETHEUS_DVS1069 	01:57:04,00 --> 01:57:13,50 	in the abandoned lifeboat the last engineer's body convulses on the floor, surrounded by the creature's motionless tentacles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS626 	01:58:22,00 --> 01:58:29,50 	someone rounds a corner and spies a group of agents surround the radio.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS450 	01:52:07,00 --> 01:52:31,50 	now, laid out in an open wicker coffin, sir someone's body lies clad in snowy robes and surrounded by greenery.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS521 	02:10:11,00 --> 02:10:22,50 	the sheriff stares fearfully into the surrounding forest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS665 	01:35:54,00 --> 01:36:00,50 	a large audience surrounds a single tree standing in the middle of the store.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS687 	00:44:53,00 --> 00:45:04,50 	someone surrounded by candles, flowers, and bowls of fruit and rice.
SOUL_SURFER.srt 	SOUL_SURFER_DVS88 	00:28:41,00 --> 00:28:47,50 	surrounded by light, someone looks at right.
SUPER_8.srt 	SUPER_8_DVS307 	00:54:44,00 --> 00:54:53,50 	soldiers aiming assault weapons surround someone's car.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS451 	01:05:26,00 --> 01:05:31,50 	pirates surround sir someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS539 	01:15:44,00 --> 01:15:51,50 	someone salaad's unicorn model sits in its glass case surrounded by narrow pillars.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS655 	01:28:47,00 --> 01:28:53,50 	someone and the inspectors surround the car as it stops.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS26 	00:03:22,00 --> 00:03:44,50 	police surround them.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS564 	01:40:44,00 --> 01:40:52,50 	dozens of police cruisers surround the depository.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS145 	00:25:13,00 --> 00:25:19,50 	surrounding by dead floating leaves, the teen looks away.
THE_WATCH.srt 	THE_WATCH_DVS45 	00:05:47,00 --> 00:05:53,50 	advancing cautiously, he scans the surrounding shelves.
THE_WATCH.srt 	THE_WATCH_DVS60 	00:07:02,00 --> 00:07:07,50 	an empty parking lot surrounds the costco.
THE_WATCH.srt 	THE_WATCH_DVS132 	00:22:16,00 --> 00:22:25,50 	on the back of each blue sateen jacket, the words neighborhood watch surround a flaming winged tiger's face.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS281 	01:16:05,00 --> 01:16:13,50 	before an impressive view of the city, an elegantly set table for two sits surrounded by candlelight.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS325 	01:22:20,00 --> 01:22:27,50 	later, someone and someone lie on the floor beside her bed, surrounded by rose petals.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS156 	00:30:04,00 --> 00:30:13,50 	we glimpse the couple from across the ring as they embrace, surrounded by the several strands of lights adorning the trapeze structure.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS297 	00:54:37,00 --> 00:54:45,50 	someone whips around and shoots players surrounding him.
THOR.srt 	THOR_DVS56 	00:06:05,00 --> 00:06:13,50 	gleaming pyramids, statues, and columns surround an enormous peak resembling vertical crystals.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS500 	00:54:22,00 --> 00:54:31,50 	later, police cruisers surround the house.
TRUE_GRIT.srt 	TRUE_GRIT_DVS214 	00:46:20,00 --> 00:46:25,50 	surrounded by bare twisted trees, they stop.
TRUE_GRIT.srt 	TRUE_GRIT_DVS357 	01:13:00,00 --> 01:13:06,50 	the entrance is surrounded by craggy stone cliffs.
TRUE_GRIT.srt 	TRUE_GRIT_DVS381 	01:18:12,00 --> 01:18:16,50 	and lays it on the ground surrounding her bedding.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS188 	00:33:01,00 --> 00:33:13,50 	wearing reading glasses, he sits alone, at the end of the dining room table, in front of a laptop, and surrounded by 	bills.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS753 	01:40:21,00 --> 01:40:34,50 	the four-pillared fountain cascades into a circular pool, under a plethora of globe lights dangling from the surrounding tree branches.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS701 	01:03:23,00 --> 01:03:32,50 	a team of soldiers surrounding him cock their weapons.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1175 	01:45:03,00 --> 01:45:08,50 	armed sailors surround someone.
