21_JUMP_STREET.srt 	21_JUMP_STREET_DVS475 	01:17:40,00 --> 01:17:49,50 	they hurry on stage and break up the fight.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS420 	01:00:45,00 --> 01:00:50,50 	someone hurries off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS146 	00:37:07,00 --> 00:37:11,50 	someone hurries off at a limp.
GREEN_ZONE.srt 	GREEN_ZONE_DVS293 	01:07:37,00 --> 01:07:45,50 	the assassins hurry closer.
HUGO.srt 	HUGO_DVS728 	01:47:21,00 --> 01:47:26,50 	someone hurries up the clock tower staircase.
IN_TIME.srt 	IN_TIME_DVS697 	01:14:52,00 --> 01:15:00,50 	citizens hurry over and line up as the proprietor doles out his newly acquired wealth.
IN_TIME.srt 	IN_TIME_DVS745 	01:18:49,00 --> 01:19:03,50 	now, the two outlaws hurry over a tightly-packed network of rooftops.
IN_TIME.srt 	IN_TIME_DVS820 	01:27:12,00 --> 01:27:16,50 	they hurry up a stairwell.
INSIDE_MAN.srt 	INSIDE_MAN_DVS53 	00:15:16,00 --> 00:15:24,50 	the nervous hostages hurry past him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS320 	00:57:56,00 --> 00:58:04,50 	someone ushers pepper out one way while someone hurries out another.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS235 	01:08:12,00 --> 01:08:26,50 	someone manages a nod and hurries out.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS276 	01:18:15,00 --> 01:18:21,50 	up later outside, guests hurry up.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS360 	01:41:22,00 --> 01:41:36,50 	someone swallows, scratches the back of his head, then hurries out.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS216 	00:43:09,00 --> 00:43:13,50 	he hurries off with an embarrassed look.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS299 	00:57:34,00 --> 00:57:38,50 	she hurries upstairs.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS342 	01:06:08,00 --> 01:06:12,50 	someone hurries out.
KARATE_KID.srt 	KARATE_KID_DVS392 	00:35:23,00 --> 00:35:30,50 	someone huffily marches in front of his mother, who hurries across the street after him.
KARATE_KID.srt 	KARATE_KID_DVS629 	00:53:47,00 --> 00:53:53,50 	someone, then hurries to catch up.
KARATE_KID.srt 	KARATE_KID_DVS666 	00:56:26,00 --> 00:56:31,50 	sneering, he hurries into the rear courtyard.
KARATE_KID.srt 	KARATE_KID_DVS1084 	01:29:08,00 --> 01:29:20,50 	now, the two hurry down a crowded escalator.
KARATE_KID.srt 	KARATE_KID_DVS1295 	01:44:45,00 --> 01:44:51,50 	the pixie-faced girl frowns and hurries away.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS220 	01:18:38,00 --> 01:18:42,50 	he hurries across the platform and
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS90 	00:22:14,00 --> 00:22:23,50 	later, he hurries.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1042 	01:42:57,00 --> 01:43:04,50 	with his mouth open, someone watches as someone someone hurries down the hill toward him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS105 	00:42:00,00 --> 00:42:26,50 	as someone hurries down the hall, someone glares after him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS20 	00:03:00,00 --> 00:03:06,50 	someone hurries into a building.
MORNING_GLORY.srt 	MORNING_GLORY_DVS180 	00:41:50,00 --> 00:41:55,50 	someone frowns with confusion as someone hurries off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS457 	01:37:03,00 --> 01:37:08,50 	someone hurries back onto the set with the food.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS169 	00:24:13,00 --> 00:24:19,50 	with its flippers extended behind it, the penguin hurries over.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS19 	00:05:02,00 --> 00:05:17,50 	now, the children's mother hurries down a narrow road, buttoning a cardigan beneath her inside-out overcoat.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS128 	00:29:20,00 --> 00:29:42,50 	the goat hurries upstairs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS392 	01:23:03,00 --> 01:23:07,50 	the boys hurry to the window.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS110 	00:25:11,00 --> 00:25:17,50 	they hurry to the centaur, who bears the teacher's upper body.
PROMETHEUS.srt 	PROMETHEUS_DVS752 	01:21:16,00 --> 01:21:21,50 	gritting her teeth she hurries on.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	now, a man in a blue suit hurries through lush green woods with a someone gun.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS246 	00:38:08,00 --> 00:38:12,50 	the brothers hurry down a staircase.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS421 	01:05:29,00 --> 01:05:35,50 	as he hurries from the room, someone trots along with him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS435 	01:06:58,00 --> 01:07:04,50 	as the signal changes, someone hurries back to her.
SALT.srt 	SALT_DVS19 	00:03:18,00 --> 00:03:23,50 	he hurries toward the border.
SALT.srt 	SALT_DVS87 	00:18:36,00 --> 00:18:48,50 	as the men hurry out of sight, she fidgets.
SALT.srt 	SALT_DVS330 	00:59:03,00 --> 00:59:13,50 	he hurries off down a long corridor.
SALT.srt 	SALT_DVS420 	01:13:12,00 --> 01:13:16,50 	the group hurries down a hall.
SALT.srt 	SALT_DVS424 	01:13:53,00 --> 01:13:59,50 	agents hurry the president down a hall.
SUPER_8.srt 	SUPER_8_DVS442 	01:18:46,00 --> 01:18:50,50 	deputy someone hurries over.
SUPER_8.srt 	SUPER_8_DVS616 	01:40:20,00 --> 01:40:27,50 	someone hurries up to someone, places his hands on the sides of his son's face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS54 	00:07:05,00 --> 00:07:09,50 	the man hurries off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS147 	00:23:09,00 --> 00:23:14,50 	the thief hurries up the foggy street.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS303 	00:44:54,00 --> 00:44:59,50 	the inspectors hurry forward and corner him on a doorstep.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS557 	01:17:53,00 --> 01:17:59,50 	he drapes it over his head then hurries outside to a sunny courtyard by a pool.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS323 	01:02:17,00 --> 01:02:22,50 	someone hurries out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS23 	00:02:45,00 --> 00:02:51,50 	someone jogs after the hurrying stilt-walker.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS127 	00:26:13,00 --> 00:26:18,50 	she hurries up an aisle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS543 	01:38:09,00 --> 01:38:13,50 	they hurry over.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS92 	00:17:11,00 --> 00:17:15,50 	he hurries after his daughter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS206 	00:25:31,00 --> 00:25:40,50 	she hurries out of the room as he remains motionless on his side.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS42 	00:11:55,00 --> 00:12:02,50 	outside kirkland house, a dark haired young man hurries up the steps and scans his key card at the door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS126 	00:39:10,00 --> 00:39:22,50 	outside, he hurries upstairs and jogs across a shadowy bridge.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS312 	01:20:49,00 --> 01:20:54,50 	she hurries out of the car.
THOR.srt 	THOR_DVS492 	01:20:55,00 --> 01:21:03,50 	in town, someone and his friends hurry outside and stare toward the funnel cloud forming on the horizon.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS161 	00:21:25,00 --> 00:21:29,50 	he hurries off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS308 	00:36:49,00 --> 00:36:54,50 	he tumbles outside then hurries away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS545 	01:13:05,00 --> 01:13:10,50 	she hurries into the elevator.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS474 	01:14:29,00 --> 01:14:34,50 	someone stares after him as he hurries out.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS766 	01:48:47,00 --> 01:48:55,50 	he hurries through the house.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS60 	00:05:00,00 --> 00:05:04,50 	she hurries to her desk.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS690 	01:34:38,00 --> 01:34:43,50 	she hurries through the crowd.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS697 	01:34:59,00 --> 01:35:06,50 	she hurries inside, to a tall set of wooden doors, and frantically scans the pews.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS248 	00:19:03,00 --> 00:19:08,50 	she hurries over and searches them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS521 	00:47:54,00 --> 00:47:59,50 	with a perplexed look, she hurries off.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS622 	00:58:03,00 --> 00:58:06,50 	he hurries over.
ZOMBIELAND.srt 	ZOMBIELAND_DVS92 	00:07:51,00 --> 00:07:57,50 	the narrator hurries for an abandoned hatchback on the grassy median.
ZOOKEEPER.srt 	ZOOKEEPER_DVS216 	00:48:32,00 --> 00:48:40,50 	he hurries beside someone who gallops excitedly towards.
