ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS397 	00:57:01,00 --> 00:57:06,50 	he crouches beside someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS592 	01:28:03,00 --> 01:28:08,50 	he crouches at her side.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS642 	01:32:09,00 --> 01:32:17,50 	he switches on a light then crouches over someone, feeling his brother's head and shoulders.
SANCTUM.srt 	SANCTUM_DVS214 	00:46:51,00 --> 00:46:56,50 	he crouches by his gravely injured colleague.
SANCTUM.srt 	SANCTUM_DVS477 	01:28:55,00 --> 01:29:00,50 	smiling, he crouches beside a body of water.
SANCTUM.srt 	SANCTUM_DVS482 	01:29:25,00 --> 01:29:35,50 	he crouches to examine some abandoned gear.
THE_CALL.srt 	THE_CALL_DVS605 	00:46:44,00 --> 00:46:49,50 	crouching down, someone eyes the broken chloroform bottle.
THE_CALL.srt 	THE_CALL_DVS759 	00:57:34,00 --> 00:57:40,50 	behind the car, he crouches over his victim with his mouth ajar.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS518 	00:57:23,00 --> 00:57:32,50 	as she crouches, water washes away at her feet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS614 	01:07:50,00 --> 01:07:56,50 	she crouches astride someone who struggles beneath her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1189 	02:06:45,00 --> 02:06:50,50 	someone crouches over someone.
THE_SITTER.srt 	THE_SITTER_DVS72 	00:40:32,00 --> 00:40:37,50 	he crouches to his younger son.
THE_VOW.srt 	THE_VOW_DVS282 	00:37:08,00 --> 00:37:15,50 	crouching in front of a display case, she eyes shelves of pastries, then straightens.
THE_WATCH.srt 	THE_WATCH_DVS351 	01:01:13,00 --> 01:01:20,50 	they crouch behind the bushes a dozen feet below the illuminated front porch.
THOR.srt 	THOR_DVS293 	00:41:45,00 --> 00:41:51,50 	someone crouches over someone.
THOR.srt 	THOR_DVS488 	01:20:40,00 --> 01:20:48,50 	in the new mexico desert, agent someone crouches on the ground beside a circular pattern in the sand.
