21_JUMP_STREET.srt 	21_JUMP_STREET_DVS33 	00:03:48,00 --> 00:03:53,50 	he slams him down on the mat and raises his fist.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS394 	01:03:58,00 --> 01:04:03,50 	with one foot raised, they rotate.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS396 	01:04:29,00 --> 01:04:36,50 	as they spin around again, someone crouches by the window and raises his binoculars.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS545 	01:24:40,00 --> 01:24:50,50 	the car's tail end raises ten feet off of the pavement and it slides to a stop on its nose.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS604 	01:34:52,00 --> 01:34:58,50 	slowing his pace, he sweeps his gaze around the area, gun raised,
BLINDDATING.srt 	BLINDDATING_DVS88 	00:26:04,00 --> 00:26:09,50 	raises his eyebrows.
BLINDDATING.srt 	BLINDDATING_DVS99 	00:27:47,00 --> 00:27:51,50 	later, the woman raises a beer.
BLINDDATING.srt 	BLINDDATING_DVS103 	00:28:20,00 --> 00:28:26,50 	someone raise the fork to his mouth.
BLINDDATING.srt 	BLINDDATING_DVS109 	00:29:36,00 --> 00:29:41,50 	the raised partition blocks them.
BLINDDATING.srt 	BLINDDATING_DVS347 	01:23:22,00 --> 01:23:29,50 	someone reluctantly raises her champagne and forces a smile.
BRUNO.srt 	BRUNO_DVS130 	00:30:54,00 --> 00:30:59,50 	the israeli raises his eyebrows.
BRUNO.srt 	BRUNO_DVS135 	00:31:46,00 --> 00:31:56,50 	he raises their hands, and places them each on their own heads.
BURLESQUE.srt 	BURLESQUE_DVS79 	00:07:34,00 --> 00:07:40,50 	onstage, the reclined dancers snap then raise their arms in the air.
BURLESQUE.srt 	BURLESQUE_DVS222 	00:33:20,00 --> 00:33:29,50 	someone returns to the table, where someone raises an eyebrow.
BURLESQUE.srt 	BURLESQUE_DVS445 	01:01:04,00 --> 01:01:10,50 	as she flings them away, her backup dancers raise two more in their place.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS68 	00:10:03,00 --> 00:10:09,50 	blood streaming from his mouth, someone stands and raises his fists.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS405 	01:13:53,00 --> 01:13:58,50 	dugan raises his glass of beer.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS503 	01:29:17,00 --> 01:29:25,50 	someone drinks, then raises his glass toward the pilots as they pump both of their fists in the air.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS585 	01:40:58,00 --> 01:41:07,50 	someone leaps on to the bomb and raises his shield, but a trooper dives onto someone from behind, knocking his shield to the floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS285 	00:21:50,00 --> 00:21:55,50 	someone joyfully raises both fists.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS475 	00:45:52,00 --> 00:45:57,50 	someone's wife glances at her husband who raises his brow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS533 	00:51:52,00 --> 00:51:56,50 	someone raises her brow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS989 	01:36:49,00 --> 01:36:55,50 	high on the bluffs with someone by his side, someone raises a pair of binoculars to his eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS26 	00:06:48,00 --> 00:06:56,50 	she raises his arms overhead.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS499 	01:55:21,00 --> 01:55:31,50 	as the timekeeper raises a mallet, sporty looks toward someone's corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS545 	02:08:20,00 --> 02:08:26,50 	ringside, the timekeeper raises his mallet.
COLOMBIANA.srt 	COLOMBIANA_DVS118 	00:09:33,00 --> 00:09:38,50 	raising his helpless gaze to his daughter,
COLOMBIANA.srt 	COLOMBIANA_DVS839 	01:20:35,00 --> 01:20:40,50 	she pauses by the door and raises a detonator.
COLOMBIANA.srt 	COLOMBIANA_DVS888 	01:24:10,00 --> 01:24:15,50 	raises her gun and rushes through the house.
COLOMBIANA.srt 	COLOMBIANA_DVS966 	01:33:05,00 --> 01:33:12,50 	with their weapons raised, four gunmen rush into a spacious garage.
COLOMBIANA.srt 	COLOMBIANA_DVS1013 	01:36:22,00 --> 01:36:26,50 	his weapon raised, someone closes himself into a bathroom.
COLOMBIANA.srt 	COLOMBIANA_DVS1023 	01:36:56,00 --> 01:37:01,50 	someone enters with her gun raised.
DEAR_JOHN.srt 	DEAR_JOHN_DVS311 	00:48:12,00 --> 00:48:25,50 	later while someone drives, someone raises her free hand to his lips.
DEAR_JOHN.srt 	DEAR_JOHN_DVS569 	01:21:02,00 --> 01:21:09,50 	his father limply raises one hand and rests it against someone's shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS575 	01:21:32,00 --> 01:21:38,50 	someone raises his other hand to his son.
DEAR_JOHN.srt 	DEAR_JOHN_DVS591 	01:22:29,00 --> 01:22:37,50 	his arms raised limply over his head.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS163 	00:38:16,00 --> 00:38:23,50 	he bares his teeth and raises an eyebrow.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS388 	01:35:05,00 --> 01:35:10,50 	someone raises his brows and beams.
DISTRICT_9.srt 	DISTRICT_9_DVS87 	00:10:16,00 --> 00:10:34,50 	in one of the trucks, the mercenaries raise masks over their mouths and prepare their weapons.
DISTRICT_9.srt 	DISTRICT_9_DVS454 	00:51:22,00 --> 00:51:30,50 	he rocks forward and raises a shaking hand to his lips.
DISTRICT_9.srt 	DISTRICT_9_DVS463 	00:53:30,00 --> 00:53:45,50 	rolling up his sleeve, he places his alien arm on the block and raises the ax.
DISTRICT_9.srt 	DISTRICT_9_DVS827 	01:37:37,00 --> 01:37:42,50 	someone arrives behind it, his rifle raised.
EASY_A.srt 	EASY_A_DVS39 	00:09:39,00 --> 00:09:45,50 	they pat their hearts and raise their hands to the sky.
EASY_A.srt 	EASY_A_DVS309 	01:27:33,00 --> 01:27:38,50 	someone raises an arm victoriously, and so does someone.
FLIGHT.srt 	FLIGHT_DVS406 	01:03:58,00 --> 01:04:03,50 	someone partially raises his hands.
FLIGHT.srt 	FLIGHT_DVS591 	01:21:22,00 --> 01:21:27,50 	someone does not raise his hand, crosses his arms.
FLIGHT.srt 	FLIGHT_DVS935 	01:50:53,00 --> 01:50:58,50 	someone jumps back, and someone raises his hands.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS63 	00:16:32,00 --> 00:16:39,50 	she raises her arms and waves them in unison with the dancers.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS66 	00:17:13,00 --> 00:17:24,50 	the dancers straighten and raise their arms skyward, some with jazz hands.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS199 	00:53:05,00 --> 00:53:15,50 	he raises a finger, gesturing for her to pause.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS46 	00:29:26,00 --> 00:29:36,50 	licking his lips he raises both hands in a shrug.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS254 	00:40:19,00 --> 00:40:33,50 	shifting the levers, he raises the wheel high into the air, then smashes it onto a watchtower.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS435 	01:02:24,00 --> 01:02:32,50 	with both hands, the executioner raises the sword overhead.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS521 	01:14:19,00 --> 01:14:26,50 	the boy raises his head, his eyes bloodshot with black irises.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS615 	01:27:31,00 --> 01:27:38,50 	someone raises a skeletal hand enveloped in blue flames.
GREEN_ZONE.srt 	GREEN_ZONE_DVS62 	00:14:05,00 --> 00:14:11,50 	someone frowns and raises his hand.
GREEN_ZONE.srt 	GREEN_ZONE_DVS107 	00:27:01,00 --> 00:27:08,50 	someone raises his hand, capturing the group's attention.
GROWN_UPS.srt 	GROWN_UPS_DVS261 	01:14:39,00 --> 01:14:46,50 	morning, the families raise the american flag on the boathouse's rooftop patio.
GROWN_UPS.srt 	GROWN_UPS_DVS291 	01:31:56,00 --> 01:32:04,50 	bending over, riley lowers his raised arms.
HUGO.srt 	HUGO_DVS196 	00:28:18,00 --> 00:28:25,50 	the white-haired bookseller raises his eyebrows as he examines someone.
HUGO.srt 	HUGO_DVS452 	01:05:29,00 --> 01:05:34,50 	he raises his eyebrows and bares his teeth.
HUGO.srt 	HUGO_DVS670 	01:37:37,00 --> 01:37:42,50 	a platform raises him up again.
HUGO.srt 	HUGO_DVS679 	01:38:25,00 --> 01:38:30,50 	weapons raised, the actors creep across the set.
HUGO.srt 	HUGO_DVS684 	01:39:03,00 --> 01:39:10,50 	as the skeletons cartwheel and dance in place, the warriors raise their weapons.
IN_TIME.srt 	IN_TIME_DVS471 	00:50:48,00 --> 00:50:55,50 	later, he raises a scanner by his seat and sticks his wrist through it.
IN_TIME.srt 	IN_TIME_DVS593 	01:03:24,00 --> 01:03:28,50 	he raises a gun.
IN_TIME.srt 	IN_TIME_DVS847 	01:29:44,00 --> 01:29:49,50 	he raises his weapon.
IN_TIME.srt 	IN_TIME_DVS930 	01:37:54,00 --> 01:38:01,50 	as someone and someone close in on the border, someone cuts them off, his gun raised.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	as the dark haired executive hands over his keys to the female robber, she stops and raises her arm.
INSIDE_MAN.srt 	INSIDE_MAN_DVS266 	01:22:41,00 --> 01:22:46,50 	someone raises his gun.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	a red racecar speeds up to someone, who raises his right arm and slices off the front of the car with a whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS250 	00:46:28,00 --> 00:46:36,50 	someone raises his wine glass.
IRON_MAN_2.srt 	IRON_MAN_2_DVS327 	00:58:39,00 --> 00:58:46,50 	someone raises his own hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS330 	00:59:23,00 --> 00:59:30,50 	the eyes of someone's helmet light up as he raises his head and surveys the destruction.
IRON_MAN_2.srt 	IRON_MAN_2_DVS535 	01:36:26,00 --> 01:36:30,50 	the drones each raise one arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS560 	01:39:06,00 --> 01:39:16,50 	the drones raise their guns toward the sky and fire at someone as he flies toward them.
IRON_MAN_2.srt 	IRON_MAN_2_DVS571 	01:39:42,00 --> 01:39:53,50 	the child raises his left arm, revealing a glowing light in his hand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS224 	01:05:46,00 --> 01:05:52,50 	she grips the phone thoughtfully then raises it to her ear.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS157 	00:31:49,00 --> 00:31:53,50 	someone does a raise the roof dance.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS89 	00:13:36,00 --> 00:13:41,50 	someone raises her brow and smiles.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS162 	00:29:24,00 --> 00:29:28,50 	she raises her glass.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS381 	01:12:56,00 --> 01:13:00,50 	someone raises his glass.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS588 	01:55:18,00 --> 01:55:23,50 	someone raises his glass.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS593 	01:55:51,00 --> 01:55:55,50 	someone raises his glass.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS105 	00:38:53,00 --> 00:39:00,50 	soaked with soda, the pregnant woman raises her hands overhand and yells after him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS134 	00:47:56,00 --> 00:48:15,50 	someone and someone raise their hands.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS264 	01:28:13,00 --> 01:28:19,50 	she raises her arm in a final pose.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS271 	01:29:38,00 --> 01:29:44,50 	both couples struggle to raise their coconuts above their bellies.
KARATE_KID.srt 	KARATE_KID_DVS136 	00:12:06,00 --> 00:12:10,50 	someone raises his chopsticks.
KARATE_KID.srt 	KARATE_KID_DVS206 	00:17:43,00 --> 00:17:48,50 	someone stands and raises his fists.
KARATE_KID.srt 	KARATE_KID_DVS216 	00:18:31,00 --> 00:18:38,50 	the bully glares at someone, who wipes his sleeve across his eyes and raises his fists again.
KARATE_KID.srt 	KARATE_KID_DVS566 	00:50:56,00 --> 00:51:03,50 	the instructor ceremoniously raises his open hand and smacks the boy's cheek.
KARATE_KID.srt 	KARATE_KID_DVS1114 	01:32:37,00 --> 01:32:42,50 	she raises her violin and bow.
KARATE_KID.srt 	KARATE_KID_DVS1256 	01:42:06,00 --> 01:42:13,50 	using both hands, someone angles a pole upward, raising someone's hand to his face.
KARATE_KID.srt 	KARATE_KID_DVS1419 	01:54:33,00 --> 01:54:44,50 	he downs his opponent with two powerful kicks, and the official raises his arm triumphantly.
KARATE_KID.srt 	KARATE_KID_DVS1436 	01:56:31,00 --> 01:56:39,50 	now, workers unroll a single kung fu mat, on a raised platform in the center of the arena.
KARATE_KID.srt 	KARATE_KID_DVS1534 	02:04:17,00 --> 02:04:23,50 	returning to the center of the mat, he raises the microphone.
KARATE_KID.srt 	KARATE_KID_DVS1563 	02:06:39,00 --> 02:06:48,50 	the bully's expression hardens and he raises his fists.
KARATE_KID.srt 	KARATE_KID_DVS1582 	02:08:57,00 --> 02:09:02,50 	raising his fists, he wipes his nose.
KARATE_KID.srt 	KARATE_KID_DVS1584 	02:09:03,00 --> 02:09:15,50 	raising his hands, someone tensely licks his lips and blinks the sweat out of his eyes.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS47 	00:07:50,00 --> 00:07:55,50 	the platform ascends, raising her to the stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS112 	00:27:05,00 --> 00:27:11,50 	backstage someone and her performers join hands then raise their arms in unison.
KNOCKED_UP.srt 	KNOCKED_UP_DVS34 	00:23:27,00 --> 00:23:32,50 	raising his hands overhead.
KNOCKED_UP.srt 	KNOCKED_UP_DVS46 	00:28:57,00 --> 00:29:01,50 	someone raises both arms.
KNOCKED_UP.srt 	KNOCKED_UP_DVS133 	01:21:08,00 --> 01:21:12,50 	leaves with his middle finger raised.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS123 	00:43:06,00 --> 00:43:10,50 	he raises the jug.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS81 	00:20:57,00 --> 00:21:03,50 	a young man with dark curly hair raises his hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS126 	00:29:31,00 --> 00:29:36,50 	someone shyly raises a hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS181 	00:42:50,00 --> 00:42:56,50 	she raises her window.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS571 	01:03:26,00 --> 01:03:37,50 	he lunges forward, his arms raised and spread.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS586 	01:04:32,00 --> 01:04:37,50 	he raises the whistle to his lips.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS812 	01:22:53,00 --> 01:23:00,50 	someone raises the flare gun beside his sullen face and fires upward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1083 	01:50:09,00 --> 01:50:14,50 	the older man nods and raises his eyebrows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS94 	00:19:05,00 --> 00:19:09,50 	she raises her brows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS131 	00:31:25,00 --> 00:31:30,50 	someone raises his brows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS220 	00:48:51,00 --> 00:48:55,50 	she raises her brows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS326 	01:13:28,00 --> 01:13:34,50 	he raises his brows and shoves a pastry into his mouth.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS85 	00:12:59,00 --> 00:13:04,50 	he raises his cell phone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS124 	00:28:34,00 --> 00:28:48,50 	she produces her walking stick from inside her frock and raises it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS439 	01:31:21,00 --> 01:31:27,50 	someone raises her walking stick.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS338 	01:03:45,00 --> 01:03:49,50 	someone raises his eyebrows
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS439 	01:19:24,00 --> 01:19:27,50 	as the number comes to a close, dancers surround the male and female leads, someone and someone, and slowly raise their arms.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS247 	00:58:19,00 --> 00:58:24,50 	everyone raises their hands.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS273 	01:09:35,00 --> 01:09:54,50 	as the hydra spews twinjets of fire at him, he raises the dead woman's sunglasses, exposing her eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS461 	01:50:53,00 --> 01:50:57,50 	then raises his hand.
PROMETHEUS.srt 	PROMETHEUS_DVS957 	01:45:54,00 --> 01:45:59,50 	the three shipmates raise their arms overhead.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	she swallows, then raises her tender gaze to meet someone's.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	the baby-faced shooter raises a someone gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS317 	01:00:51,00 --> 01:01:18,50 	a guard unlocks a barred door, then raises his baton to a second metal door just inside.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS359 	01:08:50,00 --> 01:08:58,50 	someone perches on the side of the car, his gun raised.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS665 	02:05:14,00 --> 02:05:22,50 	burly agent joins the flow of foot traffic with his gun raised.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS433 	01:47:27,00 --> 01:47:50,50 	in the shed, someone raises her skirts above her knee boot revealing her milky white leg.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS405 	01:04:01,00 --> 01:04:07,50 	he halts, raises his hands, and rests them in his lap.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS452 	01:09:35,00 --> 01:09:40,50 	someone raises his beer to his lips.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS462 	01:11:00,00 --> 01:11:05,50 	someone raises her arms over her head.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS487 	01:14:05,00 --> 01:14:13,50 	she meets his gaze and he raises his champagne flute.
SALT.srt 	SALT_DVS64 	00:13:15,00 --> 00:13:23,50 	a child with a scarred cheek raises his hand.
SALT.srt 	SALT_DVS351 	01:02:29,00 --> 01:02:46,50 	the thugs step aside from the raised hatch.
SANCTUM.srt 	SANCTUM_DVS548 	01:40:52,00 --> 01:40:58,50 	as someone squeezes through a small opening, he raises the canister valve.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1066 	01:11:54,00 --> 01:12:02,50 	she raises her fingers to her lips, shifts her coquettish gaze, and grants him a chaste kiss.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1160 	01:18:44,00 --> 01:18:50,50 	she raises her club and beats the laundry stoically.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1188 	01:20:22,00 --> 01:20:28,50 	clutching the fan in one hand, she raises it to her waist and rests it on her other palm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1370 	01:33:37,00 --> 01:33:42,50 	someone hobbles to the raised bed,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS205 	00:38:52,00 --> 00:39:02,50 	standing in the center of the turnaround-circular platform, someone raises his hands.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS423 	01:29:36,00 --> 01:29:43,50 	she closes her dark-lashed eyes and raises both arms.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS479 	01:41:12,00 --> 01:41:38,50 	as he raises the necklace, she sweeps her hair out of the way, allowing him to fasten it around her neck.
SPARKLE_2012.srt 	SPARKLE_2012_DVS67 	00:11:54,00 --> 00:11:59,50 	someone raises her brow.
SPARKLE_2012.srt 	SPARKLE_2012_DVS124 	00:19:52,00 --> 00:19:56,50 	she raises an eyebrow.
SPARKLE_2012.srt 	SPARKLE_2012_DVS436 	01:11:31,00 --> 01:11:38,50 	behind her, someone raises his belt and brings it down hard on her back.
SPARKLE_2012.srt 	SPARKLE_2012_DVS454 	01:14:32,00 --> 01:14:39,50 	now rain falls as someone raises her bedroom window and props it open with a red book.
SUPER_8.srt 	SUPER_8_DVS566 	01:34:22,00 --> 01:34:28,50 	someone raises his hand and hesitates then slaps someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS169 	00:25:11,00 --> 00:25:16,50 	snowy raises his head and hits it on the cows utters.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS243 	00:37:07,00 --> 00:37:11,50 	as he raises the bottle into the air
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS453 	01:06:13,00 --> 01:06:19,50 	face covered by a red bandana, red someone raises his sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS595 	01:21:08,00 --> 01:21:14,50 	someone raises the rocket launcher to his shoulder and aims.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS706 	01:34:13,00 --> 01:34:17,50 	someone raises his hands.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS152 	00:32:45,00 --> 00:32:53,50 	he pleasantly raises his bottle of champagne then backs away disappearing within the crowd.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS156 	00:33:10,00 --> 00:33:15,50 	they all raise shots.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS231 	00:45:56,00 --> 00:46:01,50 	he raises his gun in front of her face.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS237 	00:46:25,00 --> 00:46:31,50 	someone raises a golf club to let ray pass.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS284 	00:53:05,00 --> 00:53:16,50 	he shifts into park and raises both hands innocently.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS385 	01:13:08,00 --> 01:13:13,50 	she raises her champagne glass.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS545 	01:38:36,00 --> 01:38:43,50 	someone stalks off, gun raised.
THE_CALL.srt 	THE_CALL_DVS68 	00:03:53,00 --> 00:04:00,50 	she raises her arms as a message flashes on her screen.
THE_CALL.srt 	THE_CALL_DVS1125 	01:24:52,00 --> 01:24:57,50 	he raises the bloody blades to eye level.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS263 	00:41:35,00 --> 00:41:41,50 	someone raises an eyebrow and blinks at his daughter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS251 	00:29:32,00 --> 00:29:36,50 	gunnar raises his mug.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS78 	00:27:29,00 --> 00:27:34,50 	someone frowns and raises an eyebrow at his mother.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS242 	01:18:48,00 --> 01:18:53,50 	someone raises her eyebrows.
THE_VOW.srt 	THE_VOW_DVS318 	00:42:07,00 --> 00:42:12,50 	someone raises his glass with the others.
THE_WATCH.srt 	THE_WATCH_DVS86 	00:11:12,00 --> 00:11:16,50 	he raises his own hand.
THE_WATCH.srt 	THE_WATCH_DVS353 	01:01:24,00 --> 01:01:33,50 	he notices them, smiles, and raises a can in a toast.
