21_JUMP_STREET.srt 	21_JUMP_STREET_DVS79 	00:08:54,00 --> 00:09:00,50 	someone fires his gun skyward and the families flee.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS481 	01:24:38,00 --> 01:24:45,50 	as the suv rounds closer, they fire.
THOR.srt 	THOR_DVS519 	01:23:27,00 --> 01:23:35,50 	someone flees after the others as the destroyer fires a beam that slices up the street behind them.
THOR.srt 	THOR_DVS575 	01:29:15,00 --> 01:29:22,50 	it fires energy beams at someone, who beats them away with someone.
THOR.srt 	THOR_DVS645 	01:37:30,00 --> 01:37:36,50 	someone fires a blast of energy as someone tackles him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS173 	00:23:07,00 --> 00:23:13,50 	a pitching machine fires ball after ball.
TRUE_GRIT.srt 	TRUE_GRIT_DVS429 	01:24:56,00 --> 01:25:01,50 	a distant someone fires his pistol at the sky.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS621 	01:23:10,00 --> 01:23:17,50 	a blandly handsome man inside the basket fires up the burner, startling her.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS633 	01:27:49,00 --> 01:27:55,50 	the pilot fires up the burner.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS341 	00:55:47,00 --> 00:55:55,50 	oblivious to his observers, he straightens and fires a series of furious punches and kicks at the air.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS699 	01:03:09,00 --> 01:03:16,50 	the mutant materializes next to an agent and forces him to fire into the room.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS704 	01:03:35,00 --> 01:03:44,50 	a soldier fires a rocket launcher.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1293 	01:56:38,00 --> 01:56:49,50 	as the american admiral and russian captain observe resignedly, someone fires a bullet at someone's helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1294 	01:56:46,00 --> 01:56:57,50 	someone deflects each bullet fired by her and one strikes someone in the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS56 	00:04:34,00 --> 00:04:40,50 	a guy in a white tuxedo fires a barrage from a sub machine gun.
ZOMBIELAND.srt 	ZOMBIELAND_DVS273 	00:30:04,00 --> 00:30:11,50 	now someone stands behind the hummer, firing an automatic into the air.
ZOMBIELAND.srt 	ZOMBIELAND_DVS609 	01:10:02,00 --> 01:10:11,50 	someone fires into the clawing zombie mass.
ZOMBIELAND.srt 	ZOMBIELAND_DVS615 	01:10:31,00 --> 01:10:39,50 	she fires again and blood spews from a zombie's head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS624 	01:11:20,00 --> 01:11:26,50 	someone spins the wheel and fires out his window.
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	he pauses to fire at a group of oncoming attackers.
ZOMBIELAND.srt 	ZOMBIELAND_DVS682 	01:15:24,00 --> 01:15:30,50 	at the drop ride, little someone fires at the advancing zombies.
ZOMBIELAND.srt 	ZOMBIELAND_DVS696 	01:16:36,00 --> 01:16:42,50 	someone fires his guns over his shoulder and behind his back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS749 	01:20:35,00 --> 01:20:40,50 	someone fires two shots at a door in the corner.
