21_JUMP_STREET.srt 	21_JUMP_STREET_DVS123 	00:18:46,00 --> 00:18:50,50 	someone picks up a vase.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS326 	01:01:46,00 --> 01:01:52,50 	someone, the asian-american gi, snaps a guard's neck as dernier, a balding man with a dark mustache, picks up a hydra blaster rifle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS342 	01:03:39,00 --> 01:03:47,50 	in the control room, someone picks up a clear canister containing the glowing blue energy source as the timers continue to countdown.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS435 	01:18:50,00 --> 01:18:55,50 	she picks up a handgun and fires at the shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS481 	01:24:49,00 --> 01:24:59,50 	someone picks up a shield as the trooper fires.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS496 	01:26:45,00 --> 01:26:50,50 	someone picks up utensils and cuts the steak.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS598 	01:42:13,00 --> 01:42:20,50 	he picks up his shield and slides it onto his left forearm.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS606 	01:43:13,00 --> 01:43:32,50 	someone picks up his shield, but someone wrests it away and smacks someone across the face with it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS619 	01:44:32,00 --> 01:44:37,50 	someone picks up the cube-shaped energy source.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS627 	01:45:17,00 --> 01:45:27,50 	someone picks up his shield and watches as the cube burns a hole through the deck, and plummets out of sight.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS650 	01:49:08,00 --> 01:49:16,50 	now, an underwater robot stretches out a claw and picks up the glowing blue energy cube off the ocean floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS85 	00:06:48,00 --> 00:06:53,50 	someone creeps in and picks up a bottle on her nightstand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS120 	00:09:32,00 --> 00:09:38,50 	he grimaces then picks up the can, pouring it along the length of the crack.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS360 	00:33:53,00 --> 00:33:58,50 	someone picks up a large shovel.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS732 	01:12:53,00 --> 01:12:58,50 	someone picks up someone's notebook.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS739 	01:13:31,00 --> 01:13:36,50 	someone backs away from him and picks up the notebook.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS822 	01:21:11,00 --> 01:21:18,50 	kneeling, someone picks up the pace and paddles with both hands in synchronized stokes.
CHRONICLE.srt 	CHRONICLE_DVS42 	00:04:57,00 --> 00:05:02,50 	someone picks up his camera then peers at its lens.
CHRONICLE.srt 	CHRONICLE_DVS306 	00:46:32,00 --> 00:46:37,50 	now, someone picks up the camera.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS38 	00:08:23,00 --> 00:08:37,50 	he picks up a jagged hooked strip of metal with an ivory nub angled down from one end.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	someone picks it up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS88 	00:16:14,00 --> 00:16:19,50 	he picks up his son.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	picking up the roll of bills, she eyes him strangely.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS370 	01:31:28,00 --> 01:31:33,50 	someone picks up a newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS368 	00:33:16,00 --> 00:33:24,50 	kneeling to the cell door, she picks the lock with her hairpin then tucks it back into her bun.
COLOMBIANA.srt 	COLOMBIANA_DVS655 	01:01:28,00 --> 01:01:36,50 	stopping in front of the someone orchid, he picks it up and squints as he examines it.
COLOMBIANA.srt 	COLOMBIANA_DVS732 	01:09:21,00 --> 01:09:26,50 	spotting the plush gift, someone picks it up.
COLOMBIANA.srt 	COLOMBIANA_DVS1042 	01:38:21,00 --> 01:38:27,50 	as she picks up another, he yanks her to her feet.
DEAR_JOHN.srt 	DEAR_JOHN_DVS172 	00:27:03,00 --> 00:27:14,50 	someone trots ahead a few paces and bends to pick up a seashell.
DEAR_JOHN.srt 	DEAR_JOHN_DVS201 	00:31:49,00 --> 00:31:58,50 	he picks up the plate in both hands.
DEAR_JOHN.srt 	DEAR_JOHN_DVS203 	00:32:07,00 --> 00:32:12,50 	his father picks at his food.
DEAR_JOHN.srt 	DEAR_JOHN_DVS247 	00:39:01,00 --> 00:39:05,50 	she picks him up and twirls.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS85 	00:19:24,00 --> 00:19:28,50 	he picks up a box.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS241 	00:59:41,00 --> 00:59:46,50 	someone picks some photographs up off the floor.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS329 	01:18:57,00 --> 01:19:03,50 	he picks up a mouse-sized top hat
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS409 	01:41:55,00 --> 01:42:00,50 	the vulture picks the finger up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS411 	01:42:30,00 --> 01:42:35,50 	he picks up a bottle of wine.
DISTRICT_9.srt 	DISTRICT_9_DVS444 	00:49:56,00 --> 00:50:01,50 	two aliens pick through the garbage.
DISTRICT_9.srt 	DISTRICT_9_DVS650 	01:16:10,00 --> 01:16:33,50 	someone wipes his mouth, then picks up the canister.
FLIGHT.srt 	FLIGHT_DVS350 	00:57:51,00 --> 00:57:56,50 	he smacks his lips, picks up the glass again, and drains the contents.
FLIGHT.srt 	FLIGHT_DVS385 	01:02:08,00 --> 01:02:12,50 	she picks up a cushion.
FLIGHT.srt 	FLIGHT_DVS509 	01:13:28,00 --> 01:13:34,50 	he places a cigarette in his mouth, and picks up her camera.
FLIGHT.srt 	FLIGHT_DVS510 	01:13:44,00 --> 01:13:50,50 	he picks up a book from the coffee table between them.
FLIGHT.srt 	FLIGHT_DVS685 	01:32:45,00 --> 01:32:51,50 	he trods over to the table and picks up the envelope.
FLIGHT.srt 	FLIGHT_DVS689 	01:33:02,00 --> 01:33:08,50 	he picks up the bottle, and throws it hard across the room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS168 	00:46:35,00 --> 00:46:40,50 	they pick through clothes, strewn about the room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS316 	01:23:15,00 --> 01:23:20,50 	someone picks up a game controller.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS79 	00:45:17,00 --> 00:45:23,50 	in a luxurious bed by a glimmering pool she picks up her cellphone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS449 	01:04:15,00 --> 01:04:23,50 	crouching over one of the dead, someone picks up his cross necklace.
GROWN_UPS.srt 	GROWN_UPS_DVS116 	00:37:21,00 --> 00:37:29,50 	he spots someone picking up a rock near the lake.
HUGO.srt 	HUGO_DVS81 	00:10:36,00 --> 00:10:41,50 	he picks up one gear and compares it to a drawing,
HUGO.srt 	HUGO_DVS214 	00:31:50,00 --> 00:31:56,50 	someone picks up the mouse, inserts a key, and winds it up.
HUGO.srt 	HUGO_DVS562 	01:23:04,00 --> 01:23:08,50 	he picks up the key and examines it.
HUGO.srt 	HUGO_DVS658 	01:34:57,00 --> 01:35:03,50 	he picks up a metal hoop, then slides it up the pole, and over someone.
HUGO.srt 	HUGO_DVS693 	01:41:08,00 --> 01:41:18,50 	someone picks up a prop of the man in the moon and throws it onto the bonfire.
HUGO.srt 	HUGO_DVS718 	01:46:22,00 --> 01:46:27,50 	someone picks the cages lock with a tool.
IN_TIME.srt 	IN_TIME_DVS501 	00:54:15,00 --> 00:54:21,50 	he guides her to a bank of pay phones and picks up a receiver.
IN_TIME.srt 	IN_TIME_DVS854 	01:30:23,00 --> 01:30:32,50 	someone picks up her gun and strides up to her father.
INSIDE_MAN.srt 	INSIDE_MAN_DVS175 	00:50:16,00 --> 00:50:37,50 	someone picks up the box.
INSIDE_MAN.srt 	INSIDE_MAN_DVS253 	01:18:21,00 --> 01:18:31,50 	the detective dials and someone picks up a headset.
INSIDE_MAN.srt 	INSIDE_MAN_DVS277 	01:25:42,00 --> 01:25:47,50 	as someone picks up the receiver, someone and someone lean close.
INSIDE_MAN.srt 	INSIDE_MAN_DVS380 	01:51:15,00 --> 01:51:20,50 	he picks up a velvet pouch.
IRON_MAN_2.srt 	IRON_MAN_2_DVS104 	00:20:22,00 --> 00:20:26,50 	someone picks up a framed drawing of iron man.
IRON_MAN_2.srt 	IRON_MAN_2_DVS250 	00:46:28,00 --> 00:46:36,50 	someone picks up a bottle of vodka and taps it against someone's glass.
IRON_MAN_2.srt 	IRON_MAN_2_DVS263 	00:48:38,00 --> 00:48:44,50 	someone picks up his arc reactor from the desk and ejects a half-melted ingot.
IRON_MAN_2.srt 	IRON_MAN_2_DVS385 	01:12:54,00 --> 01:13:03,50 	he picks up a rolled-up blueprint from inside the crate.
IRON_MAN_2.srt 	IRON_MAN_2_DVS386 	01:13:00,00 --> 01:13:10,50 	he picks up an old newspaper's front page.
IRON_MAN_2.srt 	IRON_MAN_2_DVS395 	01:14:16,00 --> 01:14:22,50 	a young man picks up young someone and carries him off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS676 	01:51:47,00 --> 01:51:58,50 	someone speeds down, picks up pepper, and zooms off as the nearby drone, as well as the other drones, explode.
IRON_MAN_2.srt 	IRON_MAN_2_DVS694 	01:54:24,00 --> 01:54:30,50 	someone picks up the folder.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS328 	01:03:38,00 --> 01:03:45,50 	later, outside their villa, someone picks up mail from their concierge.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS403 	01:18:15,00 --> 01:18:20,50 	she briskly strides to the phone and picks up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS473 	01:31:54,00 --> 01:32:02,50 	someone picks up the cordless phone and dials.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS618 	01:58:17,00 --> 01:58:22,50 	she picks up a wooden spoon and stirs the stew.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS90 	00:34:11,00 --> 00:34:17,50 	the girl picks up her slice and winces at it.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS169 	01:00:39,00 --> 01:00:45,50 	someone picks her way out to a rocky point.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS202 	01:11:35,00 --> 01:11:44,50 	someone happily picks up someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS323 	01:43:24,00 --> 01:43:32,50 	as someone hugs her, someone spies someone helping her kids pick out clothes in a gift shop.
KARATE_KID.srt 	KARATE_KID_DVS103 	00:09:35,00 --> 00:09:41,50 	someone stifles an amused grin and picks up the jacket herself.
KARATE_KID.srt 	KARATE_KID_DVS166 	00:13:56,00 --> 00:14:05,50 	a ping-pong ball bounces toward someone and he picks it up.
KARATE_KID.srt 	KARATE_KID_DVS201 	00:17:21,00 --> 00:17:31,50 	someone picks up the sheet music.
KARATE_KID.srt 	KARATE_KID_DVS292 	00:26:04,00 --> 00:26:10,50 	frowning, someone picks up the toothpaste cap on his way to the bathroom.
KARATE_KID.srt 	KARATE_KID_DVS304 	00:27:28,00 --> 00:27:32,50 	someone picks up his jacket.
KARATE_KID.srt 	KARATE_KID_DVS348 	00:31:19,00 --> 00:31:24,50 	the shorthaired boy picks it up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS277 	01:04:25,00 --> 01:04:30,50 	someone picks up her cellphone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS162 	01:43:22,00 --> 01:43:26,50 	he picks up.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS71 	00:22:34,00 --> 00:22:39,50 	they swing back and forth, picking up momentum.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS215 	01:17:03,00 --> 01:17:08,50 	he picks up a rock and throws it at her.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS263 	01:36:18,00 --> 01:36:26,50 	as the overhead lights dim, an assistant picks up the egg.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS19 	00:06:35,00 --> 00:06:41,50 	the beefy executive callously picks pizza out of his teeth.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS131 	00:30:25,00 --> 00:30:30,50 	and picks lint of his shirt.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS239 	00:57:14,00 --> 00:57:26,50 	she picks up a fistful of pebbles from a tree planter, hurls them after the departing car, then staggers off.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS285 	01:08:00,00 --> 01:08:23,50 	picking up a key, he eyes a handwritten tag tied to it with string, then throws it in the file.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS473 	00:53:14,00 --> 00:53:19,50 	standing, someone picks up the oar.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS957 	01:34:48,00 --> 01:34:55,50 	he picks himself up onto his knees and pulls from the boat the grappling tool attached to a rope.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS63 	00:22:11,00 --> 00:22:15,50 	someone picks up his glass.
MORNING_GLORY.srt 	MORNING_GLORY_DVS209 	00:48:01,00 --> 00:48:06,50 	someone picks up her skirt
MORNING_GLORY.srt 	MORNING_GLORY_DVS277 	01:01:24,00 --> 01:01:30,50 	she picks up her laptop and jogs off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS472 	01:39:27,00 --> 01:39:32,50 	someone bends down to pick something up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS165 	00:23:49,00 --> 00:23:54,50 	he picks up the tv remote.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS410 	00:47:52,00 --> 00:47:58,50 	he picks the penguin up and it poops in the toilet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS78 	00:17:38,00 --> 00:17:42,50 	someone picks a leaf from her
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	with a faint smile, the city girl picks up the dainty blouse which bears small blue toned polka dots.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS133 	00:35:01,00 --> 00:35:08,50 	someone picks up her choice.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS357 	01:28:48,00 --> 01:28:56,50 	he picks up a globe made of bones and smashes it on the ground.
PROMETHEUS.srt 	PROMETHEUS_DVS106 	00:06:21,00 --> 00:06:28,50 	he picks his way carefully over the rocky floor and joins the woman at her side.
PROMETHEUS.srt 	PROMETHEUS_DVS153 	00:09:42,00 --> 00:09:49,50 	pausing by a table, he crouches and picks something up off the spotless floor.
PROMETHEUS.srt 	PROMETHEUS_DVS668 	01:12:21,00 --> 01:12:26,50 	he picks up a reed-like flute and plays.
PROMETHEUS.srt 	PROMETHEUS_DVS834 	01:30:23,00 --> 01:30:31,50 	she picks up holloway's ring, studies it, then slides it the ring finger of her left hand.
PROMETHEUS.srt 	PROMETHEUS_DVS862 	01:34:37,00 --> 01:34:42,50 	he picks up a helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS1057 	01:55:53,00 --> 01:56:02,50 	someone picks up his head in both hands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS410 	01:19:16,00 --> 01:19:28,50 	baby face picks up two cash bundles and tosses one to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS588 	01:49:34,00 --> 01:49:40,50 	they pick up their drinks and share another glance.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS278 	01:06:23,00 --> 01:06:47,50 	he picks up someone's sword and eyes the inscription on the hilt - until lambs become lions.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS308 	01:14:31,00 --> 01:14:42,50 	someone strides back to his bucket, picks it up and splashes water in the sleeping men.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS365 	01:30:38,00 --> 01:31:05,50 	later, in someone's bed chamber, two mice forage a table of picked over food.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS444 	01:50:00,00 --> 01:50:04,50 	someone and someone pick off frenchmen.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS173 	00:28:39,00 --> 00:28:46,50 	he freezes then precedes to the foyer where he picks up his keys and wallet.
SALT.srt 	SALT_DVS40 	00:08:11,00 --> 00:08:23,50 	someone picks up a pack of cigarettes and an ashtray then inserts a small radio receiver into her ear.
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	creeping to the living room, she pauses in a doorway to pick up a pair of boots.
SALT.srt 	SALT_DVS456 	01:18:26,00 --> 01:18:31,50 	a general picks up a red handled phone.
SANCTUM.srt 	SANCTUM_DVS170 	00:34:43,00 --> 00:35:00,50 	sweeping his gaze around the cave, he wipes his mouth the back of his hand then picks up a flashlight.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS59 	00:04:12,00 --> 00:04:17,50 	she stirs, wakes, and picks up the cellphone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS889 	00:58:19,00 --> 00:58:23,50 	he picks someone up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS915 	00:59:36,00 --> 00:59:40,50 	the butcher picks up a boy.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS37 	00:07:33,00 --> 00:07:42,50 	someone rubs a dusty arabian oil lamp, then picks it up.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS44 	00:09:10,00 --> 00:09:25,50 	he returns to someone and hesitantly picks up the dragon.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS51 	00:10:42,00 --> 00:10:57,50 	upstairs, someone picks up the nesting doll and studies the painting of someone's unhappy face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS139 	00:25:59,00 --> 00:26:03,50 	someone picks up a pigeon.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS210 	00:40:01,00 --> 00:40:09,50 	picking his way over the now ankle-high green flames, he joins someone at the circle's center.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS352 	01:13:59,00 --> 01:14:03,50 	ferrari picks up speeds.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS422 	01:29:30,00 --> 01:29:35,50 	someone picks up the empty someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS479 	01:41:12,00 --> 01:41:38,50 	he picks it up.
SOUL_SURFER.srt 	SOUL_SURFER_DVS120 	00:39:46,00 --> 00:39:53,50 	the shark-bite survivor pensively touches the instrument then picks it up.
SOUL_SURFER.srt 	SOUL_SURFER_DVS251 	01:15:20,00 --> 01:15:27,50 	someone picks up a ponytailed little boy who pokes the stub of someone's missing arm.
SPARKLE_2012.srt 	SPARKLE_2012_DVS150 	00:25:59,00 --> 00:26:04,50 	she stubs out her cigarette and picks it up.
SPARKLE_2012.srt 	SPARKLE_2012_DVS156 	00:26:56,00 --> 00:27:00,50 	he picks up the picture.
SPARKLE_2012.srt 	SPARKLE_2012_DVS617 	01:40:01,00 --> 01:40:09,50 	her daughter regards her gravely, then picks up the telephone handset on her side of the glass.
SUPER_8.srt 	SUPER_8_DVS139 	00:21:06,00 --> 00:21:11,50 	small white cubes litter the ground, someone picks up one of them.
SUPER_8.srt 	SUPER_8_DVS147 	00:22:53,00 --> 00:23:01,50 	someone jumps back then stoops and picks up the paper.
SUPER_8.srt 	SUPER_8_DVS159 	00:24:50,00 --> 00:24:58,50 	he stoops and picks up an empty super 8 film box, then with his brow furrowed stares after the car.
SUPER_8.srt 	SUPER_8_DVS277 	00:48:01,00 --> 00:48:08,50 	he picks up a model train car and hands it to someone.
SUPER_8.srt 	SUPER_8_DVS328 	00:59:05,00 --> 00:59:11,50 	the baby cries and the woman picks him up and cradles him in her arms.
SUPER_8.srt 	SUPER_8_DVS592 	01:36:58,00 --> 01:37:02,50 	the creature picks up someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS40 	00:04:37,00 --> 00:04:43,50 	strolling through the crowd, the man deftly picked several people's pockets.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS70 	00:09:40,00 --> 00:09:47,50 	someone picks up the broken ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS204 	00:29:37,00 --> 00:29:45,50 	the burly thug picks up a cork.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS255 	00:38:18,00 --> 00:38:24,50 	he picks up the sandwich in his jaws, but the rat tugs at the other end.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS292 	00:42:04,00 --> 00:42:14,50 	someone picks it up.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS330 	00:51:13,00 --> 00:51:18,50 	snowy sticks his head out of a window as the plane picks up speed.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS423 	01:01:06,00 --> 01:01:14,50 	sir someone picks up a piece of burning wood and lights a cannon, causing it to shoot backward and knock several pirates overboard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS442 	01:04:33,00 --> 01:04:43,50 	someone picks up snowy.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS684 	01:31:58,00 --> 01:32:03,50 	someone picks up a metal bar.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS142 	00:31:28,00 --> 00:31:37,50 	someone picks up a card reading, new year's eve party.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS102 	00:20:06,00 --> 00:20:22,50 	now, in someone's pink-tiled bathroom, someone searches a vanity then picks through dirty laundry strewn around the tub.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS417 	01:18:40,00 --> 01:18:44,50 	someone picks up the phone.
THE_CALL.srt 	THE_CALL_DVS949 	01:13:05,00 --> 01:13:11,50 	bending over, she picks up a piece of someone's disposable phone.
THE_CALL.srt 	THE_CALL_DVS1022 	01:18:03,00 --> 01:18:09,50 	someone spies him through the crack as he picks up the mannequin head.
THE_CALL.srt 	THE_CALL_DVS1100 	01:22:43,00 --> 01:23:03,50 	with his gloved hands, he picks her up by the collar and slams her into the wall.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS305 	00:46:32,00 --> 00:46:38,50 	he straightens, picking up a teddy bear from the bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS263 	00:31:47,00 --> 00:31:53,50 	he picks up a marker and highlights a line on someone's notes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS401 	00:47:32,00 --> 00:47:37,50 	he picks up her bag and hands it to her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS543 	01:01:14,00 --> 01:01:22,50 	as he picks up the materials he notices a stack of 8 x 10 photos sticking out of an envelope.
