BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS67 	00:10:45,00 --> 00:10:52,50 	a neon palm tree glows on a sign that reads oasis motel.
KARATE_KID.srt 	KARATE_KID_DVS798 	01:07:20,00 --> 01:07:29,50 	curtains rise, revealing the performance screen and several puppets glowing from behind.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS24 	00:07:19,00 --> 00:07:38,50 	in an adjacent room a globe lamp glows softly.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS357 	00:43:15,00 --> 00:43:21,50 	the deck lights glow as the ocean's depths claim the vessel.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS678 	01:12:00,00 --> 01:12:07,50 	someone takes in the dazzling array of ocean life glowing beneath his raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS695 	01:12:55,00 --> 01:13:04,50 	someone stares as the gigantic whale corkscrews through the air, glowing water streaming from its fins.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS842 	01:25:17,00 --> 01:25:24,50 	tiny particles erupt into vibrant pockets of glowing light.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS844 	01:25:29,00 --> 01:25:37,50 	a glowing blue lotus flower quickly dissolves and forms into someone's beautiful mother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1030 	01:40:35,00 --> 01:40:41,50 	now someone rips a spherical object from a glowing branch.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1033 	01:40:45,00 --> 01:40:53,50 	as he peels back the layers, the inner part of the leaves glow along their veins.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS469 	01:26:10,00 --> 01:26:15,50 	lights glow beneath the porch roof.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS225 	00:54:26,00 --> 00:54:31,50 	the paint on his face glows in the dark.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS308 	01:17:06,00 --> 01:17:16,50 	a softly glowing green pearl sits nestled in one of the slots.
PROMETHEUS.srt 	PROMETHEUS_DVS138 	00:08:17,00 --> 00:08:22,50 	wearing a helmet with a glowing amber visor over his eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS354 	00:34:52,00 --> 00:34:58,50 	glowing blue particles swarm within.
PROMETHEUS.srt 	PROMETHEUS_DVS359 	00:35:07,00 --> 00:35:14,50 	a screen of glowing blue particles forms and races down the tunnel.
PROMETHEUS.srt 	PROMETHEUS_DVS362 	00:35:28,00 --> 00:35:35,50 	glowing blue particles form several giant humanoids racing down the tunnel.
PROMETHEUS.srt 	PROMETHEUS_DVS693 	01:13:53,00 --> 01:14:01,50 	as he peers curiously at the softly glowing orb, we recognize the continent of africa.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS358 	01:08:27,00 --> 01:08:46,50 	behind them, an l train glides across a bridge, its interior lights glowing in the darkness.
SALT.srt 	SALT_DVS398 	01:09:39,00 --> 01:09:56,50 	an aerial view shows the lights of washington d.c. glowing around the dome of the capital building.
SANCTUM.srt 	SANCTUM_DVS241 	00:51:17,00 --> 00:51:22,50 	a light on her rebreather pack glows green.
SANCTUM.srt 	SANCTUM_DVS452 	01:24:59,00 --> 01:25:11,50 	he turns on his wristwatch's light and it glows on his determined face.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS840 	00:55:39,00 --> 00:55:45,50 	light filtering between the floor boards glows on her delicate features.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS288 	01:00:04,00 --> 01:00:11,50 	the clerk grows mesmerized by the glowing gemstone on his cane.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS331 	01:07:49,00 --> 01:08:15,50 	on the lofty observation ledge, a service light glows amber in contrast to a row of stark floodlights.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS379 	01:20:34,00 --> 01:20:39,50 	her eyes glow red and she smirks.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS421 	01:29:16,00 --> 01:29:22,50 	she opens her exotic eyes to reveal glowing pupils.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	as he tenderly touches someone's forehead, his ring glows green.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS148 	00:14:40,00 --> 00:14:46,50 	the car passes through a gate set with glowing lamps.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS361 	00:44:24,00 --> 00:44:30,50 	now, an office building's windows glow below a darkening sky.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1005 	01:49:13,00 --> 01:49:19,50 	someone's house glows from its steep hilltop perch.
THE_VOW.srt 	THE_VOW_DVS34 	00:02:42,00 --> 00:02:47,50 	headlights glow behind them.
THE_WATCH.srt 	THE_WATCH_DVS362 	01:03:33,00 --> 01:03:38,50 	they see shadowy movement in glowing red light.
THOR.srt 	THOR_DVS52 	00:05:47,00 --> 00:05:54,50 	a colossal mountain peak topped by glowing crystals jets out of the center of the clouds.
THOR.srt 	THOR_DVS76 	00:09:48,00 --> 00:09:56,50 	the guards approach the glowing blue box which rests upon a pedestal of scored rock at the end of the corridor.
THOR.srt 	THOR_DVS82 	00:10:48,00 --> 00:10:56,50 	three frost giants run up the corridor to the translucent box, which contains a swirling orb of glowing blue mist.
THOR.srt 	THOR_DVS515 	01:23:11,00 --> 01:23:19,50 	sitting atop it's back, someone grins then frowns as the destroyer's hollow head glows once again.
THOR.srt 	THOR_DVS536 	01:25:56,00 --> 01:26:03,50 	the destroyer's visor slides down and its head glows with energy.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS753 	01:22:34,00 --> 01:22:40,50 	someone smiles gently, then sprinkles a ring of glowing sparkly dust between them.
TRUE_GRIT.srt 	TRUE_GRIT_DVS378 	01:18:03,00 --> 01:18:08,50 	the fire glows gold on her young face.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS592 	01:18:38,00 --> 01:18:45,50 	the yellow hallway lights glow harshly above someone as he hangs his head for a moment.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1109 	01:40:08,00 --> 01:40:13,50 	holding several glowing rods.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS201 	00:38:34,00 --> 00:38:39,50 	lights glow behind window blinds.
ZOMBIELAND.srt 	ZOMBIELAND_DVS356 	00:40:46,00 --> 00:40:51,50 	now as the horizon glows dimly, the hummer moves through a low fog.
ZOMBIELAND.srt 	ZOMBIELAND_DVS358 	00:41:04,00 --> 00:41:12,50 	lights glow within.
