21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS224 	01:50:13,00 --> 01:50:20,50 	someone gives him a kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS115 	00:24:17,00 --> 00:24:22,50 	she gives a casual salute and heads off.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS377 	01:08:24,00 --> 01:08:30,50 	in reality, she opens the door, gives him a friendly hug, and ushers him in.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS378 	01:08:28,00 --> 01:08:33,50 	someone nods to the gathered guests and gives someone the gift.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS413 	01:11:18,00 --> 01:11:24,50 	he gives a "so what" shrug to the concerned shopkeeper.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS457 	01:18:09,00 --> 01:18:14,50 	someone gives a tight smile and walks away from the
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS524 	01:26:24,00 --> 01:26:28,50 	she gives his hand a squeeze.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS525 	01:26:35,00 --> 01:26:40,50 	she gives him a pat on the back
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS81 	00:05:38,00 --> 00:05:43,50 	someone gives him a cool sidelong glance.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS90 	00:07:54,00 --> 00:07:58,50 	her father gives her a half smile.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS323 	00:28:44,00 --> 00:28:49,50 	with his face tense, someone gives a final bump.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS398 	00:36:24,00 --> 00:36:30,50 	someone gives someone his jacket.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS412 	00:39:28,00 --> 00:39:34,50 	his arms folded, someone gives an understanding nod.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS459 	00:44:36,00 --> 00:44:41,50 	someone gives a skeptical nod.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS471 	00:45:46,00 --> 00:45:52,50 	someone gives a cool nod.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS490 	00:47:44,00 --> 00:47:52,50 	the russian gives a shrug.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS334 	00:59:13,00 --> 00:59:17,50 	he gives them a wad of money.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS170 	00:22:54,00 --> 00:22:59,50 	he gives someone a cool smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS222 	00:31:42,00 --> 00:31:48,50 	with a modest smirk, he gives a dismissive wave.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602 	01:23:09,00 --> 01:23:40,50 	someone gives him a bullet then shakes his hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS635 	01:29:38,00 --> 01:29:55,50 	the track under the last railcar gives out and the railcar flips forward forcing someone and someone to run on to the next.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS647 	01:31:42,00 --> 01:31:47,50 	he reaches out and gives him a hand.
BAD_TEACHER.srt 	BAD_TEACHER_DVS90 	00:24:54,00 --> 00:25:01,50 	someone gives a sour look.
BAD_TEACHER.srt 	BAD_TEACHER_DVS101 	00:27:45,00 --> 00:27:51,50 	backing away he gives a sly smile.
BAD_TEACHER.srt 	BAD_TEACHER_DVS279 	01:15:36,00 --> 01:15:42,50 	as someone grins, someone gives him a flirtatious glance.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS276 	00:47:51,00 --> 00:47:56,50 	he opens his magazine and gives it a shake.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS378 	00:59:55,00 --> 01:00:00,50 	he stares after her, then gives a smug nod.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS407 	01:05:44,00 --> 01:05:49,50 	he gives a longing look.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS417 	01:06:34,00 --> 01:06:39,50 	someone gives him a shocked smile.
BLINDDATING.srt 	BLINDDATING_DVS114 	00:31:11,00 --> 00:31:20,50 	she gives someone a steady nod.
BLINDDATING.srt 	BLINDDATING_DVS199 	00:50:09,00 --> 00:50:14,50 	she gives someone a once over.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	he gives a faint bobble of his head, and they pass just in front of someone who waits by his limo.
BLINDDATING.srt 	BLINDDATING_DVS341 	01:21:45,00 --> 01:22:02,50 	someone gives him a tight-lipped smile.
BLINDDATING.srt 	BLINDDATING_DVS358 	01:28:11,00 --> 01:28:29,50 	he gives a comforting pat to someone's mom then hurries off.
BRUNO.srt 	BRUNO_DVS183 	00:48:47,00 --> 00:48:57,50 	someone gives a stunned blink.
BRUNO.srt 	BRUNO_DVS238 	01:05:29,00 --> 01:05:40,50 	later in the house, he shifts uncomfortably as two men and a woman give another woman oral sex.
BURLESQUE.srt 	BURLESQUE_DVS56 	00:05:28,00 --> 00:05:34,50 	she gives someone a polite smile, which instantly fades as she moves on.
BURLESQUE.srt 	BURLESQUE_DVS153 	00:21:02,00 --> 00:21:06,50 	someone gives someone a document.
BURLESQUE.srt 	BURLESQUE_DVS246 	00:35:51,00 --> 00:35:55,50 	someone gives a silent scream.
BURLESQUE.srt 	BURLESQUE_DVS259 	00:36:47,00 --> 00:36:52,50 	she flourishes her wrist and gives a satisfied smile.
BURLESQUE.srt 	BURLESQUE_DVS340 	00:46:42,00 --> 00:46:49,50 	someone gives a satisfied smile.
BURLESQUE.srt 	BURLESQUE_DVS385 	00:53:29,00 --> 00:53:37,50 	she gives the bald man a playful nudge.
BURLESQUE.srt 	BURLESQUE_DVS405 	00:56:06,00 --> 00:56:10,50 	someone gives her a sidelong look.
BURLESQUE.srt 	BURLESQUE_DVS465 	01:04:12,00 --> 01:04:17,50 	someone gives her a smirk and sips his wine.
BURLESQUE.srt 	BURLESQUE_DVS526 	01:13:22,00 --> 01:13:27,50 	someone gives an affectionate smile as someone walks away.
BURLESQUE.srt 	BURLESQUE_DVS549 	01:19:34,00 --> 01:19:43,50 	someone gives an incredulous stare.
BURLESQUE.srt 	BURLESQUE_DVS668 	01:43:44,00 --> 01:43:48,50 	he gives someone a brochure.
BURLESQUE.srt 	BURLESQUE_DVS669 	01:44:21,00 --> 01:44:27,50 	the white-haired businessman gives a confused look.
BURLESQUE.srt 	BURLESQUE_DVS679 	01:45:17,00 --> 01:45:22,50 	he gives her a nod and she presses her lips to his.
BURLESQUE.srt 	BURLESQUE_DVS690 	01:46:17,00 --> 01:46:21,50 	she gives someone an earnest look.
BURLESQUE.srt 	BURLESQUE_DVS705 	01:47:39,00 --> 01:47:43,50 	she gives someone a cordial nod.
BURLESQUE.srt 	BURLESQUE_DVS717 	01:48:43,00 --> 01:48:47,50 	he gives a pleading look.
BURLESQUE.srt 	BURLESQUE_DVS725 	01:49:26,00 --> 01:49:31,50 	his face scrunches up as he gives a charming grin.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS183 	00:34:24,00 --> 00:34:33,50 	one nurse gives someone an injection in his left arm.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS69 	00:05:59,00 --> 00:06:04,50 	she gives him a peck on the cheek and dashes away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS197 	00:15:42,00 --> 00:15:47,50 	someone gives it a light tap and walks on.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS289 	00:22:17,00 --> 00:22:21,50 	someone gives a sheepish nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS312 	00:26:17,00 --> 00:26:21,50 	she gives him a pointed look.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS409 	00:38:49,00 --> 00:38:54,50 	someone gives someone a determined look and nods.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS617 	00:59:13,00 --> 00:59:18,50 	his brow furrowed, he gives a nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS699 	01:07:47,00 --> 01:07:53,50 	the blonde beauty grins joyfully and gives him a playful splash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS770 	01:16:47,00 --> 01:16:52,50 	she gives an understanding nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS859 	01:24:38,00 --> 01:24:43,50 	he kneels close to hers, and gives her an emotional hug.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS903 	01:28:43,00 --> 01:28:48,50 	someone gives a sad smile.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS934 	01:31:20,00 --> 01:31:24,50 	she gives an encouraging nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS946 	01:33:11,00 --> 01:33:17,50 	blond extends his fist and someone gives it a friendly bump.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1119 	01:47:23,00 --> 01:47:28,50 	someone gives someone the letter and leaves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1140 	01:48:58,00 --> 01:49:01,50 	and gives it a squeeze.
CHRONICLE.srt 	CHRONICLE_DVS73 	00:08:55,00 --> 00:09:11,50 	someone gives someone the finger.
CHRONICLE.srt 	CHRONICLE_DVS118 	00:16:36,00 --> 00:16:40,50 	someone gives him a high-five.
CHRONICLE.srt 	CHRONICLE_DVS136 	00:20:07,00 --> 00:20:12,50 	someone gives a worried look, then drops his gaze.
CHRONICLE.srt 	CHRONICLE_DVS137 	00:20:17,00 --> 00:20:24,50 	he gives a bashful smile, then lifts his heavy-lidded eyes and stares directly at us.
CHRONICLE.srt 	CHRONICLE_DVS198 	00:29:14,00 --> 00:29:19,50 	the troubled teen gives a small solemn nod.
CHRONICLE.srt 	CHRONICLE_DVS224 	00:32:31,00 --> 00:32:42,50 	the tumbling camera gives us a dizzying, rolling view of the ground, then the sky, the ground, the sky.
CHRONICLE.srt 	CHRONICLE_DVS251 	00:37:22,00 --> 00:37:26,50 	he gives her an envelope.
CHRONICLE.srt 	CHRONICLE_DVS313 	00:46:56,00 --> 00:47:01,50 	someone gives someone a long, eager kiss.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS56 	00:11:19,00 --> 00:11:23,50 	he gives his daughter his single piece of meat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	behind him, someone sidles through a turnstile and gives it an angry shove as he clears through.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS269 	01:05:38,00 --> 01:05:43,50 	someone gives her the money.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS285 	01:08:28,00 --> 01:08:33,50 	someone gives the door a dismissive wave.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS289 	01:09:35,00 --> 01:09:40,50 	someone gives his wife a dapper half smile.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	he gives them a shy wave.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	someone and someone give him surprised looks.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS409 	01:38:39,00 --> 01:38:49,50 	as his fighter crosses the room, someone gives someone a reassuring gesture.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS441 	01:45:37,00 --> 01:45:46,50 	the young boy gives it a firm shake and his father proudly pats his cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS153 	00:13:43,00 --> 00:13:48,50 	while another group gives chase in the sedan.
COLOMBIANA.srt 	COLOMBIANA_DVS165 	00:14:38,00 --> 00:14:44,50 	the biker gives chase with two gunmen running behind him.
COLOMBIANA.srt 	COLOMBIANA_DVS172 	00:15:11,00 --> 00:15:18,50 	as some of his gunmen give chase, someone talks into his radio.
COLOMBIANA.srt 	COLOMBIANA_DVS538 	00:48:25,00 --> 00:48:30,50 	at the fbi, agent someone gives a briefing.
COLOMBIANA.srt 	COLOMBIANA_DVS584 	00:55:02,00 --> 00:55:10,50 	someone gives a weary shrug then leans forward and rests his elbows on his legs.
COLOMBIANA.srt 	COLOMBIANA_DVS600 	00:56:41,00 --> 00:56:48,50 	stepping out from the cage, she closes the door and gives them a firm look.
COLOMBIANA.srt 	COLOMBIANA_DVS701 	01:06:02,00 --> 01:06:07,50 	lit candles around the room give it a warm glow.
COLOMBIANA.srt 	COLOMBIANA_DVS713 	01:07:48,00 --> 01:07:53,50 	then gives a small shake of her head.
COLOMBIANA.srt 	COLOMBIANA_DVS724 	01:08:53,00 --> 01:08:58,50 	under his steady gaze, she gives a yielding look.
COLOMBIANA.srt 	COLOMBIANA_DVS928 	01:29:25,00 --> 01:29:31,50 	he gives the fbi agent a cold smirk.
COLOMBIANA.srt 	COLOMBIANA_DVS960 	01:32:39,00 --> 01:32:44,50 	as the flames give way to a haze of smoke,
COLOMBIANA.srt 	COLOMBIANA_DVS998 	01:35:15,00 --> 01:35:20,50 	someone gives a relieved look.
COLOMBIANA.srt 	COLOMBIANA_DVS1079 	01:41:46,00 --> 01:41:52,50 	as he leaves, someone gives a perturbed look.
DEAR_JOHN.srt 	DEAR_JOHN_DVS59 	00:07:37,00 --> 00:07:44,50 	someone gapes, and someone gives a stunned smirk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS111 	00:16:23,00 --> 00:16:27,50 	he gives her a white cotton glove.
DEAR_JOHN.srt 	DEAR_JOHN_DVS115 	00:17:37,00 --> 00:17:45,50 	leaning over, someone gives him a kiss on the cheek.
DEAR_JOHN.srt 	DEAR_JOHN_DVS152 	00:24:20,00 --> 00:24:26,50 	he gives a startled turn, then stares off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS212 	00:33:23,00 --> 00:33:29,50 	she gives him an envelope and he starts to open it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS551 	01:17:57,00 --> 01:18:02,50 	someone gives a weary blink.
DEAR_JOHN.srt 	DEAR_JOHN_DVS629 	01:26:07,00 --> 01:26:12,50 	she forces a smile and gives a high shrug.
DEAR_JOHN.srt 	DEAR_JOHN_DVS663 	01:29:43,00 --> 01:29:48,50 	someone gives a long weary blink.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS38 	00:02:59,00 --> 00:03:06,50 	he gives the redheaded female mouse a model fire extinguisher.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS98 	00:23:38,00 --> 00:23:46,50 	someone gives him the finger and goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS299 	01:14:49,00 --> 01:14:54,50 	he gives someone a pointed look.
DISTRICT_9.srt 	DISTRICT_9_DVS27 	00:03:53,00 --> 00:03:58,50 	he gives a talk show interview with someone.
EASY_A.srt 	EASY_A_DVS98 	00:33:28,00 --> 00:33:35,50 	someone beams kindly, and gives another nod.
EASY_A.srt 	EASY_A_DVS103 	00:34:06,00 --> 00:34:20,50 	the bully gives him a friendly shove into a crowd of congratulatory males.
EASY_A.srt 	EASY_A_DVS136 	00:43:05,00 --> 00:43:11,50 	he gives her a playful shove.
EASY_A.srt 	EASY_A_DVS138 	00:43:42,00 --> 00:43:48,50 	she gives him an angry gape.
EASY_A.srt 	EASY_A_DVS177 	00:56:17,00 --> 00:56:26,50 	someone gives a sarcastic thumbs up.
EASY_A.srt 	EASY_A_DVS207 	01:03:58,00 --> 01:04:05,50 	the young outcast gives a slow nod, then shrugs tearfully.
EASY_A.srt 	EASY_A_DVS244 	01:13:43,00 --> 01:13:48,50 	she gives a grateful nod.
EASY_A.srt 	EASY_A_DVS278 	01:23:33,00 --> 01:23:39,50 	someone kisses someone's cheek and gives her the feather boa.
FLIGHT.srt 	FLIGHT_DVS92 	00:16:39,00 --> 00:16:45,50 	she grabs the packet of cocaine that kip gave her, and falls on her side.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS14 	00:04:13,00 --> 00:04:20,50 	his date gives a thumbs up, mouths someone mayer, and rushes inside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS117 	00:32:14,00 --> 00:32:21,50 	someone surfaces from the bed sheets then gives her a smug smile.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	someone gives a wry, knowing smirk, and sets his wine aside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	someone kisses her back then gives a
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS281 	01:13:36,00 --> 01:13:44,50 	someone gives someone a parting caress then hurries after her dad.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS286 	01:14:49,00 --> 01:14:54,50 	he gives the cameras a thumbs up.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS315 	01:23:10,00 --> 01:23:17,50 	someone gives her daughter an unassuming glance and plods away with her drink.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS371 	01:37:50,00 --> 01:37:57,50 	that night in his apartment he gives his father his business card.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS20 	00:12:30,00 --> 00:12:36,50 	the hefty guy gives a faltering smile.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS26 	00:17:37,00 --> 00:17:42,50 	someone gives a dopey smile.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS37 	00:24:55,00 --> 00:25:00,50 	gives a puzzled smile.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS64 	00:34:56,00 --> 00:35:01,50 	he gives a showy wink.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS90 	00:50:54,00 --> 00:51:04,50 	his stunned lips part as he gives a pained
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS109 	01:03:17,00 --> 01:03:22,50 	she spots someone and gives a drunken wave.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS110 	01:03:26,00 --> 01:03:30,50 	she gives an acquiescent shrug.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS116 	01:07:00,00 --> 01:07:05,50 	jonathan glares, then gives
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS142 	01:24:52,00 --> 01:24:57,50 	someone gives a confused blink of his eyes.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS180 	01:40:06,00 --> 01:40:16,50 	someone beams at him, then gives him a gentle kiss on the cheek.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS53 	00:08:34,00 --> 00:08:40,50 	someone snatches the photo from the seat and gives it a look.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	he flings it around the thug and gives it a yank, incinerating him in a flash.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS151 	00:23:42,00 --> 00:23:47,50 	blinking confusedly, he gives it a shake.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS177 	00:28:45,00 --> 00:29:12,50 	someone fastens his seat belt then gives his abductor a smirk.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS266 	00:41:39,00 --> 00:41:51,50 	in the truck, someone gives an alarmed look.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS287 	00:44:15,00 --> 00:44:19,50 	someone gives an impassive look.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS290 	00:44:44,00 --> 00:44:51,50 	she gives a critical look as she sees someone lift a water pitcher and drink from it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS341 	00:51:33,00 --> 00:51:39,50 	he finds a plastic wrapped twinkie and examines it then gives it a squeeze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS355 	00:52:48,00 --> 00:52:54,50 	the monk glances at someone who gives an awkward nod.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS363 	00:53:32,00 --> 00:53:39,50 	someone gives an uncertain look as she and someone start off with the monks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS545 	01:17:52,00 --> 01:17:57,50 	someone gives a puzzled scowl.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS548 	01:18:00,00 --> 01:18:14,50 	someone gives a defeated nod as he recalls signing the contract with his blood.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS565 	01:20:53,00 --> 01:21:18,50 	at the wheel of the flaming truck, the rider thrusts one hand out to the side and gives a taunting shriek.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS578 	01:23:55,00 --> 01:24:07,50 	ghost rider gives his chain a tug.
GREEN_ZONE.srt 	GREEN_ZONE_DVS176 	00:46:00,00 --> 00:46:05,50 	someone gives a bashful smile.
GREEN_ZONE.srt 	GREEN_ZONE_DVS183 	00:47:10,00 --> 00:47:42,50 	a high ranking iraqi official code named magellan gave compelling information about iraq's wmd program.
GREEN_ZONE.srt 	GREEN_ZONE_DVS450 	01:38:37,00 --> 01:38:43,50 	someone gives someone a parting look then lumbers away.
GREEN_ZONE.srt 	GREEN_ZONE_DVS461 	01:41:00,00 --> 01:41:12,50 	through a doorway, he finds someone giving an interview.
GROWN_UPS.srt 	GROWN_UPS_DVS39 	00:09:46,00 --> 00:09:51,50 	someone gives a horrified gape.
GROWN_UPS.srt 	GROWN_UPS_DVS100 	00:33:33,00 --> 00:33:38,50 	his wife gives him a look.
HUGO.srt 	HUGO_DVS263 	00:38:18,00 --> 00:38:23,50 	the policeman gives the inspector a photo.
HUGO.srt 	HUGO_DVS298 	00:46:08,00 --> 00:46:14,50 	someone glances over his shoulder then gives someone her beret back.
IN_TIME.srt 	IN_TIME_DVS34 	00:04:04,00 --> 00:04:10,50 	she gives him a flat metal box.
IN_TIME.srt 	IN_TIME_DVS72 	00:08:25,00 --> 00:08:31,50 	his smooth ageless features give a smirk.
IN_TIME.srt 	IN_TIME_DVS93 	00:10:19,00 --> 00:10:28,50 	the thug gives up and moves on.
IN_TIME.srt 	IN_TIME_DVS119 	00:14:22,00 --> 00:14:27,50 	someone gives a small nod, his eyes glistening.
IN_TIME.srt 	IN_TIME_DVS160 	00:17:19,00 --> 00:17:24,50 	someone gives his friend a conspiring nod.
IN_TIME.srt 	IN_TIME_DVS238 	00:24:46,00 --> 00:24:51,50 	as the sedan glides on, he gives a worried look.
IN_TIME.srt 	IN_TIME_DVS242 	00:25:09,00 --> 00:25:13,50 	someone gives a solemn look.
IN_TIME.srt 	IN_TIME_DVS303 	00:31:12,00 --> 00:31:18,50 	as someone shifts his uncertain eyes, someone gives a knowing smile.
IN_TIME.srt 	IN_TIME_DVS319 	00:32:59,00 --> 00:33:05,50 	the dealer slides two cards from his five giving someone a straight.
IN_TIME.srt 	IN_TIME_DVS324 	00:33:25,00 --> 00:33:29,50 	someone gives a tight smile.
IN_TIME.srt 	IN_TIME_DVS329 	00:33:52,00 --> 00:33:56,50 	someone gives a nod.
IN_TIME.srt 	IN_TIME_DVS401 	00:42:11,00 --> 00:42:17,50 	someone gives a patient, amused smile, then narrows his eyes.
IN_TIME.srt 	IN_TIME_DVS410 	00:43:56,00 --> 00:44:02,50 	halting, he gives an amazed shake of the head.
IN_TIME.srt 	IN_TIME_DVS411 	00:44:17,00 --> 00:44:22,50 	someone gives him a sharp look.
IN_TIME.srt 	IN_TIME_DVS465 	00:50:18,00 --> 00:50:24,50 	he grabs her forearm and gives her a few minutes.
