21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS498 	00:48:24,00 --> 00:48:30,50 	someone shifts his weight anxiously and someone stares.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS804 	01:19:30,00 --> 01:19:35,50 	someone shifts his bewildered gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS825 	01:21:30,00 --> 01:21:35,50 	someone shifts his bewildered gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1035 	01:40:08,00 --> 01:40:13,50 	someone shifts her weight, lips parted.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS95 	00:18:04,00 --> 00:18:08,50 	with a solemn look, someone shifts his draw.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	shifting on his feet, he works his jaw then swaggers past someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS185 	00:39:25,00 --> 00:39:30,50 	he shifts his eyes uneasily.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS215 	00:44:26,00 --> 00:44:36,50 	he shifts his attention to someone playing with a doll.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS287 	01:08:55,00 --> 01:09:01,50 	mrs. gould bites her lip and shifts her gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS291 	01:09:47,00 --> 01:09:54,50 	her gaze shifts uneasily and settles on mrs. braddock.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	someone shifts his jaw as the giant slugger nails his opponent with a series of hooks.
COLOMBIANA.srt 	COLOMBIANA_DVS126 	00:10:30,00 --> 00:10:38,50 	he shifts his gaze to someone who continues to stare straight ahead with a stoic expression.
COLOMBIANA.srt 	COLOMBIANA_DVS218 	00:18:40,00 --> 00:18:47,50 	his mouth hanging agape, he shifts his astonished gaze to someone.
COLOMBIANA.srt 	COLOMBIANA_DVS534 	00:48:12,00 --> 00:48:19,50 	she briskly soaps up her flawless skin and shifts her weary gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS357 	00:55:57,00 --> 00:56:02,50 	she flinches and shifts away from him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS398 	01:01:18,00 --> 01:01:23,50 	someone shifts his gaze uneasily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS512 	01:14:42,00 --> 01:14:48,50 	inside, someone shifts his gaze away from the open side door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS683 	01:32:10,00 --> 01:32:14,50 	she uncomfortably shifts her gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS688 	01:33:04,00 --> 01:33:09,50 	someone glares, shifting his jaw.
DEAR_JOHN.srt 	DEAR_JOHN_DVS720 	01:36:33,00 --> 01:36:40,50 	in the hall, someone shifts his weight uneasily, then treads toward the kitchen.
EASY_A.srt 	EASY_A_DVS265 	01:20:00,00 --> 01:20:05,50 	she shifts her horrified gaze.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS14 	00:08:38,00 --> 00:08:49,50 	a sleazy man with a horseshoe mustache innocently shifts his gaze.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS83 	00:47:38,00 --> 00:47:44,50 	someone woozily shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS61 	00:10:18,00 --> 00:10:23,50 	he shifts his delighted gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS175 	00:28:31,00 --> 00:28:37,50 	someone shifts his indignant gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS258 	00:40:58,00 --> 00:41:04,50 	ghost rider shifts the levers and the wheel crashes down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS314 	00:47:39,00 --> 00:47:48,50 	he shifts his perplexed eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS335 	00:50:43,00 --> 00:50:51,50 	someone shifts his motorcycle onto only its front wheel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS385 	00:57:01,00 --> 00:57:09,50 	someone shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS419 	01:00:38,00 --> 01:00:43,50 	he shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS452 	01:06:00,00 --> 01:06:07,50 	someone shifts her worried gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	shifting gears, someone accelerates and rear ends an suv knocking it off the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	the gypsy woman shifts gears and accelerates.
GREEN_ZONE.srt 	GREEN_ZONE_DVS76 	00:19:27,00 --> 00:19:33,50 	a staffer shifts her uncomfortable gaze from someone to clark.
GREEN_ZONE.srt 	GREEN_ZONE_DVS199 	00:52:21,00 --> 00:52:27,50 	he shifts his gaze to someone and offers a firm nod.
GREEN_ZONE.srt 	GREEN_ZONE_DVS208 	00:53:50,00 --> 00:54:01,50 	someone shifts his confused gaze and heads to his humvee.
GROWN_UPS.srt 	GROWN_UPS_DVS96 	00:30:48,00 --> 00:30:53,50 	someone shifts her confused gaze.
IN_TIME.srt 	IN_TIME_DVS181 	00:19:37,00 --> 00:19:43,50 	the bus driver shifts his regretful gaze away.
IN_TIME.srt 	IN_TIME_DVS219 	00:23:24,00 --> 00:23:31,50 	shifting his gaze from the blonde in thigh-highs and miniskirt,
IN_TIME.srt 	IN_TIME_DVS253 	00:26:04,00 --> 00:26:09,50 	he shifts his thoughtful eyes.
IN_TIME.srt 	IN_TIME_DVS293 	00:30:07,00 --> 00:30:14,50 	as the host collects his time, the newcomer shifts his eyes uncertainly.
IN_TIME.srt 	IN_TIME_DVS381 	00:39:58,00 --> 00:40:07,50 	sea spray forms a light mist over the water's surface as someone shifts her gaze between someone and the mansion.
IN_TIME.srt 	IN_TIME_DVS385 	00:40:23,00 --> 00:40:29,50 	now, someone walks through the party, shifting his agitated gaze.
IN_TIME.srt 	IN_TIME_DVS391 	00:41:05,00 --> 00:41:10,50 	someone's cool blue eyes shift to someone.
IN_TIME.srt 	IN_TIME_DVS646 	01:09:18,00 --> 01:09:26,50 	he hangs up, then shifts his gaze to someone, who examines the data tables on the digital map.
IN_TIME.srt 	IN_TIME_DVS770 	01:21:14,00 --> 01:21:20,50 	among them, the lanky traveler shifts his angry gaze.
IN_TIME.srt 	IN_TIME_DVS829 	01:27:57,00 --> 01:28:04,50 	someone shifts his attention to the bystanders gathered in a wide circle around him.
IN_TIME.srt 	IN_TIME_DVS938 	01:38:57,00 --> 01:39:04,50 	a look of realization crosses his face and he shifts his worried eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS133 	00:40:11,00 --> 00:40:15,50 	someone shifts his eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS303 	01:31:53,00 --> 01:31:57,50 	someone shifts his gaze.
INSIDE_MAN.srt 	INSIDE_MAN_DVS368 	01:46:43,00 --> 01:46:59,50 	someone's gaze lingers on the woman, then shifts away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS40 	00:10:09,00 --> 00:10:14,50 	someone shifts his eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS207 	01:02:20,00 --> 01:02:25,50 	wide-eyed, someone shifts her confounded gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS357 	01:40:50,00 --> 01:41:00,50 	a tearful someone shifts her gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS395 	01:50:13,00 --> 01:50:19,50 	someone shifts her stare then fixes it on him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS394 	01:13:06,00 --> 01:13:11,50 	the balding man grabs and shifts her breasts.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS93 	00:14:15,00 --> 00:14:21,50 	someone shifts her eyes thoughtfully as she forks up a piece of sausage.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS122 	00:20:50,00 --> 00:20:54,50 	she shifts her restless gaze.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS123 	00:21:05,00 --> 00:21:12,50 	he shifts his gaze then nods.
KARATE_KID.srt 	KARATE_KID_DVS128 	00:11:28,00 --> 00:11:33,50 	the lone man shifts his head.
KARATE_KID.srt 	KARATE_KID_DVS181 	00:15:24,00 --> 00:15:29,50 	someone shifts his conflicted gaze.
KARATE_KID.srt 	KARATE_KID_DVS335 	00:30:32,00 --> 00:30:38,50 	someone's smile fades and she shifts her puzzled gaze.
KARATE_KID.srt 	KARATE_KID_DVS456 	00:40:39,00 --> 00:40:46,50 	his eyes shift to a grimy steam vent on the side of a building.
KARATE_KID.srt 	KARATE_KID_DVS542 	00:48:58,00 --> 00:49:03,50 	someone shifts his eyes.
KARATE_KID.srt 	KARATE_KID_DVS550 	00:49:45,00 --> 00:49:53,50 	shifting his sad eyes, mr.
KARATE_KID.srt 	KARATE_KID_DVS606 	00:52:48,00 --> 00:52:53,50 	someone shifts his eyes.
KARATE_KID.srt 	KARATE_KID_DVS715 	00:59:50,00 --> 00:59:58,50 	as he mopes into his room, someone stares at the hanging jacket and shifts her wide-eyed gaze.
KARATE_KID.srt 	KARATE_KID_DVS917 	01:14:53,00 --> 01:14:57,50 	someone shifts his puzzled gaze.
KARATE_KID.srt 	KARATE_KID_DVS979 	01:20:06,00 --> 01:20:11,50 	he allows a faint smile and shifts his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1104 	01:31:41,00 --> 01:31:48,50 	shifting his worried gaze, someone breaks into a run, and sprints down a tree-lined path.
KARATE_KID.srt 	KARATE_KID_DVS1341 	01:48:26,00 --> 01:48:31,50 	pursing his lips, he shifts his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1545 	02:04:57,00 --> 02:05:02,50 	someone shifts his troubled gaze.
KARATE_KID.srt 	KARATE_KID_DVS1581 	02:08:48,00 --> 02:08:57,50 	shifting his calculating gaze, master someone returns to the sidelines.
KNOCKED_UP.srt 	KNOCKED_UP_DVS50 	00:32:50,00 --> 00:32:55,50 	someone's eyes shift.
KNOCKED_UP.srt 	KNOCKED_UP_DVS73 	00:43:45,00 --> 00:43:49,50 	shifts his stunned gaze.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS177 	01:04:56,00 --> 01:05:02,50 	someone, he shifts his jaw.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS200 	01:11:03,00 --> 01:11:12,50 	inside the cavern, someone pops up, shifting his eyes side to side.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS85 	00:21:30,00 --> 00:21:38,50 	the other students shift their uneasy gazes to miss someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS232 	00:31:51,00 --> 00:31:55,50 	someone shifts his weight.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS262 	00:34:44,00 --> 00:34:49,50 	someone shifts his gaze to the ship's floor.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS681 	01:12:10,00 --> 01:12:15,50 	shifting to all fours on the grid, someone dips a hand into the ocean.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS780 	01:19:55,00 --> 01:20:01,50 	someone's ears perk up as he shifts his gaze away from someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1071 	01:47:46,00 --> 01:47:52,50 	the writer lightly tilts his head and shifts his eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1093 	01:53:03,00 --> 01:53:09,50 	the older man shifts his grim, compassionate gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1111 	01:56:49,00 --> 01:56:54,50 	the writer shifts his gaze thoughtfully.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS42 	00:18:40,00 --> 00:18:45,50 	someone shifts his thoughtful gaze.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS48 	00:19:41,00 --> 00:19:48,50 	someone shifts his gaze to his son, someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS102 	00:41:02,00 --> 00:41:07,50 	someone's eyes shift.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS122 	00:45:19,00 --> 00:45:25,50 	narrowing his eyes, someone shifts them mischievously.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS245 	01:22:38,00 --> 01:22:42,50 	they shift in another part of the pit.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS160 	00:23:17,00 --> 00:23:22,50 	someone's smile fades and his eyes shift.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS562 	01:06:20,00 --> 01:06:25,50 	the penguin owner shifts his sad eyes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS115 	00:25:48,00 --> 00:26:02,50 	someone shifts his gaze to a bench seat against a wall.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS211 	00:44:10,00 --> 00:44:16,50 	someone shifts his gaze and hustles off down the road.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS249 	00:51:36,00 --> 00:51:55,50 	someone observes the children, then shifts her thoughtful gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS281 	01:02:03,00 --> 01:02:09,50 	someone bites his lip and shifts his thoughtful gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS306 	01:06:25,00 --> 01:06:31,50 	sergeant jeffreys uneasily shifts his gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS321 	01:11:09,00 --> 01:11:21,50 	someone shifts his gaze from someone to lord someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS294 	01:13:50,00 --> 01:13:54,50 	wide eyes shifting.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS343 	01:24:40,00 --> 01:24:48,50 	he shifts his gaze to an ominous mansion, which looms on a column of rock in the middle of the gorge.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS444 	01:43:44,00 --> 01:43:49,50 	then shifts his proud gaze to his son.
PROMETHEUS.srt 	PROMETHEUS_DVS797 	01:25:34,00 --> 01:25:39,50 	on the bridge, someone's eyes shift nervously.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS114 	00:20:28,00 --> 00:20:37,50 	rubbing the tip of his nose, he shifts his gaze to the dance floor where a brunette in a red dress dances with a man.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS152 	00:27:53,00 --> 00:28:02,50 	someone irritably shifts her gaze, then glares at him and yanks on her coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone allows a subdued smile then shifts boyishly in his seat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS227 	00:41:52,00 --> 00:41:58,50 	they agent shifts his rueful gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS233 	00:42:50,00 --> 00:42:55,50 	someone shifts his aim.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS236 	00:43:47,00 --> 00:43:53,50 	hoover shifts his resentful gaze and works his jaw.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS337 	01:04:41,00 --> 01:04:55,50 	as someone drives through the town, he nervously shifts his eyes back and forth under the tipped down brim of his fedora.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	later, she shifts her sober gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS656 	02:04:04,00 --> 02:04:11,50 	outside, someone shifts his tense, vigilant gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS355 	01:28:01,00 --> 01:28:09,50 	he shifts his cagey eyes and nods resolutely.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS513 	02:07:51,00 --> 02:07:55,50 	someone shifts uneasily.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS282 	00:44:09,00 --> 00:44:14,50 	someone shifts his sympathetic gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS373 	01:00:28,00 --> 01:00:35,50 	someone shifts his bewildered gaze then shrugs and smiles.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS666 	01:35:58,00 --> 01:36:03,50 	someone shifts his humble gaze.
SALT.srt 	SALT_DVS87 	00:18:36,00 --> 00:18:48,50 	she checks her cell then slides it shut and shifts her eyes around the sparse room.
SALT.srt 	SALT_DVS174 	00:29:48,00 --> 00:29:59,50 	as the young girl shifts her gaze, she notices the woman outside and returns the wave.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	back in the present, someone shifts her listless gaze.
SALT.srt 	SALT_DVS416 	01:12:48,00 --> 01:12:52,50 	someone shifts his eyes thoughtfully.
SALT.srt 	SALT_DVS466 	01:19:53,00 --> 01:20:03,50 	outside the operation center, someone shifts her eyes.
SALT.srt 	SALT_DVS535 	01:31:29,00 --> 01:31:42,50 	he shifts angrily in his seat.
SANCTUM.srt 	SANCTUM_DVS383 	01:16:11,00 --> 01:16:16,50 	he shifts his eyes.
SANCTUM.srt 	SANCTUM_DVS415 	01:20:21,00 --> 01:20:26,50 	someone shifts his somber eyes.
SANCTUM.srt 	SANCTUM_DVS457 	01:25:36,00 --> 01:25:41,50 	he shifts his gaze to someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS256 	00:17:37,00 --> 00:17:44,50 	someone and someone both stare straight ahead for a long moment, then, in unison, shift their curious eyes toward each other.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS287 	00:19:21,00 --> 00:19:27,50 	someone shifts her woeful eyes to her own lap and tilts her head thoughtfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS418 	00:28:02,00 --> 00:28:07,50 	someone shifts her concerned gaze away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS671 	00:43:53,00 --> 00:43:58,50 	someone shifts his trouble gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS783 	00:52:32,00 --> 00:52:36,50 	someone shifts her thoughtful gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1081 	01:14:08,00 --> 01:14:14,50 	shifting her increasingly troubled gaze,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1444 	01:37:56,00 --> 01:38:01,50 	then shifts her gaze to someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1453 	01:38:26,00 --> 01:38:32,50 	someone shifts her attention to the cityscape before them.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS130 	00:24:44,00 --> 00:24:51,50 	as someone shifts his eyes, a giant talon knocks him
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS144 	00:28:07,00 --> 00:28:15,50 	the young man shifts his eyes, then nods.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS157 	00:31:03,00 --> 00:31:10,50 	someone shifts his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS235 	00:45:30,00 --> 00:45:39,50 	the young man shifts his rueful gaze.
SOUL_SURFER.srt 	SOUL_SURFER_DVS44 	00:14:34,00 --> 00:14:39,50 	with a hard swallow, someone shifts her crestfallen eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS82 	00:27:25,00 --> 00:27:29,50 	she shifts the minivan into park.
SOUL_SURFER.srt 	SOUL_SURFER_DVS213 	01:08:50,00 --> 01:08:55,50 	she shifts her tearful gaze away.
SPARKLE_2012.srt 	SPARKLE_2012_DVS145 	00:25:01,00 --> 00:25:05,50 	she shifts icily.
SPARKLE_2012.srt 	SPARKLE_2012_DVS223 	00:35:01,00 --> 00:35:08,50 	someone shifts his uncertain gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS118 	00:27:14,00 --> 00:27:24,50 	someone shifts his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS163 	00:34:00,00 --> 00:34:12,50 	a brilliant disco lights swings by overhead as he shifts his dull gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS264 	00:51:10,00 --> 00:51:16,50 	shifting uneasily, someone tucks some hair behind one ear.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS310 	00:59:07,00 --> 00:59:13,50 	dusting contritely shifts his arms at his sides.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS164 	00:33:29,00 --> 00:33:34,50 	someone shifts his sheepish gaze.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS529 	01:36:47,00 --> 01:36:52,50 	someone shifts his confused stare.
THE_CALL.srt 	THE_CALL_DVS278 	00:24:30,00 --> 00:24:34,50 	her eyes shift about.
THE_CALL.srt 	THE_CALL_DVS371 	00:30:09,00 --> 00:30:13,50 	someone shifts her gaze.
THE_CALL.srt 	THE_CALL_DVS543 	00:41:51,00 --> 00:41:56,50 	he shifts an anxious gaze between his trunk and the body.
THE_CALL.srt 	THE_CALL_DVS567 	00:43:21,00 --> 00:43:27,50 	phillips' eyes shift from the glass shards to a large blood stain.
THE_CALL.srt 	THE_CALL_DVS658 	00:51:30,00 --> 00:51:35,50 	someone shifts her anxious gaze.
THE_CALL.srt 	THE_CALL_DVS707 	00:54:10,00 --> 00:54:16,50 	with her jaw trembling, someone shifts her desperate eyes.
THE_CALL.srt 	THE_CALL_DVS1042 	01:19:05,00 --> 01:19:11,50 	someone shifts her gaze and discovers someone absent from her view.
THE_CALL.srt 	THE_CALL_DVS1123 	01:24:41,00 --> 01:24:49,50 	our view shifts down behind someone to the surgical scissors protruding from his lower back.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS88 	00:16:26,00 --> 00:16:30,50 	troy shifts his wounded gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS165 	00:28:06,00 --> 00:28:10,50 	he shifts in his chair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS334 	00:51:41,00 --> 00:51:46,50 	nodding softly, someone shifts his thoughtful gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS428 	01:05:04,00 --> 01:05:10,50 	someone stares at him, then shifts his frustrated gaze and nods.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS602 	01:28:14,00 --> 01:28:20,50 	someone pushes out a breath and shifts her attention to her mother.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS723 	01:41:44,00 --> 01:41:50,50 	shifting her tearful eyes to someone, someone steps to her side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS765 	01:28:13,00 --> 01:28:20,50 	he shifts his contemplative gaze and shuts the door.
