BLINDDATING.srt 	BLINDDATING_DVS63 	00:19:36,00 --> 00:19:41,50 	bowing profusely, someone leaves.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS350 	00:23:41,00 --> 00:23:48,50 	she bows her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS605 	00:40:17,00 --> 00:40:21,50 	she bows respectfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS608 	00:40:23,00 --> 00:40:29,50 	later, a couple bows ceremoniously to her and her husband,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS980 	01:03:56,00 --> 01:04:01,50 	she bows her head, her soft features pinching in a grief-stricken frown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1020 	01:06:39,00 --> 01:06:45,50 	someone studies his expression, then bows her head demurely.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1173 	01:19:27,00 --> 01:19:32,50 	the messenger apologetically bows her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1224 	01:22:14,00 --> 01:22:19,50 	someone humbly bows her head.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS527 	01:14:36,00 --> 01:14:40,50 	someone bows his head.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS237 	00:46:08,00 --> 00:46:12,50 	someone bows her head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS241 	00:38:13,00 --> 00:38:18,50 	his chest rises and falls and he bows his head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS882 	01:38:17,00 --> 01:38:21,50 	he bows his head.
THE_VOW.srt 	THE_VOW_DVS631 	01:26:28,00 --> 01:26:32,50 	her mother bows her head.
THOR.srt 	THOR_DVS397 	00:59:24,00 --> 00:59:28,50 	he bows his head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS36 	00:06:13,00 --> 00:06:17,50 	the two men bow to each other.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS446 	01:10:05,00 --> 01:10:09,50 	smiling, she bows.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS134 	00:08:41,00 --> 00:08:47,50 	bowing his head, he bursts into tear.
ZOOKEEPER.srt 	ZOOKEEPER_DVS232 	00:53:29,00 --> 00:53:34,50 	he bows his head.
