21_JUMP_STREET.srt 	21_JUMP_STREET_DVS130 	00:21:26,00 --> 00:21:30,50 	they go outside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS188 	00:51:24,00 --> 00:51:33,50 	it reads, how's it going with stares at trees?
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS213 	00:56:11,00 --> 00:56:18,50 	he goes.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS224 	01:00:11,00 --> 01:00:16,50 	they go out to the patio.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS229 	01:00:48,00 --> 01:00:52,50 	someone high-fives them and goes.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS233 	01:01:59,00 --> 01:02:07,50 	as his father goes inside in his shirt and skivvies, someone shoots a look at someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS234 	01:02:20,00 --> 01:02:37,50 	someone escorts someone down to the beach and someone goes inside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS236 	01:03:51,00 --> 01:03:56,50 	someone goes inside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS388 	01:41:57,00 --> 01:42:05,50 	the members of the flash mob abruptly disburse as if they're just commuters going about their business.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS41 	00:07:08,00 --> 00:07:14,50 	someone lets him go then crosses the grungy room.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS50 	00:08:12,00 --> 00:08:20,50 	someone lets him go.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS440 	01:03:12,00 --> 01:03:18,50 	the monk lets go, his hand decomposing.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS501 	01:12:40,00 --> 01:12:44,50 	another goes down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS576 	01:23:07,00 --> 01:23:32,50 	his cocky smirk gone, someone stares fearfully through glistening bloodshot eyes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS371 	01:26:49,00 --> 01:27:02,50 	the high ranking iraqi lets go and nods to his gunman who rifle butts someone in the face.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	the list of addresses goes on and on.
HUGO.srt 	HUGO_DVS67 	00:08:47,00 --> 00:08:54,50 	he limps up the platform along the edge of the tracks, pushing people out of the way as he goes.
IN_TIME.srt 	IN_TIME_DVS38 	00:04:20,00 --> 00:04:31,50 	arriving outside a factory, someone goes to a coffee cart with the drink prices listed digitally in minutes and seconds.
IN_TIME.srt 	IN_TIME_DVS49 	00:05:23,00 --> 00:05:30,50 	each sticking their wrist in as they go.
IN_TIME.srt 	IN_TIME_DVS177 	00:18:59,00 --> 00:19:11,50 	the windows go dark.
IN_TIME.srt 	IN_TIME_DVS412 	00:44:24,00 --> 00:44:31,50 	someone starts to go.
IN_TIME.srt 	IN_TIME_DVS658 	01:11:27,00 --> 01:11:33,50 	cringes as it goes off.
INSIDE_MAN.srt 	INSIDE_MAN_DVS27 	00:06:27,00 --> 00:06:35,50 	in a monitoring room, one screen goes dark.
INSIDE_MAN.srt 	INSIDE_MAN_DVS119 	00:33:56,00 --> 00:34:03,50 	one goes out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS396 	01:14:24,00 --> 01:14:30,50 	the screen goes black.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS105 	00:33:36,00 --> 00:33:41,50 	he goes to kiss her then picks her up instead.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS126 	00:24:44,00 --> 00:24:50,50 	someone goes to the window and sees someone on a riding lawn mower.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS109 	00:18:41,00 --> 00:18:51,50 	in a countdown field, someone enters 365 days to go, and 524 recipes to go.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS109 	00:18:41,00 --> 00:18:51,50 	in a countdown field, someone enters 365 days to go, and 524 recipes to go.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS365 	01:09:49,00 --> 01:09:54,50 	outside, the pizzeria's lights go dark.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS513 	01:41:12,00 --> 01:41:17,50 	someone goes to the intercom.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS523 	01:43:19,00 --> 01:43:26,50 	puts down her purse and goes to the machine.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS531 	01:45:28,00 --> 01:45:35,50 	listening, someone's expression goes blank.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS93 	00:34:31,00 --> 00:34:36,50 	they go to the exam room.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS158 	00:58:25,00 --> 00:58:30,50 	she goes to the water's edge.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS182 	01:04:48,00 --> 01:04:53,50 	as he cries, someone goes to comfort him.
KARATE_KID.srt 	KARATE_KID_DVS305 	00:27:31,00 --> 00:27:35,50 	someone goes to the kitchen.
KARATE_KID.srt 	KARATE_KID_DVS344 	00:31:08,00 --> 00:31:15,50 	the american starts to go, but the bullies surround him.
KARATE_KID.srt 	KARATE_KID_DVS1035 	01:24:01,00 --> 01:24:08,50 	the quickly closing door thins the shaft of light cast on the boy until it's gone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS178 	00:40:39,00 --> 00:40:53,50 	someone's look goes from smiley to severe in a split second.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS53 	00:03:27,00 --> 00:03:34,50 	going back in, it halts half way.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS73 	00:26:36,00 --> 00:26:43,50 	he squeezes the back of someone's neck and the boy goes limp, his eyes closed.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS153 	00:54:30,00 --> 00:54:41,50 	then they go their separate ways.
MORNING_GLORY.srt 	MORNING_GLORY_DVS48 	00:08:03,00 --> 00:08:08,50 	her alarm goes off at 1:30.
MORNING_GLORY.srt 	MORNING_GLORY_DVS113 	00:26:20,00 --> 00:26:28,50 	she's eating a salad and going through the contract with a marker pen.
MORNING_GLORY.srt 	MORNING_GLORY_DVS142 	00:33:16,00 --> 00:33:21,50 	someone goes from one dressing room to the other.
MORNING_GLORY.srt 	MORNING_GLORY_DVS147 	00:34:26,00 --> 00:34:31,50 	someone goes into his room and slams the door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS279 	01:01:28,00 --> 01:01:32,50 	and goes back to someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS448 	01:34:48,00 --> 01:34:53,50 	and goes up to the reception desk.
MORNING_GLORY.srt 	MORNING_GLORY_DVS501 	01:41:42,00 --> 01:41:47,50 	someone goes into someone's dressing room.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS83 	00:12:45,00 --> 00:12:49,50 	the penguin's gone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS121 	00:19:33,00 --> 00:19:40,50 	as it releases a stream of white droppings, someone lets go of the landing.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS32 	00:09:07,00 --> 00:09:12,50 	he goes to prop an elbow on his knee, but slips.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS489 	01:39:19,00 --> 01:39:24,50 	her snaggletooth gone from her lovely face,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS234 	00:39:40,00 --> 00:39:51,50 	he parks in front of the garage door and goes inside.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS246 	00:43:03,00 --> 00:43:07,50 	someone goes to the intercom.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS277 	00:49:49,00 --> 00:49:54,50 	someone goes over and taps him on the shoulder.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS305 	00:54:40,00 --> 00:54:44,50 	he goes outside
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS363 	01:07:54,00 --> 01:07:58,50 	he goes straight in the hole.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS418 	01:16:49,00 --> 01:16:53,50 	someone goes outside.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS500 	01:32:42,00 --> 01:32:47,50 	with a look of distaste, someone wipes her hands together and goes.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS526 	01:37:57,00 --> 01:38:04,50 	they go to each other and kiss passionately.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS98 	00:25:38,00 --> 00:25:45,50 	as she goes, someone sternly folds his arms across his chest.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS301 	01:11:14,00 --> 01:11:26,50 	as someone and someone both go for the can they slip on the grass.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS350 	01:23:57,00 --> 01:24:02,50 	someone starts to go.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS274 	01:09:55,00 --> 01:09:59,50 	her snakes go limp.
PROMETHEUS.srt 	PROMETHEUS_DVS160 	00:10:11,00 --> 00:10:17,50 	he shoots the basketball from the bike and it goes through the basket.
PROMETHEUS.srt 	PROMETHEUS_DVS216 	00:17:23,00 --> 00:17:29,50 	someone and holloway go to either side of the holographic speaker.
PROMETHEUS.srt 	PROMETHEUS_DVS615 	01:07:46,00 --> 01:07:54,50 	the probe casts its flickering light at the far end of the chamber as the android goes in.
PROMETHEUS.srt 	PROMETHEUS_DVS717 	01:16:14,00 --> 01:16:19,50 	as someone goes to help, someone joins someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS74 	00:12:39,00 --> 00:12:47,50 	he goes around the table.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS286 	00:54:19,00 --> 00:54:24,50 	another flare goes up.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS504 	01:35:00,00 --> 01:35:06,50 	his blood-stained hand lets go of someone's shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS598 	01:51:58,00 --> 01:52:17,50 	go someplace safe and wait for me.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS605 	01:53:46,00 --> 01:53:56,50 	he goes to the sink and washes his hands.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS110 	00:28:25,00 --> 00:28:31,50 	the knight's jaw goes slack and his eyes half close.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS351 	00:57:13,00 --> 00:57:20,50 	someone kisses someone's mother on the head and goes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS415 	01:04:41,00 --> 01:04:49,50 	as someone lets go of his spoon, someone grabs hold of his hand and rests her cheek against it.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS429 	01:06:06,00 --> 01:06:13,50 	crossing the street, someone lets go of someone's hand to answer his phone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS632 	01:31:16,00 --> 01:31:21,50 	revealing the sticky note now gone.
SALT.srt 	SALT_DVS351 	01:02:29,00 --> 01:02:46,50 	her cool smile gone she ventures further in.
SANCTUM.srt 	SANCTUM_DVS233 	00:50:28,00 --> 00:50:32,50 	as their headlamps descend, the cave goes dark.
SANCTUM.srt 	SANCTUM_DVS243 	00:51:24,00 --> 00:51:29,50 	someone goes next, shoving his gear in before him.
SANCTUM.srt 	SANCTUM_DVS345 	01:09:27,00 --> 01:09:31,50 	he goes to another ledge below.
SANCTUM.srt 	SANCTUM_DVS500 	01:33:30,00 --> 01:33:36,50 	someone's eyes widen and his grip goes slack.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS161 	00:12:02,00 --> 00:12:08,50 	someone smiles politely and the hospital staffer goes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS678 	00:44:28,00 --> 00:44:32,50 	the market goes up and down.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS870 	00:57:46,00 --> 00:57:52,50 	a little later, she goes downstairs disheveled and confused.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	as he goes back and forth between the two, streaks of light fly out of someone's face and into his own.
SOUL_SURFER.srt 	SOUL_SURFER_DVS114 	00:38:44,00 --> 00:38:47,50 	she goes to the refrigerator.
SOUL_SURFER.srt 	SOUL_SURFER_DVS190 	01:00:33,00 --> 01:00:38,50 	someone goes to a registration table.
SPARKLE_2012.srt 	SPARKLE_2012_DVS102 	00:17:19,00 --> 00:17:24,50 	someone goes to the window and peeks between the curtain.
SUPER_8.srt 	SUPER_8_DVS266 	00:44:58,00 --> 00:45:05,50 	using a joystick someone raises the lift bucket as high as it someone go.
SUPER_8.srt 	SUPER_8_DVS629 	01:41:48,00 --> 01:41:53,50 	someone lets go of the chain,
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS163 	00:34:00,00 --> 00:34:12,50 	strobe-like flashes of the tightly packed club goers go in and out of focus.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS124 	00:24:42,00 --> 00:24:46,50 	she starts to go.
THE_CALL.srt 	THE_CALL_DVS110 	00:08:34,00 --> 00:08:41,50 	he goes to the archway and briefly surveys the room before kneeling at the foot of the bed.
THE_CALL.srt 	THE_CALL_DVS118 	00:09:12,00 --> 00:09:17,50 	pausing, he slowly goes back into the room.
THE_CALL.srt 	THE_CALL_DVS197 	00:15:43,00 --> 00:15:48,50 	officer someone goes to her.
THE_CALL.srt 	THE_CALL_DVS722 	00:55:05,00 --> 00:55:12,50 	someone goes in the front door.
THE_CALL.srt 	THE_CALL_DVS1007 	01:17:14,00 --> 01:17:19,50 	he goes to a mirrored vanity.
THE_CALL.srt 	THE_CALL_DVS1057 	01:19:59,00 --> 01:20:05,50 	the lights in the room go out.
THE_CALL.srt 	THE_CALL_DVS1080 	01:21:04,00 --> 01:21:10,50 	someone goes across the room and retrieves a pair of latex gloves.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS140 	00:24:04,00 --> 00:24:10,50 	pouting, someone flips her father the bird and goes inside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS179 	00:29:39,00 --> 00:29:46,50 	he goes out onto the porch and steps into a pair of soft-soled shoes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS468 	01:09:20,00 --> 01:09:26,50 	as someone kicks off his running shoes and goes inside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS548 	01:20:30,00 --> 01:20:34,50 	someone goes inside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS557 	01:22:26,00 --> 01:22:33,50 	the two men go in.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS67 	00:05:15,00 --> 00:05:27,50 	he shrugs his brow grimly and goes upstairs to an office.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS89 	00:09:15,00 --> 00:09:23,50 	she goes to a vanger industries page profiling someone, then hacks into someone's email account.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS90 	00:09:23,00 --> 00:09:29,50 	as someone goes back to the kitchen, a new email pops up.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS103 	00:10:41,00 --> 00:10:47,50 	as the woman goes in, someone loiters briefly.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS106 	00:10:49,00 --> 00:10:55,50 	someone goes to the keypad, enters the code, and goes inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS106 	00:10:49,00 --> 00:10:55,50 	someone goes to the keypad, enters the code, and goes inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS445 	00:52:42,00 --> 00:52:46,50 	she goes to the bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS545 	01:01:23,00 --> 01:01:33,50 	someone goes to his posted photographs of the vanger family members.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS586 	01:04:49,00 --> 01:04:56,50 	someone goes to a tv and clicks a remote.
