21_JUMP_STREET.srt 	21_JUMP_STREET_DVS267 	00:46:28,00 --> 00:46:33,50 	now, someone's parents leave the house.
BRUNO.srt 	BRUNO_DVS44 	00:08:13,00 --> 00:08:23,50 	smacks diesels rear-end, and they leave together.
BRUNO.srt 	BRUNO_DVS94 	00:21:19,00 --> 00:21:25,50 	someone leaves the observation room, and barges in on the focus group.
BRUNO.srt 	BRUNO_DVS175 	00:47:50,00 --> 00:47:58,50 	now, unchained, the guys leave the madison county office of alternative sentencing and release.
BURLESQUE.srt 	BURLESQUE_DVS29 	00:02:56,00 --> 00:03:01,50 	she leaves the trailer park behind.
BURLESQUE.srt 	BURLESQUE_DVS38 	00:04:09,00 --> 00:04:19,50 	in the bathroom, she lifts the lid off the toilet tank and carefully sets the bag inside, leaving its top edge over the back rim.
BURLESQUE.srt 	BURLESQUE_DVS99 	00:11:13,00 --> 00:11:20,50 	as she leaves, the bartender smiles.
BURLESQUE.srt 	BURLESQUE_DVS109 	00:14:31,00 --> 00:14:36,50 	as she leaves, jesse reaches for someone's makeup.
BURLESQUE.srt 	BURLESQUE_DVS159 	00:22:39,00 --> 00:22:44,50 	someone leaves.
BURLESQUE.srt 	BURLESQUE_DVS197 	00:29:36,00 --> 00:29:43,50 	then someone leaves the window.
BURLESQUE.srt 	BURLESQUE_DVS217 	00:31:59,00 --> 00:32:05,50 	as the dancers leave, someone strides purposefully ahead.
BURLESQUE.srt 	BURLESQUE_DVS262 	00:37:15,00 --> 00:37:19,50 	the girls leave the stage.
BURLESQUE.srt 	BURLESQUE_DVS378 	00:52:16,00 --> 00:52:21,50 	someone stares after her as she leaves with them.
BURLESQUE.srt 	BURLESQUE_DVS474 	01:05:30,00 --> 01:05:34,50 	someone leaves.
BURLESQUE.srt 	BURLESQUE_DVS489 	01:08:28,00 --> 01:08:33,50 	she leaves.
BURLESQUE.srt 	BURLESQUE_DVS571 	01:25:02,00 --> 01:25:09,50 	as someone leaves the bar, someone grabs her hand.
BURLESQUE.srt 	BURLESQUE_DVS636 	01:36:37,00 --> 01:36:43,50 	someone leaves with her luggage.
BURLESQUE.srt 	BURLESQUE_DVS648 	01:39:57,00 --> 01:40:04,50 	she leaves the window and regards an architectural model of a city block set up on a table.
BURLESQUE.srt 	BURLESQUE_DVS681 	01:45:25,00 --> 01:45:30,50 	as she leaves, someone's lips curl into a smile.
BURLESQUE.srt 	BURLESQUE_DVS700 	01:47:16,00 --> 01:47:23,50 	he heads away, leaving someone at the bar with a faint smile on her lips and a faraway look.
BURLESQUE.srt 	BURLESQUE_DVS752 	01:53:43,00 --> 01:53:53,50 	the stage lights flash and the dancers disappear, leaving only the glowing letters.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS100 	00:15:27,00 --> 00:15:31,50 	the mp leaves.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS305 	00:58:17,00 --> 00:58:27,50 	the guard closes the cell door and leaves.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS490 	01:25:40,00 --> 01:25:45,50 	as the guard leaves, someone puts on his glasses.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS588 	01:41:12,00 --> 01:41:18,50 	the pilot tilts the flying bomb left and right, then dives straight down.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS337 	00:30:51,00 --> 00:30:56,50 	sofie leaves her side to greet someone at the window.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS361 	00:34:04,00 --> 00:34:10,50 	he leaves someone clutching the shovel by a large pile of someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS487 	00:46:44,00 --> 00:46:49,50 	she hugs someone and leaves the kitchen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS490 	00:47:07,00 --> 00:47:13,50 	she leaves someone with the baby and joins someone in the bedroom.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS497 	00:48:22,00 --> 00:48:27,50 	she eyes someone and leaves them alone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS567 	00:54:49,00 --> 00:54:54,50 	someone's sad eyes shift about as she leaves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS585 	00:56:32,00 --> 00:56:41,50 	someone's board leaves a white wake as he surfs along the face, executing tight curls at the crest.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS625 	01:00:24,00 --> 01:00:29,50 	as they leave, blond rubs his throat.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS728 	01:12:24,00 --> 01:12:30,50 	now, autumn leaves cover the back patio of the abandoned house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS786 	01:18:19,00 --> 01:18:23,50 	as the older man leaves,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS895 	01:27:48,00 --> 01:27:54,50 	someone switches off his radio and leaves the deserted after-hours kitchen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1135 	01:48:43,00 --> 01:48:49,50 	someone curls another finger into his palm, leaving only his thumb up.
CHRONICLE.srt 	CHRONICLE_DVS55 	00:06:34,00 --> 00:06:40,50 	the bearded man storms out, leaving the bedroom door ajar.
CHRONICLE.srt 	CHRONICLE_DVS336 	00:50:25,00 --> 00:50:33,50 	he leaves a coat hanging on an armoire door and steps directly toward the camera.
CHRONICLE.srt 	CHRONICLE_DVS389 	00:59:14,00 --> 00:59:20,50 	left alone, someone grabs his backpack and heads out.
CHRONICLE.srt 	CHRONICLE_DVS413 	01:01:36,00 --> 01:01:43,50 	someone telekinetically drags one side-to-side, leaving bloody smears on the pavement.
CHRONICLE.srt 	CHRONICLE_DVS434 	01:03:25,00 --> 01:03:31,50 	a surveillance camera shows the cop leaving the room.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS67 	00:13:18,00 --> 00:13:31,50 	now, a boy jumps on a rusty box spring mattress left out on a staircase balcony.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS290 	01:09:40,00 --> 01:09:49,50 	as the women smile, someone glances at each then leaves them.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS315 	01:15:14,00 --> 01:15:20,50 	circling left, someone jabs at someone's head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	his mouthpiece tumbles across the canvas leaving a trail of spit.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS530 	02:04:10,00 --> 02:04:16,50 	someone leaves the gathering.
COLOMBIANA.srt 	COLOMBIANA_DVS79 	00:05:38,00 --> 00:05:43,50 	someone's mother leaves her at the kitchen table.
COLOMBIANA.srt 	COLOMBIANA_DVS219 	00:18:48,00 --> 00:18:52,50 	two subordinates leave.
COLOMBIANA.srt 	COLOMBIANA_DVS356 	00:32:28,00 --> 00:32:33,50 	he leaves the gum on a crossbar then shuts the door.
COLOMBIANA.srt 	COLOMBIANA_DVS357 	00:32:36,00 --> 00:32:41,50 	he leaves the coffee thermos with the young someone.
COLOMBIANA.srt 	COLOMBIANA_DVS359 	00:32:44,00 --> 00:32:49,50 	the guard leaves the mug on a crossbar.
COLOMBIANA.srt 	COLOMBIANA_DVS360 	00:32:47,00 --> 00:32:52,50 	as she leaves, the cell block lights blink out.
COLOMBIANA.srt 	COLOMBIANA_DVS746 	01:11:04,00 --> 01:11:08,50 	he starts to leave.
COLOMBIANA.srt 	COLOMBIANA_DVS900 	01:24:58,00 --> 01:25:01,50 	now he leaves.
COLOMBIANA.srt 	COLOMBIANA_DVS920 	01:28:19,00 --> 01:28:24,50 	she starts the microwave then leaves.
COLOMBIANA.srt 	COLOMBIANA_DVS1065 	01:39:44,00 --> 01:39:50,50 	the van fishtails, its spinning tires leaving a wake of churning dust.
COLOMBIANA.srt 	COLOMBIANA_DVS1093 	01:43:23,00 --> 01:43:28,50 	as he leaves, agent someone bows his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS47 	00:06:07,00 --> 00:06:11,50 	he leaves.
DEAR_JOHN.srt 	DEAR_JOHN_DVS176 	00:28:43,00 --> 00:28:48,50 	he sulks off, leaving his girlfriend behind.
DEAR_JOHN.srt 	DEAR_JOHN_DVS206 	00:32:22,00 --> 00:32:32,50 	standing, he leaves the table.
DEAR_JOHN.srt 	DEAR_JOHN_DVS246 	00:38:56,00 --> 00:39:02,50 	someone leaves a horse and runs across the front yard to greet someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS270 	00:42:33,00 --> 00:42:38,50 	leaving the van, the boy studies his change.
DEAR_JOHN.srt 	DEAR_JOHN_DVS345 	00:53:47,00 --> 00:53:52,50 	as her father leaves, someone joins them.
DEAR_JOHN.srt 	DEAR_JOHN_DVS361 	00:56:41,00 --> 00:56:51,50 	she storms past him and disappears down the front steps, leaving him alone on the porch.
DEAR_JOHN.srt 	DEAR_JOHN_DVS471 	01:09:22,00 --> 01:09:27,50 	he heads off, leaving someone staring at the fire.
DEAR_JOHN.srt 	DEAR_JOHN_DVS601 	01:23:15,00 --> 01:23:22,50 	the pastor disappears through a doorway, leaving someone alone once again.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	now, he exits the shack, his left arm hidden inside his coat.
DISTRICT_9.srt 	DISTRICT_9_DVS852 	01:41:10,00 --> 01:41:21,50 	a caption reads - historic moment, as alien mothership leaves earth.
EASY_A.srt 	EASY_A_DVS26 	00:07:19,00 --> 00:07:25,50 	she flicks water at someone, and leaves.
EASY_A.srt 	EASY_A_DVS156 	00:50:25,00 --> 00:50:29,50 	someone leaves.
EASY_A.srt 	EASY_A_DVS198 	01:01:40,00 --> 01:01:47,50 	as someone starts to leave, she bumps into someone.
EASY_A.srt 	EASY_A_DVS210 	01:04:25,00 --> 01:04:34,50 	she leaves the confessional and rushes past a pew, knocking a bible from the seat.
FLIGHT.srt 	FLIGHT_DVS155 	00:30:00,00 --> 00:30:04,50 	the doctor leaves.
FLIGHT.srt 	FLIGHT_DVS160 	00:34:15,00 --> 00:34:19,50 	someone leaves.
FLIGHT.srt 	FLIGHT_DVS169 	00:35:37,00 --> 00:35:41,50 	the nurse leaves the room.
FLIGHT.srt 	FLIGHT_DVS170 	00:38:09,00 --> 00:38:15,50 	someone places his hand on someone's head, and leaves.
FLIGHT.srt 	FLIGHT_DVS178 	00:39:14,00 --> 00:39:18,50 	she rises, to leave.
FLIGHT.srt 	FLIGHT_DVS341 	00:56:50,00 --> 00:56:54,50 	someone rises to leave.
FLIGHT.srt 	FLIGHT_DVS582 	01:19:25,00 --> 01:19:30,50 	he kisses her, and leaves.
FLIGHT.srt 	FLIGHT_DVS593 	01:22:15,00 --> 01:22:19,50 	someone leaves.
FLIGHT.srt 	FLIGHT_DVS605 	01:25:36,00 --> 01:25:40,50 	someone rises to leave.
FLIGHT.srt 	FLIGHT_DVS680 	01:31:56,00 --> 01:32:03,50 	she leaves an envelope with someone's name on it, between his lighter and a bottle of whiskey.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS33 	00:09:10,00 --> 00:09:22,50 	someone leaves the building.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS91 	00:23:57,00 --> 00:24:06,50 	as someone draws on her face, the marker leaves no apparent lines.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS141 	00:37:31,00 --> 00:37:43,50 	he leaves the door open as he steps out of view.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS153 	00:41:00,00 --> 00:41:05,50 	someone leaves the room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS273 	01:10:37,00 --> 01:10:46,50 	someone bows, then leaves.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS293 	01:18:04,00 --> 01:18:12,50 	as someone leaves, someone, and someone enter.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS296 	01:19:08,00 --> 01:19:20,50 	left alone, someone lifts away a top panel of the box and climbs out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS300 	01:20:19,00 --> 01:20:26,50 	she leaves the house.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS337 	01:29:30,00 --> 01:29:38,50 	as she leaves, someone frowns to himself.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS158 	01:27:58,00 --> 01:28:04,50 	as she leaves, someone glances below his beastie boys t-shirt.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS45 	00:07:35,00 --> 00:07:40,50 	someone leaves the corner.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS52 	00:08:25,00 --> 00:08:31,50 	he leaves the photo wedged in the motorcycle's seat.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS124 	00:20:07,00 --> 00:20:26,50 	eyeing him uneasily, the nurse leaves.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS125 	00:20:25,00 --> 00:20:30,50 	ahead, two doctors try to stop someone from leaving.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS127 	00:20:31,00 --> 00:20:38,50 	leaving the doctors, she halts at the sight of him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS161 	00:25:05,00 --> 00:25:16,50 	the mother regards him disgustedly but makes no move to leave him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS183 	00:29:25,00 --> 00:29:36,50 	we spy flames spreading over the undercarriage as someone and his brutish henchman escape, leaving the heavyset thug stuck in his crushed doorway.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS247 	00:39:17,00 --> 00:39:28,50 	ghost rider's smoldering hand reaches out of the fiery crater left behind.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS277 	00:43:04,00 --> 00:43:18,50 	the smoke dissipates, leaving someone in a kneeling position.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS376 	00:55:22,00 --> 00:55:30,50 	he leaves a wall of cubby holes stocked with wine.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS447 	01:04:04,00 --> 01:04:13,50 	then shrinks to a pinpoint as we drift among two petrified monks left permanently kneeling in prayer.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS469 	01:08:11,00 --> 01:08:17,50 	someone envisions ghost rider urinating fire from left to right.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS504 	01:12:49,00 --> 01:12:57,50 	she glances up once more then recognizes someone and someone as they leave their fallen enemies behind.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS511 	01:13:38,00 --> 01:13:47,50 	he grabs his bag and leaves.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS562 	01:20:11,00 --> 01:20:32,50 	the rear driver spots him and swerves left, blocking his path.
GREEN_ZONE.srt 	GREEN_ZONE_DVS57 	00:13:09,00 --> 00:13:14,50 	bethel leaves someone behind in a briefing room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS115 	00:27:49,00 --> 00:28:09,50 	he nods to the official's opponent who leaves.
GREEN_ZONE.srt 	GREEN_ZONE_DVS203 	00:53:15,00 --> 00:53:26,50 	someone slings the money filled backpack over his shoulder and leaves.
GREEN_ZONE.srt 	GREEN_ZONE_DVS215 	00:54:45,00 --> 00:54:53,50 	as someone and his agents leave, someone watches with narrowed eyes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS333 	01:15:15,00 --> 01:15:27,50 	leaving his men behind, someone strides out into the street and heads for the bus station.
GREEN_ZONE.srt 	GREEN_ZONE_DVS455 	01:39:57,00 --> 01:40:11,50 	later, he leaves with his helmet in hand.
GROWN_UPS.srt 	GROWN_UPS_DVS110 	00:36:06,00 --> 00:36:11,50 	someone leaves confusedly.
HUGO.srt 	HUGO_DVS38 	00:04:17,00 --> 00:04:25,50 	crouching, the boy leaves the clock and scuttles along a crawlspace beneath the walkway.
HUGO.srt 	HUGO_DVS58 	00:07:40,00 --> 00:07:47,50 	swinging out his unbending left leg as he runs, the inspector follows after them.
HUGO.srt 	HUGO_DVS69 	00:09:04,00 --> 00:09:13,50 	above them, the boy paces along a narrow catwalk, running across the tracks as a train leaves the station.
HUGO.srt 	HUGO_DVS83 	00:10:47,00 --> 00:10:52,50 	setting his jaw, the boy leaves.
HUGO.srt 	HUGO_DVS201 	00:30:27,00 --> 00:30:33,50 	someone shakes someone's shoulder, smiles, and leaves.
HUGO.srt 	HUGO_DVS234 	00:34:09,00 --> 00:34:15,50 	in the steamy attic, he reattaches the automatons left arm.
HUGO.srt 	HUGO_DVS255 	00:36:04,00 --> 00:36:12,50 	a businessman reading a newspaper vacates a bench, leaving behind a crumpled paper bag.
HUGO.srt 	HUGO_DVS592 	01:25:34,00 --> 01:25:42,50 	his watch hangs from the strap where he left it.
IN_TIME.srt 	IN_TIME_DVS30 	00:03:45,00 --> 00:03:52,50 	leaving the building, someone steps out onto a street crowded with pedestrians.
IN_TIME.srt 	IN_TIME_DVS83 	00:09:21,00 --> 00:09:28,50 	someone and his men leave the bar through the front exit and get in a waiting car.
IN_TIME.srt 	IN_TIME_DVS412 	00:44:24,00 --> 00:44:31,50 	someone leaves the room, joining someone and his daughter in the hall.
IN_TIME.srt 	IN_TIME_DVS415 	00:44:45,00 --> 00:44:53,50 	as someone trots down to the foyer, someone leaves the study and rushes down the other side of the twin stairway.
IN_TIME.srt 	IN_TIME_DVS463 	00:49:59,00 --> 00:50:03,50 	she leaves the car.
IN_TIME.srt 	IN_TIME_DVS472 	00:50:57,00 --> 00:51:04,50 	his body clock indicates a transfer of time into his body and he leaves the car.
IN_TIME.srt 	IN_TIME_DVS478 	00:51:51,00 --> 00:51:57,50 	someone's clock shows three and a half minutes left.
IN_TIME.srt 	IN_TIME_DVS482 	00:52:23,00 --> 00:52:33,50 	as someone beats the screen door, someone notes two and a half minutes left on her clock.
