21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS879 	01:25:45,00 --> 01:25:50,50 	someone runs along the roof's edge.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS145 	00:29:56,00 --> 00:30:03,50 	wide-eyed someone runs after the man and pushes him out of the way of a bus.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS183 	00:34:38,00 --> 00:34:44,50 	someone runs off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS236 	00:45:14,00 --> 00:45:22,50 	someone runs to someone's desk, points at the austin powers doll, then at himself, then sweeps his arm in a circle.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS240 	00:45:36,00 --> 00:45:43,50 	someone runs into someone's office and dumps an armload of dolls onto his desk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS299 	00:55:14,00 --> 00:55:22,50 	the two executives stare at someone, who picks up another breadstick and runs it across samantha's cheek,
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS277 	00:39:39,00 --> 00:39:51,50 	as the vampire runs up ahead, someone mounts one of the horses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	as someone mounts the horse, he sees someone run off across the backs of the herd.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS286 	00:41:22,00 --> 00:41:36,50 	he rises to his feet then runs after the vampire landing on a new horse's back with every daring step.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	someone clings to someone's boot as the herd runs alongside a bluff.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS353 	00:50:37,00 --> 00:50:44,50 	at a dock, someone runs his gloved hand over the top of a wooden casket.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	later, they run.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS627 	01:28:19,00 --> 01:28:25,50 	they run back across the rooftops.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS104 	00:15:02,00 --> 00:15:13,50 	someone runs off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS212 	00:35:11,00 --> 00:35:16,50 	someone runs off with her tray.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS215 	00:36:22,00 --> 00:36:27,50 	someone runs up a flight of steps and hurries off with his purse in hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS576 	01:30:12,00 --> 01:30:17,50 	someone runs out and sits beside her.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS609 	01:35:10,00 --> 01:35:14,50 	he runs after her.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS629 	01:37:16,00 --> 01:37:28,50 	outside, someone and someone run across a patio, then enter the library through another door.
BLINDDATING.srt 	BLINDDATING_DVS79 	00:24:22,00 --> 00:24:30,50 	someone snatches the knife, pries out the blade and runs the blunt side across his palm.
BLINDDATING.srt 	BLINDDATING_DVS285 	01:11:18,00 --> 01:11:35,50 	now, an assistant flips a pump run button and a pressure gauge needle swivels past 40.
BRUNO.srt 	BRUNO_DVS47 	00:09:12,00 --> 00:09:16,50 	someone runs through the terminal with a black blanket covered his body.
BRUNO.srt 	BRUNO_DVS127 	00:29:09,00 --> 00:29:14,50 	he races away, as a group of men run toward him.
BRUNO.srt 	BRUNO_DVS253 	01:08:51,00 --> 01:08:55,50 	it open and runs off.
BURLESQUE.srt 	BURLESQUE_DVS218 	00:32:18,00 --> 00:32:25,50 	they notice someone onstage, swinging her hips and running her fingers down her blonde hair.
BURLESQUE.srt 	BURLESQUE_DVS260 	00:36:50,00 --> 00:37:02,50 	the newest dancer runs her hands through her hair and shakes her hips.
BURLESQUE.srt 	BURLESQUE_DVS746 	01:53:08,00 --> 01:53:13,50 	several bartenders run onstage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS125 	00:21:33,00 --> 00:21:39,50 	later, someone lags behind the rest of his squad as they run.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS217 	00:38:38,00 --> 00:38:45,50 	someone grabs the machine gun and runs out of the shop and into the street.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone runs into the street and aims her pistol as someone flicks his lighter causing a car parked behind her to explode.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS223 	00:39:31,00 --> 00:39:41,50 	someone stands and runs after the cab.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS226 	00:39:54,00 --> 00:40:02,50 	someone runs up an alley, then leaps over a chain-link fence in a single bound.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS233 	00:40:32,00 --> 00:40:40,50 	someone skids onto a road running parallel to the waterfront, then fires his pistol straight up through the cab's roof.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS236 	00:41:16,00 --> 00:41:24,50 	carrying the boy, someone runs down an alley, then fires back at someone as he ducks behind a metal tank.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS282 	00:53:42,00 --> 00:53:46,50 	someone runs after someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS308 	00:58:39,00 --> 00:58:43,50 	he runs and leaps into the back of the last transport truck where inside, two masked
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS312 	00:59:25,00 --> 00:59:33,50 	someone hops on to the dock, then runs and hides amid several parked vehicles marked with the hydra symbol.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS314 	00:59:35,00 --> 00:59:42,50 	he runs along the roof toward another massive building beyond sweeping searchlights.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS324 	01:01:31,00 --> 01:01:38,50 	dugan, the mustached man with the bowler, glances at his companions as someone runs off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS338 	01:03:10,00 --> 01:03:20,50 	someone runs out of the control room and onto a catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS352 	01:05:03,00 --> 01:05:10,50 	the armored vehicle rolls through the flaming gate, escaped prisoners run out behind it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS354 	01:05:14,00 --> 01:05:21,50 	someone and someone run onto a catwalk above the fiery factory floor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS355 	01:05:18,00 --> 01:05:25,50 	they retreat from the flames, dashing upstairs, and running onto an upper catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS369 	01:07:07,00 --> 01:07:11,50 	someone and someone run up the staircase.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS427 	01:17:35,00 --> 01:17:41,50 	someone runs after someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS440 	01:19:40,00 --> 01:19:46,50 	as his fellow soldiers run outside, someone flies out of the exploding building on a motorcycle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS446 	01:20:09,00 --> 01:20:19,50 	dernier runs onto the road, rolls underneath the armored vehicle, and places a detonator on its frame.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS535 	01:35:29,00 --> 01:35:36,50 	someone runs down the corridor as dozens of armed hydra troops run after him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS535 	01:35:29,00 --> 01:35:36,50 	someone runs down the corridor as dozens of armed hydra troops run after him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS540 	01:35:54,00 --> 01:36:06,50 	someone carries a machine gun as she runs alongside the advancing soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS545 	01:36:21,00 --> 01:36:29,50 	as allied soldiers pour in, someone picks up a blaster and incinerates several of them before running off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS554 	01:37:03,00 --> 01:37:08,50 	someone runs up to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS560 	01:37:47,00 --> 01:38:04,50 	someone runs into the hangar and glances around at the battling hydra troopers and allied soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS578 	01:40:11,00 --> 01:40:17,50 	several hydra troopers enter the hold and run along the catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS604 	01:42:51,00 --> 01:43:03,50 	using his shield as cover, someone runs up and punches someone in the stomach causing him to drop his blaster.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS644 	01:48:18,00 --> 01:48:25,50 	scarring the landscape, deep furrows run toward the remains of the crashed plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS667 	01:52:27,00 --> 01:52:31,50 	someone runs out of an exit.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS668 	01:52:34,00 --> 01:52:49,50 	someone runs into the middle of times square, then stops and gazes at the brightly lit signs and video screens all around him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS117 	00:09:23,00 --> 00:09:29,50 	examining a crack running horizontally across its deck.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS184 	00:14:25,00 --> 00:14:33,50 	a curly haired teenage someone runs his hand along a wave as he easily carves up and down its face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS752 	01:15:18,00 --> 01:15:22,50 	someone runs in.
CHRONICLE.srt 	CHRONICLE_DVS107 	00:14:50,00 --> 00:14:56,50 	someone throws the baseball right into someone's face, then runs over to him.
CHRONICLE.srt 	CHRONICLE_DVS410 	01:01:17,00 --> 01:01:27,50 	as the others run, someone gestures sending one of them smashing into a car's rear window, and another cartwheeling down to the pavement.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS20 	00:04:19,00 --> 00:04:24,50 	she runs into his arms.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS37 	00:08:19,00 --> 00:08:24,50 	he runs a hand down his cheeks.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS61 	00:11:43,00 --> 00:11:47,50 	two children run out from the car.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS69 	00:13:41,00 --> 00:13:45,50 	she runs over to someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS225 	00:47:07,00 --> 00:47:12,50 	kisses someone then runs off.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS264 	01:04:48,00 --> 01:04:53,50 	someone runs down the alley past someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS335 	01:24:25,00 --> 01:24:32,50 	she runs her hand over her husband's.
COLOMBIANA.srt 	COLOMBIANA_DVS160 	00:14:17,00 --> 00:14:20,50 	she runs off.
COLOMBIANA.srt 	COLOMBIANA_DVS171 	00:15:07,00 --> 00:15:14,50 	someone runs down a long staircase between the crowded tiers of rundown homes.
COLOMBIANA.srt 	COLOMBIANA_DVS438 	00:38:42,00 --> 00:39:00,50 	in the alley, officers run past the prison bus.
COLOMBIANA.srt 	COLOMBIANA_DVS697 	01:05:48,00 --> 01:05:54,50 	a data match calculator runs above 13%.
COLOMBIANA.srt 	COLOMBIANA_DVS708 	01:06:40,00 --> 01:06:46,50 	she kisses someone lustfully, running her fingers through his hair.
COLOMBIANA.srt 	COLOMBIANA_DVS763 	01:14:17,00 --> 01:14:24,50 	her computer runs the photo through a database.
COLOMBIANA.srt 	COLOMBIANA_DVS817 	01:19:07,00 --> 01:19:12,50 	someone runs barefoot down the hall, gun in hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS181 	00:29:09,00 --> 00:29:18,50 	his buddy runs over, and someone punches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS307 	00:47:55,00 --> 00:48:06,50 	she runs to him and leaps into his arms.
DEAR_JOHN.srt 	DEAR_JOHN_DVS456 	01:06:47,00 --> 01:06:53,50 	someone thoughtfully runs his thumb over it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS475 	01:10:02,00 --> 01:10:09,50 	a man runs in front of their humvee with his arms raised over his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS593 	01:22:38,00 --> 01:22:49,50 	then runs his fingers back into his hair, and covers his eyes with his palms.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS205 	00:49:51,00 --> 00:49:56,50 	someone runs a hand through his hair.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS221 	00:56:04,00 --> 00:56:13,50 	hefty martha goes over to someone who crouches down in front of her and runs his hands all over her.
DISTRICT_9.srt 	DISTRICT_9_DVS769 	01:31:03,00 --> 01:31:13,50 	someone returns fire, then runs away.
EASY_A.srt 	EASY_A_DVS263 	01:19:39,00 --> 01:19:46,50 	someone hurries out and runs across the quad into mr.
FLIGHT.srt 	FLIGHT_DVS29 	00:04:03,00 --> 00:04:09,50 	people run across the tarmac, as rain lashes the airport.
FLIGHT.srt 	FLIGHT_DVS66 	00:13:14,00 --> 00:13:22,50 	someone gets out of the car, and runs up to the second floor of a small, run-down apartment complex.
FLIGHT.srt 	FLIGHT_DVS145 	00:26:54,00 --> 00:27:00,50 	it glides overhead, both engines on fire, and slams down on its side, as people in white robes run for cover.
FLIGHT.srt 	FLIGHT_DVS363 	00:58:43,00 --> 00:58:48,50 	as she runs back through a worn fence,
FLIGHT.srt 	FLIGHT_DVS909 	01:47:58,00 --> 01:48:05,50 	still kneeling, he unscrews the top from the bottle, and runs his fingers over the cold surface of the glass.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS26 	00:06:19,00 --> 00:06:26,50 	she removes her shoes, climbs up on the conveyer, and runs past suitcases.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS73 	00:18:20,00 --> 00:18:48,50 	someone runs to his bed and vaults hard on the mattress, jamming his shoulder.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS96 	00:24:58,00 --> 00:25:03,50 	in the movie, the leading man runs with flowers.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS200 	00:53:19,00 --> 00:53:26,50 	the woman runs her fingers through his hair as he ends the call.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS22 	00:03:32,00 --> 00:03:38,50 	someone hurdles a low wall and runs to him motorcycle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS81 	00:12:51,00 --> 00:13:12,50 	the suv runs the hatchback off the road and down a rugged slope.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS113 	00:18:36,00 --> 00:18:49,50 	someone and his brutish henchmen run out beside her, each armed with an enormous rifle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS182 	00:29:22,00 --> 00:29:28,50 	someone tugs himself free and runs away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS185 	00:29:44,00 --> 00:29:49,50 	someone runs under a bridge along a river.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS415 	01:00:23,00 --> 01:00:27,50 	he runs down another.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS427 	01:01:37,00 --> 01:01:47,50 	he runs the backs of his fingers down her cheek then jams his thumb just below her chin, knocking her unconscious.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS438 	01:02:42,00 --> 01:02:47,50 	he runs to another and throws him down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS516 	01:13:57,00 --> 01:14:02,50 	he reloads then runs up a staircase.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS525 	01:14:49,00 --> 01:14:55,50 	someone runs out in the stands.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS528 	01:15:10,00 --> 01:15:21,50 	someone runs through the stands shooting more acolytes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS549 	01:18:14,00 --> 01:18:23,50 	someone runs up to him, seizes him by the shoulders and spews a jet of fire at him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS125 	00:29:30,00 --> 00:29:36,50 	three soldiers run to the outer wall.
GREEN_ZONE.srt 	GREEN_ZONE_DVS309 	01:10:19,00 --> 01:10:25,50 	now, in a safe house, he runs upstairs and knocks at a door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS364 	01:23:47,00 --> 01:23:56,50 	elsewhere, the iraqi in street clothes keeps running.
GROWN_UPS.srt 	GROWN_UPS_DVS15 	00:05:26,00 --> 00:05:32,50 	the family runs outside.
GROWN_UPS.srt 	GROWN_UPS_DVS68 	00:20:04,00 --> 00:20:10,50 	someone's son runs up to an arbor.
GROWN_UPS.srt 	GROWN_UPS_DVS166 	00:47:47,00 --> 00:47:59,50 	in slow motion, someone sprints with wide eyes, his mouth agape, while someone runs with his hands over his head.
GROWN_UPS.srt 	GROWN_UPS_DVS174 	00:48:35,00 --> 00:48:40,50 	the lanky hero steps on someone as he runs
GROWN_UPS.srt 	GROWN_UPS_DVS182 	00:51:21,00 --> 00:51:30,50 	someone runs from the room.
HUGO.srt 	HUGO_DVS23 	00:03:00,00 --> 00:03:08,50 	at the bottom, he runs past damp brick walls then scurries through a labyrinth of pipes and machinery.
HUGO.srt 	HUGO_DVS55 	00:07:18,00 --> 00:07:24,50 	the station inspector removes the leash from his dog, who then runs off.
HUGO.srt 	HUGO_DVS57 	00:07:31,00 --> 00:07:40,50 	the dog skids across the polished floor as he runs up the hallway opposite the toyshop.
HUGO.srt 	HUGO_DVS61 	00:08:02,00 --> 00:08:15,50 	a woman clutches a small little dog to her chest as the doberman skids past a large tiered cake, races past the band, then runs out of the other side of the cafe.
HUGO.srt 	HUGO_DVS64 	00:08:31,00 --> 00:08:38,50 	gripping a someone club, the inspector runs out the other end of the cafe.
HUGO.srt 	HUGO_DVS143 	00:19:44,00 --> 00:19:51,50 	at night, his father runs a finger over a heart-shaped keyhole in the automaton's back.
HUGO.srt 	HUGO_DVS193 	00:27:14,00 --> 00:27:20,50 	someone wipes his face with a sooty hand then runs off.
HUGO.srt 	HUGO_DVS258 	00:36:25,00 --> 00:36:32,50 	the boy tries to run but the dog blocks his retreat.
HUGO.srt 	HUGO_DVS441 	01:04:03,00 --> 01:04:08,50 	someone runs his hand across the cover of the top book.
HUGO.srt 	HUGO_DVS676 	01:38:06,00 --> 01:38:10,50 	someone runs to the puppeteers.
HUGO.srt 	HUGO_DVS691 	01:40:20,00 --> 01:40:27,50 	in old film footage, soldiers run out of a trench onto a smoky battlefield.
HUGO.srt 	HUGO_DVS697 	01:42:37,00 --> 01:42:47,50 	he runs out of the room.
HUGO.srt 	HUGO_DVS711 	01:44:51,00 --> 01:44:57,50 	the dogs run over to someone who tries to shoo them away.
HUGO.srt 	HUGO_DVS721 	01:46:43,00 --> 01:46:51,50 	below, someone runs across the station.
HUGO.srt 	HUGO_DVS722 	01:46:51,00 --> 01:47:03,50 	someone runs around a corner and slides beneath a staircase.
HUGO.srt 	HUGO_DVS726 	01:47:12,00 --> 01:47:17,50 	someone runs down a steamy corridor filled with pipes.
HUGO.srt 	HUGO_DVS729 	01:47:24,00 --> 01:47:30,50 	a moment later, the inspector runs to the bottom of the stairs and unleashes someone.
HUGO.srt 	HUGO_DVS803 	01:57:18,00 --> 01:57:28,50 	onto five telegraph wires running overhead.
IN_TIME.srt 	IN_TIME_DVS188 	00:20:03,00 --> 00:20:10,50 	now, someone's mother furiously pumps her arms as she runs.
IN_TIME.srt 	IN_TIME_DVS201 	00:21:07,00 --> 00:21:14,50 	she glances at her left forearm as she runs, her face pinched anxiously.
IN_TIME.srt 	IN_TIME_DVS475 	00:51:33,00 --> 00:51:39,50 	now, someone and someone run hand in hand through the ghetto.
IN_TIME.srt 	IN_TIME_DVS556 	00:59:44,00 --> 00:59:50,50 	she runs her finger over the glowing numbers.
IN_TIME.srt 	IN_TIME_DVS778 	01:22:03,00 --> 01:22:07,50 	his time runs out.
IN_TIME.srt 	IN_TIME_DVS908 	01:36:05,00 --> 01:36:10,50 	someone runs over as someone climbs out of the limo.
IN_TIME.srt 	IN_TIME_DVS922 	01:37:23,00 --> 01:37:31,50 	from the cruiser, someone spots the couple running down a road amid rolling grassy hills.
INSIDE_MAN.srt 	INSIDE_MAN_DVS32 	00:07:24,00 --> 00:07:28,50 	a narrow eyed man tries to run.
IRON_MAN_2.srt 	IRON_MAN_2_DVS237 	00:43:36,00 --> 00:43:44,50 	someone enters a stairwell and runs down the stairs.
IRON_MAN_2.srt 	IRON_MAN_2_DVS318 	00:57:49,00 --> 00:57:54,50 	someone runs to pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS325 	00:58:30,00 --> 00:58:37,50 	the people run off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS514 	01:33:19,00 --> 01:33:25,50 	a man and a woman run onstage and carry the podium away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS536 	01:36:30,00 --> 01:36:34,50 	someone runs offstage.
IRON_MAN_2.srt 	IRON_MAN_2_DVS537 	01:36:32,00 --> 01:36:50,50 	the glass panels in the roof shatter, showering down on the audience as people run off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS570 	01:39:34,00 --> 01:39:45,50 	concrete showers down on running people.
IRON_MAN_2.srt 	IRON_MAN_2_DVS593 	01:41:38,00 --> 01:41:50,50 	as the two men fight, someone enters a second set of doors and runs past another guard.
