21_JUMP_STREET.srt 	21_JUMP_STREET_DVS414 	01:10:03,00 --> 01:10:09,50 	someone steps on the brake and the car stops short again.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS981 	01:47:42,00 --> 01:47:48,50 	someone flips through another binder stopping at the typed heading.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1125 	01:57:51,00 --> 01:57:55,50 	they stop at the wine case.
THE_SITTER.srt 	THE_SITTER_DVS76 	00:41:08,00 --> 00:41:13,50 	on his way out, someone stops short.
THE_SITTER.srt 	THE_SITTER_DVS109 	00:58:06,00 --> 00:58:10,50 	now someone stops rodrigo.
THE_WATCH.srt 	THE_WATCH_DVS74 	00:09:52,00 --> 00:09:58,50 	someone stops on the threshold, his eyes wide.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS422 	01:37:03,00 --> 01:37:12,50 	later, someone strolls down a street, stopping as he notices a for sale sign on a food truck's windshield.
THOR.srt 	THOR_DVS534 	01:25:30,00 --> 01:25:37,50 	the destroyer kicks aside a car like a toy as someone stops a few feet away.
THOR.srt 	THOR_DVS677 	01:40:51,00 --> 01:40:57,50 	the gas clouds stop swirling and expand slightly.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS447 	00:47:29,00 --> 00:47:35,50 	someone stops organizing the cards and meets someone's gaze.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS546 	01:00:20,00 --> 01:00:25,50 	the lines stop right behind someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS694 	01:16:41,00 --> 01:16:46,50 	stopping short, he intercepts the puck.
TRUE_GRIT.srt 	TRUE_GRIT_DVS214 	00:46:20,00 --> 00:46:25,50 	surrounded by bare twisted trees, they stop.
TRUE_GRIT.srt 	TRUE_GRIT_DVS234 	00:48:40,00 --> 00:48:46,50 	the man stops with the body on the ground between him and someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS522 	01:10:17,00 --> 01:10:22,50 	a waitress stops at their table.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS552 	01:13:50,00 --> 01:13:55,50 	someone stops them.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS352 	00:56:50,00 --> 00:56:56,50 	as they stop at an intersection, someone frowns.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS598 	01:21:16,00 --> 01:21:22,50 	someone stops halfway down a flight of stairs.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS599 	01:21:20,00 --> 01:21:26,50 	as he continues down, someone starts to speak, then stops herself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS707 	01:03:54,00 --> 01:04:00,50 	as the recruits race down a hall, soldiers stop them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS962 	01:28:50,00 --> 01:28:56,50 	now someone steps through a door and stops with a slight smile.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS33 	00:03:29,00 --> 00:03:34,50 	the computer begins processing the command then stops.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS297 	00:57:09,00 --> 00:57:14,50 	someone stops beside a brick building.
ZOMBIELAND.srt 	ZOMBIELAND_DVS94 	00:07:58,00 --> 00:08:07,50 	its snow plow clips another car as it barrels into the median and speeds past a line of vehicles stopped on the road.
ZOMBIELAND.srt 	ZOMBIELAND_DVS325 	00:36:41,00 --> 00:36:49,50 	someone stops then aims at him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS475 	00:55:33,00 --> 00:55:37,50 	someone stops to reload.
ZOMBIELAND.srt 	ZOMBIELAND_DVS604 	01:09:34,00 --> 01:09:39,50 	they stop halfway and launch again.
ZOMBIELAND.srt 	ZOMBIELAND_DVS634 	01:12:01,00 --> 01:12:07,50 	on the ground, someone stops the suv by the lake.
ZOMBIELAND.srt 	ZOMBIELAND_DVS741 	01:20:00,00 --> 01:20:05,50 	she stops abruptly, her eyes narrowing.
ZOMBIELAND.srt 	ZOMBIELAND_DVS760 	01:21:25,00 --> 01:21:30,50 	as the vehicle stops, someone stares desperately.
ZOOKEEPER.srt 	ZOOKEEPER_DVS395 	01:28:17,00 --> 01:28:21,50 	the van stops short.
