21_JUMP_STREET.srt 	21_JUMP_STREET_DVS373 	01:01:55,00 --> 01:02:01,50 	someone whips throwing stars at a zod poster.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS389 	00:54:31,00 --> 00:54:40,50 	someone throws his hat at one then strikes him down.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS394 	00:55:44,00 --> 00:55:59,50 	from behind, she kicks him to the floor as someone throws her a chair.
BAD_TEACHER.srt 	BAD_TEACHER_DVS236 	01:05:20,00 --> 01:05:25,50 	he throws up his arms.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS575 	01:30:03,00 --> 01:30:10,50 	a frustrated someone throws up his arms.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS585 	01:32:26,00 --> 01:32:33,50 	someone rips off someone's mask, throws down the disguise, and backs away.
BRUNO.srt 	BRUNO_DVS83 	00:17:11,00 --> 00:17:18,50 	someone throws down his marker.
BRUNO.srt 	BRUNO_DVS116 	00:26:17,00 --> 00:26:24,50 	he throws his head back.
BURLESQUE.srt 	BURLESQUE_DVS334 	00:45:51,00 --> 00:45:56,50 	someone throws up her hands.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS74 	00:11:01,00 --> 00:11:07,50 	someone smiles and throws one arm around his friend's shoulders.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS276 	00:51:33,00 --> 00:51:45,50 	others throw rotten fruit which he blocks with his shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS364 	01:06:11,00 --> 01:06:23,50 	he kicks someone in the chest, throwing him several feet backward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS453 	01:21:02,00 --> 01:21:14,50 	a squad member tosses someone a bomb which he throws into the tank.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS509 	01:31:38,00 --> 01:31:44,50 	someone throws photographs of mountains in front of someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS522 	01:33:20,00 --> 01:33:35,50 	as more hydra soldiers converge on him, someone throws his shield which bounces off an armored vehicle and knocks a trooper in the head.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS550 	01:36:43,00 --> 01:36:59,50 	someone throws a shield which wedges between the doors.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS817 	01:20:43,00 --> 01:20:51,50 	the teen pants hard and swigs from his water bottle, then angrily throws down its cap.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS977 	01:35:49,00 --> 01:35:53,50 	someone throws his arm around her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1115 	01:46:47,00 --> 01:46:53,50 	someone breaks into a smile and throws his arm around the beaming someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1150 	01:49:24,00 --> 01:49:30,50 	he scoops his hands through the water and throws it in the air.
CHRONICLE.srt 	CHRONICLE_DVS109 	00:15:23,00 --> 00:15:29,50 	someone throws off to the side, but the ball curves around and hits someone in the head.
CHRONICLE.srt 	CHRONICLE_DVS341 	00:51:43,00 --> 00:51:48,50 	someone throws his father several feet.
CHRONICLE.srt 	CHRONICLE_DVS386 	00:58:57,00 --> 00:59:06,50 	someone grabs someone by the lapel and throws a punch, but someone telekinetically arrests it inches from his face.
CHRONICLE.srt 	CHRONICLE_DVS499 	01:11:37,00 --> 01:11:43,50 	now, someone flies backward above the street, throwing parked cars.
COLOMBIANA.srt 	COLOMBIANA_DVS506 	00:45:56,00 --> 00:46:01,50 	he throws down the newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS927 	01:28:50,00 --> 01:28:54,50 	at the cia, he throws down a file.
DEAR_JOHN.srt 	DEAR_JOHN_DVS44 	00:05:56,00 --> 00:06:01,50 	someone mimes throwing punches.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS151 	00:36:44,00 --> 00:36:49,50 	someone throws keys through an open window.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS194 	00:46:56,00 --> 00:47:00,50 	he throws a towel over her.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS197 	00:47:18,00 --> 00:47:27,50 	she throws another.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS197 	00:47:18,00 --> 00:47:27,50 	he catches it and pretends to drink it, then throws it.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS198 	00:47:27,00 --> 00:47:38,50 	someone ducks as she throws one.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS393 	01:36:22,00 --> 01:36:31,50 	someone mimes throwing a thought out of his head at someone.
DISTRICT_9.srt 	DISTRICT_9_DVS249 	00:27:44,00 --> 00:27:49,50 	he throws the alien child a candy.
DISTRICT_9.srt 	DISTRICT_9_DVS250 	00:27:48,00 --> 00:27:55,50 	the child throws it back in his face.
DISTRICT_9.srt 	DISTRICT_9_DVS652 	01:16:37,00 --> 01:16:42,50 	he throws someone.
EASY_A.srt 	EASY_A_DVS29 	00:07:42,00 --> 00:07:56,50 	he throws his toy pitchfork into the crowd.
EASY_A.srt 	EASY_A_DVS190 	00:58:22,00 --> 00:58:29,50 	she throws a photo of herself with her husband into a box, breaking the frame.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS82 	00:47:29,00 --> 00:47:36,50 	new york's morning skyline fills the penthouse windows behind someone who throws a pillow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS228 	00:36:57,00 --> 00:37:05,50 	someone throws her knife at him but he catches it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS588 	01:25:00,00 --> 01:25:11,50 	ghost rider throws him down then slings him skyward with a chain around his chest.
GROWN_UPS.srt 	GROWN_UPS_DVS71 	00:20:43,00 --> 00:20:46,50 	angrily throws a piece of
GROWN_UPS.srt 	GROWN_UPS_DVS101 	00:33:59,00 --> 00:34:05,50 	she throws down her napkin and storms off.
GROWN_UPS.srt 	GROWN_UPS_DVS173 	00:48:31,00 --> 00:48:35,50 	he throws the dog over his shoulder.
GROWN_UPS.srt 	GROWN_UPS_DVS228 	01:06:57,00 --> 01:07:01,50 	someone to throw horseshoes.
HUGO.srt 	HUGO_DVS70 	00:09:12,00 --> 00:09:17,50 	the inspector throws down his club.
HUGO.srt 	HUGO_DVS152 	00:20:53,00 --> 00:21:00,50 	as he throws open the doors, flames twist up a staircase and engulf him.
HUGO.srt 	HUGO_DVS690 	01:40:09,00 --> 01:40:17,50 	someone throws pieces of set onto a bonfire.
HUGO.srt 	HUGO_DVS756 	01:50:15,00 --> 01:50:27,50 	in the candlelit attic, someone throws a sheet over the automaton and carries it away.
HUGO.srt 	HUGO_DVS769 	01:51:31,00 --> 01:51:35,50 	the engineers throw on the brakes.
IN_TIME.srt 	IN_TIME_DVS729 	01:17:50,00 --> 01:17:54,50 	someone throws a chair through a window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS95 	00:24:36,00 --> 00:24:47,50 	hostages cower on the floor near a bookshelf as one of the criminals throws open a door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS378 	01:50:39,00 --> 01:50:56,50 	mr. case throws his checkbook to the counter.
IRON_MAN_2.srt 	IRON_MAN_2_DVS300 	00:55:42,00 --> 00:55:51,50 	she throws the bottle upward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS302 	00:55:53,00 --> 00:56:04,50 	the blond woman throws another bottle in the air and someone blasts it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS321 	00:58:04,00 --> 00:58:13,50 	someone throws someone to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS449 	01:22:50,00 --> 01:22:58,50 	someone pats his thighs, then throws his arms overhead.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS261 	01:27:46,00 --> 01:27:58,50 	she juggles pretend balls behind her back, catches them in her bosom and throws one to someone.
KARATE_KID.srt 	KARATE_KID_DVS199 	00:17:16,00 --> 00:17:22,50 	he throws her music down.
KARATE_KID.srt 	KARATE_KID_DVS553 	00:50:09,00 --> 00:50:15,50 	one of the sparring boys throws his opponent to the mat.
KARATE_KID.srt 	KARATE_KID_DVS842 	01:09:39,00 --> 01:09:48,50 	now, a second sparkler dramatizing the puppets' kiss blurs to become sparks thrown by a welding torch in someone's grip.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS124 	00:31:07,00 --> 00:31:12,50 	in a studio, someone throws things.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS48 	00:16:17,00 --> 00:16:22,50 	someone throws down his life jacket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS505 	00:55:49,00 --> 00:55:55,50 	someone throws the rat at the tiger who catches it in his mouth.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS240 	01:22:09,00 --> 01:22:17,50 	as someone throws a punch, someone blocks him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS257 	01:24:12,00 --> 01:24:19,50 	now, someone throws himself
MORNING_GLORY.srt 	MORNING_GLORY_DVS34 	00:04:14,00 --> 00:04:19,50 	a floor manager threw post-it notes at her to wake her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS78 	00:13:57,00 --> 00:14:03,50 	she throws a bit of paper into a bin.
MORNING_GLORY.srt 	MORNING_GLORY_DVS176 	00:40:14,00 --> 00:40:19,50 	and accidentally throws her phone up in the air.
MORNING_GLORY.srt 	MORNING_GLORY_DVS262 	00:59:30,00 --> 00:59:35,50 	someone storms off, throwing her arms out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS355 	01:17:06,00 --> 01:17:12,50 	someone throws a pencil at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS438 	01:34:06,00 --> 01:34:12,50 	one of them throws a screwed up piece of paper at him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS490 	00:59:43,00 --> 00:59:48,50 	he throws a snowball at his son.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS515 	01:01:37,00 --> 01:01:41,50 	she throws a snowball at him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS652 	01:19:11,00 --> 01:19:18,50 	he throws him out, then speeds off in the cart.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS184 	00:45:19,00 --> 00:45:25,50 	someone throws a clean shot straight into the catcher's mitt.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS407 	01:38:05,00 --> 01:38:14,50 	someone throws a dagger.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS478 	01:30:45,00 --> 01:30:51,50 	baby face throws him down.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS425 	01:45:57,00 --> 01:46:01,50 	he fearfully throws it down.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS191 	00:32:12,00 --> 00:32:18,50 	someone throws a glass of water in his face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS331 	01:07:49,00 --> 01:08:15,50 	as someone winds up to throw the ring, she interjects.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS472 	01:40:06,00 --> 01:40:12,50 	as he throws up his hands, a ring of fire suddenly appears around someone.
SOUL_SURFER.srt 	SOUL_SURFER_DVS297 	01:25:09,00 --> 01:25:13,50 	someone throws an arm around someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS244 	00:38:21,00 --> 00:38:27,50 	someone throws an air punch.
SPARKLE_2012.srt 	SPARKLE_2012_DVS249 	00:38:59,00 --> 00:39:08,50 	the frustrated opponent throws down his cue and storms out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS255 	00:39:39,00 --> 00:39:46,50 	the sisters throw their hands overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS419 	01:10:08,00 --> 01:10:13,50 	someone throws down his cigarette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS424 	01:10:41,00 --> 01:10:49,50 	straightens his jacket and throws one last punch in the direction of the club.
SPARKLE_2012.srt 	SPARKLE_2012_DVS480 	01:18:17,00 --> 01:18:26,50 	he throws someone to the ground and looms over her.
SUPER_8.srt 	SUPER_8_DVS68 	00:10:00,00 --> 00:10:04,50 	someone throws a thin object.
SUPER_8.srt 	SUPER_8_DVS367 	01:04:28,00 --> 01:04:34,50 	he throws himself out of the passenger's side door then scrambles to his feet.
SUPER_8.srt 	SUPER_8_DVS583 	01:36:07,00 --> 01:36:14,50 	the creature chases them through the tunnel, grabs tina, and throws her aside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS201 	00:29:22,00 --> 00:29:30,50 	someone throws the board again.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS694 	01:32:54,00 --> 01:33:03,50 	someone throws more bottles, one of which knocks the sword out of someone's hand.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS161 	00:32:51,00 --> 00:33:02,50 	someone throws the flare aside and punches someone in the crotch.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS200 	00:40:19,00 --> 00:40:24,50 	someone cheers throwing her hands in the air.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS204 	00:41:22,00 --> 00:41:28,50 	the stickman eyes someone, who throws the dice.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS428 	01:20:32,00 --> 01:20:38,50 	she throws down more pillows until only a few remain.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS436 	01:21:49,00 --> 01:21:57,50 	as he winces, someone throws the pillow at his face.
THE_CALL.srt 	THE_CALL_DVS1041 	01:19:01,00 --> 01:19:08,50 	he throws the hair into a mini fridge with several other bagged scalps.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS230 	00:35:34,00 --> 00:35:40,50 	he throws an arm around someone in a brotherly hug.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS231 	00:27:38,00 --> 00:27:44,50 	he tears pages from a book and throws them in a meager fire.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS611 	01:07:40,00 --> 01:07:45,50 	she throws down a pillow and then dawns a clear face shield.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS79 	00:27:35,00 --> 00:27:39,50 	he throws his hands up.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS191 	01:02:36,00 --> 01:02:42,50 	someone, someone, and the crowd throw their hands in the air, beaming.
THE_SITTER.srt 	THE_SITTER_DVS114 	01:00:48,00 --> 01:00:53,50 	he throws another punch, but ricky blocks it and flips him on
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS199 	01:19:51,00 --> 01:19:57,50 	someone throws someone a beer.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS201 	01:20:03,00 --> 01:20:07,50 	someone throws another.
THE_VOW.srt 	THE_VOW_DVS177 	00:19:15,00 --> 00:19:20,50 	a guy throws a packaged salad at another.
THE_WATCH.srt 	THE_WATCH_DVS154 	00:29:38,00 --> 00:29:43,50 	four boys throw eggs from the stands.
THE_WATCH.srt 	THE_WATCH_DVS273 	00:50:46,00 --> 00:50:51,50 	the creature throws out manfred's corpse.
THE_WATCH.srt 	THE_WATCH_DVS299 	00:53:44,00 --> 00:53:53,50 	it throws someone into a jukebox and sends someone flying.
THE_WATCH.srt 	THE_WATCH_DVS315 	00:55:06,00 --> 00:55:13,50 	it throws the men off him, sending them crashing across the room.
THE_WATCH.srt 	THE_WATCH_DVS485 	01:27:01,00 --> 01:27:09,50 	someone catches the pipe mid-swing, grabs someone by the crotch, and throws him into another wall.
THE_WATCH.srt 	THE_WATCH_DVS502 	01:28:47,00 --> 01:28:51,50 	he throws them down.
THE_WATCH.srt 	THE_WATCH_DVS513 	01:30:18,00 --> 01:30:37,50 	someone throws the orb down to someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS537 	01:56:43,00 --> 01:56:54,50 	someone throws the ball at artest.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS22 	00:03:05,00 --> 00:03:29,50 	as someone throws someone down, the older brother kicks him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS94 	00:15:03,00 --> 00:15:07,50 	he throws him down again.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS218 	00:41:06,00 --> 00:41:13,50 	now at his desk, someone throws a crumpled paper ball at a waste basket and misses.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS401 	01:11:55,00 --> 01:12:00,50 	someone throws down a pair of headphones.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS472 	01:23:26,00 --> 01:23:46,50 	chased by another suv, someone throws a gas jug from the jeep.
THOR.srt 	THOR_DVS149 	00:21:37,00 --> 00:21:46,50 	someone throws a weapon which shatters a giant's ice weapon, while someone swings his hefty ax into another giant's torso.
THOR.srt 	THOR_DVS154 	00:22:11,00 --> 00:22:23,50 	someone throws someone at the armored giant, striking his face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS128 	00:14:33,00 --> 00:14:38,50 	someone throws someone a wand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS378 	00:41:19,00 --> 00:41:24,50 	he throws dust in the faces of all the family members.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS510 	00:56:28,00 --> 00:56:33,50 	he throws more dust at her.
TRUE_GRIT.srt 	TRUE_GRIT_DVS168 	00:37:16,00 --> 00:37:21,50 	someone stands and throws the stick away.
TRUE_GRIT.srt 	TRUE_GRIT_DVS321 	01:09:22,00 --> 01:09:27,50 	he throws his bottle in the air.
TRUE_GRIT.srt 	TRUE_GRIT_DVS329 	01:10:08,00 --> 01:10:13,50 	he throws the cornbread in the air
TRUE_GRIT.srt 	TRUE_GRIT_DVS333 	01:10:29,00 --> 01:10:33,50 	he throws two pieces in the air.
TRUE_GRIT.srt 	TRUE_GRIT_DVS419 	01:22:01,00 --> 01:22:09,50 	the man, lucky ned, throws her to the ground.
TRUE_GRIT.srt 	TRUE_GRIT_DVS488 	01:32:34,00 --> 01:32:46,50 	thrown off balance by the recoil, someone trips over a log and tumbles backwards through a crevice into a subterranean cave.
TRUE_GRIT.srt 	TRUE_GRIT_DVS514 	01:34:52,00 --> 01:34:58,50 	someone throws a rope into the cave and starts down the slope.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS352 	00:41:41,00 --> 00:41:51,50 	now at the baseball game, a pitcher winds up and throws the ball.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS204 	00:34:32,00 --> 00:34:38,50 	he throws darts at a man's photo attached to a dartboard.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS305 	00:48:39,00 --> 00:48:45,50 	someone throws the bucket and drop kicks a snake.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS180 	00:20:26,00 --> 00:20:31,50 	she throws a newspaper.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS303 	00:41:45,00 --> 00:41:50,50 	someone throws another into a shelf of glasses.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS419 	00:58:41,00 --> 00:58:45,50 	someone throws a crust at him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS447 	01:02:37,00 --> 01:02:42,50 	she throws him the ball.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS549 	01:15:26,00 --> 01:15:32,50 	she throws it into the fountain.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS385 	00:32:19,00 --> 00:32:23,50 	someone throws the knife.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS359 	01:08:44,00 --> 01:08:49,50 	someone throws her arms around someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS30 	00:03:11,00 --> 00:03:17,50 	an inmate throws a prison guard off a watchtower past the title.
ZOMBIELAND.srt 	ZOMBIELAND_DVS256 	00:28:21,00 --> 00:28:26,50 	he throws rock through its windows.
ZOMBIELAND.srt 	ZOMBIELAND_DVS578 	01:07:11,00 --> 01:07:21,50 	as little someone kicks at her attacker, someone throws the hummer into drive and speeds off,
ZOMBIELAND.srt 	ZOMBIELAND_DVS745 	01:20:20,00 --> 01:20:26,50 	someone throws objects at the twinkie sign.
ZOOKEEPER.srt 	ZOOKEEPER_DVS192 	00:43:12,00 --> 00:43:24,50 	someone mounts his bike then rides away throwing someone a final glance.
