21_JUMP_STREET.srt 	21_JUMP_STREET_DVS445 	01:13:44,00 --> 01:13:51,50 	someone tosses out a sunshade which wraps around the biker's face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS366 	01:06:47,00 --> 01:07:00,50 	someone tosses the mask into the flames below.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS523 	01:33:32,00 --> 01:33:40,50 	someone tosses another soldier into the air, then catches his shield as it boomerangs back to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS532 	01:35:12,00 --> 01:35:27,50 	falsworth tosses someone his shield.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS406 	00:38:08,00 --> 00:38:12,50 	he tosses down a sandwich.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS543 	00:52:53,00 --> 00:52:57,50 	he tosses blond the keys.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS735 	01:13:14,00 --> 01:13:19,50 	someone tosses the notebook over and it lands in the dirt.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS751 	01:14:16,00 --> 01:14:20,50 	he tosses down the envelope.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1154 	01:49:34,00 --> 01:49:40,50 	dozens of surfers around them toss up water.
CHRONICLE.srt 	CHRONICLE_DVS310 	00:46:43,00 --> 00:46:49,50 	someone tosses two balls from one hand.
CHRONICLE.srt 	CHRONICLE_DVS312 	00:46:47,00 --> 00:46:58,50 	next, he simultaneously tosses a ball from his left hand and his right.
CHRONICLE.srt 	CHRONICLE_DVS375 	00:57:23,00 --> 00:57:28,50 	someone tosses the teeth into the toilet.
COLOMBIANA.srt 	COLOMBIANA_DVS1020 	01:36:45,00 --> 01:36:51,50 	he checks the chamber in his pistol then tosses the weapon on the floor.
DEAR_JOHN.srt 	DEAR_JOHN_DVS178 	00:28:51,00 --> 00:28:55,50 	someone tosses him a can.
DEAR_JOHN.srt 	DEAR_JOHN_DVS467 	01:08:18,00 --> 01:08:27,50 	someone tosses a stack of letters onto the fire.
DEAR_JOHN.srt 	DEAR_JOHN_DVS583 	01:22:04,00 --> 01:22:10,50 	cloudy rain sheets down, as the waves buck and toss beneath him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS318 	01:17:57,00 --> 01:18:02,50 	then tosses it in the bin.
DISTRICT_9.srt 	DISTRICT_9_DVS516 	01:00:06,00 --> 01:00:14,50 	the image dissolves to night time, where an alien tosses a blanket onto a bonfire.
FLIGHT.srt 	FLIGHT_DVS184 	00:40:04,00 --> 00:40:08,50 	someone tosses her pack.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS307 	00:46:41,00 --> 00:46:50,50 	he tosses it aside to expose someone who now has straight shoulder-length platinum hair and ashen skin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS309 	00:47:05,00 --> 00:47:10,50 	someone tosses him a smoldering piece of wood.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	he gently tosses his weapon away.
GROWN_UPS.srt 	GROWN_UPS_DVS74 	00:22:04,00 --> 00:22:08,50 	he tosses a limp
HUGO.srt 	HUGO_DVS82 	00:10:38,00 --> 00:10:42,50 	then tosses it aside.
HUGO.srt 	HUGO_DVS119 	00:15:38,00 --> 00:15:43,50 	someone tosses a pebble at the girl's window.
HUGO.srt 	HUGO_DVS262 	00:37:57,00 --> 00:38:03,50 	the boy struggles but they toss him into the wagon with a group of other orphans.
IN_TIME.srt 	IN_TIME_DVS316 	00:32:49,00 --> 00:32:55,50 	he meets someone's gaze and tossed down his pair of queens.
IN_TIME.srt 	IN_TIME_DVS489 	00:53:10,00 --> 00:53:14,50 	she tosses them under the gate.
INSIDE_MAN.srt 	INSIDE_MAN_DVS41 	00:11:01,00 --> 00:11:09,50 	panama hat, he tosses his jacket into an unmarked car.
INSIDE_MAN.srt 	INSIDE_MAN_DVS200 	00:57:16,00 --> 00:57:43,50 	he tosses the bag to berk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS293 	01:29:41,00 --> 01:29:45,50 	the police officer tosses a smoke bomb.
IRON_MAN_2.srt 	IRON_MAN_2_DVS192 	00:35:29,00 --> 00:35:38,50 	pepper tosses the red case onto the ground.
IRON_MAN_2.srt 	IRON_MAN_2_DVS305 	00:56:15,00 --> 00:56:22,50 	she tosses the watermelon into the air.
IRON_MAN_2.srt 	IRON_MAN_2_DVS399 	01:14:51,00 --> 01:15:05,50 	he tosses the notebook aside, leans forward, and rubs his eyes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS595 	01:42:32,00 --> 01:42:46,50 	in the hallway, someone tosses two gas pellets at a sixth and seventh guard.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS235 	00:47:26,00 --> 00:47:30,50 	he tosses someone the ball.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS192 	01:08:42,00 --> 01:08:50,50 	someone tosses him into the pool.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS200 	01:11:12,00 --> 01:11:21,50 	someone tosses someone from his arms, and the little boy flails and kicks his way across the pool.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS212 	01:14:23,00 --> 01:14:30,50 	someone tosses an apple between his hands.
KARATE_KID.srt 	KARATE_KID_DVS154 	00:13:17,00 --> 00:13:21,50 	someone tosses a basketball.
KARATE_KID.srt 	KARATE_KID_DVS173 	00:14:41,00 --> 00:14:50,50 	eyeing someone, the paunchy man tosses the ball into the air, and slams it across the table, acing him.
KARATE_KID.srt 	KARATE_KID_DVS352 	00:31:35,00 --> 00:31:45,50 	one of the other boys kicks it as it lands, and the third tosses a book at someone.
KARATE_KID.srt 	KARATE_KID_DVS872 	01:11:51,00 --> 01:11:56,50 	the boy frowns as someone tosses it aside.
KARATE_KID.srt 	KARATE_KID_DVS1091 	01:30:18,00 --> 01:30:34,50 	someone swirls an arm around her head, as she swivels her hips, then tosses her head side to side.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS96 	00:23:34,00 --> 00:23:39,50 	she tosses its casing to.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS67 	00:05:25,00 --> 00:05:30,50 	he tosses the little boy into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS410 	00:47:57,00 --> 00:48:03,50 	pulls out a stray banana and tosses it to orange juice.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS771 	01:19:11,00 --> 01:19:18,50 	someone taps the port side bench and tosses a piece of fish in the exact spot.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS775 	01:19:30,00 --> 01:19:36,50 	he taps the starboard side and tosses a piece of fish.
MORNING_GLORY.srt 	MORNING_GLORY_DVS141 	00:33:12,00 --> 00:33:17,50 	someone tosses a card aside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS32 	00:04:37,00 --> 00:04:42,50 	someone tosses scraps of newspaper.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS145 	00:21:34,00 --> 00:21:39,50 	he tosses it onto the path of water.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS330 	00:42:11,00 --> 00:42:19,50 	he tosses the bottle in a trash can.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS49 	00:11:49,00 --> 00:11:54,50 	someone eats the last bite and tosses the wrapper at him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS351 	01:16:22,00 --> 01:16:26,50 	just through a drawer, tossing items
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS407 	01:25:14,00 --> 01:25:21,50 	she tosses it.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS220 	00:37:20,00 --> 00:37:24,50 	someone tosses the salad.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS417 	01:39:20,00 --> 01:39:39,50 	the maelstrom tosses someone about like a toy and the bolt wrenches from his grasp.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS371 	01:10:28,00 --> 01:10:34,50 	someone tosses the blonde man away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS394 	01:16:02,00 --> 01:16:08,50 	someone tosses a bag to someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS315 	01:16:08,00 --> 01:16:27,50 	in slow motion, someone marches down a row of furrowed soil, tossing seed by the handful from a sack slung over his shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS370 	01:32:15,00 --> 01:32:19,50 	he tosses him in the air.
SALT.srt 	SALT_DVS148 	00:26:13,00 --> 00:26:25,50 	she tosses the sim card on the floor.
SALT.srt 	SALT_DVS294 	00:51:25,00 --> 00:51:45,50 	she tosses it upward and it magnetically adheres to a chandelier's base on the ceiling.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS822 	00:54:41,00 --> 00:54:47,50 	he tosses it onto the woman's table then marches off.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1045 	01:08:27,00 --> 01:08:32,50 	someone tosses her hair over her shoulders and tilts her head back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS34 	00:06:25,00 --> 00:06:33,50 	she tosses it aside.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS79 	00:15:10,00 --> 00:15:16,50 	later, his roommate tosses him a gift.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS211 	00:40:37,00 --> 00:40:42,50 	he tosses some to someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS451 	01:35:40,00 --> 01:35:47,50 	he staggers to his feet and tosses the someone to someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS183 	00:30:06,00 --> 00:30:11,50 	someone hands her the check and tosses her purse on the bed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS393 	01:06:39,00 --> 01:06:46,50 	someone stomps to a waste basket in the foyer and tosses it in.
SUPER_8.srt 	SUPER_8_DVS285 	00:51:15,00 --> 00:51:25,50 	someone places someone in his cruiser's backseat and tosses the camera onto the front seat.
SUPER_8.srt 	SUPER_8_DVS452 	01:20:13,00 --> 01:20:20,50 	the boys and soldiers toss violently, with a flat tire the bus slows as the driver brakes.
SUPER_8.srt 	SUPER_8_DVS532 	01:29:17,00 --> 01:29:23,50 	someone lights one sparkler and tosses it into the hole.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS197 	00:29:03,00 --> 00:29:10,50 	he swings the board like a lasso and tosses it at the open porthole above him, but misses.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS661 	01:29:27,00 --> 01:29:38,50 	someone rushes into the control cab, grabs someone and drags him across the floor and tosses him over the railing.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS29 	00:06:24,00 --> 00:06:30,50 	the blond tosses her cigarette through the fence.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS82 	00:16:17,00 --> 00:16:36,50 	chewing doritos, he tosses down the remote and wipes his mouth and hands on a pillow.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS508 	01:31:36,00 --> 01:31:42,50 	outside the restroom, someone tosses cash at some patrons.
THE_CALL.srt 	THE_CALL_DVS546 	00:42:04,00 --> 00:42:11,50 	ripping off his blood-stained shirt, he wipes blood from his undershirt and tosses it down.
THE_CALL.srt 	THE_CALL_DVS1034 	01:18:48,00 --> 01:18:54,50 	he tosses it aside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS235 	00:36:21,00 --> 00:36:26,50 	someone tosses it down bitterly.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS961 	01:46:30,00 --> 01:46:37,50 	the manager locks up her office then tosses keys on a nearby table.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS43 	00:12:01,00 --> 00:12:12,50 	in his room someone tosses a green-tailed dart to someone, which lands in his friend's screwdriver.
THE_VOW.srt 	THE_VOW_DVS525 	01:13:41,00 --> 01:13:46,50 	he pauses, then tosses them down.
THE_WATCH.srt 	THE_WATCH_DVS514 	01:30:34,00 --> 01:31:11,50 	in slow motion, someone tosses his pistols, then draws a single revolver.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS106 	00:31:03,00 --> 00:31:07,50 	she tosses it across the room.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS112 	00:33:07,00 --> 00:33:14,50 	someone rubs the ball against his crotch, then tosses it to someonet.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS295 	01:17:38,00 --> 01:17:43,50 	someone tosses away the rest of her hors d'oeuvre
THOR.srt 	THOR_DVS644 	01:37:28,00 --> 01:37:33,50 	he tosses someone to the ground then leaps at him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS146 	00:17:54,00 --> 00:17:58,50 	he tosses someone's clipboard.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS67 	00:09:14,00 --> 00:09:19,50 	he tosses it in.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS229 	00:21:21,00 --> 00:21:29,50 	in a guest house, someone tosses a bag to the floor, swigs from a can of pepsi, and listens to an answering machine.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS289 	00:28:58,00 --> 00:29:05,50 	the woman tosses her head ecstatically.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS360 	00:58:18,00 --> 00:58:24,50 	buster bounces on his forepaws and tosses his head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS810 	01:54:06,00 --> 01:54:14,50 	someone pretends to toss someone into the tiger enclosure.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS436 	01:01:38,00 --> 01:01:44,50 	tossing the ball backward, someone sinks another shot.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS449 	01:02:42,00 --> 01:02:50,50 	he tosses the ball in the net and someone catches it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS103 	00:08:42,00 --> 00:08:47,50 	and tosses them over his shoulder into his car.
ZOMBIELAND.srt 	ZOMBIELAND_DVS213 	00:22:59,00 --> 00:23:05,50 	he tosses his bat aside and they proceed down the aisle.
ZOMBIELAND.srt 	ZOMBIELAND_DVS258 	00:28:41,00 --> 00:28:47,50 	from the minivan's roof, someone tosses the crowbar aside,
ZOMBIELAND.srt 	ZOMBIELAND_DVS289 	00:32:34,00 --> 00:32:43,50 	he unhooks it then tosses it on the steaming engine.
ZOMBIELAND.srt 	ZOMBIELAND_DVS710 	01:17:43,00 --> 01:17:48,50 	he tosses down his empty shotgun.
ZOMBIELAND.srt 	ZOMBIELAND_DVS718 	01:18:20,00 --> 01:18:24,50 	someone tosses the mallet away.
ZOMBIELAND.srt 	ZOMBIELAND_DVS761 	01:21:46,00 --> 01:21:52,50 	little someone tosses someone a wrapped, intact, twinkie.
ZOOKEEPER.srt 	ZOOKEEPER_DVS410 	01:30:00,00 --> 01:30:06,50 	he toss.
