21_JUMP_STREET.srt 	21_JUMP_STREET_DVS126 	00:20:35,00 --> 00:20:43,50 	in the morning, someone and someone wake to find someone's father using an elliptical machine at their feet.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS729 	01:12:28,00 --> 01:12:35,50 	arriving with his skateboard, someone finds blond lounging in the pool with the kid in a hunter's cap,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS746 	01:14:01,00 --> 01:14:08,50 	amid the envelopes, he finds one with his name scrawled in red ink beside someone's crossed out name.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS748 	01:14:07,00 --> 01:14:13,50 	he finds a single notation at the top of his latest essay.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS753 	01:15:23,00 --> 01:15:29,50 	following her into the kitchen, someone and someone find someone sprawled on the floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS823 	01:21:15,00 --> 01:21:22,50 	drawing near, he finds his mentor sprawled out on his board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS842 	01:23:10,00 --> 01:23:16,50 	going to the kitchen, he finds someone making breakfast.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS906 	01:29:19,00 --> 01:29:25,50 	he stares at her imploringly but find her gaze confused.
CHRONICLE.srt 	CHRONICLE_DVS66 	00:07:44,00 --> 00:08:01,50 	across the dance floor, someone finds a blonde, young woman with a video camera of her own.
CHRONICLE.srt 	CHRONICLE_DVS101 	00:14:07,00 --> 00:14:14,50 	someone touches his face and finds blood streaming from his nose.
CHRONICLE.srt 	CHRONICLE_DVS123 	00:17:31,00 --> 00:17:36,50 	they find the hole filled with soil.
CHRONICLE.srt 	CHRONICLE_DVS130 	00:19:36,00 --> 00:19:41,50 	we find a proud grin on someone's face.
CHRONICLE.srt 	CHRONICLE_DVS170 	00:25:24,00 --> 00:25:31,50 	as the woman finds her car in its new space, someone nudges his shoulder against someone's.
CHRONICLE.srt 	CHRONICLE_DVS174 	00:26:18,00 --> 00:26:24,50 	now they find the truck nose down in a river.
CHRONICLE.srt 	CHRONICLE_DVS431 	01:03:01,00 --> 01:03:08,50 	as the flames settle, we find both someone and the clerk lying on the ground in flames.
CHRONICLE.srt 	CHRONICLE_DVS455 	01:06:52,00 --> 01:07:00,50 	through someone's camera, we follow someone's gaze up the hospital building and find the smoking blast site.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS143 	00:30:53,00 --> 00:30:57,50 	the two men find a table.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS173 	00:36:58,00 --> 00:37:06,50 	someone marches deeper inside and finds the two beds empty.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS470 	01:49:26,00 --> 01:49:30,50 	finds a rolls of tape in someone's mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS192 	00:16:42,00 --> 00:16:48,50 	finding herself boxed in, she slides down a storm drain opening and disappears.
COLOMBIANA.srt 	COLOMBIANA_DVS405 	00:36:01,00 --> 00:36:07,50 	the policeman finds the plastic cup and shakes his head at it.
COLOMBIANA.srt 	COLOMBIANA_DVS408 	00:36:14,00 --> 00:36:20,50 	in the secure cell block, someone finds his coffee thermos empty.
COLOMBIANA.srt 	COLOMBIANA_DVS410 	00:36:23,00 --> 00:36:30,50 	finding the prisoner asleep, he shuffles to the cell block door and pushes a button.
COLOMBIANA.srt 	COLOMBIANA_DVS422 	00:37:08,00 --> 00:37:13,50 	checking the clip, she finds it fully loaded.
COLOMBIANA.srt 	COLOMBIANA_DVS572 	00:52:06,00 --> 00:52:12,50 	his hand hits someone's side of the bed and finds it unoccupied.
COLOMBIANA.srt 	COLOMBIANA_DVS643 	01:00:25,00 --> 01:00:32,50 	he finds the words thief written in black lipstick above a drawing of the someone orchid.
COLOMBIANA.srt 	COLOMBIANA_DVS646 	01:00:39,00 --> 01:00:46,50 	in the hall, he finds a bodyguard lying on the floor with a pool of blood by his head.
COLOMBIANA.srt 	COLOMBIANA_DVS660 	01:01:58,00 --> 01:02:04,50 	he fires one gun then the other but finds them both empty.
COLOMBIANA.srt 	COLOMBIANA_DVS742 	01:10:17,00 --> 01:10:21,50 	she finds someone reading a newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS790 	01:16:17,00 --> 01:16:25,50 	at the third precinct, shari approaches her desk and finds a female fbi agent working at her computer.
COLOMBIANA.srt 	COLOMBIANA_DVS833 	01:20:13,00 --> 01:20:18,50 	he finds someone's living room empty.
COLOMBIANA.srt 	COLOMBIANA_DVS883 	01:23:39,00 --> 01:23:47,50 	nearing the top, she finds pepe's shattered sunglasses lying on the second floor, inches from his limp hand.
COLOMBIANA.srt 	COLOMBIANA_DVS933 	01:30:02,00 --> 01:30:08,50 	he peeks out and finds someone crouched behind a rifle on a neighboring balcony.
COLOMBIANA.srt 	COLOMBIANA_DVS949 	01:31:25,00 --> 01:31:34,50 	now as we peer down a hallway's polished floor, we find a portly bespectacled man marching toward us, a briefcase in hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS138 	00:22:28,00 --> 00:22:41,50 	at the sun dappled construction site, someone arrives to find him working at the top of a ladder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS240 	00:37:48,00 --> 00:37:54,50 	on finding someone's letter, she smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS265 	00:42:07,00 --> 00:42:14,50 	he glances around the desk, and finds another coin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS356 	00:55:49,00 --> 00:55:59,50 	she leans on the railing, gazing out over the lawn as departing guests find their cars.
DEAR_JOHN.srt 	DEAR_JOHN_DVS449 	01:05:49,00 --> 01:05:59,50 	he finds a cellphone on a desk, and reaches for it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS494 	01:12:14,00 --> 01:12:21,50 	someone's head shifts, and his hazy vision finds a nurse at his bedside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS505 	01:13:23,00 --> 01:13:29,50 	he finds the captain writing at a desk in his office.
DEAR_JOHN.srt 	DEAR_JOHN_DVS545 	01:17:20,00 --> 01:17:28,50 	but finds his bed empty.
DEAR_JOHN.srt 	DEAR_JOHN_DVS548 	01:17:33,00 --> 01:17:42,50 	his brow furrowed, someone spots a cot in the corridor, and strides toward it to find his father.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS98 	00:23:38,00 --> 00:23:46,50 	someone arrives home and finds someone already there.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS115 	00:29:37,00 --> 00:29:47,50 	"tim, i found you, are you online?"
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS203 	00:48:25,00 --> 00:48:33,50 	someone jogs over to the table and closes a folder full of slides and finds someone's phone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS230 	00:57:18,00 --> 00:57:24,50 	and finds the engagement ring that someone offered to someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS245 	00:59:53,00 --> 01:00:03,50 	the next shows the specky boy mouse returning home and finding the girl mouse in bed with a bearded mouse that wears a polo neck bib.
DISTRICT_9.srt 	DISTRICT_9_DVS155 	00:18:02,00 --> 00:18:14,50 	they find an alien gun under some weeds.
DISTRICT_9.srt 	DISTRICT_9_DVS204 	00:22:58,00 --> 00:23:03,50 	now he finds a rusty metal box.
DISTRICT_9.srt 	DISTRICT_9_DVS268 	00:29:28,00 --> 00:29:35,50 	someone steps inside and finds the walls covered with computer parts.
DISTRICT_9.srt 	DISTRICT_9_DVS289 	00:32:26,00 --> 00:32:31,50 	find it, it contains the fluid.
DISTRICT_9.srt 	DISTRICT_9_DVS347 	00:38:25,00 --> 00:38:36,50 	another tech finds the confiscated alien canister in someone's jacket.
DISTRICT_9.srt 	DISTRICT_9_DVS413 	00:45:35,00 --> 00:45:41,50 	some garbage, finds a trash bag and eats a piece of thrown out food.
DISTRICT_9.srt 	DISTRICT_9_DVS650 	01:16:10,00 --> 01:16:33,50 	someone enters the upper level and finds someone at the opened trapdoor.
DISTRICT_9.srt 	DISTRICT_9_DVS667 	01:17:57,00 --> 01:18:11,50 	next to each of his knees, he finds two angled cylinders filled with greenish jelly.
EASY_A.srt 	EASY_A_DVS16 	00:04:34,00 --> 00:04:45,50 	she finds a $5 someone inside.
EASY_A.srt 	EASY_A_DVS109 	00:36:37,00 --> 00:36:45,50 	inside she finds a greeting card with a gift card.
EASY_A.srt 	EASY_A_DVS166 	00:53:31,00 --> 00:53:37,50 	in the main office, someone finds someone comforting micah.
EASY_A.srt 	EASY_A_DVS213 	01:05:27,00 --> 01:05:34,50 	righting it, she finds someone in the picture.
EASY_A.srt 	EASY_A_DVS225 	01:11:49,00 --> 01:11:54,50 	sneaking out, someone glances over and finds her staring.
FLIGHT.srt 	FLIGHT_DVS529 	01:16:35,00 --> 01:16:40,50 	both watch, as trevor goes off to find his dad.
FLIGHT.srt 	FLIGHT_DVS884 	01:44:04,00 --> 01:44:11,50 	he finds it stocked with juices and non-alcoholic beverages.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS159 	00:43:33,00 --> 00:43:42,50 	someone dashes over and finds him in a motor boat.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS203 	00:54:03,00 --> 00:54:09,50 	she finds someone conked out on her bed.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS43 	00:27:24,00 --> 00:27:32,50 	someone groggily wakes up and finds his suite trashed.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS118 	01:11:15,00 --> 01:11:22,50 	finds someone gone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS19 	00:03:05,00 --> 00:03:14,50 	someone jumps down to the dungeon floor and finds the door locked.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	now he runs towards someone's garage to find a blazing light moving within.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	recovering, he finds a trail of fire stretching along the ground to a point of light speeding up the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	peeking around the corner, he finds someone moving through a parking lot with affected nonchalance.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS179 	00:29:11,00 --> 00:29:18,50 	his hand finds his seat belt buckle and pushes the release button.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS231 	00:37:23,00 --> 00:37:39,50 	lifting it onto his shoulder, the wavy haired criminal peers through its thermal sight and finds ghost rider's glowing image as he speeds along the cliff above the quarry.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS373 	00:54:56,00 --> 00:55:02,50 	our view ascends to find an angel spreading its wings over the earth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS421 	01:00:49,00 --> 01:00:55,50 	he finds the monks detaining someone, someone, and someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS436 	01:02:32,00 --> 01:02:39,50 	he finds himself surrounded by darkness, then twirls his sword defensively.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS519 	01:14:12,00 --> 01:14:19,50 	he finds someone and someone swaying on their knees before the chanting acolytes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS524 	01:14:44,00 --> 01:14:52,50 	gazing down on the stage, we find a shadow extending from someone's body as if reaching for someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS558 	01:19:36,00 --> 01:19:58,50 	meanwhile, ghost rider marches from the amphitheater to find his flaming motorcycle approaching.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS583 	01:24:25,00 --> 01:24:31,50 	he finds someone crawling laboriously from the wreck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS591 	01:25:17,00 --> 01:25:24,50 	following the chain, we find someone plunging into a sea of fire.
GREEN_ZONE.srt 	GREEN_ZONE_DVS136 	00:31:42,00 --> 00:31:47,50 	someone and someone go upstairs to find someone with the women and children.
GREEN_ZONE.srt 	GREEN_ZONE_DVS138 	00:31:55,00 --> 00:31:59,50 	someone finds the little black notebook.
GREEN_ZONE.srt 	GREEN_ZONE_DVS182 	00:46:51,00 --> 00:47:10,50 	scanning down the page, someone finds links to more of someone's articles.
GREEN_ZONE.srt 	GREEN_ZONE_DVS191 	00:49:14,00 --> 00:49:28,50 	in the mansion's debris-strewn foyer, he finds a dolphin statue and two soldiers.
GREEN_ZONE.srt 	GREEN_ZONE_DVS227 	00:56:27,00 --> 00:56:42,50 	the soldier inspecting someone's backpack finds plastic wrapped stacks of bills inside.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	peeking inside, he finds a group of journalists working at computers.
GREEN_ZONE.srt 	GREEN_ZONE_DVS280 	01:05:12,00 --> 01:05:18,50 	he finds someone in a computer analysis room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	edging closer, someone glances back at someone and finds him staring lifelessly.
GREEN_ZONE.srt 	GREEN_ZONE_DVS472 	01:43:41,00 --> 01:43:48,50 	she finds an untitled message from someone in her email inbox.
GROWN_UPS.srt 	GROWN_UPS_DVS79 	00:23:49,00 --> 00:24:00,50 	exploring the room, someone and someone find an old tv set and knock on its bulky casing.
GROWN_UPS.srt 	GROWN_UPS_DVS243 	01:12:05,00 --> 01:12:13,50 	later at the lake house, someone finds someone asleep on the couch and slaps him on the forehead.
