21_JUMP_STREET.srt 	21_JUMP_STREET_DVS124 	00:19:50,00 --> 00:19:54,50 	she answers the door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS148 	00:38:17,00 --> 00:38:21,50 	she answers her cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS35 	00:06:03,00 --> 00:06:11,50 	the bartender answers the phone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS52 	00:10:24,00 --> 00:10:28,50 	she answers her phone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS363 	01:07:18,00 --> 01:07:22,50 	he answers it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS369 	01:08:34,00 --> 01:08:39,50 	a curly-haired woman answers the door.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS498 	01:29:43,00 --> 01:29:50,50 	he answers his phone and casually leans on the open trunk lid.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS506 	01:31:17,00 --> 01:31:25,50 	he answers his phone.
THE_CALL.srt 	THE_CALL_DVS71 	00:04:05,00 --> 00:04:13,50 	she types unit on scene 13:48 hours, then answers an incoming call.
THE_SITTER.srt 	THE_SITTER_DVS13 	00:07:12,00 --> 00:07:18,50 	an elegant buxom brunette answers the door with a warm smile.
THE_SITTER.srt 	THE_SITTER_DVS30 	00:14:26,00 --> 00:14:30,50 	someone answers his cell.
THE_SITTER.srt 	THE_SITTER_DVS69 	00:39:09,00 --> 00:39:13,50 	woman answers the front door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS300 	01:49:48,00 --> 01:49:53,50 	straightening, he answers his cell.
THE_WATCH.srt 	THE_WATCH_DVS252 	00:47:17,00 --> 00:47:22,50 	someone answers his cellphone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS300 	01:18:34,00 --> 01:18:39,50 	now someone answers her door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS431 	01:39:43,00 --> 01:39:49,50 	in a kitchen, a full-figured woman answers the phone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS101 	00:15:48,00 --> 00:15:54,50 	at a gymboree play center, someone's friend answers her cellphone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS525 	01:29:54,00 --> 01:29:58,50 	inside, someone answers his cell.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS347 	00:41:00,00 --> 00:41:05,50 	as she answers the door, he ducks down.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS76 	00:06:27,00 --> 00:06:34,50 	someone pouts, then slaps the magazine shut and answers her cell with a forced smile.
