21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	as someone turns to leave, someone arrives in his maroon sedan accompanied by his dark haired friend.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS231 	00:37:23,00 --> 00:37:39,50 	lifting it onto his shoulder, the wavy haired criminal peers through its thermal sight and finds ghost rider's glowing image as he speeds along the cliff above the quarry.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS259 	00:41:02,00 --> 00:41:13,50 	the wavy haired man stands, blood dripping from his mouth.
GREEN_ZONE.srt 	GREEN_ZONE_DVS300 	01:08:39,00 --> 01:08:47,50 	a spiky haired tech speaks up.
INSIDE_MAN.srt 	INSIDE_MAN_DVS49 	00:13:52,00 --> 00:14:01,50 	the white haired banker sits, his gaze thoughtful and troubled.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	as the dark haired executive hands over his keys to the female robber, she stops and raises her arm.
INSIDE_MAN.srt 	INSIDE_MAN_DVS98 	00:25:30,00 --> 00:25:49,50 	an amber haired woman brings a date book from a desk to a sunken living room.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS86 	00:16:54,00 --> 00:17:02,50 	elsewhere, the now light-haired someone steps into a suburban home and hugs her short white haired grandmother.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS117 	00:27:45,00 --> 00:27:56,50 	elsewhere someone steps through a crowded room and hugs a shaggy haired man.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS195 	00:51:54,00 --> 00:52:01,50 	white haired someone jensen approaches her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS38 	00:12:25,00 --> 00:12:32,50 	a silver haired man with a bowtie and a toothy smile approaches him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS69 	00:18:44,00 --> 00:18:51,50 	now the auburn haired professor peeks in through a window in a classroom door.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS364 	01:26:47,00 --> 01:26:52,50 	someone enters following her raven haired
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS378 	01:30:24,00 --> 01:30:36,50 	later the auburn haired professor walks down the narrow corridor toward her office.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS37 	00:08:29,00 --> 00:08:35,50 	the wavy haired man pulls his wife across the patio and kisses her.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS442 	01:43:29,00 --> 01:43:35,50 	someone glances at a brown haired god who blinks confusedly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS104 	00:26:28,00 --> 00:26:40,50 	the red haired archer finds a knight's purse empty, then salvages a small cup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS170 	00:41:09,00 --> 00:41:15,50 	someone finds the bearded wavy haired nobleman addressing him and steps closer.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	two pepper haired farm hands meet her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS549 	01:30:23,00 --> 01:30:30,50 	arriving at columbia records, she crosses to the desk of the blonde haired receptionist.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS302 	00:44:49,00 --> 00:44:55,50 	the gray haired goateed pickpocket quickens his pace and takes out a set of keys.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS521 	01:13:54,00 --> 01:14:00,50 	the banner completely unfurls revealing a portrait of a blond haired woman.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS542 	01:15:55,00 --> 01:15:59,50 	someone sits near a brown haired woman.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS31 	00:06:32,00 --> 00:06:37,50 	a dark haired faculty member arrives.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS35 	00:08:04,00 --> 00:08:11,50 	a gray haired bearded instructor approaches glowering.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS69 	00:15:42,00 --> 00:15:56,50 	now he crosses the lunchroom where someone sits with her two friends, a dark haired girl and a preppy guy.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS805 	01:32:31,00 --> 01:32:41,50 	the white haired widow leans closer and examines the images with him.
THE_SITTER.srt 	THE_SITTER_DVS46 	00:26:36,00 --> 00:26:40,50 	he turns to the slick haired boy.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS42 	00:11:55,00 --> 00:12:02,50 	outside kirkland house, a dark haired young man hurries up the steps and scans his key card at the door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS242 	01:34:23,00 --> 01:34:30,50 	haired businessman locks eyes with someone seriously.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS40 	00:04:29,00 --> 00:04:35,50 	holding the notice, someone lunches with a black haired woman.
ZOOKEEPER.srt 	ZOOKEEPER_DVS35 	00:05:24,00 --> 00:05:31,50 	long haired woman places an eagle in a cage.
