21_JUMP_STREET.srt 	21_JUMP_STREET_DVS35 	00:03:57,00 --> 00:04:03,50 	he notices someone's test which boasts a perfect score.
BURLESQUE.srt 	BURLESQUE_DVS227 	00:33:41,00 --> 00:33:47,50 	as someone enters with a box of liquor, he notices her too.
BURLESQUE.srt 	BURLESQUE_DVS422 	00:58:15,00 --> 00:58:20,50 	he notices someone's photo.
BURLESQUE.srt 	BURLESQUE_DVS484 	01:07:21,00 --> 01:07:26,50 	he notices her louboutins.
BURLESQUE.srt 	BURLESQUE_DVS687 	01:45:55,00 --> 01:46:00,50 	the women's smiles fade as they notice her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS76 	00:06:19,00 --> 00:06:26,50 	he notices a us armed forces savings check for $400 payable to someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS343 	00:32:08,00 --> 00:32:14,50 	the young surfer notices a weather radio priced at $89.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS807 	01:19:48,00 --> 01:19:54,50 	someone notices an empty water bottle on the floor beside a broken rack rod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS931 	01:31:10,00 --> 01:31:15,50 	ending the call, he notices her nervous gaze.
CHRONICLE.srt 	CHRONICLE_DVS47 	00:05:59,00 --> 00:06:03,50 	they notice someone.
CHRONICLE.srt 	CHRONICLE_DVS368 	00:56:34,00 --> 00:56:40,50 	the pink-haired someone notices him as she chats with friends.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS137 	00:30:02,00 --> 00:30:10,50 	the foreman notices someone's cast, painted to match his coat sleeve.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS332 	01:23:33,00 --> 01:23:43,50 	a few people notice him and crowd close, whispering.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS444 	01:45:54,00 --> 01:45:59,50 	his smile fades as he notices someone.
COLOMBIANA.srt 	COLOMBIANA_DVS188 	00:16:30,00 --> 00:16:35,50 	noticing it, she breaks into a run.
COLOMBIANA.srt 	COLOMBIANA_DVS433 	00:38:11,00 --> 00:38:18,50 	he notices the weapon and stares.
COLOMBIANA.srt 	COLOMBIANA_DVS589 	00:55:29,00 --> 00:55:33,50 	the office mail man notices it.
COLOMBIANA.srt 	COLOMBIANA_DVS653 	01:01:13,00 --> 01:01:19,50 	he notices a flower resting three panels away on the pool's glass.
COLOMBIANA.srt 	COLOMBIANA_DVS851 	01:21:24,00 --> 01:21:30,50 	agent someone notices the empty birdcage then the orchid painting.
DEAR_JOHN.srt 	DEAR_JOHN_DVS42 	00:05:35,00 --> 00:05:40,50 	someone notices a bulky ring on someone's finger.
DEAR_JOHN.srt 	DEAR_JOHN_DVS108 	00:15:46,00 --> 00:15:50,50 	she notices a coin collection.
DEAR_JOHN.srt 	DEAR_JOHN_DVS307 	00:47:55,00 --> 00:48:06,50 	someone notices her and beams.
DEAR_JOHN.srt 	DEAR_JOHN_DVS773 	01:41:38,00 --> 01:41:43,50 	noticing her, he does a double take,
DISTRICT_9.srt 	DISTRICT_9_DVS317 	00:34:53,00 --> 00:34:59,50 	someone notices someone.
DISTRICT_9.srt 	DISTRICT_9_DVS339 	00:37:26,00 --> 00:37:31,50 	noticing the commotion across the room.
FLIGHT.srt 	FLIGHT_DVS149 	00:27:21,00 --> 00:27:27,50 	someone averts his gaze from the screen, and notices a man in the room.
FLIGHT.srt 	FLIGHT_DVS627 	01:28:03,00 --> 01:28:08,50 	she notices cocaine on a table.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS27 	00:06:27,00 --> 00:06:33,50 	someone notices her handing a man a suitcase.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS90 	00:23:24,00 --> 00:23:52,50 	at gq he notices traces of the graffiti.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS354 	01:34:00,00 --> 01:34:11,50 	someone notices a young woman using her cellphone outside the restaurant.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS124 	00:20:07,00 --> 00:20:26,50 	someone notices his jacket draped over a chair near a cabinet of drugs and medical supplies.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS193 	00:30:34,00 --> 00:30:40,50 	their carefree smiles fade as they notice his large gun.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS356 	00:52:52,00 --> 00:53:01,50 	someone notices more monks surrounding their group.
GREEN_ZONE.srt 	GREEN_ZONE_DVS91 	00:23:08,00 --> 00:23:11,50 	someone notices a crowd.
GROWN_UPS.srt 	GROWN_UPS_DVS43 	00:12:20,00 --> 00:12:23,50 	the guys notice that
IN_TIME.srt 	IN_TIME_DVS492 	00:53:20,00 --> 00:53:26,50 	he notices less than a minute on someone's clock.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS27 	00:08:01,00 --> 00:08:05,50 	she notices the line of customers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS46 	00:12:47,00 --> 00:12:52,50 	eyelid up with her ring finger someone notices a fertility
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS95 	00:20:30,00 --> 00:20:37,50 	someone awakes on the sofa and notices a lady's meaty fingers caressing his arm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS352 	01:06:42,00 --> 01:06:52,50 	looks at himself in the mirror and notices the attendant waiting with the towel draped over his forearm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS389 	01:12:51,00 --> 01:12:56,50 	someone notices him and straightens demurely.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS310 	01:39:07,00 --> 01:39:13,50 	someone wakes, noticing his hand, and yanks it out of the bowl.
KARATE_KID.srt 	KARATE_KID_DVS473 	00:42:28,00 --> 00:42:33,50 	he halts as he notices the closed inner gate.
KARATE_KID.srt 	KARATE_KID_DVS574 	00:51:23,00 --> 00:51:29,50 	someone notices someone and mr.
KARATE_KID.srt 	KARATE_KID_DVS1168 	01:36:19,00 --> 01:36:24,50 	someone blearily notices his student.
KNOCKED_UP.srt 	KNOCKED_UP_DVS113 	01:10:11,00 --> 01:10:16,50 	someone notices a shopping bag protruding from the cabinet.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS191 	01:09:00,00 --> 01:09:13,50 	she notices a group of softball-sized eggs on a brown steaming mound.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS213 	01:16:20,00 --> 01:16:28,50 	someone notices the dot of his laser pointer on his chest.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS252 	01:29:31,00 --> 01:29:36,50 	they notice someone outside.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS365 	01:26:53,00 --> 01:27:00,50 	someone notices her.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS337 	00:41:10,00 --> 00:41:27,50 	he notices a whistle on his life jacket and blows it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS555 	01:00:31,00 --> 01:00:36,50 	someone notices a rash along his side.
MORNING_GLORY.srt 	MORNING_GLORY_DVS174 	00:40:10,00 --> 00:40:14,50 	and notices her.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS285 	00:37:58,00 --> 00:38:03,50 	the kids notice their father's lingering gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS233 	00:48:38,00 --> 00:48:43,50 	noticing someone, she straightens and frowns.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS349 	01:16:02,00 --> 01:16:12,50 	he frowns as he notices the table and the contracts, but no pen.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS270 	01:08:59,00 --> 01:09:06,50 	someone edges away, then notices two water fountains on a nearby wall.
PROMETHEUS.srt 	PROMETHEUS_DVS277 	00:26:54,00 --> 00:27:00,50 	someone notices a crewmen wielding a flame-thrower.
PROMETHEUS.srt 	PROMETHEUS_DVS819 	01:27:42,00 --> 01:27:47,50 	someone notices her as well.
PROMETHEUS.srt 	PROMETHEUS_DVS823 	01:27:54,00 --> 01:28:00,50 	shivering, someone notices the old man.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS96 	00:15:42,00 --> 00:15:54,50 	someone notices his young hostage shivering.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS257 	00:48:38,00 --> 00:48:44,50 	someone notices a true detective magazine in a rack.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS297 	01:11:25,00 --> 01:11:32,50 	someone notices someone, someone and little someone bathing at a trough.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS299 	01:11:52,00 --> 01:12:01,50 	noticing someone, they quickly retreat.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS553 	01:25:05,00 --> 01:25:13,50 	and she notices her snapping fingers.
SALT.srt 	SALT_DVS492 	01:25:19,00 --> 01:25:25,50 	in glass then notices a control pad by the door in the operation center.
SANCTUM.srt 	SANCTUM_DVS326 	01:04:58,00 --> 01:05:05,50 	as someone returns with his camera, someone notices him.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS451 	00:29:52,00 --> 00:29:57,50 	someone notices a projection on a wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS627 	00:41:39,00 --> 00:41:44,50 	noticing someone, she straightens her bath robe.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1282 	01:27:25,00 --> 01:27:30,50 	she notices a photograph tucked beneath the scattered pages of a manuscript draft.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS69 	00:13:28,00 --> 00:13:34,50 	someone notices him.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS336 	01:10:34,00 --> 01:10:40,50 	someone notices his black fingernails.
SOUL_SURFER.srt 	SOUL_SURFER_DVS78 	00:26:16,00 --> 00:26:21,50 	she notices the ambulance.
SPARKLE_2012.srt 	SPARKLE_2012_DVS83 	00:13:46,00 --> 00:13:50,50 	he notices someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS94 	00:15:21,00 --> 00:15:25,50 	she notices someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS574 	01:34:24,00 --> 01:34:32,50 	someone's smile fades, as she notices her mother's haughty gaze fixed stubbornly on the tv.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS127 	00:28:56,00 --> 00:29:03,50 	he notices someone approaching.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	striding down a waterfront walkway she pauses as she notices someone up ahead.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS394 	01:15:39,00 --> 01:15:58,50 	at school, someone notices someone's tense demeanor.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS81 	00:15:53,00 --> 00:16:20,50 	as he strolls into the spacious living room, someone notices his muddy footprints on a light rug.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS331 	01:00:41,00 --> 01:00:46,50 	someone notices a tag.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS573 	01:43:47,00 --> 01:43:53,50 	she notices the police station across the street.
THE_CALL.srt 	THE_CALL_DVS754 	00:57:10,00 --> 00:57:17,50 	hefting her over one shoulder, someone notices the cellphone in her back pocket.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS86 	00:15:46,00 --> 00:15:50,50 	he notices someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS354 	00:54:36,00 --> 00:54:41,50 	they notice the recorder in his hand.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS816 	01:48:48,00 --> 01:48:55,50 	someone notices them from the dining room and strides observantly through an archway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS642 	01:09:52,00 --> 01:10:00,50 	he starts to cut into his sandwich before noticing his daughter's head bowed in prayer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1010 	01:49:26,00 --> 01:49:31,50 	then notices a murder listed as two years later
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1058 	01:52:21,00 --> 01:52:25,50 	he notices the gun case.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1108 	01:56:02,00 --> 01:56:08,50 	pouring two drinks someone notices the empty slot in his knife block.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1281 	02:14:40,00 --> 02:14:45,50 	she notices his distant gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1369 	02:27:20,00 --> 02:27:28,50 	noticing a lipstick smear near the cups rim, someone wipes it away with a gloved finger.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS160 	00:54:14,00 --> 00:54:23,50 	then they both notice a billboard, along the highway for a steak ranch located off the next exit.
THE_VOW.srt 	THE_VOW_DVS57 	00:04:31,00 --> 00:04:36,50 	he notices a sticker on her car.
THE_VOW.srt 	THE_VOW_DVS256 	00:31:59,00 --> 00:32:03,50 	she notices.
THE_VOW.srt 	THE_VOW_DVS558 	01:16:35,00 --> 01:16:41,50 	from the reception, mrs. thornton notices the exchange.
THE_WATCH.srt 	THE_WATCH_DVS174 	00:32:22,00 --> 00:32:32,50 	as he comes to a deserted intersection, he notices a large, green electricity transformer fizzing and sparking on the corner.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS225 	00:55:48,00 --> 00:55:56,50 	someone notices a picture of someone as a boy.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS97 	00:15:14,00 --> 00:15:19,50 	someone notices her whispering colleagues.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS211 	00:40:27,00 --> 00:40:34,50 	noticing a framed poster for a gustav klimt exhibit, he studies it closely.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS213 	00:40:38,00 --> 00:40:45,50 	someone notices a website for a pet shelter on her browser.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS304 	00:36:34,00 --> 00:36:39,50 	he notices a cat door on the other side of the kitchen.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS396 	00:43:10,00 --> 00:43:15,50 	someone notices his odd expression
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS749 	01:22:06,00 --> 01:22:11,50 	she notices his broad wing.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS875 	01:32:51,00 --> 01:32:59,50 	as he notices the other musicians, the audience members leap to their feet and the bass player smiles.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS349 	00:41:20,00 --> 00:41:25,50 	he notices someone peeking over the couch.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS374 	00:44:46,00 --> 00:44:50,50 	he notices her chest.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS414 	00:50:29,00 --> 00:50:37,50 	someone sips from her glass and idly smoothes her hair, then notices the gift on the coffee table.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS477 	00:58:27,00 --> 00:58:34,50 	someone notices them jumping up and down as he feeds the model a spoonful of chocolate.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS493 	01:02:53,00 --> 01:02:56,50 	they notice her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS139 	00:24:37,00 --> 00:24:45,50 	the concerned father returns his attention to the road ahead and notices little dom's.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS109 	00:10:52,00 --> 00:10:57,50 	she notices a short man chatting up a model type.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS202 	00:24:20,00 --> 00:24:24,50 	someone notices her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS737 	01:37:30,00 --> 01:37:42,50 	someone joins the band, playing a tambourine, but someone fails to notice her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS186 	00:14:32,00 --> 00:14:38,50 	he notices a framed baby photo and smile
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS247 	00:19:02,00 --> 00:19:06,50 	noticing files on a desk,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS289 	00:22:46,00 --> 00:22:50,50 	someone notices it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS432 	00:37:58,00 --> 00:38:04,50 	someone notices the blonde someone beaming radiantly at him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1119 	01:40:43,00 --> 01:40:49,50 	peeking through an opening above, someone notices a change in his partner.
ZOMBIELAND.srt 	ZOMBIELAND_DVS306 	00:34:18,00 --> 00:34:26,50 	in a flashback, at a gas n gulp, the pasty blonde man from the toilet attack notices someone outside
ZOMBIELAND.srt 	ZOMBIELAND_DVS347 	00:39:48,00 --> 00:39:53,50 	she notices an abandoned pickup.
ZOMBIELAND.srt 	ZOMBIELAND_DVS712 	01:18:00,00 --> 01:18:08,50 	someone notices a giant rubber mallet at a strength testing game.
ZOMBIELAND.srt 	ZOMBIELAND_DVS722 	01:18:31,00 --> 01:18:40,50 	someone notices a lever labeled, emergency break release.
ZOOKEEPER.srt 	ZOOKEEPER_DVS131 	00:27:54,00 --> 00:27:59,50 	he notices the two brown bears eyeing him hungrily.
