21_JUMP_STREET.srt 	21_JUMP_STREET_DVS210 	00:36:00,00 --> 00:36:05,50 	the coach's head becomes an ice cream cone.
KARATE_KID.srt 	KARATE_KID_DVS1370 	01:50:36,00 --> 01:50:55,50 	the image freezes and he becomes the high-kick silhouette on the tallest trophy.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS837 	01:24:58,00 --> 01:25:05,50 	as they burst apart, the squid becomes a school of scattering fish.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1126 	01:58:47,00 --> 01:58:54,50 	the boy fades from view and the sparkling ocean becomes the mexican jungle.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS630 	01:16:25,00 --> 01:16:35,50 	she turns in a circle becoming entwined.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS275 	01:09:59,00 --> 01:10:07,50 	the hydra's heads become motionless as they turn to stone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS278 	01:06:23,00 --> 01:06:47,50 	he picks up someone's sword and eyes the inscription on the hilt - until lambs become lions.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS399 	01:38:00,00 --> 01:38:17,50 	rise and rise again until lambs become lions.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS612 	00:40:35,00 --> 00:40:41,50 	on this day of the new year, we became master and lady someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS54 	00:11:20,00 --> 00:11:26,50 	he takes a breath and becomes real.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS197 	00:38:01,00 --> 00:38:07,50 	someone sets the someone down and it becomes invisible.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS449 	01:35:27,00 --> 01:35:32,50 	she become alive as the last of it gets absorbed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS624 	01:08:40,00 --> 01:08:46,50 	the computer replays the ghostly sequence of someone reacting and her smile becoming a frightened stare.
THE_WATCH.srt 	THE_WATCH_DVS563 	01:36:42,00 --> 01:36:48,50 	they become faceless cartoons with bright white skin as eggs splatter on their dark clothing.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS487 	01:25:11,00 --> 01:25:18,50 	the smoke thins and someone becomes visible, semi-reclined on the road.
THOR.srt 	THOR_DVS53 	00:05:52,00 --> 00:06:02,50 	the mountain tips upside down, becoming the base of a landmass, supporting tall, rugged cliffs, separated by clear, glimmering water.
THOR.srt 	THOR_DVS562 	01:28:24,00 --> 01:28:31,50 	metal shards shoot onto someone's skin, becoming his armor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS264 	00:20:20,00 --> 00:20:26,50 	her flesh-and-blood form becomes crystalline like a diamond.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS753 	01:08:08,00 --> 01:08:13,50 	someone steadies himself and becomes stone,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS923 	01:25:09,00 --> 01:25:16,50 	her skin becomes blue and her hair morphs into its original color.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1036 	01:33:41,00 --> 01:33:47,50 	the crafts become blips on a us battleship's radar screen.
