40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS195 	01:36:08,00 --> 01:36:18,50 	sitting beside him with a beer in his hands, someone furrows his brow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS313 	00:47:33,00 --> 00:47:42,50 	as they stare, the emt furrows his brow and takes a step back.
HUGO.srt 	HUGO_DVS115 	00:15:14,00 --> 00:15:18,50 	someone furrows his brow.
HUGO.srt 	HUGO_DVS147 	00:20:18,00 --> 00:20:27,50 	in a museum, someone's father furrows his brow as he studies a mechanical model of a large sphere with orbiting satellites.
HUGO.srt 	HUGO_DVS289 	00:43:00,00 --> 00:43:05,50 	brow furrowed the station inspector strides toward them.
HUGO.srt 	HUGO_DVS337 	00:51:24,00 --> 00:51:30,50 	someone furrows her brow and cocks her head to one side.
HUGO.srt 	HUGO_DVS724 	01:47:05,00 --> 01:47:12,50 	furrowing his brow, the inspector opens the vent and peers inside.
IN_TIME.srt 	IN_TIME_DVS273 	00:28:02,00 --> 00:28:07,50 	he opens them again and furrows his brow.
IN_TIME.srt 	IN_TIME_DVS685 	01:14:11,00 --> 01:14:17,50 	as she reads the display, her breath quickens and her brow furrows.
IN_TIME.srt 	IN_TIME_DVS884 	01:33:38,00 --> 01:33:42,50 	someone's brow furrows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS423 	02:00:47,00 --> 02:00:54,50 	the mayor furrows his brow.
IRON_MAN_2.srt 	IRON_MAN_2_DVS167 	00:31:51,00 --> 00:31:57,50 	in the restaurant, someone watches with a furrowed brow.
IRON_MAN_2.srt 	IRON_MAN_2_DVS437 	01:21:07,00 --> 01:21:12,50 	he smiles slightly, then furrows his brow.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS200 	00:39:37,00 --> 00:39:45,50 	she notices someone watching her from across the court and furrows her brow in a quizzical expression.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS245 	00:49:11,00 --> 00:49:17,50 	he furrows his brows, stands up, and gazes toward the woods.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS405 	01:15:36,00 --> 01:15:41,50 	his brow furrowed, someone lowers his remorseful gaze.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS198 	01:10:37,00 --> 01:10:42,50 	someone's brow furrows.
KARATE_KID.srt 	KARATE_KID_DVS671 	00:57:15,00 --> 00:57:20,50 	someone stares, his brow furrowed.
KARATE_KID.srt 	KARATE_KID_DVS1121 	01:33:01,00 --> 01:33:08,50 	on stage, the girl plays with closed eyes and a furrowed brow.
KARATE_KID.srt 	KARATE_KID_DVS1517 	02:03:05,00 --> 02:03:11,50 	someone regards the boy with a furrowed brow.
KARATE_KID.srt 	KARATE_KID_DVS1603 	02:10:38,00 --> 02:10:44,50 	his brow furrowed, mr.
KARATE_KID.srt 	KARATE_KID_DVS1610 	02:10:57,00 --> 02:11:06,50 	his brow furrowed, someone faces someone with glistening eyes.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS334 	01:17:32,00 --> 01:17:39,50 	furrowing her brow she places one hand over her face then brushes back her hair and blinks away tears.
KNOCKED_UP.srt 	KNOCKED_UP_DVS127 	01:14:21,00 --> 01:14:26,50 	with a furrowed brow, someone turns and walks out.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS37 	00:13:03,00 --> 00:13:09,50 	the clerk furrows his brow and glances around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS145 	00:32:28,00 --> 00:32:32,50 	furrowing his brow
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS255 	01:01:29,00 --> 01:01:35,50 	someone's brow furrows as he listens.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS215 	00:28:28,00 --> 00:28:32,50 	she furrows her brow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS224 	00:30:14,00 --> 00:30:19,50 	someone shakes his head with a furrowed brow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS264 	00:34:59,00 --> 00:35:06,50 	the writer watches him with a furrowed brow as adult someone stares into the river before them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1105 	01:55:16,00 --> 01:55:23,50 	at someone's house, the young writer stares off with parted lips and a furrowed brow.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS123 	00:45:23,00 --> 00:45:36,50 	with a furrowed brow, he finds pamphlets for sustengo then removes a sample box.
MORNING_GLORY.srt 	MORNING_GLORY_DVS114 	00:26:25,00 --> 00:26:30,50 	her brow is furrowed with intense concentration.
MORNING_GLORY.srt 	MORNING_GLORY_DVS417 	01:30:34,00 --> 01:30:40,50 	someone turns to the window with his brow furrowed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS528 	01:02:56,00 --> 01:03:03,50 	he wakes up and furrows his brow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS591 	01:10:18,00 --> 01:10:26,50 	furrowing his brow, he slides the envelope out and stares at the handwritten name on its front.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS234 	00:48:53,00 --> 00:48:59,50 	someone stares at the girl with a furrowed brow.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS269 	00:59:08,00 --> 00:59:25,50 	someone's brow furrows compassionately.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS334 	01:13:34,00 --> 01:13:40,50 	someone averts his heartbroken gaze, then furrows his brow.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS301 	00:56:18,00 --> 00:56:27,50 	the robber skeptically furrows his brow.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS648 	02:01:45,00 --> 02:02:05,50 	in the movie house, someone watches the screen with a furrowed brow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS198 	00:47:34,00 --> 00:47:43,50 	someone furrows his brow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS315 	01:16:08,00 --> 01:16:27,50 	in slow motion, someone marches down a row of furrowed soil, tossing seed by the handful from a sack slung over his shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS348 	01:25:15,00 --> 01:25:35,50 	someone watches her with a furrowed brow, then rides up to meet her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	as she faces him, her brow furrows woefully.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS125 	00:21:54,00 --> 00:22:00,50 	at his typewriter, someone furrows his brow and pauses briefly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS367 	00:59:30,00 --> 00:59:36,50 	someone crouches down beside her with a furrowed brow.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS477 	01:12:16,00 --> 01:12:23,50 	someone sits with his hands on his knees, staring with a furrowed brow.
SALT.srt 	SALT_DVS552 	01:35:20,00 --> 01:35:28,50 	his brow furrowed.
SANCTUM.srt 	SANCTUM_DVS380 	01:15:23,00 --> 01:15:28,50 	someone's brow furrows.
SANCTUM.srt 	SANCTUM_DVS482 	01:29:25,00 --> 01:29:35,50 	looking down, someone pauses and furrows his brow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS40 	00:03:13,00 --> 00:03:19,50 	she looks up at the club with a furrowed brow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS421 	00:28:13,00 --> 00:28:19,50 	he rests the cup just below his lips as he swallows, then turns to someone with a furrowed brow and finds her gazing at him.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS86 	00:16:51,00 --> 00:17:02,50 	with a nod, someone turns to head off, then turns back and furrows his brow.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS235 	00:45:30,00 --> 00:45:39,50 	he eyes someone with a furrowed brow, then springs up and hurries after her.
SOUL_SURFER.srt 	SOUL_SURFER_DVS147 	00:45:46,00 --> 00:45:50,50 	someone's brow furrowed.
SOUL_SURFER.srt 	SOUL_SURFER_DVS318 	01:34:56,00 --> 01:35:03,50 	someone looks on with a furrowed brow.
SPARKLE_2012.srt 	SPARKLE_2012_DVS125 	00:20:04,00 --> 00:20:09,50 	she furrows her brow.
SPARKLE_2012.srt 	SPARKLE_2012_DVS344 	00:56:48,00 --> 00:56:54,50 	as sister leans down, someone's mouth hangs open and her brow furrows.
SUPER_8.srt 	SUPER_8_DVS159 	00:24:50,00 --> 00:24:58,50 	he stoops and picks up an empty super 8 film box, then with his brow furrowed stares after the car.
SUPER_8.srt 	SUPER_8_DVS459 	01:20:55,00 --> 01:21:03,50 	with a furrowed brow the driver glances back at someone then reaches for the handle and opens the bus door.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS311 	00:59:11,00 --> 00:59:18,50 	someone's chin furrows sadly as he stares at his mentor.
THE_CALL.srt 	THE_CALL_DVS938 	01:12:13,00 --> 01:12:18,50 	she stops and furrows her brow.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS184 	00:29:55,00 --> 00:30:03,50 	he follows it at a sprint, his brow furrowed and his arms pumping furiously.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS504 	01:12:42,00 --> 01:12:50,50 	someone's smile fades and she watches him with a furrowed brow.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS682 	01:35:22,00 --> 01:35:27,50 	someone furrows his bushy eyebrows.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1092 	01:54:37,00 --> 01:54:45,50 	someone stares after him with a furrowed brow then reluctantly follows with a slight limp.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS61 	00:18:15,00 --> 00:18:21,50 	someone hangs up and furrows his brow.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS111 	00:41:50,00 --> 00:41:55,50 	someone, his brow furrowed,
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS256 	01:26:10,00 --> 01:26:15,50 	someone furrows his brow.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS162 	00:59:11,00 --> 00:59:17,50 	furrows his brow then sets the computer on his lap.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS282 	01:45:14,00 --> 01:45:24,50 	someone stares after his friend with a furrowed brow and swallows hard.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS153 	00:40:24,00 --> 00:40:30,50 	furrowing his brow, he gives her a baffled look.
THOR.srt 	THOR_DVS143 	00:21:03,00 --> 00:21:09,50 	furrowing his brow, the frost giants glowers back at him.
THOR.srt 	THOR_DVS409 	01:03:10,00 --> 01:03:16,50 	his brow furrowed, someone look down as a tear falls.
THOR.srt 	THOR_DVS593 	01:31:08,00 --> 01:31:14,50 	someone stares at the sky then furrows his brow.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS135 	00:16:26,00 --> 00:16:31,50 	someone shakes his head, then furrows his brow.
TRUE_GRIT.srt 	TRUE_GRIT_DVS568 	01:40:07,00 --> 01:40:12,50 	someone has a pained and weary face, her hair damp with sweat and her brow deeply furrowed.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS561 	01:14:37,00 --> 01:14:41,50 	her brow furrowed thoughtfully,
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS48 	00:08:41,00 --> 00:08:48,50 	entering the office, the principal furrows his brow as he sees someone fiddling with his window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS70 	00:12:28,00 --> 00:12:35,50 	furrowing his brow, he opens the book to a pair of skillfully drawn sketches.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS102 	00:16:32,00 --> 00:16:42,50 	flipping through the binder, someone furrows his brow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS584 	01:29:43,00 --> 01:29:49,50 	someone faces his son with a furrowed brow.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS308 	00:42:49,00 --> 00:42:55,50 	simon furrows his brow at her and she gives a little shrug.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS417 	00:36:04,00 --> 00:36:10,50 	the haunted man regards him with a furrowed brow.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS491 	00:45:02,00 --> 00:45:09,50 	furrowing his brow, someone scrutinizes his telepathic colleague.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS160 	00:29:48,00 --> 00:29:52,50 	someone furrows his brow.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS232 	00:43:40,00 --> 00:43:47,50 	someone smiles and furrows her brow.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS239 	00:45:52,00 --> 00:45:56,50 	someone furrows her brow.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS255 	00:49:09,00 --> 00:49:15,50 	furrowing his brow, he nods.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS302 	00:57:58,00 --> 00:58:03,50 	someone furrows her brow.
ZOMBIELAND.srt 	ZOMBIELAND_DVS131 	00:11:35,00 --> 00:11:39,50 	someone furrows his brow.
ZOOKEEPER.srt 	ZOOKEEPER_DVS176 	00:38:25,00 --> 00:38:30,50 	he furrows his brow as he considers.
ZOOKEEPER.srt 	ZOOKEEPER_DVS227 	00:51:44,00 --> 00:51:51,50 	his grin morphs into a frown and he furrows his brow.
