21_JUMP_STREET.srt 	21_JUMP_STREET_DVS206 	00:35:32,00 --> 00:35:36,50 	the cops stare.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS287 	01:46:32,00 --> 01:46:37,50 	the two young men stare after the slender mini-skirted blonde.
THE_WATCH.srt 	THE_WATCH_DVS407 	01:13:03,00 --> 01:13:07,50 	the women stare at him.
THOR.srt 	THOR_DVS28 	00:02:57,00 --> 00:03:05,50 	the two women stare at one another then scramble out of the truck with someone.
THOR.srt 	THOR_DVS34 	00:03:45,00 --> 00:03:50,50 	villagers stare up at the night sky.
THOR.srt 	THOR_DVS678 	01:40:58,00 --> 01:41:06,50 	back on earth, someone, someone and someone stare up at a blue sky marbled with fluffy white clouds.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS504 	00:55:31,00 --> 00:55:35,50 	the others stare.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS716 	01:19:24,00 --> 01:19:29,50 	his coach and teammates stare wide-eyed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS252 	00:40:53,00 --> 00:40:58,50 	the kids stare up dolefully.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS805 	01:12:41,00 --> 01:12:48,50 	someone, someone, someone, and the teens stare up at the palatial manor house.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS334 	01:04:47,00 --> 01:04:51,50 	they stare at each other.
ZOMBIELAND.srt 	ZOMBIELAND_DVS403 	00:46:01,00 --> 00:46:09,50 	the four survivors stare soberly at their surroundings, someone behind the wheel.
