21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS256 	00:48:00,00 --> 00:48:04,50 	someone sits up in bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS274 	00:52:13,00 --> 00:52:18,50 	they're sitting on a blanket in the park.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS283 	00:53:12,00 --> 00:53:17,50 	and someone's sitting alone in the cinema.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS326 	01:00:09,00 --> 01:00:16,50 	someone, completely fed up, sits in a booth as someone lurches through his karaoke performance.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS343 	01:02:50,00 --> 01:02:56,50 	they sit, talking over coffee, with the evening sunlight filtering through the window.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS365 	01:06:04,00 --> 01:06:08,50 	he sits thoughtfully.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS443 	01:16:43,00 --> 01:16:47,50 	and sitting in a restaurant.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS444 	01:16:58,00 --> 01:17:03,50 	they sit, barely looking at one another.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS445 	01:17:01,00 --> 01:17:06,50 	someone and someone in her wedding dress, sit in the back of the bus in the last scene from the graduate, which someone and someone are watching in the cinema.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS475 	01:19:40,00 --> 01:19:45,50 	someone sits in an easy chair in a coffee lounge reading a book.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS498 	01:21:09,00 --> 01:21:15,50 	as someone sits gloomily on the bus,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS507 	01:21:49,00 --> 01:21:53,50 	he sits on his favorite bench.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS508 	01:21:51,00 --> 01:21:56,50 	he sits up.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS509 	01:21:53,00 --> 01:21:58,50 	someone's sitting on a bench a short distance away
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS513 	01:23:12,00 --> 01:23:16,50 	they sit awkwardly, side by side.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS519 	01:26:13,00 --> 01:26:18,50 	they sit together looking out at the city.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS531 	01:27:02,00 --> 01:27:07,50 	then sits back down on the bench.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS59 	00:04:19,00 --> 00:04:27,50 	in a booth, a man sits with several young beauties.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS105 	00:08:57,00 --> 00:09:02,50 	wearing a suit and id card, he sits across in front of the prisoner.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS120 	00:09:55,00 --> 00:10:03,50 	someone sits in the back of a taxi with a tense brow staring at scribbled notes about his son's arrest.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS168 	00:15:17,00 --> 00:15:24,50 	the prisoners simultaneously sit in their adjacent glass cells, and someone faces someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS196 	00:17:14,00 --> 00:17:21,50 	sitting up, an injured soldier reaches for his weapon as the masked men enter.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS533 	00:51:44,00 --> 00:51:51,50 	at an open side of the chopper, someone and someone sit facing out.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS568 	00:54:49,00 --> 00:54:55,50 	he sits on the floor and opens his jacket to look at his side.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS582 	00:59:28,00 --> 00:59:35,50 	nearby, sleek and shiny luxury cars sit in a dark parking lot.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS740 	01:14:23,00 --> 01:14:29,50 	at a spa, someone sits up in a steamy massage room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS810 	01:20:50,00 --> 01:20:55,50 	someone sits in the chopper's cockpit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS918 	01:28:31,00 --> 01:28:38,50 	sitting up, someone rests his back against the basin's elevated rim.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS929 	01:30:31,00 --> 01:30:37,50 	they're vehicles sit parked nearby, emergency lights flashing.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS24 	00:04:47,00 --> 00:04:55,50 	sitting at a crowded desk, stacked with manuscripts, a young man with dark curly hair and glasses answers telephones.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS30 	00:07:45,00 --> 00:07:52,50 	one woman opens her eyes and peeks sideways at someone who sits in their midst.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS37 	00:09:39,00 --> 00:09:44,50 	someone sits up and sips a drink.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS39 	00:10:02,00 --> 00:10:09,50 	he sits and smiles at someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS48 	00:14:38,00 --> 00:14:42,50 	someone sits with his mother.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS58 	00:16:07,00 --> 00:16:14,50 	later someone sits at the dining room table.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS154 	00:30:29,00 --> 00:30:34,50 	later someone sits in the psychiatrist's office.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS169 	00:31:53,00 --> 00:31:58,50 	someone wags a finger, then sits at his desk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS191 	00:35:49,00 --> 00:35:54,50 	robert stares at someone, then grins and sits.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS197 	00:37:48,00 --> 00:37:54,50 	in a daycare center, someone sits with his son in a group of men and boys.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS199 	00:38:20,00 --> 00:38:26,50 	the teacher raises his eyebrows and stares at someone who sits frozen.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS289 	00:53:27,00 --> 00:53:36,50 	later, wearing pants and a t-shirt, someone steps into a restaurant where samantha sits with several executives.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS333 	00:59:08,00 --> 00:59:15,50 	someone parks outside a church, then walks up to two nuns sitting at a table.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS337 	00:59:43,00 --> 00:59:48,50 	a young girl calls to an orange cat sitting in a tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS354 	01:01:10,00 --> 01:01:16,50 	young someone sits at a kitchen table as his mother carries in a roasting pot.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS355 	01:01:30,00 --> 01:01:35,50 	someone smiles as he sits with them.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS357 	01:01:59,00 --> 01:02:04,50 	sitting under the bodhi tree, someone jerks open his eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS360 	01:02:08,00 --> 01:02:15,50 	covering his mouth with one arm as he coughs, someone sits across from someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS396 	01:09:52,00 --> 01:09:58,50 	with the piece of tape still covering his mouth, he sits up
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS414 	01:12:05,00 --> 01:12:11,50 	someone picks up the book, sits against the base of the tree and begins to read.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS439 	01:15:44,00 --> 01:15:51,50 	later someone sits on a bench and watches a group of children playing on a swing set.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS444 	01:16:03,00 --> 01:16:10,50 	sunlight glints of sparkling waves, as someone sits on the sandy beach.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS486 	01:23:04,00 --> 01:23:09,50 	someone sits at a desk and picks up jacks book.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS104 	00:11:20,00 --> 00:11:27,50 	sitting up, he notices a bandage on his forearm and another on his bicep.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS206 	00:27:55,00 --> 00:28:02,50 	beyond a circle of waltzing couples, someone sits snacking on nuts.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS237 	00:33:36,00 --> 00:33:43,50 	later, she strides into a dining room where someone sits alone at a table.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS304 	00:44:13,00 --> 00:44:19,50 	the dark haired woman sits back and someone hands her a gun.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS467 	01:06:19,00 --> 01:06:34,50 	sitting with someone on the bed, he notices dark, swollen veins branching from a bite on the boy's wrist.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS480 	01:07:42,00 --> 01:07:47,50 	turning, he finds someone sitting on the concrete.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS536 	01:15:50,00 --> 01:15:55,50 	he sits close, his back to her.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS539 	01:16:12,00 --> 01:16:19,50 	someone sits up, her long hair hanging loose around her shoulders.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS682 	01:37:30,00 --> 01:37:36,50 	sitting at a bar, a man thumbs a text message on the device.
BAD_TEACHER.srt 	BAD_TEACHER_DVS199 	00:56:00,00 --> 00:56:05,50 	someone sits seductively
BAD_TEACHER.srt 	BAD_TEACHER_DVS213 	00:58:54,00 --> 00:59:00,50 	as someone sits patiently someone reads from an index card.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS55 	00:07:18,00 --> 00:07:24,50 	sitting in the suv's front passenger seat, someone mopes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS86 	00:12:46,00 --> 00:12:51,50 	sitting back up, he starts his engine.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS141 	00:21:25,00 --> 00:21:31,50 	carrying their bags, the rapper in drag waves to a girl, then sits on a bench.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS160 	00:26:34,00 --> 00:26:39,50 	a willowy blonde girl sits on the bed.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS164 	00:27:22,00 --> 00:27:29,50 	someone, someone, and several other students march ahead of them and sit together.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS206 	00:33:34,00 --> 00:33:39,50 	someone sits at the head of the seated group.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS207 	00:33:36,00 --> 00:33:43,50 	with the table gone, all of the girls sit in their same seats, their trays on their laps.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS260 	00:44:29,00 --> 00:44:37,50 	someone sits on a reclining chair with a look of amazement as they try on outfits.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS301 	00:49:45,00 --> 00:49:53,50 	later, some girls bend forward in horizontal splits while others sit on their lower backs.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS322 	00:54:01,00 --> 00:54:08,50 	the girls sit at easels, stretching bulbous renditions of the obese woman.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS341 	00:56:18,00 --> 00:56:24,50 	someone sits up in bed, her hair dyed bright red.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS416 	01:06:27,00 --> 01:06:31,50 	he sits.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS420 	01:06:52,00 --> 01:06:58,50 	someone sits back with a smile.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS428 	01:08:43,00 --> 01:08:47,50 	they sit together on a couch.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS485 	01:15:12,00 --> 01:15:18,50 	she sits at the piano and brushes her long, dark hair from her face.
BLINDDATING.srt 	BLINDDATING_DVS16 	00:05:03,00 --> 00:05:16,50 	someone's mother gravely leads them into the living room, and sits on her red sofa by the arm chair.
BLINDDATING.srt 	BLINDDATING_DVS150 	00:40:19,00 --> 00:40:29,50 	someone sits cradling a bouquet of flowers.
BLINDDATING.srt 	BLINDDATING_DVS155 	00:40:59,00 --> 00:41:07,50 	in a dark movie theater, someone sits with his arm around someone.
BLINDDATING.srt 	BLINDDATING_DVS165 	00:42:23,00 --> 00:42:28,50 	someone sits with someone and their families.
BLINDDATING.srt 	BLINDDATING_DVS173 	00:44:55,00 --> 00:45:02,50 	in the park, she sits near a pond with someone.
BLINDDATING.srt 	BLINDDATING_DVS187 	00:48:24,00 --> 00:48:28,50 	muscular guy watches, as someone sits up.
BLINDDATING.srt 	BLINDDATING_DVS190 	00:48:49,00 --> 00:48:54,50 	someone racks the weights and sits up.
BLINDDATING.srt 	BLINDDATING_DVS195 	00:49:23,00 --> 00:49:41,50 	now, at la ferrovia, someone sits across from a brunette with purple streaks in her hair.
BLINDDATING.srt 	BLINDDATING_DVS195 	00:49:23,00 --> 00:49:41,50 	she smiles, sitting back in her chair.
BLINDDATING.srt 	BLINDDATING_DVS216 	00:54:15,00 --> 00:54:20,50 	a box of condoms sit open.
BLINDDATING.srt 	BLINDDATING_DVS227 	00:55:47,00 --> 00:55:54,50 	he sits with them.
BLINDDATING.srt 	BLINDDATING_DVS234 	00:57:28,00 --> 00:57:32,50 	he sits.
BLINDDATING.srt 	BLINDDATING_DVS256 	01:02:03,00 --> 01:02:11,50 	someone sits on a bench in a spacious and empty train station.
BLINDDATING.srt 	BLINDDATING_DVS265 	01:05:01,00 --> 01:05:12,50 	wide-eyed, someone eagerly comes around to the front of the desk, but someone sits with his back to her.
BLINDDATING.srt 	BLINDDATING_DVS271 	01:06:19,00 --> 01:06:31,50 	someone sits first and faces forward.
BLINDDATING.srt 	BLINDDATING_DVS271 	01:06:19,00 --> 01:06:31,50 	someone sits to his right, angled toward him.
BLINDDATING.srt 	BLINDDATING_DVS276 	01:08:07,00 --> 01:08:21,50 	someone cleans her eyeglasses as she sits fully dressed.
BLINDDATING.srt 	BLINDDATING_DVS287 	01:11:38,00 --> 01:11:47,50 	later, someone's limo sits parked outside the neurosurgical center.
BLINDDATING.srt 	BLINDDATING_DVS336 	01:20:25,00 --> 01:20:34,50 	hiking up his pants, his father sits on the bed's edge and leans an arm over someone's legs.
BRUNO.srt 	BRUNO_DVS73 	00:15:41,00 --> 00:15:46,50 	she tentatively sits on one man's back.
BRUNO.srt 	BRUNO_DVS103 	00:22:47,00 --> 00:22:58,50 	the candidate glances at a newspaper on the bed, then sits primly.
BRUNO.srt 	BRUNO_DVS132 	00:31:25,00 --> 00:31:31,50 	someone sits, and takes each of their hands.
BRUNO.srt 	BRUNO_DVS152 	00:38:02,00 --> 00:38:08,50 	he sits the baby on the scooter.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	he sits with him.
BRUNO.srt 	BRUNO_DVS208 	00:56:01,00 --> 00:56:05,50 	his hat sits sideways.
BRUNO.srt 	BRUNO_DVS215 	00:59:52,00 --> 00:59:59,50 	as a full moon glows in the sky, the four men sit in collapsible chairs around a campfire.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	the three hunters sit motionless.
BRUNO.srt 	BRUNO_DVS236 	01:04:50,00 --> 01:04:58,50 	now, someone again sits.
BRUNO.srt 	BRUNO_DVS250 	01:07:25,00 --> 01:07:30,50 	later, she sits naked.
BURLESQUE.srt 	BURLESQUE_DVS117 	00:16:27,00 --> 00:16:32,50 	someone sits back down beside someone.
BURLESQUE.srt 	BURLESQUE_DVS147 	00:20:00,00 --> 00:20:06,50 	sitting on the edge of the stage, someone crosses her legs.
BURLESQUE.srt 	BURLESQUE_DVS178 	00:25:30,00 --> 00:25:37,50 	someone glances around, then sits on the edge of the bed and covers her mouth.
BURLESQUE.srt 	BURLESQUE_DVS180 	00:25:44,00 --> 00:25:50,50 	she sits on the stoop of a picturesque spanish-style apartment building.
BURLESQUE.srt 	BURLESQUE_DVS185 	00:26:57,00 --> 00:27:01,50 	someone sits at a synthesizer.
BURLESQUE.srt 	BURLESQUE_DVS284 	00:38:55,00 --> 00:38:58,50 	she sits beside her.
BURLESQUE.srt 	BURLESQUE_DVS325 	00:44:44,00 --> 00:44:51,50 	he locks his eyes with someone' desperate gaze, then moves forward to the couch where she sits.
BURLESQUE.srt 	BURLESQUE_DVS326 	00:44:51,00 --> 00:44:55,50 	he sits beside her.
BURLESQUE.srt 	BURLESQUE_DVS392 	00:54:22,00 --> 00:54:27,50 	she sits on a step and kicks her feet in the air.
BURLESQUE.srt 	BURLESQUE_DVS413 	00:56:48,00 --> 00:56:54,50 	someone sets drinks on marcus' table and sits across from him.
BURLESQUE.srt 	BURLESQUE_DVS469 	01:04:44,00 --> 01:04:49,50 	now a gift box sits on a dressing-room stool.
BURLESQUE.srt 	BURLESQUE_DVS498 	01:09:19,00 --> 01:09:26,50 	at his home, they share an intimate laugh as they sit on the couch by candlelight.
BURLESQUE.srt 	BURLESQUE_DVS561 	01:22:53,00 --> 01:23:00,50 	now someone sits with coco.
BURLESQUE.srt 	BURLESQUE_DVS665 	01:43:05,00 --> 01:43:15,50 	inside, a white-haired man sits at a desk, talking on the phone.
BURLESQUE.srt 	BURLESQUE_DVS667 	01:43:22,00 --> 01:43:26,50 	as he hangs up, the women sit.
BURLESQUE.srt 	BURLESQUE_DVS672 	01:44:28,00 --> 01:44:36,50 	inside the club, someone strolls up to someone, who sits at a table looking through a stack of paperwork.
BURLESQUE.srt 	BURLESQUE_DVS738 	01:51:06,00 --> 01:51:17,50 	as the other dancers grind against the letters, someone sits atop the e at the center.
BURLESQUE.srt 	BURLESQUE_DVS748 	01:53:17,00 --> 01:53:22,50 	the women sit on some steps in front of her.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS59 	00:08:26,00 --> 00:08:32,50 	in a recruitment office, men wearing only boxer shorts sit or stand in line.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS64 	00:09:17,00 --> 00:09:22,50 	someone sits in a crowded movie theater.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS138 	00:23:55,00 --> 00:24:03,50 	slowly, someone opens his eyes and sits up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS269 	00:49:10,00 --> 00:49:20,50 	sitting in the audience, the senator gazes behind himself at the applauding crowd and nods to his assistant.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS273 	00:50:08,00 --> 00:50:27,50 	sitting in an audience, someone grins as people around him cheer.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS278 	00:51:57,00 --> 00:52:03,50 	later, someone sits alone on the stage and sketches himself as captain america.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS408 	01:14:27,00 --> 01:14:32,50 	someone approaches someone who sits alone at the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS449 	01:20:25,00 --> 01:20:40,50 	sitting in the seat beside someone, col.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS495 	01:26:26,00 --> 01:26:30,50 	someone sits across from someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS507 	01:30:24,00 --> 01:30:29,50 	someone sits across from someone who stares downward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS508 	01:31:24,00 --> 01:31:30,50 	someone, someone, stark, someone, and others sit around a table at allied headquarters.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS661 	01:51:08,00 --> 01:51:13,50 	he slides his feet to the floor and sits up.
