21_JUMP_STREET.srt 	21_JUMP_STREET_DVS341 	00:56:42,00 --> 00:56:49,50 	they move off together revealing a left behind someone.
CHRONICLE.srt 	CHRONICLE_DVS176 	00:26:36,00 --> 00:26:43,50 	someone moves to the riverbank.
CHRONICLE.srt 	CHRONICLE_DVS531 	01:15:19,00 --> 01:15:28,50 	as the authorities move in, someone's eyes snap open.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS34 	00:07:53,00 --> 00:08:08,50 	now our view keeps moving to a white washed dresser top lined with a simple lace runner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS136 	00:29:46,00 --> 00:29:51,50 	they move another sack.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS340 	01:25:39,00 --> 01:25:44,50 	he moves through an array of crowded shacks.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS501 	01:55:43,00 --> 01:55:52,50 	the fighters move to the center and shuffle around each other.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS546 	02:08:24,00 --> 02:08:34,50 	the fighters move to the center of the ring.
COLOMBIANA.srt 	COLOMBIANA_DVS245 	00:20:36,00 --> 00:20:45,50 	now hazy sunlight glimmers off the mirrored panels of chicago's skyscrapers as we move over the downtown area.
COLOMBIANA.srt 	COLOMBIANA_DVS649 	01:00:53,00 --> 01:01:01,50 	his bare legs tremble slightly as he moves down a dark corridor past another dead bodyguard.
COLOMBIANA.srt 	COLOMBIANA_DVS896 	01:24:33,00 --> 01:24:39,50 	she moves closer, she sinks down before her murdered uncle, and sobs against his shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS612 	01:24:03,00 --> 01:24:08,50 	he moves across the corral.
DEAR_JOHN.srt 	DEAR_JOHN_DVS616 	01:24:17,00 --> 01:24:22,50 	someone moves faster.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS437 	01:47:08,00 --> 01:47:20,50 	they move from shoulder to cheek then forehead, then tap each other's chins with their fists.
DISTRICT_9.srt 	DISTRICT_9_DVS758 	01:29:40,00 --> 01:29:45,50 	someone moves closer.
FLIGHT.srt 	FLIGHT_DVS60 	00:12:21,00 --> 00:12:26,50 	he moves the side stick forward.
FLIGHT.srt 	FLIGHT_DVS226 	00:49:13,00 --> 00:49:18,50 	he continues his chore with determination, as he moves from cabinet to cabinet, removing and tossing bottles and cans.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS57 	00:15:36,00 --> 00:15:40,50 	they move through a crowd.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS191 	00:52:06,00 --> 00:52:14,50 	he moves in for another kiss.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS198 	00:52:59,00 --> 00:53:08,50 	moving his sleeve aside she sniffs deeply.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS154 	00:24:09,00 --> 00:24:14,50 	someone moves on then pauses warily.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS230 	00:37:10,00 --> 00:37:18,50 	they move to the edge of the quarry.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS362 	00:53:20,00 --> 00:53:25,50 	he moves to someone's side.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS404 	00:59:26,00 --> 00:59:35,50 	as he grimaces, his memories move in reverse.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS522 	01:14:23,00 --> 01:14:33,50 	someone's lips move.
HUGO.srt 	HUGO_DVS246 	00:35:09,00 --> 00:35:14,50 	the pen in its hand never moving.
HUGO.srt 	HUGO_DVS332 	00:51:00,00 --> 00:51:08,50 	the automaton moves its hand across the length of the page then makes a small someone, resembling the letter "j."
HUGO.srt 	HUGO_DVS333 	00:51:08,00 --> 00:51:14,50 	the automaton's head moves up and down and side to side as it writes.
HUGO.srt 	HUGO_DVS336 	00:51:19,00 --> 00:51:26,50 	the automaton moves its hand and makes another scribble, then another, seemingly at random.
HUGO.srt 	HUGO_DVS347 	00:53:20,00 --> 00:53:27,50 	moving its hand, it begins connecting the various shapes and scribbles together with lines.
HUGO.srt 	HUGO_DVS351 	00:53:46,00 --> 00:53:52,50 	its metal hands move quicker and quicker across the page.
IN_TIME.srt 	IN_TIME_DVS33 	00:03:58,00 --> 00:04:02,50 	her clock doesn't move.
IN_TIME.srt 	IN_TIME_DVS348 	00:36:14,00 --> 00:36:19,50 	someone's guard eyes her uncertainly, then moves off.
IN_TIME.srt 	IN_TIME_DVS579 	01:01:41,00 --> 01:01:45,50 	they move from the window.
IN_TIME.srt 	IN_TIME_DVS707 	01:15:47,00 --> 01:15:52,50 	as the man moves on, the car halts and backs up.
INSIDE_MAN.srt 	INSIDE_MAN_DVS99 	00:26:19,00 --> 00:26:32,50 	someone moves to her desk and sets down her date book.
INSIDE_MAN.srt 	INSIDE_MAN_DVS170 	00:48:29,00 --> 00:48:35,50 	then moves the woman down the hall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS258 	01:19:28,00 --> 01:19:41,50 	the first robber moves past someone and climbs the steps ahead of him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS330 	01:36:51,00 --> 01:36:57,50 	more esu officers move in behind the counter.
INSIDE_MAN.srt 	INSIDE_MAN_DVS370 	01:47:14,00 --> 01:47:24,50 	she moves past a man in the urinal and continues on to a back room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS388 	01:52:08,00 --> 01:52:13,50 	then moves a duffel bag into the supply room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS444 	01:22:10,00 --> 01:22:18,50 	as he moves his hands apart, the unisphere expands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS448 	01:22:47,00 --> 01:22:53,50 	moving his hands, someone expands the unisphere again.
IRON_MAN_2.srt 	IRON_MAN_2_DVS583 	01:40:44,00 --> 01:40:56,50 	on the screen, three triangles representing air force drones move off together.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS29 	00:08:07,00 --> 00:08:12,50 	moving down the counter she pauses at a server.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS190 	01:00:07,00 --> 01:00:16,50 	he fidgety hands move to untie her bathrobe
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS220 	01:04:54,00 --> 01:05:08,50 	she moves her tray.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS176 	00:34:49,00 --> 00:34:53,50 	she moves toward a closed stall.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS75 	00:25:50,00 --> 00:25:56,50 	moving in slow motion, someone blows a kiss to a stranger.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS253 	01:26:45,00 --> 01:26:49,50 	he moves on to someone.
KARATE_KID.srt 	KARATE_KID_DVS107 	00:09:57,00 --> 00:10:05,50 	later, someone moves a suitcase into the apartment, then ambles over to the windows lining the hallway.
KARATE_KID.srt 	KARATE_KID_DVS447 	00:40:06,00 --> 00:40:14,50 	using the cab as a moving shield to hide from the boys, someone walks at a crouch alongside it.
KARATE_KID.srt 	KARATE_KID_DVS450 	00:40:20,00 --> 00:40:27,50 	across the street, a vendor shoos the unruly boys away and they move on.
KARATE_KID.srt 	KARATE_KID_DVS458 	00:40:47,00 --> 00:40:58,50 	on the stoop, someone demonstrates kung fu moves to his friends.
KARATE_KID.srt 	KARATE_KID_DVS518 	00:47:09,00 --> 00:47:16,50 	he rubs his hands together, then moves them over someone's chest.
KARATE_KID.srt 	KARATE_KID_DVS836 	01:09:18,00 --> 01:09:22,50 	the spotlight silhouettes them as they move closer and touch foreheads, then press their lips together in a gentle steady kiss.
KARATE_KID.srt 	KARATE_KID_DVS1016 	01:22:53,00 --> 01:22:59,50 	he moves someone's hand to his head.
KARATE_KID.srt 	KARATE_KID_DVS1105 	01:31:45,00 --> 01:31:57,50 	in the school auditorium, a pre-teen boy plays the piano, his fingers moving nimbly over the keys.
KARATE_KID.srt 	KARATE_KID_DVS1250 	01:41:52,00 --> 01:41:57,50 	they descend from someone's patio and move into the center of the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS1268 	01:42:42,00 --> 01:42:48,50 	someone whips the poles around and moves the boy into another stance.
KARATE_KID.srt 	KARATE_KID_DVS1451 	01:58:13,00 --> 01:58:23,50 	moving through the crowd with someone, someone stares worriedly.
KARATE_KID.srt 	KARATE_KID_DVS1550 	02:05:18,00 --> 02:05:23,50 	the rival teachers move to vantage points nearby.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS280 	01:04:36,00 --> 01:04:41,50 	elsewhere, a mass of people moves through a parking lot.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS60 	00:19:26,00 --> 00:19:30,50 	she moves the primate's hand and touches his knee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS135 	00:48:06,00 --> 00:48:16,50 	the allosaurus moves on.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS200 	01:11:03,00 --> 01:11:12,50 	he attempts to move stealthily amid the crystals.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS127 	00:29:41,00 --> 00:29:52,50 	as he moves behind the lectern the dean smiles excitedly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS267 	01:03:57,00 --> 01:04:05,50 	pressing her hands to the door the teacher peers through a peep hole and sees someone as he joyfully move around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS384 	01:30:58,00 --> 01:31:04,50 	displays an arrow moving along the map as she drives.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS43 	00:02:51,00 --> 00:02:59,50 	two black aardvarks wade through water up to their heads, flapping their long snouts as they move along.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS122 	00:13:56,00 --> 00:14:03,50 	as we peer closely at the universe between krishna's lips, it moves.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS279 	00:37:07,00 --> 00:37:13,50 	he staggers and steadies himself on a railing as he moves along.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS776 	01:19:33,00 --> 01:19:37,50 	the tiger moves to it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS800 	01:21:56,00 --> 01:22:04,50 	someone waves his arms and stares ahead then quickly moves to the other side of the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS807 	01:22:28,00 --> 01:22:36,50 	later, the ship resembles a speck on the horizon moving toward the massive setting sun.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS830 	01:24:28,00 --> 01:24:36,50 	several more follow as we move through the tiger's image and below the surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS843 	01:25:21,00 --> 01:25:31,50 	we move through a glowing orange trail and dissipating blue particles into an array of teal and purple bubbles.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS244 	01:22:35,00 --> 01:22:39,50 	behind him move then stop as he whip
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS565 	01:06:28,00 --> 01:06:34,50 	as he crouches in front of the penguins, they move a few steps away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS660 	01:21:45,00 --> 01:21:52,50 	as they move toward the sardine, captain glances uneasily at mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS105 	00:24:36,00 --> 00:24:41,50 	the bird moves to the floor in front of her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS260 	00:56:40,00 --> 00:56:45,50 	he move his hands like wings and pretends to fly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS413 	01:26:22,00 --> 01:26:34,50 	he dips a finger in for a taste, then moves a pan onto a burner and pours the eggs in.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS452 	01:33:44,00 --> 01:33:50,50 	in a circle, moving up and down like carousel horses.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS130 	00:33:41,00 --> 00:33:46,50 	the boy moves off with a wounded pout.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS141 	00:32:52,00 --> 00:32:58,50 	which splashes at his knees as he moves across the stream.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS152 	00:35:00,00 --> 00:35:04,50 	then moves to his shoulder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS292 	01:13:08,00 --> 01:13:15,50 	as they move on a waitress intercepts them with a tray of pink hors d'oeuvre.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS303 	01:15:52,00 --> 01:15:57,50 	as he moves through the casino a waitress intercepts him.
PROMETHEUS.srt 	PROMETHEUS_DVS96 	00:05:39,00 --> 00:05:46,50 	now, a figure moves down a steep verdant slope in the mountains.
PROMETHEUS.srt 	PROMETHEUS_DVS155 	00:09:47,00 --> 00:09:51,50 	moving on, he bounces the ball.
PROMETHEUS.srt 	PROMETHEUS_DVS168 	00:11:26,00 --> 00:11:34,50 	later, he moves through a dark corridor.
PROMETHEUS.srt 	PROMETHEUS_DVS171 	00:11:49,00 --> 00:11:55,50 	frowning, someone moves to a panel and types.
PROMETHEUS.srt 	PROMETHEUS_DVS283 	00:28:08,00 --> 00:28:14,50 	the mohawked man moves down a few spots.
PROMETHEUS.srt 	PROMETHEUS_DVS286 	00:28:17,00 --> 00:28:23,50 	in the transport, holloway moves close to someone.
PROMETHEUS.srt 	PROMETHEUS_DVS382 	00:38:33,00 --> 00:38:40,50 	as a pup moves in to scan the revealed chamber, someone kneels just on the other side of the door.
PROMETHEUS.srt 	PROMETHEUS_DVS384 	00:38:44,00 --> 00:38:51,50 	holloway moves further inside transfixed by an enormous humanoid bust.
PROMETHEUS.srt 	PROMETHEUS_DVS391 	00:39:22,00 --> 00:39:28,50 	holloway moves deeper in through the evenly spaced urns.
PROMETHEUS.srt 	PROMETHEUS_DVS402 	00:40:23,00 --> 00:40:29,50 	someone moves her flashlight beam across the high ceiling.
PROMETHEUS.srt 	PROMETHEUS_DVS421 	00:42:39,00 --> 00:42:50,50 	from a long distance, the storm appears as a swiftly moving wall of roiling dirt.
PROMETHEUS.srt 	PROMETHEUS_DVS436 	00:44:26,00 --> 00:44:33,50 	later as they move through the hanger, a crew member blasts the floor with a flame thrower.
PROMETHEUS.srt 	PROMETHEUS_DVS439 	00:45:43,00 --> 00:45:59,50 	the two trapped men move on through the dark cramped space.
PROMETHEUS.srt 	PROMETHEUS_DVS641 	01:09:27,00 --> 01:09:33,50 	the team moves through the dark, treacherous space.
PROMETHEUS.srt 	PROMETHEUS_DVS780 	01:23:56,00 --> 01:24:06,50 	as she makes a selection on the overhead screen, the alien's four tentacles spread open and it moves its head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS39 	00:06:21,00 --> 00:06:33,50 	someone lingers for a moment, then climbs into the back of the moving sedan.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS42 	00:06:53,00 --> 00:06:58,50 	out of the moving vehicle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS284 	00:54:03,00 --> 00:54:12,50 	someone's plane moves closer.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	as they exit the theater, someone moves closer to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS474 	01:30:05,00 --> 01:30:09,50 	someone to his feet and they move on.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS567 	01:45:43,00 --> 01:45:49,50 	things and move out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS197 	00:47:30,00 --> 00:47:36,50 	someone moves from his place beside the king's throne.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS334 	01:22:27,00 --> 01:22:32,50 	he moves in close to her face, seething.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS112 	00:20:15,00 --> 00:20:23,50 	moving through the foyer, he switches off the table lamp.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS445 	01:08:08,00 --> 01:08:14,50 	she moves into a curled shoulder stand and jiggles.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS588 	01:27:45,00 --> 01:27:51,50 	our view moves down her body to her feet.
SALT.srt 	SALT_DVS248 	00:42:54,00 --> 00:43:07,50 	depositing her backpack on the bed, she moves through the space, examining it with a keen perceptive gaze.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	someone moves through the crowd, keeping an eye on him.
SALT.srt 	SALT_DVS273 	00:48:00,00 --> 00:48:08,50 	the commander-in-chief moves aside, matveyev sidles into his row and nods at the first lady.
SALT.srt 	SALT_DVS298 	00:52:27,00 --> 00:52:37,50 	someone reacts to the sound and moves toward it.
SALT.srt 	SALT_DVS310 	00:54:38,00 --> 00:54:53,50 	now the three vehicle police convoy moves down a vacant city street.
SANCTUM.srt 	SANCTUM_DVS385 	01:16:30,00 --> 01:16:38,50 	someone moves to his son's ledge and crouches.
SANCTUM.srt 	SANCTUM_DVS450 	01:24:48,00 --> 01:24:54,50 	as someone moves forward, his light fades out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS113 	00:07:42,00 --> 00:07:46,50 	the stepmother moves in close.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS357 	00:24:03,00 --> 00:24:08,50 	with someone tugging her arm, someone reluctantly moves on, but her face remains turned toward her cheerful mother.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS453 	00:29:56,00 --> 00:30:02,50 	moving closer to the bright panel, she sees rows of chinese characters.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1235 	01:22:54,00 --> 01:23:00,50 	moving hesitantly, she ventures a look at someone through her glistening eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS169 	00:33:21,00 --> 00:33:32,50 	it starts to move.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS251 	00:50:21,00 --> 00:50:40,50 	crouching at the wall beneath the stairs, he moves a poster board aside.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS337 	01:10:39,00 --> 01:10:47,50 	he moves to the opponent beats him to the punch.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS384 	01:21:19,00 --> 01:21:24,50 	as they move out of view, light flashes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	he then moves his fingers to his own forehead.
SOUL_SURFER.srt 	SOUL_SURFER_DVS192 	01:00:45,00 --> 01:00:52,50 	someone moves off with a sneer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS117 	00:19:05,00 --> 00:19:12,50 	she moves her body closer to his as they dance.
SPARKLE_2012.srt 	SPARKLE_2012_DVS348 	00:57:09,00 --> 00:57:16,50 	the trio moves forward, provocatively swaying their hips with each snap.
SPARKLE_2012.srt 	SPARKLE_2012_DVS417 	01:09:50,00 --> 01:09:55,50 	someone moves toward someone's table.
SUPER_8.srt 	SUPER_8_DVS526 	01:28:43,00 --> 01:28:47,50 	they move to another door.
SUPER_8.srt 	SUPER_8_DVS527 	01:28:47,00 --> 01:28:53,50 	they moved to a set of double doors and ram them with their shoulders.
SUPER_8.srt 	SUPER_8_DVS573 	01:35:18,00 --> 01:35:25,50 	elsewhere, the creature moves through a tunnel as the light from fireworks flickers on the walls.
SUPER_8.srt 	SUPER_8_DVS625 	01:41:19,00 --> 01:41:25,50 	someone grips the necklace chain as the locket moves toward the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS157 	00:24:23,00 --> 00:24:28,50 	the abductor's red moving van drives away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS218 	00:31:45,00 --> 00:31:50,50 	they move the man into the captain's cabin.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS222 	00:33:58,00 --> 00:34:03,50 	they dash upstairs as the thugs move on.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS264 	00:39:22,00 --> 00:39:28,50 	someone moves to a neighboring lifeboat and checks under its tarp as he readies it.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS161 	00:33:45,00 --> 00:33:56,50 	as someone moves on someone hands him a shot.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS214 	00:41:26,00 --> 00:41:34,50 	someone shrugs, then moves to another painting.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS363 	01:11:33,00 --> 01:11:42,50 	as they share a series of soft gentle kisses, her hand moves up to his shoulder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS412 	01:17:09,00 --> 01:17:16,50 	someone moves from the door, his eyes fixed on the photo, and his lips parted.
THE_CALL.srt 	THE_CALL_DVS385 	00:30:54,00 --> 00:31:02,50 	the maroon sedan speeds beneath an overpass, moving easily with other cars in light traffic.
THE_CALL.srt 	THE_CALL_DVS463 	00:34:50,00 --> 00:34:55,50 	moving a tarp, her eyes widen.
THE_CALL.srt 	THE_CALL_DVS491 	00:37:56,00 --> 00:38:02,50 	someone uncaps the other paint can and moves it to the hole.
THE_CALL.srt 	THE_CALL_DVS564 	00:43:04,00 --> 00:43:10,50 	moving to the trunk, someone nods to someone and he swings it open.
THE_CALL.srt 	THE_CALL_DVS609 	00:46:52,00 --> 00:46:59,50 	from overhead, cars move along a curvy freeway cutting through mountains.
THE_CALL.srt 	THE_CALL_DVS660 	00:51:39,00 --> 00:51:48,50 	the attendant shrugs and moves away.
THE_CALL.srt 	THE_CALL_DVS818 	01:01:47,00 --> 01:01:57,50 	in the hive, someone and her coworkers listen as the office ers move through the dark cottage.
THE_CALL.srt 	THE_CALL_DVS912 	01:10:11,00 --> 01:10:17,50 	someone spots an open doorway and moves into the next room.
THE_CALL.srt 	THE_CALL_DVS978 	01:15:11,00 --> 01:15:19,50 	she moves to her right and sees a white plastic lawn chair with a work light hung above it.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS364 	00:56:43,00 --> 00:56:50,50 	now, a hula girl doll bobbles on the dashboard of a moving vehicle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS355 	00:42:36,00 --> 00:42:45,50 	someone watches as she moves closer, her shrewd eyes scanning the photos and facts on each family member.
