21_JUMP_STREET.srt 	21_JUMP_STREET_DVS30 	00:03:33,00 --> 00:03:39,50 	ahead in line, someone now sporting a buzz cut spots him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS218 	00:57:55,00 --> 00:58:15,50 	heading back through the kitchen she spots a hand scrawled note posted on the fridge.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS48 	00:30:53,00 --> 00:30:57,50 	he spots a tv.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS109 	01:03:17,00 --> 01:03:22,50 	she spots someone and gives a drunken wave.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS21 	00:03:22,00 --> 00:03:33,50 	the someone spots the escaping vehicle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS257 	00:40:53,00 --> 00:41:00,50 	the bearded supplier readies a launcher then spots the wheel above him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS503 	01:12:44,00 --> 01:12:51,50 	she glances up from her green tinted night vision scope then spots four men in a brawl.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS562 	01:20:11,00 --> 01:20:32,50 	the rear driver spots him and swerves left, blocking his path.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	glancing across the street, he spots the guards escorting a cluster of well-dressed men away from the white suv.
GREEN_ZONE.srt 	GREEN_ZONE_DVS336 	01:15:52,00 --> 01:16:06,50 	someone looks over his shoulder and spots one of his men stalking out the alley and across the street following his path.
GROWN_UPS.srt 	GROWN_UPS_DVS116 	00:37:21,00 --> 00:37:29,50 	he spots someone picking up a rock near the lake.
GROWN_UPS.srt 	GROWN_UPS_DVS234 	01:08:20,00 --> 01:08:28,50 	she spots her husband wading in the lake with someone as she catches guppies in a jar.
IN_TIME.srt 	IN_TIME_DVS220 	00:23:28,00 --> 00:23:33,50 	someone spots the surveillance camera on the bridge.
IN_TIME.srt 	IN_TIME_DVS313 	00:32:37,00 --> 00:32:43,50 	spotting his exposed arm, the auburn-haired woman leans closer.
IN_TIME.srt 	IN_TIME_DVS388 	00:40:38,00 --> 00:40:43,50 	turning, someone spots her and smiles.
IN_TIME.srt 	IN_TIME_DVS594 	01:03:32,00 --> 01:03:36,50 	she spots someone.
IN_TIME.srt 	IN_TIME_DVS601 	01:04:25,00 --> 01:04:30,50 	two dayton residents spot him
IN_TIME.srt 	IN_TIME_DVS714 	01:16:11,00 --> 01:16:19,50 	looking up, he spots a billboard featuring someone and someone advertising a reward of ten years.
IN_TIME.srt 	IN_TIME_DVS846 	01:29:38,00 --> 01:29:43,50 	someone spots her.
IN_TIME.srt 	IN_TIME_DVS922 	01:37:23,00 --> 01:37:31,50 	from the cruiser, someone spots the couple running down a road amid rolling grassy hills.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS46 	00:06:21,00 --> 00:06:28,50 	in a deserted baggage claim area, someone spots a sleeping janitor slumped on the floor.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS48 	00:06:34,00 --> 00:06:38,50 	the manish woman spots her brother.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS215 	00:43:05,00 --> 00:43:09,50 	she spots someone eavesdropping.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS388 	01:12:48,00 --> 01:12:54,50 	the balding valet steps out from the restroom and spots her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS498 	01:36:16,00 --> 01:36:24,50 	she spots their bench, and someone stands.
KARATE_KID.srt 	KARATE_KID_DVS102 	00:09:19,00 --> 00:09:24,50 	his mother spots his jacket on the floor.
KARATE_KID.srt 	KARATE_KID_DVS412 	00:37:38,00 --> 00:37:47,50 	she spots someone staring at the door and heads over.
KARATE_KID.srt 	KARATE_KID_DVS780 	01:05:43,00 --> 01:05:50,50 	a broad grin spreads on his lips as he spots someone across the room.
KARATE_KID.srt 	KARATE_KID_DVS1069 	01:26:53,00 --> 01:27:03,50 	at the other end, he spots someone standing outside the auditorium,
KARATE_KID.srt 	KARATE_KID_DVS1076 	01:28:09,00 --> 01:28:19,50 	someone freezes, spotting a guard at the gate.
KARATE_KID.srt 	KARATE_KID_DVS1294 	01:44:41,00 --> 01:44:48,50 	now at a bank of lockers at school, the boy spots someone and offers a faint smile.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS54 	00:18:25,00 --> 00:18:41,50 	as it spots them, the primate hides itself behind the block.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS212 	00:27:58,00 --> 00:28:10,50 	a girl spots him and he quickly ducks behind colorful hanging items.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS340 	00:41:33,00 --> 00:41:41,50 	peering into the seemingly endless expanse of rolling waves, someone spots a figure in the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS482 	00:54:04,00 --> 00:54:09,50 	a shark swims passed as he works, spotting it.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS176 	01:01:37,00 --> 01:01:42,50 	they spot a surveillance camera.
MORNING_GLORY.srt 	MORNING_GLORY_DVS480 	01:40:08,00 --> 01:40:13,50 	who eventually looks up and spots her.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS200 	00:28:37,00 --> 00:28:41,50 	he spots one.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS318 	00:41:01,00 --> 00:41:07,50 	lovey slows to a stop on spotting the giant stuffed penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS334 	00:42:53,00 --> 00:43:01,50 	someone spots the penguins on a lower tier across the rotunda.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS334 	00:42:53,00 --> 00:43:01,50 	they spot him too.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS348 	00:44:10,00 --> 00:44:20,50 	spotting an elderly man with a walker, the penguin tucks in its flippers and shoots between his legs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS488 	00:59:23,00 --> 00:59:27,50 	someone spots them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS637 	01:17:26,00 --> 01:17:31,50 	someone turns a corner and spots the someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS399 	01:23:51,00 --> 01:24:06,50 	as he refers to his manual, he spots the others on the field's edge.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS470 	01:36:16,00 --> 01:36:23,50 	shading his eyes, someone spots her halfway across the field.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS395 	01:29:34,00 --> 01:29:39,50 	she spots someone glaring and shifts uncomfortably.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	someone spots his sword near the minotaur then hurries around the tree and grabs the horn.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS266 	01:08:29,00 --> 01:08:35,50 	as someone runs in the opposite direction, one of the heads spots him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS395 	01:36:51,00 --> 01:36:57,50 	he spots a helicopter rising in his direction and takes aim with the bolt.
PROMETHEUS.srt 	PROMETHEUS_DVS348 	00:34:34,00 --> 00:34:42,50 	trailing behind, someone spots a panel with carved dots and lines high up on the wall.
PROMETHEUS.srt 	PROMETHEUS_DVS901 	01:39:51,00 --> 01:39:59,50 	he strikes the aide, flings him into a wall across the chamber, then spots someone running away, but lets her go.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS434 	01:22:56,00 --> 01:23:09,50 	someone and someone stand shoulder-to-shoulder as they spot the lodge a few hundred yards off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS461 	01:28:23,00 --> 01:28:27,50 	someone spots them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS638 	02:00:03,00 --> 02:00:38,50 	spotting the trio, he looks away.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS300 	00:48:14,00 --> 00:48:20,50 	someone wakes up, spots him at the foot of the bed and sits up.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS630 	01:31:04,00 --> 01:31:12,50 	someone peeks over the top of the staircase and spots his manuscript on the floor outside the bedroom.
SALT.srt 	SALT_DVS159 	00:27:39,00 --> 00:27:54,50 	on a table beside it, she spots a half-eaten sandwich and an unfinished beer.
SALT.srt 	SALT_DVS185 	00:32:13,00 --> 00:32:22,50 	leaving her building, someone spots her.
SALT.srt 	SALT_DVS288 	00:50:38,00 --> 00:50:56,50 	she aims a tiny mirror down the hallway and spots a security agent striding up.
SALT.srt 	SALT_DVS482 	01:23:03,00 --> 01:23:17,50 	as he turns from the window, he spots a news report on the monitor.
SANCTUM.srt 	SANCTUM_DVS339 	01:07:44,00 --> 01:07:52,50 	someone spots a ledge and opening across the cauldron.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS620 	00:41:07,00 --> 00:41:14,50 	she spots a few distant skyscrapers and a tall crane beyond the rundown neighborhood.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS674 	00:44:06,00 --> 00:44:12,50 	glancing around, she spots her father by the window.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS118 	00:23:31,00 --> 00:23:38,50 	someone spots someone's wolf calendar.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS329 	01:07:36,00 --> 01:07:43,50 	someone spots him in a mirror.
SOUL_SURFER.srt 	SOUL_SURFER_DVS21 	00:03:35,00 --> 00:03:39,50 	and grins as he spots the girl.
SOUL_SURFER.srt 	SOUL_SURFER_DVS102 	00:35:57,00 --> 00:36:01,50 	they pass by some restaurants then spots a few surfers.
SPARKLE_2012.srt 	SPARKLE_2012_DVS197 	00:31:43,00 --> 00:31:49,50 	the anderson sisters spot the group on stage.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS26 	00:05:55,00 --> 00:06:14,50 	glancing over his shoulder, he spots an onlooker across the rooftop.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS42 	00:10:27,00 --> 00:10:31,50 	someone glares as she spots
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS93 	00:21:33,00 --> 00:21:46,50 	he spots a scruffy looking guy standing across the street then heads in his direction.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	his jaw drops as he spots an eviction notice taped to it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS220 	00:44:09,00 --> 00:44:20,50 	just past him, she spots his gun on the nightstand.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS276 	00:52:04,00 --> 00:52:12,50 	someone spots the pedicab from a block behind and gives a vengeful smile.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS277 	00:52:10,00 --> 00:52:16,50 	someone spots him and scowls.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS296 	00:54:19,00 --> 00:54:26,50 	someone looks over his shoulder and spots a billboard in a field.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS309 	00:56:16,00 --> 00:56:23,50 	someone spots a luxury pick-up in her side mirror then eyes it over her shoulder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS314 	00:57:27,00 --> 00:57:37,50 	as they speed forward, shoving against each other, someone spots an suv headed straight for the thug's vehicle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS349 	01:05:00,00 --> 01:05:09,50 	the young man spots them and his polite smile fades.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS455 	01:23:52,00 --> 01:24:09,50 	she spots a storefront with a pink awning.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS477 	01:26:28,00 --> 01:26:39,50 	swiveling in the chair, she spots a framed photo of a bowling team.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS483 	01:27:23,00 --> 01:27:38,50 	someone enters through the front door, spots the open closet, and draws his gun.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS556 	01:39:33,00 --> 01:39:40,50 	hidden, someone spots them.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS558 	01:40:02,00 --> 01:40:18,50 	someone spots a pair of evidence boxes.
THE_CALL.srt 	THE_CALL_DVS308 	00:26:36,00 --> 00:26:42,50 	someone searches the room for her boss and spots her on a phone call.
THE_CALL.srt 	THE_CALL_DVS671 	00:52:14,00 --> 00:52:21,50 	the kidnapper keeps his eyes on the pump as someone spots the man and desperately waves her arms.
THE_CALL.srt 	THE_CALL_DVS745 	00:56:11,00 --> 00:56:19,50 	he spots a poem titled my sister.
THE_CALL.srt 	THE_CALL_DVS865 	01:05:43,00 --> 01:05:50,50 	she turns the lock and rests her head, then spots something across the room.
THE_CALL.srt 	THE_CALL_DVS912 	01:10:11,00 --> 01:10:17,50 	someone spots an open doorway and moves into the next room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS515 	01:13:28,00 --> 01:13:35,50 	scanning the restaurant, someone spots a man with grey, shoulder-length hair at the bar.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS499 	00:56:37,00 --> 00:56:43,50 	as she leaves we spot a swollen goose egg at the corner of her mouth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS533 	01:00:15,00 --> 01:00:21,50 	someone spots a news van.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS560 	01:02:26,00 --> 01:02:34,50 	he spots a likely match to the photographer's vantage of someone's position in the 1960s.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS904 	01:40:07,00 --> 01:40:14,50 	he spots two breakfast settings arranged on a small table, then approaches.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1070 	01:53:05,00 --> 01:53:08,50 	turning, he spots the suv arriving outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1090 	01:54:08,00 --> 01:54:14,50 	someone turns and spots him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1198 	02:07:20,00 --> 02:07:30,50 	stepping outside someone spots its headlights over a ridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1209 	02:08:06,00 --> 02:08:13,50 	someone spots her in his side mirror then cuts her off before she can pass.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1313 	02:19:41,00 --> 02:19:46,50 	looks around, and spots her uncle.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS87 	00:29:47,00 --> 00:29:56,50 	back on the road, at an oncoming intersection, someone spots a hitchhiker signaling for a lift.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS148 	00:50:47,00 --> 00:50:52,50 	he spots someone entering the motel lounge.
THE_SITTER.srt 	THE_SITTER_DVS107 	00:57:35,00 --> 00:57:45,50 	someone spots the name huron on a street sign.
THE_VOW.srt 	THE_VOW_DVS108 	00:11:29,00 --> 00:11:34,50 	their officiating friend spots two guards.
THE_VOW.srt 	THE_VOW_DVS292 	00:38:06,00 --> 00:38:12,50 	at the apartment, someone spots his wifes cellphone left on the kitchen island.
THE_VOW.srt 	THE_VOW_DVS693 	01:36:22,00 --> 01:36:29,50 	turning from the entrance someone starts to walk off, but spots someone approaching.
THE_WATCH.srt 	THE_WATCH_DVS27 	00:04:32,00 --> 00:04:38,50 	he grabs a six-pack of coke then spots a bottle of vodka.
THE_WATCH.srt 	THE_WATCH_DVS50 	00:06:35,00 --> 00:06:41,50 	over his shoulder, he spots something coming and his eyes widen.
THE_WATCH.srt 	THE_WATCH_DVS279 	00:51:11,00 --> 00:51:17,50 	looking around, someone spots a garden gnome.
THE_WATCH.srt 	THE_WATCH_DVS479 	01:25:58,00 --> 01:26:04,50 	they spot a tower-like transmitter across the room.
THE_WATCH.srt 	THE_WATCH_DVS542 	01:33:34,00 --> 01:33:41,50 	someone spots them through the smoke, their figures defined by a backdrop of amber flame.
