21_JUMP_STREET.srt 	21_JUMP_STREET_DVS116 	00:16:56,00 --> 00:17:02,50 	passing the chapels few remaining pews he approaches the alter
DEAR_JOHN.srt 	DEAR_JOHN_DVS83 	00:12:47,00 --> 00:12:53,50 	the oblivious man's gaze remains locked on his coin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	as someone remains frozen, our view is sent to take in a bird's eye view of the chaos.
DEAR_JOHN.srt 	DEAR_JOHN_DVS324 	00:50:18,00 --> 00:50:30,50 	a disheartened someone remains in the passenger seat, and rests his elbow on the window sill.
DEAR_JOHN.srt 	DEAR_JOHN_DVS567 	01:20:48,00 --> 01:20:55,50 	someone's smoothly shaven jaw quivers as his eyes remain locked on his letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS670 	01:30:41,00 --> 01:30:46,50 	someone's eyes remain downcast.
DISTRICT_9.srt 	DISTRICT_9_DVS693 	01:21:18,00 --> 01:21:40,50 	in the pickup, someone remains entranced.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS37 	00:10:25,00 --> 00:10:31,50 	she starts across the street, but someone remains on the sidewalk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS387 	01:41:36,00 --> 01:41:49,50 	he cuts her off with a deep, passionate kiss and lifts her off her feet while the performers remain perfectly still below them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS43 	00:07:20,00 --> 00:07:28,50 	he dumps out the remaining alcohol, grabs the bottle by its neck, then chucks it past someone through a window.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS215 	00:34:45,00 --> 00:35:01,50 	he struggles to remain composed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS345 	00:51:49,00 --> 00:51:55,50 	he shoves half of the remaining sheathed twinkie into his mouth, then bites down on the wrapper using his teeth to hold the cake in place.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS487 	01:10:54,00 --> 01:11:04,50 	someone lowers his arms and sets his maniacal gaze on someone who remains on his knees rocking side to side with his head down.
HUGO.srt 	HUGO_DVS207 	00:31:01,00 --> 00:31:06,50 	someone remains standing with his arms at his sides.
HUGO.srt 	HUGO_DVS804 	01:57:25,00 --> 01:57:31,50 	his head reappears on his shoulders but copies remain.
IN_TIME.srt 	IN_TIME_DVS194 	00:20:31,00 --> 00:20:39,50 	someone gazes in at the bus's remaining passengers, then watches the vehicle glide away.
IN_TIME.srt 	IN_TIME_DVS315 	00:32:42,00 --> 00:32:48,50 	someone follows their eyes to the 23 seconds remaining on his clock.
IN_TIME.srt 	IN_TIME_DVS654 	01:10:51,00 --> 01:10:55,50 	someone's stare remains firm.
IN_TIME.srt 	IN_TIME_DVS944 	01:39:22,00 --> 01:39:26,50 	58 seconds remain.
INSIDE_MAN.srt 	INSIDE_MAN_DVS269 	01:23:11,00 --> 01:23:16,50 	someone remains still.
IRON_MAN_2.srt 	IRON_MAN_2_DVS101 	00:19:21,00 --> 00:19:28,50 	pepper steps into the workroom as someone gulps down the remaining chlorophyll.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone slams the remaining guard onto the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS635 	01:47:48,00 --> 01:47:56,50 	someone crosses his wrists and fires a repulsor beam which swivels, hits the remaining drones, and slices a tree in half.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS240 	01:09:03,00 --> 01:09:21,50 	on the patio the table remains set with the flowers, dinnerware, and a bottle of wine.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS27 	00:06:30,00 --> 00:06:35,50 	her eyebrow remains cocked.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS255 	01:26:58,00 --> 01:27:04,50 	only someone and someone remain.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS305 	01:38:25,00 --> 01:38:31,50 	he remains awake, staring blankly across the room.
KARATE_KID.srt 	KARATE_KID_DVS226 	00:19:42,00 --> 00:19:52,50 	later, shadows streak the concrete, as someone remains sprawled across a free-throw line, a chalk circle framing his form.
KARATE_KID.srt 	KARATE_KID_DVS732 	01:02:09,00 --> 01:02:16,50 	his teacher's gaze remains locked on the vehicle as someone strides by.
KARATE_KID.srt 	KARATE_KID_DVS1260 	01:42:16,00 --> 01:42:21,50 	someone remains slouched and the boy shakes the poles insistently.
KNOCKED_UP.srt 	KNOCKED_UP_DVS97 	00:58:27,00 --> 00:58:33,50 	he remains behind and sits facing someone who thoughtfully tokes on a joint.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS166 	00:22:36,00 --> 00:22:42,50 	someone turns and runs but someone remains still.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS171 	00:23:02,00 --> 00:23:09,50 	the young boy remains still as the tiger nears.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS194 	00:25:28,00 --> 00:25:35,50 	someone winces and someone pulls someone against her as someone remains completely still.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS431 	00:49:43,00 --> 00:49:52,50 	someone sits at the bow sharing a vigilant gaze with the hyena who remains back at the edge of the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS768 	01:19:04,00 --> 01:19:09,50 	and someone remains in the dominant position.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS784 	01:20:14,00 --> 01:20:22,50 	someone someone remains underneath and the victorious teen sits back on the bench at the stern.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS821 	01:23:46,00 --> 01:23:52,50 	the tiger remains still, keeping his gaze fixed.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS849 	01:25:56,00 --> 01:26:02,50 	someone remains in a kneeling position, gazing over the side.
MORNING_GLORY.srt 	MORNING_GLORY_DVS254 	00:57:10,00 --> 00:57:17,50 	the caption, sexual offender, remained under the photo of someone someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS535 	01:04:24,00 --> 01:04:28,50 	someone's eyes remain on the egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS102 	00:24:10,00 --> 00:24:15,50 	the kids who remain frozen in time.
PROMETHEUS.srt 	PROMETHEUS_DVS363 	00:35:32,00 --> 00:35:38,50 	as someone remains in their path, they wash over him like wind.
PROMETHEUS.srt 	PROMETHEUS_DVS747 	01:20:34,00 --> 01:20:42,50 	someone remains motionless.
PROMETHEUS.srt 	PROMETHEUS_DVS998 	01:49:25,00 --> 01:49:31,50 	doors ahead open, revealing the devastated remains of someone quarters.
PROMETHEUS.srt 	PROMETHEUS_DVS1012 	01:50:42,00 --> 01:50:49,50 	as someone turns, the remaining engineer forces a pair of side doors open and leans through.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS412 	01:19:29,00 --> 01:19:37,50 	someone remains seated at someone's side.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS548 	01:42:49,00 --> 01:42:57,50 	several armed agents remain behind who strides around a parked car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS608 	01:54:25,00 --> 01:54:38,50 	they leave and our view returns to someone who remains at the table covering her mouth with her hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	the last mugshot of someone himself remains unstamped.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS157 	00:39:14,00 --> 00:39:20,50 	he faces someone whose head remains bowed.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS341 	01:23:21,00 --> 01:23:42,50 	the sheriff's male servants depart, but a crone dressed in black remains at the table.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS520 	02:09:59,00 --> 02:10:03,50 	the villagers remain still.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS290 	00:45:57,00 --> 00:46:06,50 	someone spins the chair and they twirl in place, remaining lip locked as the image gradually fades to black.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS382 	01:01:30,00 --> 01:01:37,50 	someone remains below, staring up after them.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS412 	01:04:31,00 --> 01:04:36,50 	remaining with her, someone strokes her cheek.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS595 	01:28:24,00 --> 01:28:32,50 	taking shallow breaths, he remains frozen in place.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS645 	01:32:31,00 --> 01:32:37,50 	someone remains at his brother's side, consoling him.
SALT.srt 	SALT_DVS169 	00:29:01,00 --> 00:29:09,50 	using a bust statuette, he knocks away the remaining glass.
SANCTUM.srt 	SANCTUM_DVS468 	01:27:01,00 --> 01:27:11,50 	together, he and someone crouch and examine some skeletal remains.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS316 	00:21:34,00 --> 00:21:41,50 	the remaining pages settled on her crossed leg.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS352 	00:23:48,00 --> 00:23:53,50 	but her laotong remains in place.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS357 	00:24:03,00 --> 00:24:08,50 	with someone tugging her arm, someone reluctantly moves on, but her face remains turned toward her cheerful mother.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS474 	00:31:06,00 --> 00:31:11,50 	her mother-in-law's eyes remain on her stitching.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS860 	00:57:00,00 --> 00:57:06,50 	her soft downturned gaze remains fixed on the moment of self-care.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1369 	01:33:32,00 --> 01:33:38,50 	as someone enters, someone's eyes remain closed.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS476 	01:40:30,00 --> 01:40:44,50 	one of his hands clenches into a fist, while the other remains on someone's chest.
SOUL_SURFER.srt 	SOUL_SURFER_DVS247 	01:14:29,00 --> 01:14:55,50 	gazing at the ravaged town, she struggles to remain composed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS319 	00:52:43,00 --> 00:52:51,50 	turning around, she gazes up at her two remaining daughters, who glare down and promptly retreat into the bedroom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS347 	00:57:05,00 --> 00:57:11,50 	her sisters remain silhouetted by backdrops of large lit squares.
SUPER_8.srt 	SUPER_8_DVS143 	00:21:44,00 --> 00:21:50,50 	the twisted remains of the pickup truck lie a short distance away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS203 	00:38:45,00 --> 00:39:04,50 	with his eyes fixed on the man, someone remains on the opposite sidewalk.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS345 	01:08:09,00 --> 01:08:17,50 	later, someone strolls into his room where only his twin size bed remains.
THE_CALL.srt 	THE_CALL_DVS565 	00:43:07,00 --> 00:43:12,50 	only paint supplies remain.
THE_CALL.srt 	THE_CALL_DVS1025 	01:18:15,00 --> 01:18:22,50 	a dried red drip of blood remains on the mannequin forehead.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS246 	00:38:30,00 --> 00:38:35,50 	someone remains seated at the far end of the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS732 	01:43:15,00 --> 01:43:21,50 	remaining fixed on her, someone draws and expels a deep breath,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS741 	01:44:01,00 --> 01:44:07,50 	he gives her a long, gentle kiss on the lips, then remains
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS823 	01:49:10,00 --> 01:49:15,50 	as they remain focused on their movie, someone helps someone lay the blanket over her legs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS206 	00:25:31,00 --> 00:25:40,50 	she hurries out of the room as he remains motionless on his side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS312 	00:37:53,00 --> 00:38:01,50 	under her new guardian's menacing gaze she works her lips, struggling to remain composed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS334 	00:41:15,00 --> 00:41:22,50 	as she watches him, someone's absent stare remains ahead.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS376 	00:45:55,00 --> 00:46:02,50 	her resigned eyes remain averted as she places her hand in his.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1220 	02:08:52,00 --> 02:08:57,50 	the pale woman's gaze remains fixed on him.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS146 	00:50:30,00 --> 00:50:35,50 	the bed opposite his remains empty.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS176 	00:58:39,00 --> 00:58:48,50 	there's around a quarter of her steak remaining, as she stuffs a forkful of potato and a piece of bread into her mouth and struggles to chew.
THE_VOW.srt 	THE_VOW_DVS233 	00:30:00,00 --> 00:30:05,50 	someone remains at the dressing table.
THE_VOW.srt 	THE_VOW_DVS358 	00:49:31,00 --> 00:49:37,50 	blinking back tears, she struggles to remain composed.
THE_VOW.srt 	THE_VOW_DVS590 	01:21:25,00 --> 01:21:31,50 	unnoticing, someones eyes remain on the instrument in his hands.
THE_VOW.srt 	THE_VOW_DVS638 	01:28:48,00 --> 01:28:54,50 	her mother remains kneeling before the autumn flowerbed.
THOR.srt 	THOR_DVS331 	00:49:40,00 --> 00:49:45,50 	they turn and leave, but someone remains rooted.
THOR.srt 	THOR_DVS393 	00:58:39,00 --> 00:58:45,50 	his smile turns to a frown as the hammer remains embedded in the rock.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS255 	00:33:09,00 --> 00:33:15,50 	its eyes remain closed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS401 	00:43:36,00 --> 00:43:43,50 	as time passes, the break room grows emptier and emptier until only someone remains.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS287 	00:45:34,00 --> 00:45:39,50 	he looks in, but remains unseen.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS420 	01:06:49,00 --> 01:06:56,50 	struggling to remain composed, she nods.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS485 	01:15:19,00 --> 01:15:27,50 	his cursor remains on the icon as he gazes at the sun-blanched photo of his wife.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS556 	00:52:19,00 --> 00:52:24,50 	they remain in position.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS786 	01:10:07,00 --> 01:10:12,50 	they find the remaining teens on a bench.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS820 	01:14:03,00 --> 01:14:10,50 	the remaining two converge to reveal someone aiming a gun on his estate.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS858 	01:18:34,00 --> 01:18:41,50 	only the middle mannequin remains standing.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS879 	01:20:23,00 --> 01:20:27,50 	it remains motionless.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS930 	01:25:48,00 --> 01:25:57,50 	lowering her gaze to the case, she removes its remaining injection, and stares at the lime-green serum in the syringe's barrel.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1276 	01:55:00,00 --> 01:55:06,50 	all of the missiles remain suspended in the sky.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1329 	02:00:33,00 --> 02:00:38,50 	the remaining mutants rush to someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS352 	00:40:32,00 --> 00:40:39,50 	someone shuts the door, remaining seated, and someone smiles.
ZOMBIELAND.srt 	ZOMBIELAND_DVS565 	01:06:06,00 --> 01:06:14,50 	now zombies cross the play land parking lot, but the girls remain oblivious.
ZOOKEEPER.srt 	ZOOKEEPER_DVS308 	01:08:25,00 --> 01:08:34,50 	staring straight ahead, someone remains motionless in his seat.
