21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS474 	01:19:35,00 --> 01:19:42,50 	he stands back examining the clean wall and the piles of paper on the floor.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS493 	01:20:52,00 --> 01:20:57,50 	someone stands back and appraises the complex skyline
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS139 	00:13:16,00 --> 00:13:22,50 	someone stands alone nearby, with protesters marching behind him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS163 	00:14:59,00 --> 00:15:06,50 	in the courtroom, the prisoners stand attentively in their holding cells.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS354 	00:31:28,00 --> 00:31:34,50 	now, in a dim ramshackle hallway, standing with someone and someone, someone beckons someone over.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS429 	00:41:43,00 --> 00:41:52,50 	dining chairs stand on tables with champagne hued tablecloth.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS596 	01:01:37,00 --> 01:01:45,50 	a wall of small filing drawers stands in disarray and the smattering of papers litters the floor.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS819 	01:21:39,00 --> 01:21:46,50 	someone quickly stands.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS870 	01:25:02,00 --> 01:25:07,50 	he knocks someone down and quickly stands.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS928 	01:30:27,00 --> 01:30:33,50 	on the tarmac, government agents stand ready with assault rifles.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS930 	01:30:35,00 --> 01:30:41,50 	before them, someone stands anxiously with her arms folded.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS22 	00:04:07,00 --> 00:04:15,50 	later he drives up to a valet standing outside an office.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS76 	00:20:40,00 --> 00:20:46,50 	standing behind his desk, someone stares at someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS97 	00:25:23,00 --> 00:25:27,50 	someone stands.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS127 	00:28:13,00 --> 00:28:19,50 	at the coffee shop someone stands at the counter and grins.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS251 	00:48:01,00 --> 00:48:08,50 	a fat, shirtless man wears a british naval hat, stands in the room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS257 	00:48:38,00 --> 00:48:46,50 	wearing a black bra, boots, gloves, and panties, someone stands with her hands on her hips in front of a bed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS397 	01:09:55,00 --> 01:10:01,50 	then stands and stares at the tree in his backyard.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS437 	01:15:14,00 --> 01:15:23,50 	an older man and woman stand beside him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS97 	00:10:49,00 --> 00:10:53,50 	someone stands over them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS149 	00:18:39,00 --> 00:18:44,50 	now in a tavern, they stand at a bar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	someone attempts to stand on his horse's back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS324 	00:46:50,00 --> 00:46:55,50 	someone leaves him standing alone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS354 	00:50:41,00 --> 00:50:48,50 	someone stands nearby, as do several masked vampires.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS371 	00:52:36,00 --> 00:52:48,50 	they stand on the deck of their humble vessel as it approaches a fleet of steam-powered riverboats crowding a bustling harbor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS467 	01:06:19,00 --> 01:06:34,50 	someone's eyes widen and he stands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS485 	01:08:01,00 --> 01:08:08,50 	someone offers a sympathetic gaze, then straightens and stands over him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS495 	01:09:21,00 --> 01:09:26,50 	someone stands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS500 	01:10:33,00 --> 01:10:40,50 	now a photographer stands in the middle of a field littered with the bodies of union soldiers.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS511 	01:11:56,00 --> 01:12:16,50 	in the infantry below, a thin union soldier clutches a photo of a woman as he stands by the bearded general.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS548 	01:17:03,00 --> 01:17:11,50 	light pours in past someone as he stands in the doorway staring at the now dust coated chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS560 	01:18:21,00 --> 01:18:29,50 	in gettysburg, someone strides to the open flap of his tent where someone stands post.
BAD_TEACHER.srt 	BAD_TEACHER_DVS273 	01:14:04,00 --> 01:14:14,50 	meeting his gaze, she cocks her head, stands, then reaches behind her back and under her sleeve.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS34 	00:02:52,00 --> 00:03:02,50 	the fbi agent grabs the bulky duke university letter and stands.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS45 	00:05:18,00 --> 00:05:26,50 	meanwhile, a crowd stands around an outdoor stage where a young performer raps and dances.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS173 	00:29:21,00 --> 00:29:25,50 	someone stands on her chair.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS181 	00:31:10,00 --> 00:31:16,50 	someone eyes his uncomfortable son who stands alone onstage.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS194 	00:32:39,00 --> 00:32:47,50 	standing on a table, a girl claps.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS199 	00:33:10,00 --> 00:33:16,50 	someone stands aloofly among the other girls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS249 	00:41:00,00 --> 00:41:04,50 	she stands up to greet her new friend.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS266 	00:44:58,00 --> 00:45:05,50 	he climbs on the table and dances for the girls who stand circled around him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS380 	01:00:51,00 --> 01:00:58,50 	someone tosses out her ice cream dish, then browses the sunglasses stand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS469 	01:13:12,00 --> 01:13:16,50 	someone stands.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS623 	01:36:37,00 --> 01:36:42,50 	someone stands, hands up.
BLINDDATING.srt 	BLINDDATING_DVS48 	00:15:01,00 --> 00:15:10,50 	outside, someone stands at a corner.
BLINDDATING.srt 	BLINDDATING_DVS127 	00:34:17,00 --> 00:34:22,50 	they stand with their sandwiches.
BLINDDATING.srt 	BLINDDATING_DVS152 	00:40:34,00 --> 00:40:40,50 	he stands and offers her the small bouquet.
BLINDDATING.srt 	BLINDDATING_DVS157 	00:41:16,00 --> 00:41:23,50 	they stand staying face to face.
BLINDDATING.srt 	BLINDDATING_DVS163 	00:41:59,00 --> 00:42:06,50 	someone stands motionless and his eyelids flutter.
BLINDDATING.srt 	BLINDDATING_DVS176 	00:46:02,00 --> 00:46:10,50 	someone stands, unfolds his cane and leaves.
BLINDDATING.srt 	BLINDDATING_DVS264 	01:04:52,00 --> 01:05:00,50 	as he stops just inside, someone stands up behind the reception desk.
BLINDDATING.srt 	BLINDDATING_DVS339 	01:21:22,00 --> 01:21:40,50 	as someone stands, he plucks a red ring box from a nest of fresh flowers.
BRUNO.srt 	BRUNO_DVS31 	00:06:19,00 --> 00:06:22,50 	someone stands.
BRUNO.srt 	BRUNO_DVS44 	00:08:13,00 --> 00:08:23,50 	later, at a departure gate, he stands by a luggage.
BRUNO.srt 	BRUNO_DVS103 	00:22:47,00 --> 00:22:58,50 	someone stands.
BRUNO.srt 	BRUNO_DVS108 	00:23:33,00 --> 00:23:41,50 	ron someone stands, and picks up a newspaper.
BRUNO.srt 	BRUNO_DVS131 	00:31:04,00 --> 00:31:09,50 	he stands behind his chair, and gesticulates.
BRUNO.srt 	BRUNO_DVS268 	01:16:23,00 --> 01:16:29,50 	now, someone stands at the microphone.
BURLESQUE.srt 	BURLESQUE_DVS137 	00:18:50,00 --> 00:19:02,50 	standing on a fringed pedestal surrounded by dancers, she coils the strand around her wrist.
BURLESQUE.srt 	BURLESQUE_DVS442 	01:00:53,00 --> 01:01:02,50 	standing apart, someone snaps a photo, then smiles and winks at her.
BURLESQUE.srt 	BURLESQUE_DVS653 	01:41:10,00 --> 01:41:15,50 	she walks out and leaves someone standing alone.
BURLESQUE.srt 	BURLESQUE_DVS749 	01:53:26,00 --> 01:53:34,50 	the male and female dancers now stand staggered on the staircase, moving in unison.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS121 	00:20:32,00 --> 00:20:39,50 	hodge stands in formation with the other men as grey-haired col.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS155 	00:27:58,00 --> 00:28:05,50 	who stands silhouetted in front of large windows.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS156 	00:28:10,00 --> 00:28:16,50 	nearby, an artist stands beside a palette covered in red paints.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS174 	00:31:58,00 --> 00:32:07,50 	someone who stands beside a padded table in the center of the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS189 	00:35:04,00 --> 00:35:09,50 	standing nearby, someone stark pulls a switch.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS208 	00:37:49,00 --> 00:37:56,50 	standing at the back of the room, someone watches senator brandt shake dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS222 	00:39:17,00 --> 00:39:29,50 	still standing in the middle of the street, the stern-faced someone fires her pistol into the windshield of the oncoming cab.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	someone staggers out of the crashed cab and waves his pistol at people standing by a bus.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS264 	00:47:56,00 --> 00:48:02,50 	later, someone stands backstage at a small theater.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS275 	00:50:56,00 --> 00:51:05,50 	elsewhere, someone stands on a stage in front of a crowd of us servicemen.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS283 	00:54:00,00 --> 00:54:06,50 	someone gazes at agent someone, then stands and leafs through a stack of documents.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS343 	01:03:44,00 --> 01:03:51,50 	he runs into the hallway where someone stands at its far end.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS395 	01:12:07,00 --> 01:12:12,50 	later at a press conference, senator brandt stands at a podium.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS420 	01:16:17,00 --> 01:16:25,50 	someone nods and stands with his hands behind his back.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS464 	01:23:08,00 --> 01:23:15,50 	someone and someone climb down the ladder and enter a compartment while someone stands guard atop the train.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS492 	01:25:50,00 --> 01:25:58,50 	in one corner stands an examination table on wheels.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS500 	01:28:29,00 --> 01:28:37,50 	standing beneath the wing of a huge airplane, he addresses a small group of masked pilots.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS501 	01:28:34,00 --> 01:28:40,50 	behind him, thousands more stand in formation.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS623 	01:44:47,00 --> 01:44:53,50 	someone stands at the far end of the cockpit as the cube brightens.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS665 	01:52:08,00 --> 01:52:13,50 	the woman's smile falls as someone stands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS107 	00:08:39,00 --> 00:08:45,50 	inside, a cleaned up radiant someone stands before him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS204 	00:16:30,00 --> 00:16:35,50 	a man stands over her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS218 	00:17:38,00 --> 00:17:45,50 	nearby, a trophy bearing his name stands by an alarm clock reading 4:00.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS486 	00:46:41,00 --> 00:46:46,50 	someone nods and swiftly stands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS489 	00:47:00,00 --> 00:47:03,50 	he stands up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS513 	00:50:03,00 --> 00:50:08,50 	someone drops his notebook and quickly stands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS569 	00:54:59,00 --> 00:55:04,50 	a warning sign stands at their edge.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS572 	00:55:26,00 --> 00:55:33,50 	standing at the top of a wave, someone shoves another surfer forcing him off his board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS774 	01:16:57,00 --> 01:17:04,50 	someone stands with both hands braced on a railing, his tie slightly loosened.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS800 	01:19:13,00 --> 01:19:19,50 	finding the front door standing ajar, he calls inside.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS803 	01:19:26,00 --> 01:19:33,50 	the kitchen stands in shambles, the cabinets heavily battered and torn from their hinges.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS949 	01:33:20,00 --> 01:33:24,50 	standing with a friend,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS963 	01:34:39,00 --> 01:34:45,50 	someone's doubtful friend stands close to the water's edge.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS971 	01:35:25,00 --> 01:35:30,50 	his eyes glistening tearfully, someone pats the youth and stands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1117 	01:47:07,00 --> 01:47:13,50 	someone stands on the deck of the boat, griping the rail and watching.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1136 	01:48:47,00 --> 01:48:52,50 	now, someone stands on the beach,
CHRONICLE.srt 	CHRONICLE_DVS40 	00:04:43,00 --> 00:04:49,50 	the camera finds someone standing across the hall.
CHRONICLE.srt 	CHRONICLE_DVS82 	00:11:06,00 --> 00:11:12,50 	they find someone down a hill standing over a wide hole in the ground.
CHRONICLE.srt 	CHRONICLE_DVS282 	00:43:18,00 --> 00:43:36,50 	someone makes exasperated gestures at someone who stands and worriedly eyes the cards.
CHRONICLE.srt 	CHRONICLE_DVS286 	00:43:58,00 --> 00:44:06,50 	later, he stands by as someone edges uneasily down the tightrope with his arms spread for balance.
CHRONICLE.srt 	CHRONICLE_DVS342 	00:51:45,00 --> 00:51:55,50 	someone stands observantly by as the older man rolls on to his stomach.
CHRONICLE.srt 	CHRONICLE_DVS443 	01:05:07,00 --> 01:05:11,50 	someone stands.
CHRONICLE.srt 	CHRONICLE_DVS507 	01:12:44,00 --> 01:12:51,50 	someone stands up behind someone, the glass shards hovering around him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS25 	00:06:16,00 --> 00:06:23,50 	she stands over him in her silky white midi blouse.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS30 	00:07:16,00 --> 00:07:23,50 	later, in a bedroom, someone stands at a dresser.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS174 	00:38:02,00 --> 00:38:08,50 	someone stands still before her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS180 	00:38:37,00 --> 00:38:47,50 	with snow steadily falling, someone stands alone in the white courtyard.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS201 	00:42:00,00 --> 00:42:09,50 	keeping still, the businessmen eye the man standing before them.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	someone steps toward a sofa in the club where someone stands up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS220 	00:46:25,00 --> 00:46:30,50 	someone stands slack jawed.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS249 	01:02:03,00 --> 01:02:11,50 	someone stands behind the children wringing
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS332 	01:23:33,00 --> 01:23:43,50 	now at the relief office, someone stands in one of the many long lines.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS356 	01:27:28,00 --> 01:27:34,50 	someone stands in the open pit, wiping his hands.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS394 	01:35:37,00 --> 01:35:41,50 	the promoter stands near a window.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS423 	01:42:10,00 --> 01:42:15,50 	light shines down on the couple standing close together.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS438 	01:45:22,00 --> 01:45:30,50 	as she closes her eyes, someone regards his three children standing in a row.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS471 	01:49:29,00 --> 01:49:33,50 	as someone stands, someone bounces on his feet.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS543 	02:07:53,00 --> 02:08:01,50 	as someone stands, he leans over with his mitts propped on his knees.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS555 	02:10:16,00 --> 02:10:27,50 	dozens of spectators stand, craning for a look.
COLOMBIANA.srt 	COLOMBIANA_DVS202 	00:17:25,00 --> 00:17:30,50 	armed soldiers stand posted at its gate.
COLOMBIANA.srt 	COLOMBIANA_DVS242 	00:20:19,00 --> 00:20:25,50 	now someone stands at a ticket kiosk in a bus station.
COLOMBIANA.srt 	COLOMBIANA_DVS310 	00:26:47,00 --> 00:26:51,50 	the principal stands.
COLOMBIANA.srt 	COLOMBIANA_DVS366 	00:33:07,00 --> 00:33:12,50 	she stands up, peels off the dress,
COLOMBIANA.srt 	COLOMBIANA_DVS369 	00:33:23,00 --> 00:33:31,50 	she stands up, slides the cell door open and eyes a surveillance camera posted in a corner.
COLOMBIANA.srt 	COLOMBIANA_DVS496 	00:43:39,00 --> 00:43:47,50 	on the other end, someone stands at a payphone.
COLOMBIANA.srt 	COLOMBIANA_DVS507 	00:46:02,00 --> 00:46:06,50 	he stands.
COLOMBIANA.srt 	COLOMBIANA_DVS527 	00:47:43,00 --> 00:47:53,50 	to her right, a large square painting depicting a pink someone orchid at the center of a gold rimmed medallion stands propped against the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS843 	01:20:53,00 --> 01:21:00,50 	agent someone stands calmly in an elevator that jostles with the force of the explosion.
COLOMBIANA.srt 	COLOMBIANA_DVS923 	01:28:27,00 --> 01:28:32,50 	agent someone stands up quickly,
COLOMBIANA.srt 	COLOMBIANA_DVS965 	01:32:59,00 --> 01:33:02,50 	he stands.
COLOMBIANA.srt 	COLOMBIANA_DVS1001 	01:35:26,00 --> 01:35:34,50 	on the opposite side of the room, someone stands on a mezzanine with a sub machine gun in each hand.
COLOMBIANA.srt 	COLOMBIANA_DVS1039 	01:38:00,00 --> 01:38:12,50 	standing behind her, he wraps the towel around her neck and starts to choke her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS105 	00:15:36,00 --> 00:15:40,50 	he stands to greet them.
DEAR_JOHN.srt 	DEAR_JOHN_DVS129 	00:20:49,00 --> 00:20:54,50 	they stand close together.
DEAR_JOHN.srt 	DEAR_JOHN_DVS142 	00:22:55,00 --> 00:23:10,50 	trying another wave, someone manages to stand briefly as someone cheers her on.
DEAR_JOHN.srt 	DEAR_JOHN_DVS188 	00:29:45,00 --> 00:29:52,50 	daytime, someone stands on someone's porch, knocking on the screen door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS290 	00:45:08,00 --> 00:45:14,50 	his father opens the door and stands the carton upright.
DEAR_JOHN.srt 	DEAR_JOHN_DVS356 	00:55:49,00 --> 00:55:59,50 	he stands behind her, and she lowers her gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS416 	01:03:09,00 --> 01:03:15,50 	he rises and stands at attention, joining the rest of his team.
DEAR_JOHN.srt 	DEAR_JOHN_DVS483 	01:11:22,00 --> 01:11:28,50 	as someone helps noodles stand, four bullets rip through him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS595 	01:22:48,00 --> 01:22:55,50 	a coffin stands in front of the alter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS641 	01:27:20,00 --> 01:27:25,50 	where several framed photographs stand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS658 	01:29:06,00 --> 01:29:12,50 	someone stands awkwardly in front of the cancer patient.
DEAR_JOHN.srt 	DEAR_JOHN_DVS710 	01:35:57,00 --> 01:36:04,50 	behind him, someone stands just inside a bedroom with a door half open.
DEAR_JOHN.srt 	DEAR_JOHN_DVS753 	01:38:31,00 --> 01:38:38,50 	later at his house, he stands in his father's study with his hands in his pockets.
DEAR_JOHN.srt 	DEAR_JOHN_DVS766 	01:40:57,00 --> 01:41:04,50 	nighttime, someone stands on her porch and gazes into the sky.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS164 	00:38:21,00 --> 00:38:25,50 	he stands up and pelvic thrusts.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS169 	00:38:58,00 --> 00:39:02,50 	he stands and scans the apartment.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS195 	00:46:59,00 --> 00:47:08,50 	she stands with her curly blonde hair over her shoulders and glares at someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS255 	01:01:36,00 --> 01:01:44,50 	he stands up, still hanging onto the chair, and scuttles crablike over to the door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS274 	01:08:01,00 --> 01:08:07,50 	he puts the ring on her finger and stands up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS307 	01:16:13,00 --> 01:16:20,50 	they stand side-by-side, staring morosely at the water.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS334 	01:19:17,00 --> 01:19:22,50 	he stands in the middle of the living room
DISTRICT_9.srt 	DISTRICT_9_DVS152 	00:17:41,00 --> 00:17:46,50 	someone stands before the burning shack.
DISTRICT_9.srt 	DISTRICT_9_DVS239 	00:26:36,00 --> 00:26:45,50 	inside another shack, the little alien stands at a table where device displays a hologram of the solar system.
DISTRICT_9.srt 	DISTRICT_9_DVS285 	00:31:53,00 --> 00:32:13,50 	then standing in front of a mirror, nips at his other fingernails.
DISTRICT_9.srt 	DISTRICT_9_DVS293 	00:32:39,00 --> 00:32:44,50 	two aliens, one armed, stand in front of them.
DISTRICT_9.srt 	DISTRICT_9_DVS436 	00:48:02,00 --> 00:48:08,50 	someone stands on a hill, using the stolen phone.
DISTRICT_9.srt 	DISTRICT_9_DVS440 	00:48:40,00 --> 00:48:56,50 	he stands, gazes out of the city, then hurries away.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	he stands in line at a meat seller's stall.
