21_JUMP_STREET.srt 	21_JUMP_STREET_DVS148 	00:23:28,00 --> 00:23:37,50 	looking head someone stares.
BURLESQUE.srt 	BURLESQUE_DVS676 	01:45:04,00 --> 01:45:08,50 	he stares at her with wide eyes.
BURLESQUE.srt 	BURLESQUE_DVS711 	01:48:00,00 --> 01:48:06,50 	as she stares off dreamily, another dancer reaches for her makeup.
BURLESQUE.srt 	BURLESQUE_DVS720 	01:48:53,00 --> 01:48:58,50 	he stares into her pale-blue eyes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS247 	00:42:50,00 --> 00:42:56,50 	someone stares down at the dead hydra agent, then studies his own chest and arms.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS280 	00:52:42,00 --> 00:52:48,50 	someone glances over his shoulder at someone, then stares at the falling rain.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS365 	01:06:38,00 --> 01:06:44,50 	someone stares open-mouthed as someone peels off his face, actually a mask, and reveals his true face, a ghoulish red skull.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS487 	01:25:13,00 --> 01:25:19,50 	someone stares downward and closes his eyes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS507 	01:30:24,00 --> 01:30:29,50 	someone sits across from someone who stares downward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS620 	01:44:35,00 --> 01:44:41,50 	as he stares into it, vaporous flashes of blue light fill the air.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS635 	01:46:39,00 --> 01:46:47,50 	he stares at the photo then pushes down on the steering yoke causing the plane to dive steeply.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS662 	01:51:25,00 --> 01:51:30,50 	someone stares at a nearby radio.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS231 	00:18:26,00 --> 00:18:31,50 	someone stares at it, then zips up his jacket.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS297 	00:23:04,00 --> 00:23:09,50 	the boy stares at his lap.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS305 	00:25:04,00 --> 00:25:08,50 	someone stares up at him earnestly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS514 	00:50:06,00 --> 00:50:12,50 	he moves to the cliff's edge, staring out into the frothy white surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS561 	00:54:27,00 --> 00:54:32,50 	she rubs her wrist anxiously as someone stares off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS564 	00:54:41,00 --> 00:54:46,50 	he stares at his hard-earned money.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS630 	01:00:40,00 --> 01:00:45,50 	riding shotgun, someone stares out his window broodingly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS685 	01:06:34,00 --> 01:06:40,50 	now, stars twinkle in a clear night sky.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS756 	01:15:55,00 --> 01:16:00,50 	her face pale, someone stares off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS759 	01:16:09,00 --> 01:16:15,50 	wearing a black suit, someone stares out at the water with a knitted brow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS787 	01:18:20,00 --> 01:18:25,50 	someone stares at his mentor helplessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS828 	01:22:06,00 --> 01:22:11,50 	someone stares at his protege appreciatively.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS880 	01:26:01,00 --> 01:26:05,50 	the teen stares at it with an overwhelmed gaze then ventures closer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS904 	01:29:11,00 --> 01:29:16,50 	someone stares breathlessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS906 	01:29:19,00 --> 01:29:25,50 	he stares at her imploringly but find her gaze confused.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS959 	01:34:17,00 --> 01:34:22,50 	he pauses, staring out at the intimidating surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1138 	01:48:51,00 --> 01:48:57,50 	he stares at the surf with his hands in his pockets.
CHRONICLE.srt 	CHRONICLE_DVS346 	00:52:03,00 --> 00:52:07,50 	he stares off intensely.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	the manager stays put, staring somberly after the promoter.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS419 	01:41:45,00 --> 01:41:52,50 	staring fearfully, the children nod.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS459 	01:47:49,00 --> 01:47:55,50 	someone stares thoughtfully.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS491 	01:52:38,00 --> 01:52:46,50 	someone eyes the staring crowd.
COLOMBIANA.srt 	COLOMBIANA_DVS247 	00:20:47,00 --> 00:20:54,50 	inside, someone rests her arm against a window and stares out at the passing city.
COLOMBIANA.srt 	COLOMBIANA_DVS272 	00:22:40,00 --> 00:22:46,50 	turning, she finds someone staring at her through a set of windows.
COLOMBIANA.srt 	COLOMBIANA_DVS303 	00:26:03,00 --> 00:26:08,50 	he stares at her then affects a casual gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS648 	01:00:46,00 --> 01:00:53,50 	staring cautiously, someone grabs a gun resting in one of men's hands.
COLOMBIANA.srt 	COLOMBIANA_DVS687 	01:05:00,00 --> 01:05:06,50 	as she stares up at the ceiling.
COLOMBIANA.srt 	COLOMBIANA_DVS712 	01:07:46,00 --> 01:07:51,50 	she stares off, her eyes shining with tears.
COLOMBIANA.srt 	COLOMBIANA_DVS778 	01:15:24,00 --> 01:15:29,50 	sitting beside her great-aunt, she stares ahead coldly.
COLOMBIANA.srt 	COLOMBIANA_DVS890 	01:24:16,00 --> 01:24:22,50 	her arms sink to her sides as she stares ahead.
COLOMBIANA.srt 	COLOMBIANA_DVS898 	01:24:52,00 --> 01:24:59,50 	in the fbi office, agent someone thoughtfully stares at a someone orchid
COLOMBIANA.srt 	COLOMBIANA_DVS915 	01:27:31,00 --> 01:27:37,50 	she takes a framed photo from a shelf and stares down at it.
COLOMBIANA.srt 	COLOMBIANA_DVS935 	01:30:32,00 --> 01:30:37,50 	someone stares at his phone.
COLOMBIANA.srt 	COLOMBIANA_DVS1017 	01:36:34,00 --> 01:36:42,50 	in the bedroom, the gunman grits his teeth as he stares at the door paned with textured glass.
COLOMBIANA.srt 	COLOMBIANA_DVS1053 	01:38:59,00 --> 01:39:03,50 	she stares at the dead gangster.
COLOMBIANA.srt 	COLOMBIANA_DVS1097 	01:43:49,00 --> 01:43:57,50 	a woman sitting on a bench stares off with disinterested eyes as someone passes by then boards the bus.
DEAR_JOHN.srt 	DEAR_JOHN_DVS35 	00:04:54,00 --> 00:05:01,50 	as someone stares at someone, he accidentally bangs his board on the someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS85 	00:12:53,00 --> 00:12:59,50 	his father glances over his shoulder, then stares off glumly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS152 	00:24:20,00 --> 00:24:26,50 	he gives a startled turn, then stares off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS224 	00:34:48,00 --> 00:34:58,50 	someone lingering on the spot, staring off as he stuffs his hands into his pockets.
DEAR_JOHN.srt 	DEAR_JOHN_DVS268 	00:42:21,00 --> 00:42:25,50 	he stares off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS321 	00:49:33,00 --> 00:49:46,50 	on a country road, he nervously stares at the foiled wrapped meatloaf nestled in a cardboard box on his lap.
DEAR_JOHN.srt 	DEAR_JOHN_DVS381 	01:00:03,00 --> 01:00:10,50 	she stares distantly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS471 	01:09:22,00 --> 01:09:27,50 	he heads off, leaving someone staring at the fire.
DEAR_JOHN.srt 	DEAR_JOHN_DVS525 	01:15:36,00 --> 01:15:44,50 	now, he stares out an airplane window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS599 	01:23:07,00 --> 01:23:14,50 	wearing his dress uniform, someone stares off beneath his knitted brow.
DEAR_JOHN.srt 	DEAR_JOHN_DVS620 	01:24:39,00 --> 01:24:46,50 	a brief grin flickers over the corner of his mouth, as he stares at someone intensely.
DEAR_JOHN.srt 	DEAR_JOHN_DVS635 	01:26:38,00 --> 01:26:43,50 	someone stares down at the table.
DEAR_JOHN.srt 	DEAR_JOHN_DVS665 	01:30:10,00 --> 01:30:15,50 	someone stares off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS677 	01:31:44,00 --> 01:31:49,50 	staring off despondently.
DEAR_JOHN.srt 	DEAR_JOHN_DVS695 	01:33:40,00 --> 01:33:44,50 	she stares at the table.
DEAR_JOHN.srt 	DEAR_JOHN_DVS767 	01:41:08,00 --> 01:41:14,50 	tears glisten in her eyes as she stares at the moon.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS307 	01:16:13,00 --> 01:16:20,50 	they stand side-by-side, staring morosely at the water.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS312 	01:17:26,00 --> 01:17:31,50 	someone stays put, staring at the water.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS317 	01:17:54,00 --> 01:18:00,50 	he takes the someone mouse from his shirt pocket and stares at it
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS323 	01:18:22,00 --> 01:18:33,50 	he stares at the pair of mice in the pergola who are posed sucking on a piece of cheese through straws like teenagers sharing a milkshake.
DISTRICT_9.srt 	DISTRICT_9_DVS283 	00:31:37,00 --> 00:31:47,50 	he flips to another page then stares at his fingernail.
DISTRICT_9.srt 	DISTRICT_9_DVS456 	00:51:36,00 --> 00:51:45,50 	he spits something into his hand, then stares at it.
DISTRICT_9.srt 	DISTRICT_9_DVS480 	00:55:45,00 --> 00:55:58,50 	someone's antenna twitch as he stares at someone's left arm.
DISTRICT_9.srt 	DISTRICT_9_DVS514 	00:59:53,00 --> 01:00:00,50 	he stares at the dark spatters, then stands.
DISTRICT_9.srt 	DISTRICT_9_DVS574 	01:07:51,00 --> 01:07:58,50 	someone stares fearlessly into the strange gun's blazing barrel.
DISTRICT_9.srt 	DISTRICT_9_DVS830 	01:37:47,00 --> 01:37:51,50 	someone stares dully as the main components around him part.
DISTRICT_9.srt 	DISTRICT_9_DVS839 	01:39:15,00 --> 01:39:23,50 	someone stares through one blue eye and one yellow eye, double its previous size.
DISTRICT_9.srt 	DISTRICT_9_DVS844 	01:39:50,00 --> 01:39:58,50 	as the aliens advance on someone, someone stares wide-eyed.
DISTRICT_9.srt 	DISTRICT_9_DVS851 	01:40:52,00 --> 01:41:11,50 	in the slum, aliens freeze in their tracks, staring upward.
DISTRICT_9.srt 	DISTRICT_9_DVS868 	01:44:21,00 --> 01:44:25,50 	she stares tenderly at it.
EASY_A.srt 	EASY_A_DVS77 	00:28:43,00 --> 00:28:48,50 	someone stares imploringly at her.
EASY_A.srt 	EASY_A_DVS159 	00:51:35,00 --> 00:51:47,50 	he stares longingly after his wife, then frowns and shifts his gaze.
EASY_A.srt 	EASY_A_DVS191 	00:59:59,00 --> 01:00:05,50 	someone stares sympathetically at the tearful guidance counselor.
EASY_A.srt 	EASY_A_DVS230 	01:12:08,00 --> 01:12:13,50 	staring at it, someone tears up and bites her lip.
EASY_A.srt 	EASY_A_DVS262 	01:19:33,00 --> 01:19:40,50 	someone stares wide-eyed.
EASY_A.srt 	EASY_A_DVS294 	01:26:26,00 --> 01:26:31,50 	someone stares steadily at his laptop.
EASY_A.srt 	EASY_A_DVS299 	01:26:40,00 --> 01:26:48,50 	someone sits at a fountain, staring at a text that reads, "ri, sorry i lied to you."
FLIGHT.srt 	FLIGHT_DVS150 	00:27:26,00 --> 00:27:33,50 	the man wears a suit with a collar open, and is staring intently at his cell phone.
FLIGHT.srt 	FLIGHT_DVS690 	01:33:05,00 --> 01:33:10,50 	someone stares at it, motionless.
FLIGHT.srt 	FLIGHT_DVS968 	01:54:38,00 --> 01:54:44,50 	the girl stares at someone as someone hands him a handkerchief,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS35 	00:09:52,00 --> 00:09:57,50 	he turns away, staring at his cell.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS281 	01:13:36,00 --> 01:13:44,50 	someone uneasily notices diners staring.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS38 	00:24:59,00 --> 00:25:03,50 	the young actor stares blankly.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS106 	01:01:30,00 --> 01:01:39,50 	turning, someone stares wide-eyed at his glaring boss then puts on a smile.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS54 	00:09:42,00 --> 00:09:50,50 	someone shares a long gaze with his visitor, staring at him with his ice blue eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS99 	00:15:24,00 --> 00:15:40,50 	the others stand motionless, staring at the rider's flaming skull.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	the rider keeps his head in a firm grip, staring relentlessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	ghost rider stares at it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS285 	00:44:01,00 --> 00:44:06,50 	someone stares sullenly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS298 	00:46:01,00 --> 00:46:07,50 	his expression becomes flat and he stares out lifelessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS311 	00:47:20,00 --> 00:47:26,50 	he stares at someone with a pleased gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS530 	01:15:21,00 --> 01:15:37,50 	someone stares coldly at someone through blackened eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS552 	01:18:38,00 --> 01:18:56,50 	staring slack jawed, someone darts away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS557 	01:19:33,00 --> 01:19:39,50 	he stares at his own gloved hands.
GREEN_ZONE.srt 	GREEN_ZONE_DVS65 	00:16:21,00 --> 00:16:26,50 	someone stares earnestly at the soldier.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	staring with parted lips, the bystander discreetly drives away.
GREEN_ZONE.srt 	GREEN_ZONE_DVS279 	01:05:02,00 --> 01:05:14,50 	someone stares with an arched brow then strides out.
GREEN_ZONE.srt 	GREEN_ZONE_DVS310 	01:10:26,00 --> 01:10:34,50 	someone stares out a window inside.
GREEN_ZONE.srt 	GREEN_ZONE_DVS362 	01:23:12,00 --> 01:23:25,50 	as he stares at his imposing superior, someone nods him toward the door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	edging closer, someone glances back at someone and finds him staring lifelessly.
GREEN_ZONE.srt 	GREEN_ZONE_DVS464 	01:41:26,00 --> 01:41:32,50 	someone stares then musters a nod.
GREEN_ZONE.srt 	GREEN_ZONE_DVS470 	01:42:38,00 --> 01:42:51,50 	someone bites her lower lip as she stares after him.
GROWN_UPS.srt 	GROWN_UPS_DVS61 	00:18:22,00 --> 00:18:29,50 	the pastor stares, aghast.
GROWN_UPS.srt 	GROWN_UPS_DVS117 	00:37:30,00 --> 00:37:34,50 	he just stares at it.
HUGO.srt 	HUGO_DVS28 	00:03:35,00 --> 00:03:40,50 	the boy stares back through the number four.
HUGO.srt 	HUGO_DVS86 	00:11:02,00 --> 00:11:07,50 	he oils a gear then stares down at the crowd below.
HUGO.srt 	HUGO_DVS96 	00:12:31,00 --> 00:12:37,50 	slowly, he creeps forward and stares out through the clear glass.
HUGO.srt 	HUGO_DVS113 	00:14:57,00 --> 00:15:02,50 	someone stares up at the statues as he passes.
HUGO.srt 	HUGO_DVS116 	00:15:16,00 --> 00:15:23,50 	he steps back and stares up at the building as a train passes along an elevated track nearby.
HUGO.srt 	HUGO_DVS124 	00:16:20,00 --> 00:16:25,50 	the girl stares at someone with her arms crossed.
HUGO.srt 	HUGO_DVS156 	00:21:29,00 --> 00:21:34,50 	someone stares at his uncle then lowers his eyes.
HUGO.srt 	HUGO_DVS157 	00:21:42,00 --> 00:21:48,50 	someone's eyes flip from side to side as he stares downward.
HUGO.srt 	HUGO_DVS186 	00:26:27,00 --> 00:26:34,50 	staring at someone, someone steps forward and hands him a small parcel wrapped in cloth.
HUGO.srt 	HUGO_DVS226 	00:33:27,00 --> 00:33:33,50 	someone shuffles the cards as he stares at the boy.
HUGO.srt 	HUGO_DVS253 	00:35:56,00 --> 00:36:03,50 	holding his dog on a leash, the station inspector stares intently at the boy as he follows him.
HUGO.srt 	HUGO_DVS309 	00:47:28,00 --> 00:47:33,50 	someone stares into someone's eyes.
HUGO.srt 	HUGO_DVS360 	00:55:10,00 --> 00:55:15,50 	someone picks up the drawing and stares at it.
HUGO.srt 	HUGO_DVS374 	00:56:57,00 --> 00:57:02,50 	still staring at the drawing, someone slowly sits.
HUGO.srt 	HUGO_DVS422 	01:01:42,00 --> 01:01:47,50 	he stares at someone and someone.
HUGO.srt 	HUGO_DVS449 	01:04:58,00 --> 01:05:02,50 	the inspector stares at the flower seller.
HUGO.srt 	HUGO_DVS485 	01:11:35,00 --> 01:11:41,50 	the man raises his eyebrows as he stares down at someone.
HUGO.srt 	HUGO_DVS523 	01:17:27,00 --> 01:17:33,50 	the inspector turns and picks up the wrench then stares up at the clock.
HUGO.srt 	HUGO_DVS585 	01:24:49,00 --> 01:24:53,50 	the automaton stares at someone.
