A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS34 	00:09:02,00 --> 00:09:06,50 	someone begins to quiver.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS115 	00:23:10,00 --> 00:23:34,50 	the race begins and the animals burst onto the track.
THE_CALL.srt 	THE_CALL_DVS1104 	01:23:18,00 --> 01:23:23,50 	someone's face slackens and her body begins to relax.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS283 	00:32:41,00 --> 00:32:50,50 	someone began interviews with the vanger family members.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1320 	02:20:10,00 --> 02:20:15,50 	he begins to cry as they embrace.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS708 	01:18:29,00 --> 01:18:33,50 	the play begins.
TRUE_GRIT.srt 	TRUE_GRIT_DVS543 	01:37:32,00 --> 01:37:36,50 	the horse begins to tire.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS493 	00:45:10,00 --> 00:45:20,50 	someone flips more switches and a strip of paper begins to move like a conveyor belt under the arms of a chart recorder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1327 	02:00:26,00 --> 02:00:33,50 	in a series of fiery poofs, beginning with someone and ending with someone
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS33 	00:03:29,00 --> 00:03:34,50 	the computer begins processing the command then stops.
ZOMBIELAND.srt 	ZOMBIELAND_DVS612 	01:10:20,00 --> 01:10:27,50 	as the base begins to descend, little someone and someone stare down at the waiting zombies.
