21_JUMP_STREET.srt 	21_JUMP_STREET_DVS531 	01:22:36,00 --> 01:22:40,50 	he returns to his mirror.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS245 	00:59:53,00 --> 01:00:03,50 	the next shows the specky boy mouse returning home and finding the girl mouse in bed with a bearded mouse that wears a polo neck bib.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS333 	01:19:15,00 --> 01:19:20,50 	someone returns home to his apartment.
EASY_A.srt 	EASY_A_DVS115 	00:38:12,00 --> 00:38:27,50 	later, she returns toting a half dozen shopping bags.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS103 	00:28:42,00 --> 00:28:46,50 	someone steps away then return.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS147 	00:38:19,00 --> 00:38:24,50 	he finishes and returns to the bedroom.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS241 	01:05:49,00 --> 01:06:09,50 	as he returns she pops up.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS350 	01:33:12,00 --> 01:33:21,50 	returning to the hostess stand he peers inside the crowded restaurant, then proceeds inside.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS479 	01:09:37,00 --> 01:09:42,50 	he returns the syringe to its case.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS490 	01:11:23,00 --> 01:11:31,50 	as someone follows her, someone returns his gaze to the amphitheater and knocks on a rock wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS527 	01:14:59,00 --> 01:15:10,50 	someone turns and looks up, his eyes returning to normal.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS546 	01:17:54,00 --> 01:18:00,50 	someone returns his somber gaze to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS170 	00:44:56,00 --> 00:45:02,50 	someone eyes someone then returns his attention to the book.
HUGO.srt 	HUGO_DVS225 	00:33:23,00 --> 00:33:29,50 	someone glances at someone, who quickly returns to his work.
HUGO.srt 	HUGO_DVS443 	01:04:14,00 --> 01:04:18,50 	someone returns the books.
HUGO.srt 	HUGO_DVS456 	01:05:50,00 --> 01:05:58,50 	he returns them to the brown-haired woman then approaches the flower seller, who arranges bouquets for display.
HUGO.srt 	HUGO_DVS468 	01:08:19,00 --> 01:08:26,50 	someone glances over her shoulder at him as she returns to her work.
HUGO.srt 	HUGO_DVS638 	01:32:21,00 --> 01:32:27,50 	the explorers return to their capsule and huddle inside.
IN_TIME.srt 	IN_TIME_DVS106 	00:11:35,00 --> 00:11:41,50 	he returns the flask to his smiling companion.
IN_TIME.srt 	IN_TIME_DVS125 	00:14:57,00 --> 00:15:05,50 	he returns the flask to its melancholy owner, who tips it in a silent toast and drinks.
IN_TIME.srt 	IN_TIME_DVS515 	00:55:42,00 --> 00:55:47,50 	he returns the phone to someone.
IN_TIME.srt 	IN_TIME_DVS567 	01:00:36,00 --> 01:00:40,50 	he returns his gaze to the window.
IN_TIME.srt 	IN_TIME_DVS690 	01:14:25,00 --> 01:14:30,50 	then returns it to the sleeping child and slips away.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	he gives someone his cell phone and pats him on the cheek, then returns to the office and shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS130 	00:38:15,00 --> 00:38:20,50 	someone returns a grin.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS324 	01:02:24,00 --> 01:02:29,50 	someone cups the phone and returns it to his ear.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS156 	00:28:10,00 --> 00:28:16,50 	she returns to the kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS433 	01:25:52,00 --> 01:25:59,50 	later she returns with someone to her apartment.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS98 	00:36:23,00 --> 00:36:30,50 	returning to mrs. harrington, she finds someone staring at her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS133 	00:47:44,00 --> 00:47:50,50 	someone takes out his credit card then returns to the others.
KARATE_KID.srt 	KARATE_KID_DVS201 	00:17:21,00 --> 00:17:31,50 	someone starts to return the music to the girl.
KARATE_KID.srt 	KARATE_KID_DVS550 	00:49:45,00 --> 00:49:53,50 	someone presses his lips together, then returns his gaze to the door.
KARATE_KID.srt 	KARATE_KID_DVS577 	00:51:32,00 --> 00:51:38,50 	the instructor faces someone, who returns his attention to his teacher.
KARATE_KID.srt 	KARATE_KID_DVS711 	00:59:41,00 --> 00:59:46,50 	later, he returns home.
KARATE_KID.srt 	KARATE_KID_DVS1138 	01:34:37,00 --> 01:34:42,50 	beaming, he returns the gesture.
KARATE_KID.srt 	KARATE_KID_DVS1499 	02:01:51,00 --> 02:02:00,50 	someone has two minutes to return to the match.
KARATE_KID.srt 	KARATE_KID_DVS1499 	02:01:51,00 --> 02:02:00,50 	if he's unable to return, the fighting someone win by default.
KARATE_KID.srt 	KARATE_KID_DVS1529 	02:03:59,00 --> 02:04:04,50 	since someone has not returned to the ring
KARATE_KID.srt 	KARATE_KID_DVS1534 	02:04:17,00 --> 02:04:23,50 	returning to the center of the mat, he raises the microphone.
KARATE_KID.srt 	KARATE_KID_DVS1652 	02:14:04,00 --> 02:14:09,50 	someone respectfully returns the bow.
KNOCKED_UP.srt 	KNOCKED_UP_DVS171 	01:48:24,00 --> 01:48:30,50 	now he returns to the bathroom and sits on the edge of the tub.
KNOCKED_UP.srt 	KNOCKED_UP_DVS191 	02:00:04,00 --> 02:00:08,50 	he returns to the others.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS80 	00:20:38,00 --> 00:20:47,50 	she eyes the students who shoot each other uneasy glances, then return their attention to their professor.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS221 	00:50:45,00 --> 00:50:50,50 	they return to someone's suv.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS254 	01:01:17,00 --> 01:01:24,50 	someone returns the key tin to its pot, then keeps his back to someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS282 	01:07:11,00 --> 01:07:17,50 	she gives a brisk headshake then returns her attention to someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS357 	01:25:57,00 --> 01:26:02,50 	he returns someone's smart phone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS157 	00:21:00,00 --> 00:21:07,50 	his father stops eating and faces his wife who returns an amused smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS476 	00:53:30,00 --> 00:53:37,50 	someone backs off, returning his attention to his kill.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS685 	01:12:22,00 --> 01:12:29,50 	the teen looks around cautiously then returns his attention to the water.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS269 	01:26:44,00 --> 01:26:50,50 	someone grabs someone and someone returns his gaze to someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS570 	01:08:01,00 --> 01:08:08,50 	someone races into the apartment and finds it returned to its original state.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS659 	01:21:36,00 --> 01:21:44,50 	the penguins glance at his rival, then return their gazes to the fish.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS221 	00:46:34,00 --> 00:46:44,50 	outside, the five children return with the piglets.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS235 	00:49:08,00 --> 00:49:14,50 	someone returns the torn filthy veil wadded up in a ball.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	she lays them beside someone, then sits and returns the shoebox to her lap.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS418 	01:27:12,00 --> 01:27:27,50 	the kids return their attention to someone, who leans down into the vent and stretches her arms toward the red wire.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS391 	01:29:03,00 --> 01:29:08,50 	his mother eyes someone who returns the glare.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS221 	00:57:29,00 --> 00:57:38,50 	someone swerves away from the big rig, then cuts across approaching traffic as he returns to the proper lane.
PROMETHEUS.srt 	PROMETHEUS_DVS121 	00:07:22,00 --> 00:07:27,50 	then returns her gaze to the painting.
PROMETHEUS.srt 	PROMETHEUS_DVS172 	00:11:55,00 --> 00:12:02,50 	lights blink on and off throughout the corridors as he returns to the cockpit.
PROMETHEUS.srt 	PROMETHEUS_DVS530 	00:59:07,00 --> 00:59:13,50 	someone caresses his cheek then returns the kiss.
PROMETHEUS.srt 	PROMETHEUS_DVS543 	01:00:03,00 --> 01:00:08,50 	someone returns her gaze to the map.
PROMETHEUS.srt 	PROMETHEUS_DVS845 	01:31:45,00 --> 01:31:50,50 	he stops at the door, then returns to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS122 	00:22:42,00 --> 00:22:48,50 	someone eyes the brunette in the red dress as she returns to her table.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS205 	00:39:08,00 --> 00:39:14,50 	returning, the woman shows off her shoes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS557 	01:44:13,00 --> 01:44:23,50 	in the outer office, the burly agent downs a paper cup of water and passes doris who glares at him as he returns to the interrogation room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS605 	01:53:46,00 --> 01:53:56,50 	someone glances around the living room, then returns to the kitchen.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS274 	00:41:49,00 --> 00:41:55,50 	he returns to the kitchen presenting a bottle of wine.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS333 	00:54:18,00 --> 00:54:23,50 	he returns his attention to a book.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS453 	01:09:52,00 --> 01:09:57,50 	someone returns his sober gaze to the grill.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS597 	01:28:36,00 --> 01:28:41,50 	then returns his attention to the bedroom.
SALT.srt 	SALT_DVS140 	00:25:20,00 --> 00:25:27,50 	a window shows someone tossing down his bulletproof vest as he returns.
SALT.srt 	SALT_DVS174 	00:29:48,00 --> 00:29:59,50 	as the young girl shifts her gaze, she notices the woman outside and returns the wave.
SALT.srt 	SALT_DVS248 	00:42:54,00 --> 00:43:07,50 	she peers into a bathroom then returns to the bedroom and removes her knit cap.
SANCTUM.srt 	SANCTUM_DVS237 	00:50:43,00 --> 00:51:01,50 	someone returns the gesture.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS715 	00:47:01,00 --> 00:47:07,50 	returning her attention to the test, she chews on the pen.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1165 	01:19:05,00 --> 01:19:10,50 	my sister asked me to return this to you.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1214 	01:21:43,00 --> 01:21:50,50 	the noblewoman politely returns the gesture and makes an effort to sing along.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1319 	01:30:57,00 --> 01:31:02,50 	someone gives a tiny bow and the man returns the gesture.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1406 	01:35:45,00 --> 01:35:51,50 	when someone returned home after someone's funeral,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS44 	00:09:10,00 --> 00:09:25,50 	he returns to someone and hesitantly picks up the dragon.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS311 	01:03:37,00 --> 01:03:44,50 	now zipping up a hooded sweatshirt and wearing someone's ring, he returns
SOUL_SURFER.srt 	SOUL_SURFER_DVS283 	01:20:47,00 --> 01:20:52,50 	arms folded, someone returns his gaze to the surf.
SPARKLE_2012.srt 	SPARKLE_2012_DVS61 	00:10:55,00 --> 00:11:02,50 	someone flashes a warm smile to her mother, who returns a stern glare.
SPARKLE_2012.srt 	SPARKLE_2012_DVS259 	00:40:13,00 --> 00:40:21,50 	then returns his attention to the performance.
SUPER_8.srt 	SUPER_8_DVS262 	00:44:32,00 --> 00:44:40,50 	he turns and stares toward the adjacent junkyard which is obscured behind trees then returns to his repairs.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS66 	00:09:13,00 --> 00:09:18,50 	tintin retrieves national artifact, stolen scepter returned to king.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS111 	00:16:40,00 --> 00:16:46,50 	someone's man servant returns someone's flashlight and leads him out.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS401 	00:59:19,00 --> 00:59:25,50 	flames burn inside the unicorn as its cannons return fire.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS53 	00:12:51,00 --> 00:12:58,50 	someone returns a winsome shrug.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS76 	00:17:24,00 --> 00:17:39,50 	the teen sticks the assignment into a textbook, then returns to his drawing.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS118 	00:27:14,00 --> 00:27:24,50 	he returns his attention to the sketchbook.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS213 	00:41:23,00 --> 00:41:29,50 	he glances at someone then returns his gaze to the paintings.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS258 	00:49:26,00 --> 00:49:37,50 	rolling his eyes, someone returns his gaze to the ceiling.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS312 	00:59:15,00 --> 00:59:20,50 	someone returns a solemn, remorseful look.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS386 	01:14:14,00 --> 01:14:31,50 	the teen gives a dimpled smile as he returns the hug, then faces his work with gleaming eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS43 	00:07:33,00 --> 00:07:40,50 	she takes her phone from her bag and answers it as she returns to the roof's corner.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS196 	00:39:58,00 --> 00:40:11,50 	the stickman returns the dice to him, a croupier adds two more stacks of chips to his winnings, and someone and someone both blow on the dice.
THE_CALL.srt 	THE_CALL_DVS83 	00:06:26,00 --> 00:06:31,50 	now, the woman returns to her desk.
THE_CALL.srt 	THE_CALL_DVS117 	00:09:09,00 --> 00:09:15,50 	he returns to the vestibule and closes the door to the hall.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS269 	00:42:57,00 --> 00:43:06,50 	working his jaw, someone briefly returns his vulnerable gaze to the stranger's house, then droops his head forward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS454 	01:08:17,00 --> 01:08:24,50 	someone returns the gesture, then halts and stares back at him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS93 	00:09:33,00 --> 00:09:40,50 	returning with her steaming noodles, someone runs a google search on wennerstrom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS178 	00:21:59,00 --> 00:22:05,50 	someone returns his gaze to the wildflowers.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS699 	01:17:17,00 --> 01:17:24,50 	someone's gaze lingers on him as she returns to her bedroom and pushes the door most of the way shut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS803 	01:32:20,00 --> 01:32:26,50 	she returns with a photo album and hands it to him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1158 	02:02:28,00 --> 02:02:32,50 	he returns to his seat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1179 	02:06:05,00 --> 02:06:10,50 	he returns with a kitchen knife.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1302 	02:19:01,00 --> 02:19:06,50 	someone returns her gaze to someone.
THE_SITTER.srt 	THE_SITTER_DVS99 	00:53:18,00 --> 00:53:22,50 	the goateed man returns to his table.
THE_VOW.srt 	THE_VOW_DVS95 	00:08:38,00 --> 00:08:45,50 	he returns her wedding ring to her finger.
THE_VOW.srt 	THE_VOW_DVS152 	00:15:58,00 --> 00:16:05,50 	the real doctor turns to someone who returns a nonplussed glance.
THE_VOW.srt 	THE_VOW_DVS654 	01:30:53,00 --> 01:30:58,50 	he returns a gentle look and she considers him.
THE_WATCH.srt 	THE_WATCH_DVS127 	00:21:18,00 --> 00:21:23,50 	someone and his wife, a trim brunette, return home.
THE_WATCH.srt 	THE_WATCH_DVS170 	00:31:57,00 --> 00:32:03,50 	someone returns the kid's backpack, then straightens the chair.
THE_WATCH.srt 	THE_WATCH_DVS226 	00:42:12,00 --> 00:42:17,50 	someone politely returns the gesture, then heads inside.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS134 	00:37:01,00 --> 00:37:06,50 	the car backs up, returning to the curb in front of her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS190 	00:46:02,00 --> 00:46:08,50 	averting her gaze, she takes a sip, then returns the drink.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS374 	01:29:18,00 --> 01:29:23,50 	returning it, she slides the drawer open farther.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS369 	01:08:23,00 --> 01:08:30,50 	someone closes his eyes and lifts his brow then returns to the living room.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS386 	01:10:24,00 --> 01:10:29,50 	someone smiles as he returns to his truck.
THOR.srt 	THOR_DVS165 	00:23:01,00 --> 00:23:10,50 	he stabs the frost giant in the heart and wrenches himself free, then watches as his arm gradually returns to normal.
THOR.srt 	THOR_DVS307 	00:44:40,00 --> 00:44:47,50 	someone presses her lips together and glances away, then returns to someone.
THOR.srt 	THOR_DVS311 	00:45:11,00 --> 00:45:15,50 	someone returns the gesture.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS219 	00:28:17,00 --> 00:28:22,50 	as he returns to the living room,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS852 	01:30:37,00 --> 01:30:43,50 	he flings his arms around someone, who returns the brotherly hug.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS886 	01:33:43,00 --> 01:33:50,50 	someone returns the gesture, then swaps friendly nods with his fellow musicians.
TRUE_GRIT.srt 	TRUE_GRIT_DVS152 	00:35:47,00 --> 00:35:53,50 	she returns their gaze, breathing heavily from her exertion.
TRUE_GRIT.srt 	TRUE_GRIT_DVS526 	01:35:48,00 --> 01:35:55,50 	he cuts her foot free of the tree root and returns the knife to his back pocket.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS30 	00:04:26,00 --> 00:04:36,50 	as he returns to his car, a group of chatting mothers gazes after him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS93 	00:14:09,00 --> 00:14:21,50 	as he returns his attention to the young partygoers 	next door, a blonde woman holding a beer spots him and gives a friendly wave.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS386 	01:01:09,00 --> 01:01:16,50 	he smiles back, then returns his gaze to the sky.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS421 	01:07:00,00 --> 01:07:04,50 	he returns to his sketch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS576 	01:28:51,00 --> 01:28:58,50 	someone gives a receptive nod and someone returns his gaze to spar.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS601 	01:31:17,00 --> 01:31:25,50 	taking a deep breath, someone returns his gaze to the portrait, and blinks back tears.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS446 	01:02:21,00 --> 01:02:27,50 	in her underwear, she returns with the ball.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS447 	01:02:37,00 --> 01:02:42,50 	he returns it to her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS464 	01:04:59,00 --> 01:05:06,50 	later, they return to someone's apartment and someone shuts the door behind them.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS468 	01:05:58,00 --> 01:06:02,50 	then returns his gaze to her eyes.
