21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS653 	01:38:15,00 --> 01:38:22,50 	the coach fires at someone but someone dives between them taking the hits.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS668 	01:40:39,00 --> 01:40:47,50 	later, as emergency crews work the scene, a cop takes someone away.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS15 	00:02:43,00 --> 00:02:47,50 	he takes out their pizzas.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS21 	00:03:50,00 --> 00:03:59,50 	that night sitting on a stoop, the shaggy-haired young man opens a bottle of beer, tosses the cap and takes a sip.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS48 	00:11:08,00 --> 00:11:12,50 	he takes a sip of beer.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS93 	00:22:29,00 --> 00:22:36,50 	he takes off his gorilla mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS106 	00:26:36,00 --> 00:26:40,50 	someone takes off his mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS148 	00:38:49,00 --> 00:38:56,50 	someone takes out a toy gun.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS215 	00:52:19,00 --> 00:52:24,50 	someone and someone hurry onboard and take a seat.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS224 	00:54:00,00 --> 00:54:04,50 	someone takes out his cell phone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS299 	01:07:33,00 --> 01:07:39,50 	noticing a desk with a padlock on one of its drawers he takes aim.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS342 	01:15:51,00 --> 01:15:58,50 	as the mustang drives off, someone takes off his jacket and whips it at the flaming tank.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS350 	01:17:18,00 --> 01:17:22,50 	he takes aim.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS69 	00:37:48,00 --> 00:37:53,50 	someone takes his hand.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS115 	01:01:09,00 --> 01:01:14,50 	someone takes a hit of a pipe.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS124 	01:05:30,00 --> 01:05:35,50 	someone takes out a ceramic dish full of condoms.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS129 	01:06:13,00 --> 01:06:18,50 	he takes it under the covers and moves it
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS166 	01:22:53,00 --> 01:23:00,50 	someone takes the last packaged figures of the high shelf and places them in a box
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS215 	01:43:38,00 --> 01:43:43,50 	takes off his shirt.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS103 	00:16:54,00 --> 00:17:02,50 	in the office, someone's friend mimes for him to take off his headset.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS165 	00:30:28,00 --> 00:30:32,50 	as they wander through ikea, someone takes someone's hand.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS338 	01:01:33,00 --> 01:01:37,50 	he takes out her earphones.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS350 	01:03:36,00 --> 01:03:41,50 	they take their seats for the outdoor ceremony.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS459 	01:18:13,00 --> 01:18:17,50 	someone reaches out to take her hand
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS480 	01:19:55,00 --> 01:20:02,50 	someone talks to the security guard on the desk who takes the portfolio from him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS535 	01:27:42,00 --> 01:27:47,50 	someone takes a seat on a balustraded balcony area.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS50 	00:03:47,00 --> 00:03:53,50 	outside the club, the man takes off his jacket.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS53 	00:03:57,00 --> 00:04:05,50 	a tiny window opens, a chef takes a scrap of paper and lets the young man in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS55 	00:04:08,00 --> 00:04:15,50 	without breaking his stride, he lifts a napkin on the counter and takes a gun hidden beneath it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS88 	00:07:25,00 --> 00:07:31,50 	someone smirks as he takes it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS113 	00:09:25,00 --> 00:09:30,50 	he takes a drag off his cigarette.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS241 	00:19:52,00 --> 00:20:03,50 	someone takes off, leaving his father on the street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS251 	00:21:51,00 --> 00:21:58,50 	someone takes a hard right turn.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS264 	00:22:56,00 --> 00:23:03,50 	someone takes an abrupt u-turn on to an onramp for a riverside avenue.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS293 	00:25:20,00 --> 00:25:27,50 	someone takes off.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS306 	00:26:56,00 --> 00:27:01,50 	checking his mirror, someone takes an off-ramp.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS357 	00:32:01,00 --> 00:32:05,50 	someone takes in the setup.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS362 	00:33:00,00 --> 00:33:05,50 	someone takes passports from a safe.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS364 	00:33:31,00 --> 00:33:37,50 	someone takes a deep breath then faces.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS380 	00:34:59,00 --> 00:35:11,50 	a blast consumes the entryway landing, taking several men with it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS404 	00:37:34,00 --> 00:37:39,50 	our view lists to take in the station, in the midst of the city.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS435 	00:42:07,00 --> 00:42:11,50 	taking point, someone cautiously scans his surroundings with his weapon ready, as he leads the others in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS462 	00:44:46,00 --> 00:44:52,50 	someone takes a couple of steps closer to the russian's daughter.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS473 	00:46:07,00 --> 00:46:12,50 	she takes him hostage.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS513 	00:50:04,00 --> 00:50:12,50 	someone stabs a blonde haired man in the leg, then takes his weapon and uses him as a human shield.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS518 	00:50:20,00 --> 00:50:26,50 	someone rises slightly from the floor and takes aim.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS543 	00:52:48,00 --> 00:52:58,50 	someone and someone run side-by-side, and someone drops his gun as they take a flying leap out of the window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS561 	00:54:06,00 --> 00:54:14,50 	on the chopper, someone takes out his phone and makes a call.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS605 	01:02:18,00 --> 01:02:25,50 	someone takes the group deeper into the vault, beyond the set of metal bars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS671 	01:09:05,00 --> 01:09:09,50 	someone takes out a second one.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS682 	01:10:07,00 --> 01:10:13,50 	she tilts her head and takes a small slow breath.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS684 	01:10:16,00 --> 01:10:23,50 	someone takes a few steps, then leads them up a vertical ladder on the wall.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS794 	01:19:52,00 --> 01:19:58,50 	they take cover as the bald thug pops out.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS20 	00:03:02,00 --> 00:03:07,50 	someone takes a complimentary coffee and leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS99 	00:26:16,00 --> 00:26:20,50 	someone takes out his cellphone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS238 	00:45:22,00 --> 00:45:26,50 	someone takes the doll and runs off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS243 	00:47:06,00 --> 00:47:13,50 	smiling, someone takes the bag and opens it.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS265 	00:49:31,00 --> 00:49:35,50 	she takes of his shoe.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS335 	00:59:22,00 --> 00:59:30,50 	someone glares at his phone then takes off his watch and hands it to a nun.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS347 	01:00:34,00 --> 01:00:40,50 	someone takes out a photo of a young boy posing with a man and a woman.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS405 	01:10:35,00 --> 01:10:40,50 	he takes the piece of tape out of his pocket,
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS424 	01:13:13,00 --> 01:13:20,50 	at the coffee shop someone takes his order, then hands the cashier a flat package.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS75 	00:08:33,00 --> 00:08:39,50 	he reaches into his jacket pocket and takes out his pistol.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS76 	00:08:37,00 --> 00:08:44,50 	as someone walks unsuspectingly, someone takes aim at his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS125 	00:14:27,00 --> 00:14:32,50 	someone takes off his shades.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS158 	00:20:25,00 --> 00:20:31,50 	the keeper comes out and takes his coat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS174 	00:23:34,00 --> 00:23:45,50 	someone watches someone as he takes it behind the counter and rips it open.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS218 	00:30:54,00 --> 00:31:02,50 	someone takes her cup and sets it down then takes her hands in his.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS218 	00:30:54,00 --> 00:31:02,50 	someone takes her cup and sets it down then takes her hands in his.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS227 	00:32:20,00 --> 00:32:26,50 	someone takes a deep breath and makes no move to meet her.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS231 	00:32:50,00 --> 00:32:56,50 	taking a deep breath, she steps down and picks up his hat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS241 	00:33:52,00 --> 00:33:58,50 	frowning, someone takes up the paper and reads a headline.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS244 	00:34:14,00 --> 00:34:23,50 	an african-american man steps inside, takes off his hat and shuts the door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS248 	00:35:32,00 --> 00:35:36,50 	he takes off his apron.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS274 	00:39:26,00 --> 00:39:31,50 	grimacing, he takes of his sunglasses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS293 	00:43:02,00 --> 00:43:09,50 	with a calm, deliberate gaze, he nears the rapist's exposed neck and takes a bite.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS302 	00:43:54,00 --> 00:44:01,50 	in a flashback, on a tree-lined road, someone hops out of his carriage and takes a look at its wheel.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS310 	00:45:02,00 --> 00:45:30,50 	the vampire takes off his sunglasses revealing his puffy eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS338 	00:48:25,00 --> 00:48:31,50 	someone watches as he takes a knee and holds up a ring.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS339 	00:48:40,00 --> 00:48:45,50 	gazing at the ring, she takes a deep breath.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS368 	00:52:00,00 --> 00:52:06,50 	someone takes a seat and hands someone the book.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS389 	00:54:31,00 --> 00:54:40,50 	he takes down the other in a single strike.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS390 	00:54:38,00 --> 00:55:09,50 	the hunter kicks him away and twirls it into an upward swing taking out one vamp after another.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS393 	00:55:20,00 --> 00:55:46,50 	propelling himself off another pillar, someone takes out two vamps in a single swing.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS409 	00:58:58,00 --> 00:59:05,50 	as the danger passes, someone stands and takes up the long poled oar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS420 	00:59:46,00 --> 00:59:53,50 	someone and someone go to a shuttered window and peer through while tubman takes up her rifle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS465 	01:06:08,00 --> 01:06:15,50 	she takes his hand and kisses his wrist.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS506 	01:11:21,00 --> 01:11:26,50 	someone takes up the goblets.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS524 	01:13:36,00 --> 01:13:42,50 	someone's sips her drink and takes up her soupspoon.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS541 	01:16:23,00 --> 01:16:28,50 	wearing a vulnerable frown, she takes a deep breath.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS549 	01:17:11,00 --> 01:17:17,50 	he crosses to it slowly taking out a key.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS551 	01:17:24,00 --> 01:17:33,50 	someone pensively takes out his specialized ax and finds the silver along the blade untarnished.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	he takes aim and reaches out to open it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	grabbing his guns, someone fires taking him down.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	someone takes out two vampires then twirls the ax behind his back to someone who spins the versatile weapon and strikes another vampire with its butt.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS661 	01:33:14,00 --> 01:33:24,50 	she takes aim at her fanged assailant.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS685 	01:37:42,00 --> 01:37:47,50 	beside him, someone takes off a pair of dark sunglasses.
BAD_TEACHER.srt 	BAD_TEACHER_DVS129 	00:34:35,00 --> 00:34:46,50 	with uncertain eyes the matronly teacher takes the joint, pinching it between two fingers she lifts it to her lips, inhales, then holds her breath.
BAD_TEACHER.srt 	BAD_TEACHER_DVS132 	00:35:07,00 --> 00:35:13,50 	sauntering to a rope he takes a drag off the joint.
BAD_TEACHER.srt 	BAD_TEACHER_DVS202 	00:56:49,00 --> 00:56:58,50 	as someone takes a swig from the wine bottle someone tips the tumbler to his lips and takes a modest sip.
BAD_TEACHER.srt 	BAD_TEACHER_DVS202 	00:56:49,00 --> 00:56:58,50 	as someone takes a swig from the wine bottle someone tips the tumbler to his lips and takes a modest sip.
BAD_TEACHER.srt 	BAD_TEACHER_DVS209 	00:58:08,00 --> 00:58:17,50 	now she takes a restricted copy of the state test answer key from a file cabinet.
BAD_TEACHER.srt 	BAD_TEACHER_DVS218 	01:00:55,00 --> 01:00:59,50 	she takes out a few credit cards.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	someone takes a leafy sprig from a plastic baggie and rubs the plant over the surface of a large red apple.
BAD_TEACHER.srt 	BAD_TEACHER_DVS246 	01:07:23,00 --> 01:07:35,50 	she takes a sip then slowly picks up someone's cell phone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS297 	01:19:25,00 --> 01:19:34,50 	as he takes a seat beside someone she gives a demure smile.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS32 	00:02:42,00 --> 00:02:47,50 	the mailman takes off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS43 	00:04:58,00 --> 00:05:03,50 	someone takes another call.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS58 	00:08:40,00 --> 00:08:45,50 	someone takes his jacket.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS153 	00:25:09,00 --> 00:25:13,50 	he takes someone's arm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS178 	00:30:25,00 --> 00:30:31,50 	with prodi-g's swagger, someone takes the stage with a mic.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS209 	00:34:07,00 --> 00:34:12,50 	someone takes someone's cellphone and reads the text.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS273 	00:45:58,00 --> 00:46:03,50 	he lowers the magazine and takes out a subscription insert.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS284 	00:48:21,00 --> 00:48:27,50 	he opens a cd case, takes out a disc, and puts it in a stereo.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS420 	01:06:52,00 --> 01:06:58,50 	she takes it and sets it aside.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS434 	01:09:24,00 --> 01:09:30,50 	as someone takes a drink, someone touches the wig's blonde curls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS466 	01:12:52,00 --> 01:12:56,50 	now, someone sits on the mat, his rear and hands taking up most of the green dots.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS572 	01:29:19,00 --> 01:29:25,50 	on stage, she glances at someone and takes a seat at the piano.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS605 	01:34:55,00 --> 01:34:59,50 	then takes off again.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS615 	01:35:44,00 --> 01:35:49,50 	someone takes out the flash drive.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS631 	01:37:29,00 --> 01:37:36,50 	someone takes aim at them.
BLINDDATING.srt 	BLINDDATING_DVS50 	00:15:17,00 --> 00:15:28,50 	on the bus, someone takes a seat.
BLINDDATING.srt 	BLINDDATING_DVS128 	00:35:26,00 --> 00:35:33,50 	someone takes another bite of his sandwich and chews it thoughtfully.
BLINDDATING.srt 	BLINDDATING_DVS158 	00:41:26,00 --> 00:41:34,50 	he takes a deep breath.
BLINDDATING.srt 	BLINDDATING_DVS174 	00:45:18,00 --> 00:45:24,50 	he takes his hand out of hers.
BLINDDATING.srt 	BLINDDATING_DVS215 	00:54:09,00 --> 00:54:15,50 	someone takes it out of the packet.
BLINDDATING.srt 	BLINDDATING_DVS237 	00:57:44,00 --> 00:57:49,50 	someone takes the wine lists and holds it.
BLINDDATING.srt 	BLINDDATING_DVS279 	01:09:59,00 --> 01:10:09,50 	the therapist takes a seat behind them.
BLINDDATING.srt 	BLINDDATING_DVS284 	01:11:03,00 --> 01:11:20,50 	someone takes up his scalpel.
BLINDDATING.srt 	BLINDDATING_DVS290 	01:12:26,00 --> 01:12:32,50 	someone takes a few calm breaths then leaves.
BLINDDATING.srt 	BLINDDATING_DVS314 	01:16:27,00 --> 01:16:34,50 	someone, takes in her warm, lovely smile, and gives her a hug.
BLINDDATING.srt 	BLINDDATING_DVS342 	01:22:03,00 --> 01:22:11,50 	reaching the sidewalk, he takes a few steps to his right and pulls out a phone.
BLINDDATING.srt 	BLINDDATING_DVS352 	01:26:30,00 --> 01:26:35,50 	he takes off the glasses.
BLINDDATING.srt 	BLINDDATING_DVS360 	01:28:35,00 --> 01:28:44,50 	someone takes a step closer.
BLINDDATING.srt 	BLINDDATING_DVS361 	01:28:44,00 --> 01:28:51,50 	meeting someone's sincere gaze, someone takes a shaky breath.
BLINDDATING.srt 	BLINDDATING_DVS363 	01:29:13,00 --> 01:29:20,50 	someone's mother takes someone's hand in hers, then pulls her into
BRUNO.srt 	BRUNO_DVS34 	00:06:48,00 --> 00:06:53,50 	several policemen take him away.
BRUNO.srt 	BRUNO_DVS59 	00:12:08,00 --> 00:12:13,50 	someone takes out a cigarette.
BRUNO.srt 	BRUNO_DVS122 	00:28:31,00 --> 00:28:36,50 	a plane takes off.
