21_JUMP_STREET.srt 	21_JUMP_STREET_DVS428 	01:11:37,00 --> 01:11:41,50 	someone catches up with him.
KARATE_KID.srt 	KARATE_KID_DVS639 	00:54:21,00 --> 00:54:25,50 	he catches up to mr.
KARATE_KID.srt 	KARATE_KID_DVS1480 	02:00:21,00 --> 02:00:44,50 	someone attempts a roundhouse kick, but someone catches his ankle and elbow jabs the side of his knee.
KARATE_KID.srt 	KARATE_KID_DVS1558 	02:05:48,00 --> 02:06:17,50 	someone catches someone's arm and forces him back with a powerful blow.
KARATE_KID.srt 	KARATE_KID_DVS1568 	02:07:17,00 --> 02:07:22,50 	both boys catch their breath.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS205 	00:26:55,00 --> 00:27:07,50 	the round-faced girl spins rapidly, catching someone's gaze on several twirls.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS284 	00:37:32,00 --> 00:37:38,50 	he stumbles as the ship violently rocks and he catches himself on a banister.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS286 	00:37:44,00 --> 00:37:51,50 	he catches himself on a railing and clings to it as he beams down at the churning, roiling ocean.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS557 	01:00:46,00 --> 01:00:53,50 	he catches rain in the bucket, his open mouth, and cans in each hand.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS242 	00:35:14,00 --> 00:35:18,50 	someone catches the ball.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS337 	00:43:21,00 --> 00:43:26,50 	the penguins catch up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS344 	00:43:57,00 --> 00:44:07,50 	as a man tips over the railing, his date catches his leg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS455 	01:34:08,00 --> 01:34:13,50 	catching some in her open handbag.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS478 	01:38:01,00 --> 01:38:06,50 	the children catch up to her.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS78 	00:20:20,00 --> 00:20:27,50 	someone catches him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS245 	01:05:15,00 --> 01:05:23,50 	as he slips down the front of athena's robes, he catches himself on a marbled lock of hair.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS451 	01:45:38,00 --> 01:45:44,50 	poseidon morphs into water and catches up with his son in human form.
PROMETHEUS.srt 	PROMETHEUS_DVS788 	01:24:40,00 --> 01:24:46,50 	someone sinks to her knees and catches her breath.
PROMETHEUS.srt 	PROMETHEUS_DVS893 	01:38:40,00 --> 01:38:47,50 	as the engineer crouches, someone stumbles but someone and his aide catch him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS207 	00:50:08,00 --> 00:50:14,50 	someone catches up.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS239 	00:54:56,00 --> 00:55:01,50 	she catches herself and rubs her chest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS211 	00:34:35,00 --> 00:34:42,50 	now he catches up to her in an arcade and she greets him with a kiss.
SALT.srt 	SALT_DVS100 	00:20:23,00 --> 00:20:28,50 	the security camera catches her.
SALT.srt 	SALT_DVS179 	00:30:51,00 --> 00:31:05,50 	her friendly smile fades as someone catches her gaze.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	from the church entrance, someone catches a glimpse of her.
SANCTUM.srt 	SANCTUM_DVS72 	00:15:50,00 --> 00:15:55,50 	about halfway down, someone catches up with someone.
SANCTUM.srt 	SANCTUM_DVS403 	01:18:42,00 --> 01:18:51,50 	as someone swims around a corner in a narrow passageway, someone catches up and grabs on to his leg.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS272 	00:18:29,00 --> 00:18:35,50 	snowflakes drift down and the girls try to catch them.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS38 	00:07:44,00 --> 00:07:49,50 	but someone catches it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS90 	00:18:12,00 --> 00:18:17,50 	he catches up to her on the sidewalk.
SOUL_SURFER.srt 	SOUL_SURFER_DVS240 	01:13:02,00 --> 01:13:11,50 	someone catches each in the crook of her arm then heaves it into someone's arms.
SPARKLE_2012.srt 	SPARKLE_2012_DVS443 	01:12:34,00 --> 01:12:39,50 	someone catches someone staring.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS230 	00:35:45,00 --> 00:35:49,50 	he slips but catches himself.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS427 	01:02:07,00 --> 01:02:14,50 	someone catches him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS613 	01:22:40,00 --> 01:22:47,50 	snowy, with a scroll in his mouth, catches up to the falcon and pins it to the sidecar.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS39 	00:09:02,00 --> 00:09:07,50 	she catches up on the sidewalk.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS165 	00:34:14,00 --> 00:34:23,50 	outside, he shuffles across the street and vomits, catching the attention of two bystanders.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS295 	00:57:13,00 --> 00:57:18,50 	he catches his breath as she answers.
THE_CALL.srt 	THE_CALL_DVS112 	00:08:47,00 --> 00:08:52,50 	catching sight of his reflection in a mirror,
THE_CALL.srt 	THE_CALL_DVS781 	00:59:00,00 --> 00:59:06,50 	someone tears off her headset, catching the attention of her coworker.
THE_CALL.srt 	THE_CALL_DVS952 	01:13:18,00 --> 01:13:24,50 	catching sight of something, she digs around in the dirt and dry grass.
THE_CALL.srt 	THE_CALL_DVS1146 	01:26:11,00 --> 01:26:18,50 	he catches sight of duct tape binding his wrists to the wheelchair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS214 	00:34:28,00 --> 00:34:32,50 	someone catches up to him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS456 	01:08:24,00 --> 01:08:31,50 	he quickens his pace, struggling to catch up to his wife's lover.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1168 	02:05:00,00 --> 02:05:07,50 	while someone catches his breath someone ties a plastic bag over his head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1202 	02:07:35,00 --> 02:07:43,50 	someone catches air then races down the forest road and rounds a bend.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS199 	01:19:51,00 --> 01:19:57,50 	someone catches it and smacks the cap off on a chair.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS112 	00:33:07,00 --> 00:33:14,50 	he catches it in his shirt.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS23 	00:03:27,00 --> 00:03:32,50 	someone catches himself on the roof's edge as he tumbles off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS29 	00:03:52,00 --> 00:04:05,50 	someone catches it.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS249 	00:23:40,00 --> 00:23:45,50 	someone catches him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS186 	00:32:49,00 --> 00:32:58,50 	someone stares after him with a pinched brow, then allows a faint smile as she jogs forward to catch up with him on a 	hill.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS340 	00:55:39,00 --> 00:55:47,50 	about 50 yards away, someone stands doubled over, catching his breath.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS734 	01:37:20,00 --> 01:37:30,50 	she waves her arms, trying to catch someone's attention.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS208 	00:15:40,00 --> 00:15:47,50 	someone catches it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS434 	00:38:06,00 --> 00:38:12,50 	he leaps up, backflips, and catches hold of the model jet with his feet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS743 	01:07:32,00 --> 01:07:38,50 	someone hurls an energy ring, but someone catches it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS852 	01:17:56,00 --> 01:18:02,50 	someone morphs into her true form as she catches it.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS269 	00:51:12,00 --> 00:51:18,50 	as someone steps toward his house, he stumbles and someone catches him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS212 	00:22:51,00 --> 00:23:00,50 	someone's bat catches the zombie's face.
ZOMBIELAND.srt 	ZOMBIELAND_DVS657 	01:13:57,00 --> 01:14:02,50 	catching the zombie between its jaws.
ZOOKEEPER.srt 	ZOOKEEPER_DVS59 	00:11:29,00 --> 00:11:34,50 	he catches someone eyeing someone.
