21_JUMP_STREET.srt 	21_JUMP_STREET_DVS282 	00:48:55,00 --> 00:49:00,50 	he passes it off to the nerds and follows.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS243 	00:20:10,00 --> 00:20:24,50 	the truck follows, smashing through a cement monument.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS258 	00:22:30,00 --> 00:22:34,50 	the armored truck quickly follows.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS263 	00:22:52,00 --> 00:22:59,50 	as someone follows, his truck rips off the open door of a parked car.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS265 	00:23:00,00 --> 00:23:08,50 	as the truck follows, it clips the sedan and sends it soaring off the ramp onto the street below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS274 	00:23:35,00 --> 00:23:44,50 	following, the armored truck hits a car and fishtails around another.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS393 	00:35:52,00 --> 00:35:58,50 	wielding a handgun, someone follows someone and his son past a scaffold-supported sign.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS453 	00:44:17,00 --> 00:44:22,50 	someone follows.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS475 	00:46:16,00 --> 00:46:24,50 	someone drops his shotgun and his son reluctantly follows suit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS517 	00:50:17,00 --> 00:50:23,50 	someone scoops up a machine gun as he follows.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS543 	00:52:48,00 --> 00:52:58,50 	the copter pulls left to follow the fleeing men.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS723 	01:13:05,00 --> 01:13:14,50 	someone follows his son back across the roof.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS774 	01:16:51,00 --> 01:16:57,50 	someone slowly follows someone, who eyes the pistol beside someone's body.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS850 	01:23:53,00 --> 01:24:00,50 	the heavy caliber bullets rip into the building, following the helicopter's searchlights.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS73 	00:19:51,00 --> 00:19:57,50 	someone follows someone into his office.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS168 	00:31:46,00 --> 00:31:50,50 	someone follows someone into his office.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS185 	00:34:47,00 --> 00:34:52,50 	later he follows someone into a restaurant.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS53 	00:05:13,00 --> 00:05:20,50 	the priest heads off and someone follows leaving his wife alone in bed.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS159 	00:20:38,00 --> 00:20:49,50 	as the shopkeeper storms back in, someone follows.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS200 	00:27:17,00 --> 00:27:24,50 	wearing a tuxedo with his stovepipe hat, someone follows someone into a mansion.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS223 	00:31:56,00 --> 00:32:05,50 	that night, as someone trots down a sidewalk, someone follows clapping the picnic basket lid like a yapping mouth.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS413 	00:59:17,00 --> 00:59:23,50 	he and someone pull the raft up on shore then follow the woman with someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS446 	01:04:11,00 --> 01:04:16,50 	the young boy follows his mother.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS59 	00:08:54,00 --> 00:08:58,50 	someone follow him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS87 	00:12:48,00 --> 00:12:54,50 	he backs out of his parking spot and follows after the others.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS88 	00:12:56,00 --> 00:13:04,50 	later, the beat up sedan speeds down a dimly lit road with the fbi agent following close behind.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS90 	00:13:17,00 --> 00:13:23,50 	he follows the informant through a gate into an industrial complex, then parks his car behind stacks of pallets, hiding it from view.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS93 	00:13:40,00 --> 00:13:45,50 	he heads into the warehouse and the thugs follow.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS340 	00:56:15,00 --> 00:56:20,50 	they follow red droplets on the floor.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS410 	01:05:56,00 --> 01:06:05,50 	the guard ogles the disguised man's full figure then follows, enthusiastically waggling his head.
BLINDDATING.srt 	BLINDDATING_DVS184 	00:48:05,00 --> 00:48:09,50 	she follows him.
BLINDDATING.srt 	BLINDDATING_DVS220 	00:54:55,00 --> 00:55:02,50 	someone steps out, followed by a shapely young blonde.
BLINDDATING.srt 	BLINDDATING_DVS226 	00:55:40,00 --> 00:55:49,50 	someone follows to the middle of the room, makes a sharp turn and proceeds to the corner table occupied by a japanese couple.
BLINDDATING.srt 	BLINDDATING_DVS297 	01:13:31,00 --> 01:13:37,50 	the doctors follow his gesture.
BLINDDATING.srt 	BLINDDATING_DVS320 	01:17:12,00 --> 01:17:24,50 	as his sister crosses in front of him, he follows.
BLINDDATING.srt 	BLINDDATING_DVS356 	01:27:35,00 --> 01:27:53,50 	someone storms out, followed by his father and mother.
BLINDDATING.srt 	BLINDDATING_DVS358 	01:28:11,00 --> 01:28:29,50 	someone's father follows.
BURLESQUE.srt 	BURLESQUE_DVS319 	00:43:59,00 --> 00:44:06,50 	the backstage manager's gaze follows it as it lands on the floor at his feet.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS93 	00:14:46,00 --> 00:14:52,50 	the goateed man glances down, then follows someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS310 	00:58:59,00 --> 00:59:08,50 	the bodies of the two soldiers flop out onto the road as the truck follows the rest of the convoy into the fenced compound.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS351 	01:04:52,00 --> 01:05:01,50 	outside, several prisoners follow alongside the stolen armored vehicle as it blasts through the front gate.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS386 	01:10:07,00 --> 01:10:17,50 	someone follows someone out of the tent as they joined soldiers rushing to a gate at the end of the dirt road.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	he glances back and motions for them to follow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS463 	01:22:59,00 --> 01:23:05,50 	someone and someone follow someone over several train cars to a ladder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS465 	01:23:18,00 --> 01:23:23,50 	someone follows someone as he moves through the empty compartment.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS233 	00:18:33,00 --> 00:18:41,50 	later, it follows a coastal road that ascends parallel to a shelf of dizzying ocean-side cliffs.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS234 	00:18:39,00 --> 00:18:47,50 	now, fishing boats drift in a calm bay as the van follows a winding road uphill.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS268 	00:20:40,00 --> 00:20:45,50 	someone follows his friends to the top, then rides his board down the other side.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS311 	00:25:32,00 --> 00:25:38,50 	as she slips inside, he follows her to a baby's nursery.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS346 	00:32:27,00 --> 00:32:32,50 	then follows him off on his skateboard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS422 	00:39:41,00 --> 00:39:46,50 	now he follows someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS684 	01:06:32,00 --> 01:06:37,50 	stopping on the winding path, someone smiles and follows him onward.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS753 	01:15:23,00 --> 01:15:29,50 	following her into the kitchen, someone and someone find someone sprawled on the floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS836 	01:22:43,00 --> 01:22:48,50 	his mentor follows closely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS878 	01:25:47,00 --> 01:25:54,50 	following them, someone steps into a room with a gorgeously painted long board at its center.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS909 	01:29:25,00 --> 01:29:30,50 	someone follows his example.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS928 	01:30:42,00 --> 01:30:49,50 	now, from overhead, we follow a giant wave as it rolls along the water toward the bluffs.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS980 	01:36:07,00 --> 01:36:14,50 	someone follows, paddling up the wall of water and over the lip just seconds before it breaks.
CHRONICLE.srt 	CHRONICLE_DVS79 	00:10:22,00 --> 00:10:26,50 	someone gets up and follows him.
CHRONICLE.srt 	CHRONICLE_DVS90 	00:12:14,00 --> 00:12:18,50 	someone follows.
CHRONICLE.srt 	CHRONICLE_DVS95 	00:13:05,00 --> 00:13:09,50 	he follows someone around a corner.
CHRONICLE.srt 	CHRONICLE_DVS299 	00:45:24,00 --> 00:45:31,50 	the camera viewfinder now follows someone.
CHRONICLE.srt 	CHRONICLE_DVS371 	00:56:48,00 --> 00:56:56,50 	later, someone follows the unsuspecting thug down the hall.
CHRONICLE.srt 	CHRONICLE_DVS449 	01:05:43,00 --> 01:05:48,50 	we follow him as he hurries out of the room.
CHRONICLE.srt 	CHRONICLE_DVS455 	01:06:52,00 --> 01:07:00,50 	through someone's camera, we follow someone's gaze up the hospital building and find the smoking blast site.
CHRONICLE.srt 	CHRONICLE_DVS497 	01:11:27,00 --> 01:11:34,50 	someone follows.
CHRONICLE.srt 	CHRONICLE_DVS511 	01:13:05,00 --> 01:13:16,50 	now, as panicked bystanders flee, a camera tries to follow the movements of a body as it smashes through a billboard, then bounces between two buildings.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS75 	00:14:27,00 --> 00:14:32,50 	someone eyes his wife then follows someone to the stairs.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS81 	00:14:55,00 --> 00:15:02,50 	someone and someone follow the busy sidewalk.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS106 	00:24:19,00 --> 00:24:23,50 	someone follows.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS219 	00:45:39,00 --> 00:45:44,50 	across the street, a woman follows someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	behind her, two vendors sit at a folding table and men in business suits and fedoras follow different paths.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS398 	01:36:26,00 --> 01:36:31,50 	follows mrs. gould to their table.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS403 	01:37:51,00 --> 01:37:59,50 	the cinderella man follows his wife's gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS458 	01:47:39,00 --> 01:47:45,50 	our view follows to the many pews filled with working class families.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS493 	01:53:00,00 --> 01:53:27,50 	following his manager, someone climbs the stairs to the ring.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS561 	02:11:58,00 --> 02:12:03,50 	with left and right hooks followed by an uppercut.
COLOMBIANA.srt 	COLOMBIANA_DVS76 	00:05:21,00 --> 00:05:26,50 	the armed bodyguards follow him closely.
COLOMBIANA.srt 	COLOMBIANA_DVS145 	00:13:15,00 --> 00:13:22,50 	the gunman follows her as she races across the street and enters a building.
COLOMBIANA.srt 	COLOMBIANA_DVS160 	00:14:17,00 --> 00:14:20,50 	following her, a gunman rushes past the angry resident.
COLOMBIANA.srt 	COLOMBIANA_DVS163 	00:14:27,00 --> 00:14:32,50 	the gunman follows.
COLOMBIANA.srt 	COLOMBIANA_DVS195 	00:16:51,00 --> 00:16:56,50 	the others follow suit with their automatics.
COLOMBIANA.srt 	COLOMBIANA_DVS246 	00:20:42,00 --> 00:20:49,50 	a trailways bus crosses a bridge and a bird's eye view follows it up a street.
COLOMBIANA.srt 	COLOMBIANA_DVS674 	01:03:45,00 --> 01:03:52,50 	later at an airport, a woman and a goateed man follow someone past a baggage claim area.
COLOMBIANA.srt 	COLOMBIANA_DVS804 	01:17:59,00 --> 01:18:04,50 	they're in a van followed by a police car.
COLOMBIANA.srt 	COLOMBIANA_DVS996 	01:35:05,00 --> 01:35:09,50 	more gunmen follow.
COLOMBIANA.srt 	COLOMBIANA_DVS1006 	01:35:54,00 --> 01:36:01,50 	the bald gunman follows and the thin one takes cover behind a pillar.
DEAR_JOHN.srt 	DEAR_JOHN_DVS206 	00:32:22,00 --> 00:32:32,50 	someone follows his gaze to find someone's car pulling up outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS319 	00:49:19,00 --> 00:49:24,50 	they follow him into the kitchen.
DEAR_JOHN.srt 	DEAR_JOHN_DVS604 	01:23:27,00 --> 01:23:36,50 	and follows the winding drive around a knarled tree.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS46 	00:05:05,00 --> 00:05:14,50 	carrying a large plastic box, someone steps out of an elevator followed by someone and several other workers.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS153 	00:36:51,00 --> 00:36:57,50 	someone heads up the fire escape followed by someone.
DISTRICT_9.srt 	DISTRICT_9_DVS478 	00:55:24,00 --> 00:55:35,50 	his gaze follows their electrical cords through a hole in the floor.
DISTRICT_9.srt 	DISTRICT_9_DVS682 	01:19:52,00 --> 01:20:07,50 	the mnu transport arrives, followed by an armored pickup.
DISTRICT_9.srt 	DISTRICT_9_DVS852 	01:41:10,00 --> 01:41:21,50 	now, we follow a news helicopter's point of view.
EASY_A.srt 	EASY_A_DVS48 	00:16:12,00 --> 00:16:20,50 	an athletic team steps into view, followed by a smaller guy holding a rag to his bloody nose.
FLIGHT.srt 	FLIGHT_DVS152 	00:28:37,00 --> 00:28:46,50 	a man walks in wearing an ntsb jacket, followed by a few law officers, a nurse, and a doctor.
FLIGHT.srt 	FLIGHT_DVS695 	01:33:51,00 --> 01:33:55,50 	someone follows someone out of the plane.
FLIGHT.srt 	FLIGHT_DVS916 	01:48:57,00 --> 01:49:01,50 	someone follows.
FLIGHT.srt 	FLIGHT_DVS966 	01:54:22,00 --> 01:54:27,50 	someone and someone follow behind him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS48 	00:13:12,00 --> 00:13:19,50 	someone follows suit.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS214 	00:57:04,00 --> 00:57:14,50 	in one corner stenciled letters follow the @ symbol with ftail.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS295 	01:19:03,00 --> 01:19:10,50 	someone slouches then follows.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS346 	01:32:15,00 --> 01:32:25,50 	someone follows and meets them at the gate.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS47 	00:07:43,00 --> 00:07:49,50 	someone follows him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS72 	00:11:43,00 --> 00:11:54,50 	our view lurches backward in brief irregular bursts of fast motion as we watch a pair of black suvs pull out and follow them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS98 	00:15:16,00 --> 00:15:27,50 	following their gaze, someone discovers a fiery blast erupting on a far wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	someone's eyes shift upward and his head rolls to follow them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS131 	00:20:44,00 --> 00:20:51,50 	someone stares after her, glances back over his shoulder and follows.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS184 	00:29:40,00 --> 00:29:45,50 	someone shakes loose of his grasp and follows someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	a caravan of suvs drives under the machine's long truss boom followed by a pair of cargo trucks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS237 	00:37:53,00 --> 00:38:04,50 	following his gaze, someone finds ghost rider unharmed, standing at the explosion's outskirts.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS282 	00:43:33,00 --> 00:43:46,50 	approaching from behind with a tray of food, someone stops and follows someone's gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS313 	00:47:33,00 --> 00:47:42,50 	someone follows his lackey's gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS433 	01:02:13,00 --> 01:02:22,50 	the tattooed monk follows.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS452 	01:06:00,00 --> 01:06:07,50 	someone nods for her to follow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS456 	01:06:17,00 --> 01:06:22,50 	someone walks out followed by two of his masked men.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS480 	01:09:39,00 --> 01:09:46,50 	now someone and someone follow someone, climbing to the top of an ancient structure
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS490 	01:11:23,00 --> 01:11:31,50 	as someone follows her, someone returns his gaze to the amphitheater and knocks on a rock wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS491 	01:11:29,00 --> 01:11:34,50 	someone follows someone out among the ruins.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS556 	01:19:02,00 --> 01:19:36,50 	someone's vehicle speeds away followed by the armed convoy.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	its thick trails of black smoke obscure our view as we follow him up the highway.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS591 	01:25:17,00 --> 01:25:24,50 	following the chain, we find someone plunging into a sea of fire.
GREEN_ZONE.srt 	GREEN_ZONE_DVS82 	00:22:08,00 --> 00:22:22,50 	the general sits and the others follow suit.
GREEN_ZONE.srt 	GREEN_ZONE_DVS116 	00:28:09,00 --> 00:28:14,50 	a car cruises down a street followed by the white truck.
GREEN_ZONE.srt 	GREEN_ZONE_DVS131 	00:30:19,00 --> 00:30:25,50 	someone follows someone down a staircase.
GREEN_ZONE.srt 	GREEN_ZONE_DVS224 	00:56:02,00 --> 00:56:11,50 	someone follows someone through a gate.
GREEN_ZONE.srt 	GREEN_ZONE_DVS283 	01:05:32,00 --> 01:05:37,50 	someone follows.
GREEN_ZONE.srt 	GREEN_ZONE_DVS306 	01:10:00,00 --> 01:10:05,50 	the humvee pulls out, followed by someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS336 	01:15:52,00 --> 01:16:06,50 	someone looks over his shoulder and spots one of his men stalking out the alley and across the street following his path.
GREEN_ZONE.srt 	GREEN_ZONE_DVS346 	01:18:28,00 --> 01:18:39,50 	someone follows, matching his gait.
GREEN_ZONE.srt 	GREEN_ZONE_DVS416 	01:32:14,00 --> 01:32:23,50 	someone follows, only steps behind.
GROWN_UPS.srt 	GROWN_UPS_DVS191 	00:53:18,00 --> 00:53:32,50 	smiling bemusedly, he follows the out another door and down a hallway.
GROWN_UPS.srt 	GROWN_UPS_DVS213 	00:58:46,00 --> 00:58:50,50 	the others follow her gaze.
HUGO.srt 	HUGO_DVS58 	00:07:40,00 --> 00:07:47,50 	swinging out his unbending left leg as he runs, the inspector follows after them.
HUGO.srt 	HUGO_DVS102 	00:13:48,00 --> 00:13:54,50 	someone stares after him, then follows through the mostly deserted train station.
HUGO.srt 	HUGO_DVS107 	00:14:19,00 --> 00:14:27,50 	shivering against the cold, someone follows several paces behind the shopkeeper as he crosses a wide brick street.
HUGO.srt 	HUGO_DVS197 	00:28:43,00 --> 00:28:50,50 	someone stares at the bookseller as he follows someone to the back of the shop.
HUGO.srt 	HUGO_DVS253 	00:35:56,00 --> 00:36:03,50 	holding his dog on a leash, the station inspector stares intently at the boy as he follows him.
HUGO.srt 	HUGO_DVS299 	00:46:17,00 --> 00:46:21,50 	someone follows someone.
HUGO.srt 	HUGO_DVS722 	01:46:51,00 --> 01:47:03,50 	the doberman follows the inspector as he chases someone through the crowd.
IN_TIME.srt 	IN_TIME_DVS76 	00:08:45,00 --> 00:08:51,50 	posted nearby, a thug in a fedora follows him.
IN_TIME.srt 	IN_TIME_DVS315 	00:32:42,00 --> 00:32:48,50 	someone follows their eyes to the 23 seconds remaining on his clock.
IN_TIME.srt 	IN_TIME_DVS326 	00:33:29,00 --> 00:33:34,50 	the auburn-haired woman and someone follow suit.
IN_TIME.srt 	IN_TIME_DVS328 	00:33:41,00 --> 00:33:46,50 	someone follows his gaze.
IN_TIME.srt 	IN_TIME_DVS333 	00:34:29,00 --> 00:34:40,50 	someone casts someone a fascinated look, then follows her father downstairs.
IN_TIME.srt 	IN_TIME_DVS359 	00:37:54,00 --> 00:37:59,50 	someone follows suite, lowing her hands.
IN_TIME.srt 	IN_TIME_DVS384 	00:40:21,00 --> 00:40:26,50 	someone gazes after her and follows.
IN_TIME.srt 	IN_TIME_DVS423 	00:45:31,00 --> 00:45:38,50 	as someone and his hostage speed away, the timekeeper cars follow.
IN_TIME.srt 	IN_TIME_DVS520 	00:56:15,00 --> 00:56:21,50 	someone follows someone up a fire escape to a balcony.
IN_TIME.srt 	IN_TIME_DVS748 	01:19:10,00 --> 01:19:21,50 	as someone races on, someone shoots back at their pursuer, then follows her.
IN_TIME.srt 	IN_TIME_DVS753 	01:19:36,00 --> 01:19:46,50 	someone slides down a pipe along the building, followed by her partner in crime.
IN_TIME.srt 	IN_TIME_DVS858 	01:30:38,00 --> 01:30:45,50 	someone follows.
IN_TIME.srt 	IN_TIME_DVS904 	01:35:38,00 --> 01:35:44,50 	following close behind, someone's cruiser turns a corner.
IN_TIME.srt 	IN_TIME_DVS929 	01:37:49,00 --> 01:37:56,50 	clutching his gun, he sprints between the blocks and follows the road down the hill.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	following them to the doorway, someone looks back at the other hostages.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	someone turns away and his crew follows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS99 	00:26:19,00 --> 00:26:32,50 	the pony-tailed client picks up a metal briefcase and follows the assistant out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS104 	00:30:17,00 --> 00:30:23,50 	the door to the command truck and follows the detectives inside.
