21_JUMP_STREET.srt 	21_JUMP_STREET_DVS281 	00:48:51,00 --> 00:48:57,50 	a nerd knocks him into someone and someone swipes the dealer's phone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS501 	00:55:32,00 --> 00:55:40,50 	his enormous mass knocks someone onto his back on the canvas and the rat scurries along the cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS881 	01:29:06,00 --> 01:29:12,50 	a wall of water crashes down knocking someone off the boat.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS630 	01:16:25,00 --> 01:16:35,50 	a basketball tumbles from the shelf and knocks her to the floor.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS353 	01:16:27,00 --> 01:16:34,50 	he knocks a piece to the floor.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS303 	01:11:32,00 --> 01:11:43,50 	as someone kicks at the can, he slips in the mud and knocks his wife down beside him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS132 	00:31:26,00 --> 00:31:37,50 	a blue soldier jumps off a boulder and knocks a red opponent to the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS209 	00:53:35,00 --> 00:53:45,50 	she shoves the statue, which knocks into another, creating a domino effect that topples an entire row.
PROMETHEUS.srt 	PROMETHEUS_DVS424 	00:43:01,00 --> 00:43:11,50 	as someone grabs it, the silica storm knocks her 50 yards into one of the ships towering landing struts.
PROMETHEUS.srt 	PROMETHEUS_DVS926 	01:41:55,00 --> 01:42:01,50 	a torrent of smoke shoots through the tunnel, knocking someone off her feet.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS83 	00:13:54,00 --> 00:14:07,50 	he knocks with the butt of his rifle.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS418 	01:44:33,00 --> 01:44:38,50 	he knocks someone down causing the bald thug from behind.
SALT.srt 	SALT_DVS455 	01:18:12,00 --> 01:18:27,50 	he knocks down the other agent as well.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS624 	00:41:26,00 --> 00:41:29,50 	she knocks.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS220 	00:42:12,00 --> 00:42:18,50 	the recoil from another knocks him over.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS232 	00:44:34,00 --> 00:44:39,50 	someone, knocking him onto his back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS282 	00:57:43,00 --> 00:57:47,50 	he knocks on the surface causing it to ripple.
SOUL_SURFER.srt 	SOUL_SURFER_DVS130 	00:41:56,00 --> 00:42:02,50 	knocking a price marker down and upsetting some loose apples.
SUPER_8.srt 	SUPER_8_DVS468 	01:22:02,00 --> 01:22:09,50 	the driver pumps the gas pedal, the creature slams against the bus, and knocks it over onto one side.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS70 	00:09:40,00 --> 00:09:47,50 	chasing the cat across the counter, snowy knocks the model ship to the floor.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS245 	00:37:10,00 --> 00:37:16,50 	someone swings down his empty fist knocking the thug to the deck.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS669 	01:30:22,00 --> 01:30:28,50 	the tip of someone's crane smashes into someone's cab, knocking him to the floor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	now he knocks on a door.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS184 	00:38:24,00 --> 00:38:28,50 	he knocks on the trunk.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS519 	01:33:33,00 --> 01:33:37,50 	she knocks him out.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS107 	00:18:54,00 --> 00:19:00,50 	someone hurries ahead and knocks eagerly on a door.
THE_WATCH.srt 	THE_WATCH_DVS301 	00:53:55,00 --> 00:54:00,50 	the alien knocks the sofa across the room.
THE_WATCH.srt 	THE_WATCH_DVS523 	01:31:38,00 --> 01:31:46,50 	the aliens scramble out of the basement, then race across the store, knocking over lawn furniture.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS66 	00:17:31,00 --> 00:17:36,50 	she knocks over a giant toy robot.
THOR.srt 	THOR_DVS152 	00:21:53,00 --> 00:22:06,50 	one someone punctures the ground creating a shockwave that thrusts a shard of ice up out of the rock and knocks someone off his feet.
THOR.srt 	THOR_DVS167 	00:23:12,00 --> 00:23:17,50 	the giant knocks someone's sword out of his hand.
THOR.srt 	THOR_DVS202 	00:27:06,00 --> 00:27:15,50 	bright light engulfs someone, knocking someone backward.
THOR.srt 	THOR_DVS217 	00:29:27,00 --> 00:29:36,50 	someone thrusts out someone, knocking someone backward into the bifrost transport tunnel.
THOR.srt 	THOR_DVS634 	01:36:19,00 --> 01:36:24,50 	swinging his spear, someone knocks someone to the floor.
THOR.srt 	THOR_DVS637 	01:37:02,00 --> 01:37:07,50 	someone tackles someone, who knocks someone away.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS119 	00:13:36,00 --> 00:13:41,50 	someone bolts, knocking other fairies down on his way.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS285 	00:34:57,00 --> 00:35:03,50 	the boy rolls in his sleep, knocking someone off the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS622 	01:08:51,00 --> 01:08:56,50 	an arrow bashes him away from the puck, knocking him down.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS671 	01:15:05,00 --> 01:15:10,50 	an opposing team member knocks him down.
TRUE_GRIT.srt 	TRUE_GRIT_DVS481 	01:32:14,00 --> 01:32:20,50 	someone bashes someone on the head with a boulder, knocking him unconscious.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS660 	01:32:19,00 --> 01:32:24,50 	he knocks a glass off a tray.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS258 	00:19:51,00 --> 00:19:58,50 	the cyclone-maker flicks his hand and the whirlwind knocks the colonel into a wall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS397 	00:33:26,00 --> 00:33:31,50 	the whirlwind knocks the boats high in the air.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS857 	01:18:31,00 --> 01:18:36,50 	he tries again and the blast knocks him over.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1183 	01:45:40,00 --> 01:45:48,50 	she spits fireballs, knocking him off of his feet, and scorching the disc on his chest.
