21_JUMP_STREET.srt 	21_JUMP_STREET_DVS38 	00:04:22,00 --> 00:04:30,50 	now by someone's bed, someone shoots him with a toy gun.
BAD_TEACHER.srt 	BAD_TEACHER_DVS302 	01:20:40,00 --> 01:20:45,50 	he shoots someone a fearful glance.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS107 	00:15:15,00 --> 00:15:21,50 	as the informant sprints out of the warehouse, the mobster shoots him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS115 	00:15:58,00 --> 00:16:05,50 	someone appears and shoots someone in the leg.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS409 	01:05:53,00 --> 01:05:59,50 	shooting someone a wary look, someone heads inside.
BLINDDATING.srt 	BLINDDATING_DVS80 	00:24:31,00 --> 00:24:37,50 	someone shoots someone a quick glare.
BRUNO.srt 	BRUNO_DVS23 	00:04:36,00 --> 00:04:40,50 	and shoots back to someone's hips.
BURLESQUE.srt 	BURLESQUE_DVS222 	00:33:20,00 --> 00:33:29,50 	someone shoots a satisfied glance toward someone at the back of the house.
BURLESQUE.srt 	BURLESQUE_DVS710 	01:47:56,00 --> 01:48:02,50 	the brunette shoots her another look,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS56 	00:08:01,00 --> 00:08:09,50 	the nazi officer shoots the bearded man, then touches the side of his own face as he works his jaw.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS211 	00:38:08,00 --> 00:38:24,50 	as someone flees the room, he shoots an mp.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	pursuing agents shoot the gunman as someone's car speeds away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS341 	01:03:22,00 --> 01:03:39,50 	outside, escaped prisoners shoot down several hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS450 	01:20:37,00 --> 01:20:45,50 	outside another destroyed factory, a hydra guard aims a gun at someone but someone shoots the guard first.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS513 	01:32:11,00 --> 01:32:21,50 	the troopers shoot blasters at someone as they speed closer.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS531 	01:35:05,00 --> 01:35:14,50 	outside, grappling hooks and cables shoot into the mountainside above the barred window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS548 	01:36:37,00 --> 01:36:41,50 	someone shoots the trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS567 	01:38:41,00 --> 01:38:47,50 	flames shoot out of the back of the car as it shoots forward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS567 	01:38:41,00 --> 01:38:47,50 	flames shoot out of the back of the car as it shoots forward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS624 	01:44:53,00 --> 01:45:01,50 	an intensifying beam shoots out of the top of the cube and someone's fingers begin to smoke.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS625 	01:45:06,00 --> 01:45:12,50 	the energy beam shoots out of the top of the plane and into the sky.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS172 	00:13:38,00 --> 00:13:42,50 	someone shoots him an impatient look.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS415 	00:39:07,00 --> 00:39:14,50 	the board shoots out of the water with someone unseen and someone smiles from the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS517 	00:50:22,00 --> 00:50:27,50 	the surfer's bright orange board shoots out of the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1059 	01:41:39,00 --> 01:41:44,50 	someone shoots someone a pleading look.
CHRONICLE.srt 	CHRONICLE_DVS510 	01:13:02,00 --> 01:13:07,50 	both boys shoot straight up into the air.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS91 	00:16:54,00 --> 00:16:59,50 	someone shoots him a harsh look.
COLOMBIANA.srt 	COLOMBIANA_DVS194 	00:16:48,00 --> 00:16:54,50 	someone shoots his handgun into the storm drain opening.
COLOMBIANA.srt 	COLOMBIANA_DVS249 	00:20:58,00 --> 00:21:06,50 	she timidly strides between two columns of benches shooting furtive glances at the other commuter.
COLOMBIANA.srt 	COLOMBIANA_DVS268 	00:22:20,00 --> 00:22:25,50 	he shoots his lackey a stunned look.
COLOMBIANA.srt 	COLOMBIANA_DVS541 	00:49:02,00 --> 00:49:06,50 	the killer shoots them.
COLOMBIANA.srt 	COLOMBIANA_DVS661 	01:02:07,00 --> 01:02:13,50 	she shoots him in his leg and he sinks to one knee.
COLOMBIANA.srt 	COLOMBIANA_DVS664 	01:02:27,00 --> 01:02:34,50 	someone shoots him in the shoulder and he tumbles into the uncovered gap in the panel.
COLOMBIANA.srt 	COLOMBIANA_DVS1087 	01:43:04,00 --> 01:43:10,50 	at the fbi, agent someone shoots his partner a frustrated look.
DEAR_JOHN.srt 	DEAR_JOHN_DVS27 	00:03:10,00 --> 00:03:32,50 	the soldier seizes it, then kicks off the bottom and shoots back to the surface.
DISTRICT_9.srt 	DISTRICT_9_DVS230 	00:25:49,00 --> 00:25:53,50 	someone shoots it in the head.
DISTRICT_9.srt 	DISTRICT_9_DVS597 	01:10:16,00 --> 01:10:22,50 	and the guard shoots him in the chest.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	as someone shoots a gangster.
DISTRICT_9.srt 	DISTRICT_9_DVS732 	01:26:29,00 --> 01:26:36,50 	it shoots someone.
DISTRICT_9.srt 	DISTRICT_9_DVS844 	01:39:50,00 --> 01:39:58,50 	the colonel shoots two of them.
EASY_A.srt 	EASY_A_DVS44 	00:15:08,00 --> 00:15:13,50 	someone's hand shoots up.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS27 	00:04:10,00 --> 00:04:29,50 	he shoots out the hatchback's rear window, then the motorcycle's back tire, launching someone over a safety railing.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS84 	00:13:38,00 --> 00:13:46,50 	shielding her face, she shoots blindly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS242 	00:38:46,00 --> 00:39:00,50 	the guard shoots into ghost rider's open mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS248 	00:39:29,00 --> 00:39:41,50 	as guards shoot at him, the leather clad skeleton rises to his feet.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS267 	00:41:51,00 --> 00:42:00,50 	someone shoots him a fearful glance.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS321 	00:48:45,00 --> 00:48:53,50 	as someone mimes urinating, someone imagines ghost rider shooting out a powerful stream of fire.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS408 	00:59:44,00 --> 00:59:54,50 	he shoots a seemingly endless length of chain from his mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS513 	01:13:51,00 --> 01:13:57,50 	he tosses the bottle and shoots them both down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS526 	01:14:55,00 --> 01:15:00,50 	he shoots down a guard.
GREEN_ZONE.srt 	GREEN_ZONE_DVS439 	01:36:43,00 --> 01:36:47,50 	fire as someone's aide shoots him.
HUGO.srt 	HUGO_DVS570 	01:23:45,00 --> 01:23:54,50 	sparks shoot from between the train's wheels.
HUGO.srt 	HUGO_DVS674 	01:37:52,00 --> 01:37:57,50 	flames shoot from the dragon's nostrils.
HUGO.srt 	HUGO_DVS689 	01:39:54,00 --> 01:40:01,50 	sparks shoot in front of someone as she reclined in front of a painting of a shooting star.
IN_TIME.srt 	IN_TIME_DVS227 	00:23:55,00 --> 00:24:01,50 	the chauffeur shoots him a look in the rear view mirror.
IN_TIME.srt 	IN_TIME_DVS275 	00:28:09,00 --> 00:28:16,50 	he shoots furtive glances at his surroundings as he devours his french fries.
IN_TIME.srt 	IN_TIME_DVS320 	00:33:03,00 --> 00:33:10,50 	someone shoots the auburn-haired woman a sidelong glance.
IN_TIME.srt 	IN_TIME_DVS633 	01:07:39,00 --> 01:07:44,50 	someone shoots him a glance.
IN_TIME.srt 	IN_TIME_DVS656 	01:11:13,00 --> 01:11:18,50 	now, someone teaches someone how to shoot.
IN_TIME.srt 	IN_TIME_DVS750 	01:19:26,00 --> 01:19:30,50 	someone shoots back.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	without breaking eye contact with someone, someone draws a gun from his boot and shoots the underlings.
IN_TIME.srt 	IN_TIME_DVS840 	01:29:17,00 --> 01:29:22,50 	someone shoots her a questioning glance.
INSIDE_MAN.srt 	INSIDE_MAN_DVS296 	01:30:08,00 --> 01:30:15,50 	officers shoot them down.
IRON_MAN_2.srt 	IRON_MAN_2_DVS472 	01:25:50,00 --> 01:25:56,50 	the accelerator shoots beams of light through the prism.
IRON_MAN_2.srt 	IRON_MAN_2_DVS648 	01:49:20,00 --> 01:49:25,50 	pulse whips shoot out from the arms of someone's suit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS103 	00:22:06,00 --> 00:22:13,50 	she submerges then shoots 20 feet out of the water and crashes down on the patio table.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS388 	01:14:46,00 --> 01:14:50,50 	irma shooting herself.
KARATE_KID.srt 	KARATE_KID_DVS1132 	01:34:09,00 --> 01:34:16,50 	as others shoot someone offended looks, he sheepishly trails off.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS358 	01:24:49,00 --> 01:24:53,50 	rockets shoot upward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS360 	01:25:01,00 --> 01:25:07,50 	fountains of sparking fireworks shoot up behind them.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS174 	01:04:26,00 --> 01:04:31,50 	someone shoots someone a look of concern.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS80 	00:20:38,00 --> 00:20:47,50 	she eyes the students who shoot each other uneasy glances, then return their attention to their professor.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS100 	00:40:15,00 --> 00:40:23,50 	later, someone sits with her as she pretends to shoot green toy soldiers with tan ones.
MORNING_GLORY.srt 	MORNING_GLORY_DVS122 	00:27:19,00 --> 00:27:26,50 	someone shoots two pheasants flying above the trees.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS462 	00:54:27,00 --> 00:54:34,50 	he forces a smile, then shoots the corner table another glance.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS507 	01:01:14,00 --> 01:01:20,50 	grinning, someone shoots her dad a tearful glance.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS95 	00:22:23,00 --> 00:22:27,50 	archers almost shoot them.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS240 	01:04:15,00 --> 01:04:20,50 	someone shoots another custodian.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS401 	01:37:31,00 --> 01:37:37,50 	someone shoots it with lightning as someone swoops through an open floor.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS458 	01:28:11,00 --> 01:28:18,50 	as someone shoots the side door, homer fires back.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS261 	00:40:31,00 --> 00:40:36,50 	someone shoots him an incredulous look.
SALT.srt 	SALT_DVS63 	00:13:11,00 --> 00:13:16,50 	a boy's hand shoots up.
SALT.srt 	SALT_DVS297 	00:52:20,00 --> 00:52:29,50 	she shoots him.
SALT.srt 	SALT_DVS468 	01:20:18,00 --> 01:20:24,50 	over the table and someone shoots her.
SALT.srt 	SALT_DVS469 	01:20:28,00 --> 01:20:43,50 	someone shoots him.
SANCTUM.srt 	SANCTUM_DVS374 	01:14:29,00 --> 01:14:38,50 	someone shoots someone a disbelieving glance.
SANCTUM.srt 	SANCTUM_DVS454 	01:25:15,00 --> 01:25:21,50 	someone pauses beside him and someone shoots him a glance.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS228 	00:44:02,00 --> 00:44:06,50 	now, someone shoots a fire
SPARKLE_2012.srt 	SPARKLE_2012_DVS64 	00:11:18,00 --> 00:11:25,50 	someone shoots someone a dirty look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS188 	00:30:54,00 --> 00:31:00,50 	someone shoots someone a look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS284 	00:45:07,00 --> 00:45:12,50 	someone giggles and someone shoots her a look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS289 	00:47:21,00 --> 00:47:29,50 	as tune ann chomps on a carrot, her mother shoots her a furious look.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS279 	00:40:29,00 --> 00:40:34,50 	someone shoots the handle of a searchlight beside someone,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS321 	00:50:05,00 --> 00:50:12,50 	someone shoots the plane as it swoops overhead.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS412 	01:00:17,00 --> 01:00:22,50 	the pirate shoots a sailor, then lands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS413 	01:00:19,00 --> 01:00:27,50 	sir someone shoots the pirate, punches another then kicks a third before slicing him with a sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS596 	01:21:13,00 --> 01:21:18,50 	he fires, but the rocket shoots out of the back of the launcher.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS657 	01:28:58,00 --> 01:29:14,50 	he shoots at someone but misses.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS40 	00:09:28,00 --> 00:09:34,50 	on a nearby court boys shoot baskets.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS69 	00:15:42,00 --> 00:15:56,50 	he shoots a glance at someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS200 	00:38:22,00 --> 00:38:27,50 	he shoots her an alarmed look.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS533 	01:37:11,00 --> 01:37:17,50 	the men shoot at each other.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS305 	00:36:01,00 --> 00:36:08,50 	from her seat across his desk, someone shoots the portly bearded man a weary look.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1330 	02:22:31,00 --> 02:22:36,50 	someone shoots a look to someone who shrugs.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS177 	01:10:06,00 --> 01:10:12,50 	someone shoots him a scolding pout.
THE_VOW.srt 	THE_VOW_DVS150 	00:15:48,00 --> 00:15:53,50 	he shoots her doctor a glance.
THE_WATCH.srt 	THE_WATCH_DVS107 	00:16:48,00 --> 00:16:53,50 	someone shoots a finger gun into the air.
THE_WATCH.srt 	THE_WATCH_DVS207 	00:38:23,00 --> 00:38:30,50 	someone sticks his finger in the ball and it shoots a beam of energy at a cow.
THE_WATCH.srt 	THE_WATCH_DVS460 	01:22:50,00 --> 01:22:54,50 	someone shoots it in the shoulder.
THE_WATCH.srt 	THE_WATCH_DVS467 	01:24:23,00 --> 01:24:29,50 	the others shoot the creature down again with a shot to the groin.
THE_WATCH.srt 	THE_WATCH_DVS480 	01:26:06,00 --> 01:26:10,50 	they prepare to shoot.
THE_WATCH.srt 	THE_WATCH_DVS490 	01:27:33,00 --> 01:27:41,50 	they shoot, to no avail, even blasting a hole in one's head.
THE_WATCH.srt 	THE_WATCH_DVS516 	01:31:17,00 --> 01:31:22,50 	someone shoots the alien and someone kicks it off.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS340 	01:24:17,00 --> 01:24:27,50 	a woman waiting in the valet area shoots someone a dubious look.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS529 	01:56:02,00 --> 01:56:13,50 	as he shoots, ron artest smacks the ball away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS26 	00:03:35,00 --> 00:03:46,50 	leaping onto the helipad, someone shoots a bald guard.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS259 	00:48:29,00 --> 00:48:34,50 	he shoots the drone, destroying it.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS294 	00:54:18,00 --> 00:54:26,50 	crouching on a deck, he shoots the players hiding beneath then beacons someone with the wave.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS303 	00:55:36,00 --> 00:55:41,50 	her gun shoots him in the crouch.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS461 	01:21:42,00 --> 01:21:50,50 	someone shoots the tire on someone's car which veers off the road and catches air over a decorative man-made lake.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS472 	01:23:26,00 --> 01:23:46,50 	as it bounces under the pursuer's bumper, the agents shoot it and it explodes.
THOR.srt 	THOR_DVS35 	00:03:55,00 --> 00:04:01,50 	flashes of white light shoot down beside a distant mountain.
THOR.srt 	THOR_DVS46 	00:05:04,00 --> 00:05:09,50 	meanwhile, a flame shoots from the warrior leaders spears.
THOR.srt 	THOR_DVS116 	00:17:26,00 --> 00:17:36,50 	someone and his companions shoot down a tunnel and vanish in a flash of light.
THOR.srt 	THOR_DVS203 	00:27:12,00 --> 00:27:20,50 	the beam of light sucks up someone and the other asgardians before shooting back into outer space and vanishing.
THOR.srt 	THOR_DVS230 	00:31:08,00 --> 00:31:12,50 	someone shoots someone with a taser.
THOR.srt 	THOR_DVS559 	01:28:14,00 --> 01:28:23,50 	someone's hand shoots up and snatches someone out of the air as a bolt of lightning strikes it.
THOR.srt 	THOR_DVS562 	01:28:24,00 --> 01:28:31,50 	metal shards shoot onto someone's skin, becoming his armor.
THOR.srt 	THOR_DVS607 	01:32:39,00 --> 01:32:46,50 	they shoot through outer space along the bifrost bridge then emerge in someone's observatory.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS52 	00:06:41,00 --> 00:06:45,50 	she shoots him a look.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS604 	01:05:57,00 --> 01:06:05,50 	someone shoots the last puck and pumps a fist.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS739 	01:21:18,00 --> 01:21:24,50 	someone swivels the gun as it shoots a thick jet of amnesia dust.
TRUE_GRIT.srt 	TRUE_GRIT_DVS217 	00:46:31,00 --> 00:46:37,50 	someone shoots his pistol in the air and the bird flies off.
TRUE_GRIT.srt 	TRUE_GRIT_DVS263 	00:54:07,00 --> 00:54:14,50 	the men start shooting from the cabin and someone returns fire.
TRUE_GRIT.srt 	TRUE_GRIT_DVS271 	00:58:05,00 --> 00:58:11,50 	someone shoots someone in the face.
TRUE_GRIT.srt 	TRUE_GRIT_DVS298 	01:03:26,00 --> 01:03:32,50 	someone shoots him.
TRUE_GRIT.srt 	TRUE_GRIT_DVS301 	01:03:38,00 --> 01:03:43,50 	someone methodically shoots back with his rifle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS330 	01:10:11,00 --> 01:10:15,50 	and shoots it to bits.
TRUE_GRIT.srt 	TRUE_GRIT_DVS342 	01:11:16,00 --> 01:11:21,50 	he shoots wildly.
TRUE_GRIT.srt 	TRUE_GRIT_DVS355 	01:12:55,00 --> 01:13:00,50 	he shoots into the darkness.
TRUE_GRIT.srt 	TRUE_GRIT_DVS457 	01:30:40,00 --> 01:30:48,50 	someone shoots the simpleton.
TRUE_GRIT.srt 	TRUE_GRIT_DVS518 	01:35:08,00 --> 01:35:13,50 	someone shoots his pistol at the ground.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS31 	00:03:18,00 --> 00:03:23,50 	the team shoots a cooking segment.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS401 	00:48:49,00 --> 00:48:54,50 	someone shoots someone a look.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS296 	00:40:49,00 --> 00:40:54,50 	she shoots a look at someone, who cracks up.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS429 	01:00:57,00 --> 01:01:01,50 	she shoots a basket.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS627 	01:25:45,00 --> 01:25:53,50 	as her mother uninhibitedly jumps up and down, someone shoots someone an uneasy glance.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS495 	00:45:20,00 --> 00:45:36,50 	his chest heaves as he envisions shooting into the air past hundreds of humans.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS551 	00:51:42,00 --> 00:51:46,50 	someone shoots someone a smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS558 	00:52:25,00 --> 00:52:32,50 	red rings of energy swirl around him and shoot off like discs.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS717 	01:04:35,00 --> 01:04:42,50 	the agent accidentally shoots someone's hostage and the teleporter vanishes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS864 	01:19:12,00 --> 01:19:19,50 	rings of sound waves shoot out of his mouth, expanding in a cone shape.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS876 	01:20:11,00 --> 01:20:17,50 	he shoots an uncertain look and his friend nod
ZOMBIELAND.srt 	ZOMBIELAND_DVS66 	00:05:44,00 --> 00:05:50,50 	the narrator shoots her in the chest but she keeps coming.
ZOMBIELAND.srt 	ZOMBIELAND_DVS182 	00:17:52,00 --> 00:17:59,50 	now the zombie's hands shoots up and twists the bathroom door knob.
ZOMBIELAND.srt 	ZOMBIELAND_DVS297 	00:33:28,00 --> 00:33:33,50 	she shoots out the moon roof.
ZOMBIELAND.srt 	ZOMBIELAND_DVS462 	00:53:39,00 --> 00:53:44,50 	someone springs up and shoots someone in the chest.
ZOMBIELAND.srt 	ZOMBIELAND_DVS665 	01:14:28,00 --> 01:14:32,50 	he shoots a zombie woman in the head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS680 	01:15:17,00 --> 01:15:23,50 	as she claws at him, someone shoots her in the stomach.
ZOMBIELAND.srt 	ZOMBIELAND_DVS684 	01:15:37,00 --> 01:15:44,50 	meanwhile, as someone exits the roller coaster, he shoots an approaching zombie.
ZOMBIELAND.srt 	ZOMBIELAND_DVS691 	01:16:10,00 --> 01:16:16,50 	a couple climb onto the roof and someone shoots them through the ceiling.
