21_JUMP_STREET.srt 	21_JUMP_STREET_DVS666 	01:40:29,00 --> 01:40:33,50 	it lies in the street.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS138 	00:23:55,00 --> 00:24:03,50 	he hugs the grenade to his torso as he lies in a fetal position.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS345 	01:04:09,00 --> 01:04:14,50 	someone rushes up to someone who lies on a padded table.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS660 	01:50:46,00 --> 01:50:53,50 	lying in a brightly lit hospital room, someone flickers open his eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS84 	00:06:45,00 --> 00:06:50,50 	a blonde woman lies on her side in a rumpled bed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS159 	00:12:48,00 --> 00:12:51,50 	now, lying on his stomach, he paddles out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS430 	00:40:46,00 --> 00:40:53,50 	the veteran surfer lies flat on the board and busts through the top portion as it breaks.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS520 	00:50:42,00 --> 00:50:49,50 	the board lies in a calm spot on the surface as another wave crashes into a large rock.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS523 	00:51:00,00 --> 00:51:09,50 	now at home, someone's observation notes lie strewn on his bed along with ocean maps and various science books.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS790 	01:18:31,00 --> 01:18:35,50 	in bed, someone lies on her back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS793 	01:18:37,00 --> 01:18:42,50 	the teen shifts his pensive gaze then lies down beside his mother.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS917 	01:29:52,00 --> 01:29:58,50 	now, someone's surfing gear lies neatly on his bed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1082 	01:43:19,00 --> 01:43:24,50 	someone lies down on his board and paddles away.
CHRONICLE.srt 	CHRONICLE_DVS132 	00:19:45,00 --> 00:19:50,50 	someone lies awake in bed.
CHRONICLE.srt 	CHRONICLE_DVS183 	00:27:18,00 --> 00:27:26,50 	the driver lies limp with a long cut up his forearm and a streak of blood staining the corner of his mouth.
CHRONICLE.srt 	CHRONICLE_DVS192 	00:28:33,00 --> 00:28:40,50 	now in his room, the troubled teen lies on his bed, one hand outstretched toward us.
CHRONICLE.srt 	CHRONICLE_DVS231 	00:33:00,00 --> 00:33:05,50 	someone lies before us, nose bleeding.
CHRONICLE.srt 	CHRONICLE_DVS237 	00:33:47,00 --> 00:33:52,50 	later, someone lies back.
CHRONICLE.srt 	CHRONICLE_DVS242 	00:34:47,00 --> 00:34:53,50 	now in a dark living room, the shy teen lies back on a pillow.
CHRONICLE.srt 	CHRONICLE_DVS323 	00:49:36,00 --> 00:49:44,50 	someone lies belly-down on his bedroom floor, half-propped on his elbows with his hands folded.
CHRONICLE.srt 	CHRONICLE_DVS344 	00:51:55,00 --> 00:52:03,50 	as the retired firefighter catches his breath lying face down, someone remains standing.
CHRONICLE.srt 	CHRONICLE_DVS390 	00:59:17,00 --> 00:59:23,50 	from the hall, he views his agonizing mother lying in bed.
CHRONICLE.srt 	CHRONICLE_DVS433 	01:03:10,00 --> 01:03:16,50 	inside, a heavily bandaged someone lies unconscious.
CHRONICLE.srt 	CHRONICLE_DVS440 	01:03:57,00 --> 01:04:03,50 	the heavily bandaged teen lies motionless and unresponsive.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS245 	01:01:34,00 --> 01:01:44,50 	lying on their backs, their eyes remain wide open.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS351 	01:26:51,00 --> 01:26:56,50 	a man lies on the ground, his chest heaving.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS464 	01:48:22,00 --> 01:48:31,50 	someone lies on a bench nearby tapping his fingers on his chest and whistling at the ceiling.
COLOMBIANA.srt 	COLOMBIANA_DVS240 	00:20:15,00 --> 00:20:19,50 	a window lies ajar.
COLOMBIANA.srt 	COLOMBIANA_DVS398 	00:35:34,00 --> 00:35:40,50 	someone lies on her back and slithers her feet between the blades.
COLOMBIANA.srt 	COLOMBIANA_DVS457 	00:40:10,00 --> 00:40:16,50 	back in her party girl disguise, she lies curled up on her cot.
COLOMBIANA.srt 	COLOMBIANA_DVS465 	00:40:50,00 --> 00:40:56,50 	now in a morgue, a body bag lies on a slab.
COLOMBIANA.srt 	COLOMBIANA_DVS565 	00:51:42,00 --> 00:51:49,50 	now he sleeps curled up in bed while someone lies awake at his side.
COLOMBIANA.srt 	COLOMBIANA_DVS647 	01:00:44,00 --> 01:00:49,50 	another guard lies dead beside him.
COLOMBIANA.srt 	COLOMBIANA_DVS689 	01:05:10,00 --> 01:05:16,50 	and notices one of someone's shirts lying on top of the covers.
DEAR_JOHN.srt 	DEAR_JOHN_DVS441 	01:05:09,00 --> 01:05:19,50 	in charleston, moonlight shines across someone's face as she lies awake in bed.
DEAR_JOHN.srt 	DEAR_JOHN_DVS492 	01:12:05,00 --> 01:12:12,50 	now pale light shines through venetian blinds, as someone lies in a bed.
DEAR_JOHN.srt 	DEAR_JOHN_DVS582 	01:21:59,00 --> 01:22:06,50 	later, lying belly down on his surfboard, he paddles out in the steel gray sea.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS233 	00:58:34,00 --> 00:58:41,50 	later, as someone lies asleep in bed, someone lies beside him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS233 	00:58:34,00 --> 00:58:41,50 	later, as someone lies asleep in bed, someone lies beside him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS238 	00:59:33,00 --> 00:59:37,50 	someone lies awake in bed.
DISTRICT_9.srt 	DISTRICT_9_DVS385 	00:42:22,00 --> 00:42:27,50 	someone lies strapped to a table.
DISTRICT_9.srt 	DISTRICT_9_DVS483 	00:56:11,00 --> 00:56:18,50 	now someone lie supine on the ground.
DISTRICT_9.srt 	DISTRICT_9_DVS739 	01:27:07,00 --> 01:27:28,50 	on the ground, one of someone's scorpion-like fighting creatures nibbles on a dead thug lying slumped over the penned fence.
DISTRICT_9.srt 	DISTRICT_9_DVS822 	01:36:48,00 --> 01:36:58,50 	lying back in the control seat, someone convulses.
DISTRICT_9.srt 	DISTRICT_9_DVS831 	01:37:49,00 --> 01:38:07,50 	the robot topples backward and lies motionless.
EASY_A.srt 	EASY_A_DVS35 	00:08:50,00 --> 00:09:04,50 	in a theater class, a guy checks his phone while lying on stage mid rehearsal.
EASY_A.srt 	EASY_A_DVS301 	01:26:48,00 --> 01:26:53,50 	now in a hotel room, someone lies in bed.
FLIGHT.srt 	FLIGHT_DVS106 	00:21:06,00 --> 00:21:11,50 	someone lies still.
FLIGHT.srt 	FLIGHT_DVS135 	00:26:05,00 --> 00:26:14,50 	the broken off spire from the church lies some distance away from an ambulance, as rescue workers help survivors.
FLIGHT.srt 	FLIGHT_DVS383 	01:01:41,00 --> 01:01:46,50 	as someone lies back with a pack of ice on his knee, he picks up a glass of whisky.
FLIGHT.srt 	FLIGHT_DVS497 	01:11:31,00 --> 01:11:35,50 	he lies prone on the carpet.
FLIGHT.srt 	FLIGHT_DVS602 	01:23:24,00 --> 01:23:29,50 	someone's left leg lies in a brace.
FLIGHT.srt 	FLIGHT_DVS677 	01:31:46,00 --> 01:31:51,50 	in the morning, someone lies sleeping on the bed, fully dressed.
FLIGHT.srt 	FLIGHT_DVS887 	01:44:22,00 --> 01:44:27,50 	he lies in bed, surfing channels on the tv.
FLIGHT.srt 	FLIGHT_DVS894 	01:45:51,00 --> 01:45:57,50 	lying in bed, he's awakened by the same sound.
FLIGHT.srt 	FLIGHT_DVS920 	01:49:33,00 --> 01:49:37,50 	bottles lie everywhere.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS55 	00:14:36,00 --> 00:14:41,50 	someone and someone lie back side-by-side.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS137 	00:36:42,00 --> 00:36:49,50 	now she lies on top of him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS140 	00:37:22,00 --> 00:37:29,50 	in her bed, someone lies with her back to someone as their hips ungulate.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS143 	00:38:02,00 --> 00:38:07,50 	she starts to lie down.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS165 	00:45:45,00 --> 00:45:53,50 	now someone and someone remove their jewelry as they lie in his bed in their underwear.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS191 	00:52:06,00 --> 00:52:14,50 	someone lies back and he leans over her.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS254 	01:08:17,00 --> 01:08:24,50 	later he lies on top of her as their mouths meet in a series of light caresses.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS257 	01:08:35,00 --> 01:08:49,50 	later they lie beneath the sheets as they kiss with mounting intensity.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS257 	01:08:35,00 --> 01:08:49,50 	as someone lies on his back, someone plants a row of kisses down his abdomen.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS258 	01:08:47,00 --> 01:08:59,50 	later someone lies on top of someone, regarding him with a tender smile.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS261 	01:09:05,00 --> 01:09:12,50 	someone's arm lies draped across his stomach, her hand to his, as she sleeps with her
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS292 	01:18:00,00 --> 01:18:05,50 	now someone lies in a long box.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS78 	00:45:14,00 --> 00:45:18,50 	where someone lies asleep.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS128 	01:16:03,00 --> 01:16:08,50 	someone lies back as a blanket covering her midriff rides.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS149 	01:25:49,00 --> 01:26:01,50 	as they make out, her arm lies on someone's face.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS151 	01:26:15,00 --> 01:26:21,50 	later, someone stares as someone lies on top of someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS149 	00:23:24,00 --> 00:23:41,50 	someone lies motionless, his brow knitted as his breath comes in shallow gasps.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS295 	00:45:31,00 --> 00:45:42,50 	someone lies unconscious under a cement slab.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS411 	01:00:00,00 --> 01:00:08,50 	now on the floor of the empty room, someone lies flat on his back with his eyes closed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS551 	01:18:35,00 --> 01:18:41,50 	falling back, someone lies motionless on the gravel.
GREEN_ZONE.srt 	GREEN_ZONE_DVS133 	00:30:39,00 --> 00:30:47,50 	they cross into a kitchen where the dead gunman lies on his back.
GREEN_ZONE.srt 	GREEN_ZONE_DVS246 	00:59:20,00 --> 00:59:27,50 	in the cell, someone lies prostrate on the floor, his back to the door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS381 	01:28:05,00 --> 01:28:11,50 	the humvee lies in wait.
HUGO.srt 	HUGO_DVS73 	00:09:33,00 --> 00:09:51,50 	the dog lies down and lowers his head.
HUGO.srt 	HUGO_DVS554 	01:22:09,00 --> 01:22:15,50 	lying down, someone stares at his watch, which reads five until ten.
HUGO.srt 	HUGO_DVS596 	01:25:55,00 --> 01:26:04,50 	outside, a man lies on his back on a riverside.
IN_TIME.srt 	IN_TIME_DVS127 	00:15:04,00 --> 00:15:13,50 	daylight pours in through the windows as someone lies back on the bench, his head on the meagerly padded armrest.
IN_TIME.srt 	IN_TIME_DVS268 	00:27:41,00 --> 00:27:47,50 	now, someone lies asleep in his elegant suite,
IN_TIME.srt 	IN_TIME_DVS272 	00:27:56,00 --> 00:28:03,50 	lying back down, he lets his head drop onto the pillow and closes his eyes.
IN_TIME.srt 	IN_TIME_DVS518 	00:56:10,00 --> 00:56:17,50 	with his gun at her back, he shuffles her past a timed out woman lying in the street.
INSIDE_MAN.srt 	INSIDE_MAN_DVS236 	01:09:19,00 --> 01:09:29,50 	now, inside someone pats her down, as she lies prone on the marble floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS310 	01:32:57,00 --> 01:33:02,50 	a mic lies taped inside.
INSIDE_MAN.srt 	INSIDE_MAN_DVS323 	01:36:13,00 --> 01:36:19,50 	the lanky robber now lies on his back, palms up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS329 	00:59:07,00 --> 00:59:16,50 	with his eyes no longer glowing, someone lies near a wall with his back against charred furniture.
IRON_MAN_2.srt 	IRON_MAN_2_DVS368 	01:09:51,00 --> 01:10:03,50 	in the hanger, the someone ii suit lies on a table.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	he also falls and lies motionless.
IRON_MAN_2.srt 	IRON_MAN_2_DVS671 	01:50:54,00 --> 01:51:10,50 	lying on the charred ground, someone and someone stand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS70 	00:21:45,00 --> 00:21:53,50 	someone lies ravished next to him
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS230 	01:07:33,00 --> 01:07:52,50 	lying tensely on the bed someone eyes his phone and exhales nervously.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS365 	01:42:39,00 --> 01:42:50,50 	beside it someone lies on the lounge chair wrapped tightly in a blue shawl curled into a fetal position.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS76 	00:16:48,00 --> 00:16:52,50 	someone lies among the trees.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS94 	00:20:26,00 --> 00:20:33,50 	now, wrapped presents lie on a table as six candles burn on a menorah.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS144 	00:29:21,00 --> 00:29:29,50 	her mascara smeared, someone lies asleep cuddling poopsie among a pile of used tissues covering the bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS51 	00:05:52,00 --> 00:05:57,50 	someone lies on the bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS141 	00:24:52,00 --> 00:24:58,50 	their embrace grows more intense, and they lie back together.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS275 	00:53:31,00 --> 00:53:38,50 	on the kitchen floor, someone lies flat on her back.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS474 	01:31:59,00 --> 01:32:05,50 	meanwhile in his office, someone lies on the couch reading.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS522 	01:43:09,00 --> 01:43:13,50 	someone lies on the couch.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS233 	01:20:23,00 --> 01:20:33,50 	someone nervously approaches the white sheep, which lies on its side.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS304 	01:38:21,00 --> 01:38:28,50 	later, someone lies sound asleep, resting her head on someone's shoulder.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS306 	01:38:30,00 --> 01:38:36,50 	someone lies awake in bed.
KARATE_KID.srt 	KARATE_KID_DVS212 	00:18:15,00 --> 00:18:21,50 	someone lies clutching his chest.
KARATE_KID.srt 	KARATE_KID_DVS300 	00:26:55,00 --> 00:27:03,50 	as someone returns to the tv, someone notices his jacket lying crumpled at the base of the coat rack.
KARATE_KID.srt 	KARATE_KID_DVS484 	00:43:39,00 --> 00:43:46,50 	the beaten boy lies on his side, his arm clutching his stomach.
KARATE_KID.srt 	KARATE_KID_DVS513 	00:46:40,00 --> 00:46:50,50 	shirtless, someone lies on a wicker couch and watches as mr.
KARATE_KID.srt 	KARATE_KID_DVS760 	01:04:21,00 --> 01:04:27,50 	she notices his jacket lying on the tiled courtyard and frowns.
KARATE_KID.srt 	KARATE_KID_DVS1179 	01:37:00,00 --> 01:37:06,50 	in a deep dent on the hood, he notices a newspaper clipping lying under pebbles of shattered glass.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS73 	00:14:25,00 --> 00:14:32,50 	lying in bed, someone swats someone with a pillow.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS191 	00:51:14,00 --> 00:51:21,50 	backstage, someone's personal trainer stretches someone's left leg skyward as she lies on her back.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS246 	00:58:35,00 --> 00:58:40,50 	a black and white cat lies in a glass enclosure.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS267 	01:02:48,00 --> 01:02:53,50 	lying in a large bed, someone covers herself.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS282 	01:04:40,00 --> 01:04:46,50 	backstage, someone lies curled on her side on a massage table.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS292 	01:09:18,00 --> 01:09:24,50 	lying in a makeup chair backstage someone sobs.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS296 	01:10:04,00 --> 01:10:12,50 	lying back in her chair, someone sobs again.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS298 	01:10:31,00 --> 01:10:36,50 	someone puts on the necklace then lies motionless.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS307 	01:11:00,00 --> 01:11:06,50 	someone lies in her makeup chair as bradford and someone stare at her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS15 	00:16:50,00 --> 00:16:56,50 	now a pale chubby butt lies naked under tangled sheets.
KNOCKED_UP.srt 	KNOCKED_UP_DVS104 	01:05:31,00 --> 01:05:37,50 	now in his bedroom someone lies on top of someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS105 	01:07:04,00 --> 01:07:08,50 	now she lies sideways with her back.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS21 	00:07:23,00 --> 00:07:29,50 	inside, someone lies on the floor.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS43 	00:15:17,00 --> 00:15:32,50 	someone lies with his headphones askew and his lips parted.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS70 	00:22:19,00 --> 00:22:25,50 	a shiny space suit lies amid the rubble.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS117 	00:37:36,00 --> 00:37:41,50 	from someone's vision, lies prone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS198 	01:10:22,00 --> 01:10:31,50 	now, the tree of the narcotic fruit lies bare.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS23 	00:06:57,00 --> 00:07:21,50 	later he lies awake on his stomach, with one-half of his face against a pillow.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS139 	00:31:38,00 --> 00:31:44,50 	lying on the floor with his toe and the other two back away.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS291 	01:10:07,00 --> 01:10:13,50 	while lying in bed, someone wipes a tear from the corner of her eye.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS367 	00:44:12,00 --> 00:44:20,50 	someone climbs on to the deck with the zebra who lies curled up on its side on one end.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS387 	00:46:01,00 --> 00:46:10,50 	the water splashes the zebra who still lies curled up on the wooden bench-like seats rimming the far end.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS388 	00:46:07,00 --> 00:46:15,50 	one of its hind legs lies unnaturally straight as it drags its haunch along the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS421 	00:49:00,00 --> 00:49:05,50 	lying on his belly, he slams it against the boat's hull.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS446 	00:50:53,00 --> 00:50:58,50 	in the boat, the zebra lies dead.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS484 	00:54:10,00 --> 00:54:16,50 	now someone lies still beneath the canvas shelter.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS556 	01:00:37,00 --> 01:00:43,50 	later, he lies back, his hands over his face.
