30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS188 	00:49:22,00 --> 00:49:26,50 	they exit.
INSIDE_MAN.srt 	INSIDE_MAN_DVS220 	01:02:18,00 --> 01:02:32,50 	two detectives exit the coffee shop.
INSIDE_MAN.srt 	INSIDE_MAN_DVS280 	01:26:13,00 --> 01:26:17,50 	someone exits the truck.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS86 	00:19:49,00 --> 00:19:57,50 	now, someone and someone exits a shop called my tiny me dressed in costumes.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS352 	01:06:42,00 --> 01:06:52,50 	now dressed as someone, someone exits the stall.
KARATE_KID.srt 	KARATE_KID_DVS777 	01:05:33,00 --> 01:05:39,50 	a crowd of adults and children exit the terrace courtyard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS213 	00:28:07,00 --> 00:28:20,50 	he exits the market and stops, searching in both directions.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS172 	00:24:30,00 --> 00:24:34,50 	two penguins exit the crate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS367 	00:46:13,00 --> 00:46:17,50 	they exit into the lobby.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS67 	00:16:01,00 --> 00:16:07,50 	he exits with a jar marked dad's jam.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS91 	00:14:57,00 --> 00:15:13,50 	in his car as the robbers exit with four hostages.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS109 	00:18:33,00 --> 00:18:44,50 	as hoover exits a nearby office, someone stands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS396 	01:16:14,00 --> 01:16:24,50 	gangster shield themselves with the hostages as they exit the bank.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS439 	01:24:39,00 --> 01:24:55,50 	as he stalks closer, the three working-class men exit the lodge.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS541 	01:42:03,00 --> 01:42:09,50 	more armed agents exit a building directly in front of him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS661 	02:04:31,00 --> 02:04:50,50 	near the cinema door, someone watches movie patrons exiting the lobby.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS337 	00:22:56,00 --> 00:23:07,50 	now, in the daytime, a procession of women with their faces hidden behind red scarves exit someone's home through a doorway adorned on each side with a red banner.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS412 	00:27:35,00 --> 00:27:40,50 	she exits past her shy daughter-in-law.
SPARKLE_2012.srt 	SPARKLE_2012_DVS548 	01:30:20,00 --> 01:30:25,50 	now on another floor, she exits the elevator.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS38 	00:08:50,00 --> 00:09:02,50 	now, someone exits the building.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	later someone exits an elevator in an office building.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS39 	00:06:47,00 --> 00:06:53,50 	as she bursts out of the stall, someone exits a different one.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS63 	00:12:02,00 --> 00:12:12,50 	now, in another neighborhood a portly man exits the front door of a house with an adjoining storefront.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS104 	00:20:33,00 --> 00:20:38,50 	someone exits an evidence locker while on his cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS528 	01:36:36,00 --> 01:36:41,50 	inside, someone exits a freight elevator.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS535 	01:37:21,00 --> 01:37:33,50 	later, they exit the stairwell.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS572 	01:25:16,00 --> 01:25:20,50 	he exits the cottage.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS635 	01:32:09,00 --> 01:32:15,50 	he exits past the portraits of his great great grandparents.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS208 	00:25:43,00 --> 00:25:49,50 	someone exits a train with his bags and reacts to the cold.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS398 	00:47:24,00 --> 00:47:30,50 	she wipes her mouth as she exits into her guardian's office.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS660 	01:12:31,00 --> 01:12:37,50 	someone exits the phone booth and heads for the bridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS795 	01:31:29,00 --> 01:31:35,50 	meanwhile, someone exits a freeway in stockholm.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS4 	00:05:26,00 --> 00:05:35,50 	now, someone exits the thirsty scholar pub into the night.
THE_VOW.srt 	THE_VOW_DVS161 	00:16:41,00 --> 00:16:45,50 	now he exits to the hall.
THE_VOW.srt 	THE_VOW_DVS284 	00:37:30,00 --> 00:37:36,50 	now she exits with her purchase.
THE_VOW.srt 	THE_VOW_DVS407 	00:56:17,00 --> 00:56:22,50 	her father someone exits the bathroom.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS114 	00:33:19,00 --> 00:33:25,50 	exiting a room, a well-dressed man almost collides with him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS449 	01:19:58,00 --> 01:20:02,50 	now they exit to the sidewalk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS474 	00:42:13,00 --> 00:42:16,50 	later he exits
ZOOKEEPER.srt 	ZOOKEEPER_DVS309 	01:08:56,00 --> 01:09:00,50 	someone exits the car.
