21_JUMP_STREET.srt 	21_JUMP_STREET_DVS87 	00:11:40,00 --> 00:11:44,50 	stepping inside.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS46 	00:13:27,00 --> 00:13:39,50 	he steps up to someone, his grayed haired mother and kisses her on the forehead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS56 	00:15:53,00 --> 00:15:59,50 	at his house, someone gets out of his car, then steps past a tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS71 	00:19:35,00 --> 00:19:42,50 	someone slides his hands up the trunk, then steps back and gazes up at the tall tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS140 	00:29:31,00 --> 00:29:37,50 	he steps to the curb, then glances at the crosswalk sign, which shows a red hand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS144 	00:29:52,00 --> 00:29:59,50 	the man steps into traffic.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS216 	00:41:36,00 --> 00:41:41,50 	he steps to the bodhi tree and glares up at it.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS244 	00:47:25,00 --> 00:47:31,50 	elsewhere someone steps into an elegant hotel lobby.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS259 	00:48:53,00 --> 00:48:57,50 	someone steps up to her.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS428 	01:13:54,00 --> 01:14:00,50 	at work, someone steps up to the valet stand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS437 	01:15:14,00 --> 01:15:23,50 	someone glances at a kissing couple then steps to a railing overlooking the ocean.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS445 	01:16:11,00 --> 01:16:16,50 	someone steps into his mother's room.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS28 	00:02:47,00 --> 00:02:56,50 	as someone's mother and father help the boys to their feet, a pipe smoking man steps out.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS110 	00:11:50,00 --> 00:11:57,50 	someone steps out into a hall and peers towards a doorway.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS115 	00:12:32,00 --> 00:12:38,50 	the naked woman steps out wrapped in a white sheet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS137 	00:17:05,00 --> 00:17:10,50 	as someone steps away, someone lingers thoughtfully.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS180 	00:24:30,00 --> 00:24:37,50 	the young man steps inside and lets the door swing shut behind him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS228 	00:32:24,00 --> 00:32:30,50 	someone removes his hat, sets it on the ground and steps up on it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS295 	00:43:15,00 --> 00:43:22,50 	someone steps out from around a corner and catches his bloodsucking mentor in the act.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS333 	00:47:36,00 --> 00:47:44,50 	he steps onto a curb and crosses a sidewalk heading for the general store.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS359 	00:51:06,00 --> 00:51:12,50 	the vampires wait as their brooding leader steps away from the casket.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS398 	00:57:44,00 --> 00:57:49,50 	standing, someone steps away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS441 	01:03:46,00 --> 01:03:52,50 	someone lowers his troubled gaze and someone steps away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS468 	01:06:39,00 --> 01:06:45,50 	stepping away, someone crosses to a sunlit window.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS479 	01:07:35,00 --> 01:07:42,50 	now, someone steps out onto a balcony on a beautiful day and pauses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS484 	01:07:57,00 --> 01:08:03,50 	stepping in front of someone, he crouches and touches his arm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS581 	01:20:37,00 --> 01:20:43,50 	stepping into the car behind it, someone slides its door shut.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS588 	01:21:26,00 --> 01:21:34,50 	a lantern swings from its post over his head as he steps over the wood plank floor.
BAD_TEACHER.srt 	BAD_TEACHER_DVS255 	01:09:14,00 --> 01:09:22,50 	now as she shuts the door, stepping into the corridor, someone approaches.
BAD_TEACHER.srt 	BAD_TEACHER_DVS263 	01:11:01,00 --> 01:11:07,50 	he steps forward in his earmuff heat and gymnastics sweatshirt.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS137 	00:20:16,00 --> 00:20:24,50 	someone steps out as someone and kicks the duffel aside with one of his orthopedic shoes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS138 	00:20:22,00 --> 00:20:29,50 	someone, aka someone, clumsily steps out in loafer pumps.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS230 	00:38:20,00 --> 00:38:26,50 	she steps out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS319 	00:53:37,00 --> 00:53:40,50 	he steps out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS406 	01:05:26,00 --> 01:05:31,50 	he steps closer to someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS495 	01:18:44,00 --> 01:18:49,50 	someone demurely steps back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS618 	01:36:11,00 --> 01:36:16,50 	someone steps out, gun raised.
BLINDDATING.srt 	BLINDDATING_DVS34 	00:11:53,00 --> 00:11:58,50 	he steps on a wheel toy and falls flat on his back.
BLINDDATING.srt 	BLINDDATING_DVS95 	00:27:11,00 --> 00:27:16,50 	mad woman with a mullet steps out.
BLINDDATING.srt 	BLINDDATING_DVS220 	00:54:55,00 --> 00:55:02,50 	someone steps out, followed by a shapely young blonde.
BLINDDATING.srt 	BLINDDATING_DVS335 	01:20:10,00 --> 01:20:24,50 	his father steps closer.
BLINDDATING.srt 	BLINDDATING_DVS341 	01:21:45,00 --> 01:22:02,50 	now, he steps down the driveway, using his cane.
BRUNO.srt 	BRUNO_DVS39 	00:07:28,00 --> 00:07:34,50 	he steps away, gesturing for us to stay back.
BRUNO.srt 	BRUNO_DVS267 	01:16:10,00 --> 01:16:16,50 	someone steps up to the microphone.
BURLESQUE.srt 	BURLESQUE_DVS49 	00:04:58,00 --> 00:05:03,50 	now she steps onto a busy sidewalk.
BURLESQUE.srt 	BURLESQUE_DVS194 	00:29:16,00 --> 00:29:23,50 	someone steps out of the apartment building and peers morosely at the rain-pelted street.
BURLESQUE.srt 	BURLESQUE_DVS199 	00:29:42,00 --> 00:29:47,50 	someone steps out, barefoot.
BURLESQUE.srt 	BURLESQUE_DVS208 	00:30:41,00 --> 00:30:46,50 	the red-haired dancer steps out.
BURLESQUE.srt 	BURLESQUE_DVS342 	00:47:03,00 --> 00:47:08,50 	someone tentatively steps to the front of the stage.
BURLESQUE.srt 	BURLESQUE_DVS352 	00:48:34,00 --> 00:48:47,50 	the crowd claps and the two dancers behind someone sing backup as they step from side to side.
BURLESQUE.srt 	BURLESQUE_DVS417 	00:57:46,00 --> 00:57:51,50 	he steps further into the apartment,
BURLESQUE.srt 	BURLESQUE_DVS426 	00:58:50,00 --> 00:58:55,50 	grinning boyishly, he steps away.
BURLESQUE.srt 	BURLESQUE_DVS605 	01:28:49,00 --> 01:28:57,50 	with a smoldering gaze, he steps out of the bedroom and approaches someone, then gently brushes her long blonde hair off her shoulder.
BURLESQUE.srt 	BURLESQUE_DVS732 	01:50:09,00 --> 01:50:13,50 	he steps away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS20 	00:02:48,00 --> 00:02:55,50 	one man slips and staggers momentarily as he steps down a small ledge.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS34 	00:04:31,00 --> 00:04:39,50 	a nazi officer wearing shiny black boots and a dark trench coat steps out.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS39 	00:05:37,00 --> 00:05:45,50 	the nazi officer removes his hat and hands it to a nearby soldier as he steps toward the sarcophagus.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS60 	00:08:31,00 --> 00:08:38,50 	a short, scrawny young man with parted brown hair steps up to a doctor wearing a white coat.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS86 	00:13:06,00 --> 00:13:16,50 	in a nearby recruitment booth, a man steps in front of a mirror which shows his reflected face on a body of a soldier.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS95 	00:15:07,00 --> 00:15:12,50 	as the doctor steps out, someone glances at a sign on the wall.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS99 	00:15:18,00 --> 00:15:24,50 	a moment later, the goateed man steps in behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS168 	00:31:04,00 --> 00:31:09,50 	inside, a white-haired woman steps forward to greet them.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS204 	00:37:09,00 --> 00:37:16,50 	someone steps up and helps his groggy subject out of the apparatus.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS237 	00:41:25,00 --> 00:41:32,50 	as someone steps around the building's corner, someone aims his pistol at the boy's head.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS273 	00:50:08,00 --> 00:50:27,50 	later, he signs an autograph for a boy backstage, then pauses as a blonde woman steps up to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS397 	01:12:21,00 --> 01:12:32,50 	a senator's aide steps out and whispers into the senator's ear.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS526 	01:33:52,00 --> 01:33:56,50 	someone steps up to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS555 	01:37:08,00 --> 01:37:12,50 	he steps closer to her.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS601 	01:42:39,00 --> 01:42:45,50 	someone steps out from behind him and fires a blaster.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS385 	00:36:25,00 --> 00:36:29,50 	she steps out of the kitchen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS606 	00:58:27,00 --> 00:58:33,50 	with a satisfied smile, someone steps away from the overlook.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS627 	01:00:32,00 --> 01:00:37,50 	he steps away and blond shifts his guilty gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS656 	01:03:48,00 --> 01:03:55,50 	as someone steps away, someone warms his hands under his arms and shifts his thoughtful gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS799 	01:19:09,00 --> 01:19:15,50 	he steps through the wide-open gate and swings it shut behind him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS805 	01:19:33,00 --> 01:19:39,50 	stepping outside, he approaches the shed and peers in with a worried gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS898 	01:28:00,00 --> 01:28:05,50 	she steps in past him, halts, then lowers the hood of her raincoat.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS930 	01:31:07,00 --> 01:31:12,50 	someone steps out, wrapping herself in a sweater.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS984 	01:36:26,00 --> 01:36:32,50 	someone steps out of the cabin of the blue boat wearing a wetsuit.
CHRONICLE.srt 	CHRONICLE_DVS87 	00:11:59,00 --> 00:12:03,50 	someone steps down.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS39 	00:08:35,00 --> 00:08:43,50 	scratching his belly through his t-shirt, he steps around a wall of exposed lathe.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS118 	00:27:30,00 --> 00:27:39,50 	unseen, someone steps up to a curtain doorway
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS130 	00:28:50,00 --> 00:28:54,50 	the foreman steps closer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS202 	00:42:10,00 --> 00:42:19,50 	he reaches into his pocket and signals for someone to step forward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS270 	01:05:41,00 --> 01:05:48,50 	he strokes her hair, steps back, and folds his arms with a smile.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS283 	01:08:06,00 --> 01:08:15,50 	someone steps into an elegant and virtually empty room.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS329 	01:22:52,00 --> 01:22:58,50 	the pudgy well-dressed passenger steps out into a hotel hallway.
COLOMBIANA.srt 	COLOMBIANA_DVS123 	00:10:04,00 --> 00:10:09,50 	he steps into the kitchen with his gun raised.
COLOMBIANA.srt 	COLOMBIANA_DVS175 	00:15:29,00 --> 00:15:35,50 	stepping onto a stack of wooden crates, she grabs the first rung.
COLOMBIANA.srt 	COLOMBIANA_DVS462 	00:40:31,00 --> 00:40:38,50 	now a middle aged man in a dark suit squints in the sunlight as he steps off a private jet.
COLOMBIANA.srt 	COLOMBIANA_DVS483 	00:42:48,00 --> 00:42:54,50 	he steps out of the cell and notices the surveillance camera.
COLOMBIANA.srt 	COLOMBIANA_DVS550 	00:50:21,00 --> 00:50:28,50 	the man steps further in, passing an electric fan and a jar of paintbrushes.
COLOMBIANA.srt 	COLOMBIANA_DVS575 	00:52:21,00 --> 00:52:28,50 	he steps inside a laundromat through a pair of glass doors covered in newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS620 	00:58:43,00 --> 00:58:50,50 	the head security guard steps into the mansion and closes the door.
COLOMBIANA.srt 	COLOMBIANA_DVS652 	01:01:07,00 --> 01:01:13,50 	armed with a pistol in each hand, he steps into the courtyard.
COLOMBIANA.srt 	COLOMBIANA_DVS707 	01:06:38,00 --> 01:06:43,50 	smiling, she steps closer.
COLOMBIANA.srt 	COLOMBIANA_DVS749 	01:11:47,00 --> 01:11:53,50 	she wipes away tears as he steps over to her.
COLOMBIANA.srt 	COLOMBIANA_DVS855 	01:21:38,00 --> 01:21:44,50 	now a vent cover flies loose and a bare foot steps out.
COLOMBIANA.srt 	COLOMBIANA_DVS994 	01:34:57,00 --> 01:35:04,50 	stepping into the destroyed room, the beefy gunman fires down the hole in the floor
COLOMBIANA.srt 	COLOMBIANA_DVS997 	01:35:06,00 --> 01:35:14,50 	with the phone still to his ear, someone aims a handgun as he cautiously steps toward the hole.
DEAR_JOHN.srt 	DEAR_JOHN_DVS121 	00:18:19,00 --> 00:18:26,50 	at her house, someone steps out on her screened-in porch, and gazes toward the beach.
DEAR_JOHN.srt 	DEAR_JOHN_DVS195 	00:30:55,00 --> 00:30:59,50 	someone nods, and steps away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS200 	00:31:44,00 --> 00:31:50,50 	as he steps away, mr.
DEAR_JOHN.srt 	DEAR_JOHN_DVS448 	01:05:45,00 --> 01:05:52,50 	now, someone cautiously glances around as he steps into a tent.
DEAR_JOHN.srt 	DEAR_JOHN_DVS533 	01:16:32,00 --> 01:16:37,50 	dim light bathes his face as he steps into the kitchen.
DEAR_JOHN.srt 	DEAR_JOHN_DVS614 	01:24:09,00 --> 01:24:17,50 	the shadows hiding someone's face fade, as she steps outside into the gentle sunlight.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS46 	00:05:05,00 --> 00:05:14,50 	carrying a large plastic box, someone steps out of an elevator followed by someone and several other workers.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS69 	00:10:43,00 --> 00:10:48,50 	then indicates to step outside.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS281 	01:10:21,00 --> 01:10:29,50 	she pummels the boot then steps up on the roof and drives the pole through it into the cabin.
DISTRICT_9.srt 	DISTRICT_9_DVS438 	00:48:20,00 --> 00:48:31,50 	a soldier steps out.
DISTRICT_9.srt 	DISTRICT_9_DVS556 	01:05:27,00 --> 01:05:33,50 	the thug forces someone into a shallow ditch, then steps away.
DISTRICT_9.srt 	DISTRICT_9_DVS754 	01:29:18,00 --> 01:29:26,50 	someone steps back.
DISTRICT_9.srt 	DISTRICT_9_DVS824 	01:37:06,00 --> 01:37:17,50 	he bites his lower lip, someone coolly steps away.
EASY_A.srt 	EASY_A_DVS25 	00:07:09,00 --> 00:07:16,50 	another girl steps out of a stall and glares at someone, while washing her hands.
EASY_A.srt 	EASY_A_DVS205 	01:02:59,00 --> 01:03:04,50 	someone steps into a confessional booth.
FLIGHT.srt 	FLIGHT_DVS42 	00:06:33,00 --> 00:06:40,50 	a woman steps out of a room at hotel atlanta, carrying a folded up massage table.
FLIGHT.srt 	FLIGHT_DVS505 	01:12:49,00 --> 01:12:54,50 	someone steps out in a bathrobe.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	both clutching their gyros they step out on a high rooftop overlooking manhattan.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS53 	00:14:32,00 --> 00:14:37,50 	someone steps away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS73 	00:18:20,00 --> 00:18:48,50 	he steps past a black granite galley kitchen and descends into a sunken living room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS103 	00:28:42,00 --> 00:28:46,50 	someone steps away then return.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS295 	01:19:03,00 --> 01:19:10,50 	someone steps out toward the beach.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS32 	00:20:59,00 --> 00:21:07,50 	someone steps out behind someone and squints at him.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS131 	01:18:54,00 --> 01:19:07,50 	with a wounded glare, the rock star steps away in his burgundy briefs.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS47 	00:07:43,00 --> 00:07:49,50 	stepping outside, he covers his eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS64 	00:10:59,00 --> 00:11:05,50 	as he steps past, someone pickpockets him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS100 	00:15:37,00 --> 00:15:45,50 	a heavy black boot with burn marks steps off the footrest and grinds into the gravel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	a thug steps in and shoots but the demonic creature incinerates him with shot.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS129 	00:20:38,00 --> 00:20:43,50 	with an uneasy gaze, she steps away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS134 	00:21:01,00 --> 00:21:07,50 	someone steps away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS135 	00:21:05,00 --> 00:21:13,50 	now at a busy transit platform, a figure in a black suit, matching coat, and well-shined shoes steps off a train.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS152 	00:23:45,00 --> 00:23:51,50 	stepping outside, he pauses and massages his right palm.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS443 	01:03:35,00 --> 01:03:49,50 	the boy steps back nervously.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS457 	01:06:20,00 --> 01:06:26,50 	someone steps out of the ambulance and shuts the driver's door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS442 	01:37:17,00 --> 01:37:26,50 	stepping out from behind a low pile of rubble, someone plants his feet and gazes steadily at someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS463 	01:41:19,00 --> 01:41:25,50 	he steps away, intercepting someone in the adjoining room.
GROWN_UPS.srt 	GROWN_UPS_DVS54 	00:16:13,00 --> 00:16:25,50 	he makes his way down the aisle of packed pews, then steps up in front of the flower-adorned casket.
GROWN_UPS.srt 	GROWN_UPS_DVS141 	00:43:32,00 --> 00:43:37,50 	someone steps past his friends and heads over.
GROWN_UPS.srt 	GROWN_UPS_DVS226 	01:05:47,00 --> 01:05:52,50 	he steps up to the platform and grabs the handles.
HUGO.srt 	HUGO_DVS32 	00:03:48,00 --> 00:03:53,50 	a brown-haired girl wearing a beret steps up beside the man and sets down a loaf of bread.
HUGO.srt 	HUGO_DVS39 	00:04:27,00 --> 00:04:34,50 	he swings open a small metal grate then steps into a tiled corridor, opposite the shop.
HUGO.srt 	HUGO_DVS80 	00:10:32,00 --> 00:10:38,50 	he steps to a worktable covered in gears, sprockets, and schematic drawings.
HUGO.srt 	HUGO_DVS125 	00:16:33,00 --> 00:16:37,50 	she steps toward him.
HUGO.srt 	HUGO_DVS151 	00:20:42,00 --> 00:20:50,50 	he steps slowly past marble statues and other works of antiquity and gazes at a pair of closed doors.
HUGO.srt 	HUGO_DVS209 	00:31:18,00 --> 00:31:26,50 	stepping forward, someone picks up a screwdriver and adjusts the toy's wind-up mechanism.
HUGO.srt 	HUGO_DVS248 	00:35:16,00 --> 00:35:23,50 	he steps forward and lightly shoves the automaton, then flicks the tiny propeller.
HUGO.srt 	HUGO_DVS257 	00:36:14,00 --> 00:36:19,50 	the station inspector steps up to him.
HUGO.srt 	HUGO_DVS303 	00:46:45,00 --> 00:46:51,50 	she curls up and covers her head as people step over and around her.
HUGO.srt 	HUGO_DVS311 	00:47:50,00 --> 00:47:54,50 	they step into someone's attic workshop.
HUGO.srt 	HUGO_DVS392 	00:59:20,00 --> 00:59:28,50 	someone closes the armoire, steps back, then peers at a small panel near the top which juts out slightly.
HUGO.srt 	HUGO_DVS417 	01:01:26,00 --> 01:01:32,50 	someone steps closer to someone, who licks his lips and swallows.
HUGO.srt 	HUGO_DVS418 	01:01:29,00 --> 01:01:34,50 	someone gazes around the room then steps inside.
HUGO.srt 	HUGO_DVS455 	01:05:45,00 --> 01:05:52,50 	still smiling, he steps forward then glances down at the two cups in his hands.
HUGO.srt 	HUGO_DVS513 	01:15:20,00 --> 01:15:24,50 	someone steps up to him.
HUGO.srt 	HUGO_DVS604 	01:27:15,00 --> 01:27:22,50 	he steps through the arched gate and crosses a narrow street, where he meets rene someone.
