500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS252 	00:47:22,00 --> 00:47:27,50 	he continues down the many flights of wooden stairs.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS876 	01:28:29,00 --> 01:28:37,50 	someone continues unhooking the canvas as the boat ramps off surging waves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS561 	01:06:15,00 --> 01:06:19,50 	someone continues to stare off.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS326 	01:12:07,00 --> 01:12:15,50 	someone yanks the pen from someone, then continues reading.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS398 	01:37:08,00 --> 01:37:18,50 	the someone's back grinds against the wall as he continues to plunge downward.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS459 	01:50:36,00 --> 01:50:43,50 	as someone continues across the lawn, more students pat his back.
PROMETHEUS.srt 	PROMETHEUS_DVS364 	00:35:37,00 --> 00:35:45,50 	the incorporeal figures continue down the tunnel.
PROMETHEUS.srt 	PROMETHEUS_DVS395 	00:39:50,00 --> 00:39:56,50 	holloway continues on around to a recess behind it.
PROMETHEUS.srt 	PROMETHEUS_DVS461 	00:48:47,00 --> 00:48:55,50 	later, the storm continues to pelt someone.
PROMETHEUS.srt 	PROMETHEUS_DVS664 	01:12:09,00 --> 01:12:14,50 	one continues toward someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS143 	00:25:47,00 --> 00:25:54,50 	and continues down the sidewalk with his jacket and arm around her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS371 	01:32:23,00 --> 01:32:32,50 	the flash back continues.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS307 	00:48:58,00 --> 00:49:06,50 	later, they continue up the coast with the pacific ocean just feet from the road.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS417 	01:04:53,00 --> 01:04:59,50 	as he continues reading, someone stares at him intensely.
SALT.srt 	SALT_DVS430 	01:14:28,00 --> 01:14:37,50 	continuing in this manner, she gradually descends floor by floor.
SANCTUM.srt 	SANCTUM_DVS37 	00:08:13,00 --> 00:08:17,50 	he continues on.
SANCTUM.srt 	SANCTUM_DVS79 	00:16:48,00 --> 00:16:56,50 	they each continue their descent.
SANCTUM.srt 	SANCTUM_DVS260 	00:53:42,00 --> 00:53:47,50 	the others continue to wait in one line.
SANCTUM.srt 	SANCTUM_DVS304 	01:00:41,00 --> 01:00:46,50 	someone continues up an incline.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS170 	00:12:32,00 --> 00:12:39,50 	someone's brow furrows and she continues sorting through her friend's belongings.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS615 	00:40:50,00 --> 00:40:57,50 	she maintains an emotionless expression as the villagers continue to pay their respects.
SPARKLE_2012.srt 	SPARKLE_2012_DVS316 	00:52:23,00 --> 00:52:28,50 	she hands him a suitcase and they continue out the front door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS384 	01:04:27,00 --> 01:04:34,50 	the two sisters stare with disappointed gazes, then continue on their way out.
SUPER_8.srt 	SUPER_8_DVS110 	00:17:57,00 --> 00:18:04,50 	someone, someone, and someone sprint through the burning wreckage as cars continue to pile up.
SUPER_8.srt 	SUPER_8_DVS558 	01:33:22,00 --> 01:33:29,50 	from across the chamber, someone keeps an eye on someone who continues to strike the lighter.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS676 	01:30:58,00 --> 01:31:06,50 	overhead someone and someone continue their crane duel.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS285 	00:55:20,00 --> 00:55:26,50 	he continues out with a numb expression.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS220 	00:34:55,00 --> 00:35:02,50 	keeping his head down, he wipes his eyes and continues across the bridge.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS593 	01:27:47,00 --> 01:27:53,50 	as the counselor continues speaking, someone's face crumples in anguish.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS625 	01:31:27,00 --> 01:31:33,50 	he continues caressing his daughter's hair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS410 	00:47:58,00 --> 00:48:06,50 	now on a plane, a flight attendant serves someone then continues down the aisle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1046 	01:51:42,00 --> 01:51:48,50 	meanwhile, someone continues to explore his sleek modern home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1218 	02:08:44,00 --> 02:08:52,50 	still about 50 yards away, someone continues her march towards the wreck through a gentle snowfall.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS284 	01:32:03,00 --> 01:32:09,50 	the scene fades to black and credits continue to scroll.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS114 	00:36:00,00 --> 00:36:11,50 	he pauses thoughtfully then continues.
THE_VOW.srt 	THE_VOW_DVS298 	00:38:28,00 --> 00:38:33,50 	someone continues his search.
THE_VOW.srt 	THE_VOW_DVS408 	00:56:42,00 --> 00:56:46,50 	someone continues packing.
THE_WATCH.srt 	THE_WATCH_DVS46 	00:05:57,00 --> 00:06:04,50 	he shines his light on a torn open box, then continues at a weary pace.
THE_WATCH.srt 	THE_WATCH_DVS524 	01:31:43,00 --> 01:31:51,50 	the guys continue their dash to the exit, someone keeping hold of the orb.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS260 	00:48:38,00 --> 00:48:45,50 	the briefings continue.
THOR.srt 	THOR_DVS178 	00:24:00,00 --> 00:24:07,50 	spinning like a whirlwind, someone continues to battle frost giants as his friends flee.
THOR.srt 	THOR_DVS524 	01:23:59,00 --> 01:24:09,50 	nearby, someone crouches behind a parked car as the destroyer continues to advance.
THOR.srt 	THOR_DVS688 	01:42:40,00 --> 01:42:44,50 	then continues on.
TRUE_GRIT.srt 	TRUE_GRIT_DVS423 	01:23:16,00 --> 01:23:21,50 	out of sight in the trees, he drags her to her feet and they continue.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS253 	00:23:59,00 --> 00:24:06,50 	she claps a hand over her cat's mouth, then continues to ogle her neighbor.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS185 	00:32:42,00 --> 00:32:49,50 	someone smiles, then continues up the trail.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS188 	00:33:01,00 --> 00:33:13,50 	he touches his brow as he continues to review the expenses.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	he pauses to 	scan his surroundings, then continues on his way.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS346 	00:56:03,00 --> 00:56:10,50 	someone remorsefully rights the barrel, then continues pacing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS484 	01:15:11,00 --> 01:15:18,50 	someone hovers the cursor over an arrow icon to continue to the next image.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS762 	01:41:42,00 --> 01:41:51,50 	our view continues to retract over a neighboring rooftop, until it encompasses several city blocks worth of apartment buildings.
ZOOKEEPER.srt 	ZOOKEEPER_DVS421 	01:31:28,00 --> 01:31:34,50 	bridge as they continue up the beam which now slants.
